time,PLEASANT_3-13-28,PLEASANT_3-24-27
1.000000000000,-878.6540000000000,-48.92260000000000
32.00000000000,.000000000000000,.000000000000000
61.00000000000,.000000000000000,.000000000000000
92.00000000000,.000000000000000,.000000000000000
122.0000000000,.000000000000000,.000000000000000
153.0000000000,-944.9030000000000,.000000000000000
183.0000000000,-4451.650000000000,-68.13740000000000
214.0000000000,-4308.040000000000,-527.5160000000000
245.0000000000,-2584.830000000000,-316.5090000000000
275.0000000000,-953.9240000000000,-163.5300000000000
306.0000000000,.000000000000000,.000000000000000
336.0000000000,.000000000000000,.000000000000000
367.0000000000,.000000000000000,.000000000000000
