total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
8,1.000000000000000,1,1,1,8,-47.45778368266934,1,,79
73,1.000000000000000,1,1,2,65,-18.03237801546925,2,,29583
173,1.000000000000000,1,1,3,100,-9.709601077204866,2,,3574
243,1.000000000000000,1,1,4,70,-7.757832201861277,2,,10971
318,1.000000000000000,1,1,5,75,-4.582325672136392,2,,11228
407,1.000000000000000,1,1,6,89,-2.517680265929869,2,,25437
423,1.000000000000000,1,1,7,16,-1.409167805741163,2,,6275
440,1.000000000000000,1,1,8,17,-.5753168274393374,2,,6323
459,1.000000000000000,1,1,9,19,-.4290394552634780,2,,4738
479,1.000000000000000,1,1,10,20,-.4132271069592548,2,,23862
500,1.000000000000000,1,1,11,21,-.3560184004684288,2,,4736
526,1.000000000000000,1,1,12,26,-.4590107799168663,2,,23860
546,1.000000000000000,1,1,13,20,-.2888058340118960,2,,23775
567,1.000000000000000,1,1,14,21,-.2627009474335864,2,,23774
587,1.000000000000000,1,1,15,20,-.2001007750276926,2,,4649
606,1.000000000000000,1,1,16,19,-.1376457082854472,2,,4649
628,1.000000000000000,1,1,17,22,-.1174750562875033,2,,4564
646,1.000000000000000,1,1,18,18,-.1165745399420075,2,,4564
664,1.000000000000000,1,1,19,18,-.1135664154609799,2,,4564
682,1.000000000000000,1,1,20,18,-.1080720372625592,2,,4564
700,1.000000000000000,1,1,21,18,-.1008144389156769,2,,4564
717,1.000000000000000,1,1,22,17,-.4811635020706717E-01,2,,4653
734,1.000000000000000,1,1,23,17,-.4131845360825537E-01,2,,4653
751,1.000000000000000,1,1,24,17,-.3663766147963088E-01,2,,4653
769,1.000000000000000,1,1,25,18,-.3041403063400594E-01,2,,4565
785,1.000000000000000,1,1,26,16,-.2673827057554945E-01,2,,4565
802,1.000000000000000,1,1,27,17,-.2360156461730867E-01,2,,4565
818,1.000000000000000,1,1,28,16,-.2048456541820087E-01,2,,4565
835,1.000000000000000,1,1,29,17,-.1804921976639662E-01,2,,4565
851,1.000000000000000,1,1,30,16,-.1564943511300498E-01,2,,4565
867,1.000000000000000,1,1,31,16,-.1365939338393218E-01,2,,4565
876,1.000000000000000,1,1,32,9,-.8266214586171827E-02,2,,4565
883,32.00000000000000,2,1,1,7,.9646925841841494,1,,2723
891,32.00000000000000,2,1,2,8,.3632173518906257E-01,1,,1779
897,32.00000000000000,2,1,3,6,-.1915411536003830E-01,2,,3995
900,32.00000000000000,2,1,4,3,.1321516955846391E-01,2,,3995
903,32.00000000000000,2,1,5,3,-.1779149358716318,2,SFR_0,6
906,32.00000000000000,2,1,6,3,.4952565901681329E-01,2,SFR_0,4
908,32.00000000000000,2,1,7,2,.2488887958141689E-01,2,SFR_0,4
909,32.00000000000000,2,1,8,1,.8570439556133142E-02,2,SFR_0,4
918,61.00000000000000,3,1,1,9,-.1912628362068745,1,,478
926,61.00000000000000,3,1,2,8,.4525502577405405E-01,1,,478
931,61.00000000000000,3,1,3,5,-7.474135090306138,2,SFR_0,6
933,61.00000000000000,3,1,4,2,-1.365727208562600,2,SFR_0,6
935,61.00000000000000,3,1,5,2,-.1680777961810004,2,SFR_0,6
936,61.00000000000000,3,1,6,1,.3667766269117984E-01,2,SFR_0,4
937,61.00000000000000,3,1,7,1,.1408684293624369E-01,2,SFR_0,4
938,61.00000000000000,3,1,8,1,.1345935738617761E-01,2,SFR_0,4
939,61.00000000000000,3,1,9,1,.9367741450677879E-02,2,SFR_0,4
948,92.00000000000000,4,1,1,9,.4033413236703609,1,,1170
955,92.00000000000000,4,1,2,7,.7934110923758908E-01,1,,2467
959,92.00000000000000,4,1,3,4,-10.85309322474149,2,SFR_0,6
961,92.00000000000000,4,1,4,2,-.9761308785649511,2,SFR_0,6
963,92.00000000000000,4,1,5,2,-.8998999282227796E-01,2,SFR_0,6
964,92.00000000000000,4,1,6,1,.3873833279922732E-01,2,SFR_0,4
965,92.00000000000000,4,1,7,1,.1369110672984111E-01,2,SFR_0,4
966,92.00000000000000,4,1,8,1,.1051142692224080E-01,2,SFR_0,4
967,92.00000000000000,4,1,9,1,.7992200200963563E-02,2,SFR_0,4
975,122.0000000000000,5,1,1,8,.6958296667415880,1,,1208
982,122.0000000000000,5,1,2,7,-.1832340673765884,1,,478
986,122.0000000000000,5,1,3,4,.3399332708454494E-01,2,,3995
990,122.0000000000000,5,1,4,4,-.2059138148786133E-01,2,,3995
993,122.0000000000000,5,1,5,3,-.3619583082255549E-01,2,SFR_0,6
995,122.0000000000000,5,1,6,2,-.2300931905608650E-02,2,,3995
1002,153.0000000000000,6,1,1,7,-.9325949009459578,1,,2723
