k,i,j,per,q,boundname,cellid,reason,routine
4,7,17,0,0,pleasant_3-12-23,"(4, 7, 17)",in inactive cell,mfsetup.wells.setup_wel_data
4,8,8,0,0,pleasant_3-13-14,"(4, 8, 8)",in inactive cell,mfsetup.wells.setup_wel_data
