time,PERIMETER-HEAD,PERIMETER-HEADS
1.000000000000,.3000000000000000E+31,-6059.345089678320
32.00000000000,.3000000000000000E+31,-4116.202232223607
61.00000000000,.3000000000000000E+31,-4324.648615471617
92.00000000000,.3000000000000000E+31,-6290.064214245964
122.0000000000,.3000000000000000E+31,-9047.095115632710
153.0000000000,.3000000000000000E+31,-12077.04294603189
183.0000000000,.3000000000000000E+31,-2770.701180305954
214.0000000000,.3000000000000000E+31,-3046.238310250503
245.0000000000,.3000000000000000E+31,-3785.748838987122
275.0000000000,.3000000000000000E+31,-4500.194514173671
306.0000000000,.3000000000000000E+31,-5240.325357772113
336.0000000000,.3000000000000000E+31,-5377.222127321647
367.0000000000,.3000000000000000E+31,-5466.619687322719
