time,S01,S24,S29,S31
14366400.00000,1094.282885,1037.679052,1013.907634,993.3309029
14541600.00000,1094.282885,1037.679039,1013.907632,993.3309535
14716800.00000,1094.282885,1037.679027,1013.907629,993.3309996
14892000.00000,1094.282885,1037.679015,1013.907627,993.3310421
15067200.00000,1094.282885,1037.679004,1013.907624,993.3310811
15242400.00000,1094.282885,1037.678993,1013.907622,993.3311169
15417600.00000,1094.282885,1037.678983,1013.907620,993.3311503
15592800.00000,1094.282885,1037.678974,1013.907618,993.3311825
15768000.00000,1094.282885,1037.678966,1013.907616,993.3312133
15943200.00000,1094.282885,1037.678958,1013.907615,993.3271218
16118400.00000,1094.282885,1037.678952,1013.907613,993.3271219
16293600.00000,1094.282885,1037.678945,1013.907613,993.3270467
16468800.00000,1094.282885,1037.678940,1013.907613,993.3269517
16644000.00000,1094.282885,1037.678937,1013.907614,993.3268524
16819200.00000,1094.282885,1037.678935,1013.907616,993.3267612
16994400.00000,1094.282885,1037.678935,1013.907620,993.3266746
17169600.00000,1094.282885,1037.678937,1013.907624,993.3265962
17344800.00000,1094.282885,1037.678940,1013.907630,993.3265345
17520000.00000,1094.282885,1037.678945,1013.907637,993.3264890
17695200.00000,1094.282885,1037.678952,1013.907645,993.3264544
17870400.00000,1094.282885,1037.678960,1013.907654,993.3264295
18045600.00000,1094.282885,1037.678969,1013.907664,993.3264138
18220800.00000,1094.282885,1037.678980,1013.907675,993.3264066
18396000.00000,1094.282885,1037.678991,1013.907686,993.3264066
18571200.00000,1094.282885,1037.679004,1013.907698,993.3266379
18746400.00000,1094.282885,1037.679017,1013.907710,993.3266530
18921600.00000,1094.282885,1037.679032,1013.907722,993.3266731
19096800.00000,1094.282885,1037.679047,1013.907734,993.3266965
19272000.00000,1094.282885,1037.679062,1013.907746,993.3267226
19447200.00000,1094.282885,1037.679078,1013.907758,993.3267571
19622400.00000,1094.282885,1037.679095,1013.907771,993.3268027
19797600.00000,1094.282885,1037.679114,1013.907785,993.3268653
19972800.00000,1094.282885,1037.679138,1013.907900,993.3270110
20148000.00000,1094.282885,1037.679171,1013.908003,993.3273076
20323200.00000,1094.282885,1037.679210,1013.908094,993.3276982
20498400.00000,1094.282885,1037.679257,1013.908176,993.3281266
20673600.00000,1094.282885,1037.679309,1013.908255,993.3285795
20848800.00000,1094.282885,1037.679366,1013.908321,993.3290464
21024000.00000,1094.282885,1037.679428,1013.908381,993.3295235
21199200.00000,1094.282885,1037.679492,1013.908440,993.3297802
21374400.00000,1094.282885,1037.679559,1013.908496,993.3302549
21549600.00000,1094.282885,1037.679627,1013.908545,993.3307185
21724800.00000,1094.282885,1037.679697,1013.908584,993.3311662
21900000.00000,1094.282885,1037.679767,1013.908623,993.3316021
22075200.00000,1094.282885,1037.679838,1013.908661,993.3320295
22250400.00000,1094.282885,1037.679910,1013.908698,993.3324450
22425600.00000,1094.282885,1037.679983,1013.908734,993.3328748
22600800.00000,1094.282885,1037.680056,1013.908768,993.3332898
22776000.00000,1094.282885,1037.680129,1013.908796,993.3336832
22951200.00000,1094.282885,1037.680202,1013.908817,993.3340538
23126400.00000,1094.282885,1037.680279,1013.908839,993.3344062
23301600.00000,1094.282885,1037.680362,1013.908862,993.3347441
23476800.00000,1094.282885,1037.680450,1013.908885,993.3350677
23652000.00000,1094.282885,1037.680542,1013.908908,993.3353742
23827200.00000,1094.282885,1037.680637,1013.908932,993.3355528
24002400.00000,1094.282885,1037.680734,1013.908955,993.3358229
24177600.00000,1094.282885,1037.680833,1013.908979,993.3360812
24352800.00000,1094.282885,1037.680933,1013.909002,993.3363331
24528000.00000,1094.282885,1037.681034,1013.909024,993.3365760
24703200.00000,1094.282885,1037.681136,1013.909047,993.3368095
24878400.00000,1094.282885,1037.681239,1013.909065,993.3370330
25053600.00000,1094.282885,1037.681343,1013.909080,993.3372463
25228800.00000,1094.282885,1037.681448,1013.909094,993.3374569
25404000.00000,1094.282885,1037.681553,1013.909109,993.3376655
25579200.00000,1094.282885,1037.681658,1013.909125,993.3378645
25754400.00000,1094.282885,1037.681764,1013.909140,993.3380490
25929600.00000,1094.282885,1037.681870,1013.909155,993.3382224
26104800.00000,1094.282885,1037.681974,1013.909171,993.3383838
26280000.00000,1094.282885,1037.682077,1013.909186,993.3385324
26455200.00000,1094.282885,1037.682176,1013.909200,993.3385515
26630400.00000,1094.282885,1037.682270,1013.909213,993.3386675
26805600.00000,1094.282885,1037.682360,1013.909226,993.3387728
26980800.00000,1094.282885,1037.682447,1013.909239,993.3388686
27156000.00000,1094.282885,1037.682530,1013.909250,993.3389559
27331200.00000,1094.282885,1037.682609,1013.909261,993.3390355
27506400.00000,1094.282885,1037.682685,1013.909272,993.3391074
27681600.00000,1094.282885,1037.682758,1013.909281,993.3391702
27856800.00000,1094.282885,1037.682828,1013.909291,993.3392268
28032000.00000,1094.282885,1037.682894,1013.909300,993.3392777
28207200.00000,1094.282885,1037.682958,1013.909308,993.3393232
28382400.00000,1094.282885,1037.683019,1013.909316,993.3393633
28557600.00000,1094.282885,1037.683080,1013.909323,993.3393985
28732800.00000,1094.282885,1037.683141,1013.909331,993.3394277
28908000.00000,1094.282885,1037.683202,1013.909338,993.3394506
29083200.00000,1094.282885,1037.683264,1013.909344,993.3394741
29258400.00000,1094.282885,1037.683327,1013.909347,993.3394963
29433600.00000,1094.282885,1037.683389,1013.909350,993.3395167
29608800.00000,1094.282885,1037.683452,1013.909354,993.3395360
29784000.00000,1094.282885,1037.683513,1013.909357,993.3395541
29959200.00000,1094.282885,1037.683575,1013.909361,993.3395716
30134400.00000,1094.282885,1037.683637,1013.909365,993.3395880
30309600.00000,1094.282885,1037.683700,1013.909370,993.3396017
30484800.00000,1094.282885,1037.683764,1013.909374,993.3396119
30660000.00000,1094.282885,1037.683828,1013.909379,993.3396186
30835200.00000,1094.282885,1037.683892,1013.909384,993.3396223
31010400.00000,1094.282885,1037.683956,1013.909390,993.3396235
31185600.00000,1094.282885,1037.684020,1013.909395,993.3396225
31360800.00000,1094.282885,1037.684084,1013.909400,993.3396193
31536000.00000,1094.282885,1037.684147,1013.909406,993.3396160
31711200.00000,1094.282885,1037.684211,1013.909411,993.3395390
31886400.00000,1094.282885,1037.684274,1013.909417,993.3395340
32061600.00000,1094.282885,1037.684337,1013.909422,993.3395280
32236800.00000,1094.282885,1037.684398,1013.909428,993.3395215
32412000.00000,1094.282885,1037.684459,1013.909433,993.3395147
32587200.00000,1094.282885,1037.684518,1013.909439,993.3395077
32762400.00000,1094.282885,1037.684577,1013.909444,993.3395006
32937600.00000,1094.282885,1037.684633,1013.909450,993.3394934
33112800.00000,1094.282885,1037.684689,1013.909455,993.3394862
33288000.00000,1094.282885,1037.684743,1013.909460,993.3394791
33463200.00000,1094.282885,1037.684795,1013.909465,993.3394719
33638400.00000,1094.282885,1037.684846,1013.909469,993.3394648
33813600.00000,1094.282885,1037.684896,1013.909474,993.3394576
33988800.00000,1094.282885,1037.684944,1013.909479,993.3394506
34164000.00000,1094.282885,1037.684990,1013.909483,993.3394438
34339200.00000,1094.282885,1037.685036,1013.909487,993.3438277
34514400.00000,1094.282885,1037.685081,1013.909491,993.3438211
34689600.00000,1094.282885,1037.685125,1013.909496,993.3438265
34864800.00000,1094.282885,1037.685168,1013.909500,993.3440245
35040000.00000,1094.282885,1037.685210,1013.909504,993.3442068
35215200.00000,1094.282885,1037.685250,1013.909507,993.3443753
35390400.00000,1094.282885,1037.685290,1013.909511,993.3445312
35565600.00000,1094.282885,1037.685328,1013.909514,993.3446755
35740800.00000,1094.282885,1037.685365,1013.909518,993.3452110
35916000.00000,1094.282885,1037.685400,1013.909521,993.3461442
36091200.00000,1094.282885,1037.685434,1013.909524,993.3466525
36266400.00000,1094.282885,1037.685467,1013.909527,993.3469367
36441600.00000,1094.282885,1037.685498,1013.909529,993.3470969
36616800.00000,1094.282885,1037.685528,1013.909532,993.3471862
36792000.00000,1094.282885,1037.685557,1013.909534,993.3472344
36967200.00000,1094.282885,1037.685585,1013.909537,993.3420623
37142400.00000,1094.282885,1037.685613,1013.909539,993.3418599
37317600.00000,1094.282885,1037.685639,1013.909541,993.3416852
37492800.00000,1094.282885,1037.685665,1013.909543,993.3415356
37668000.00000,1094.282885,1037.685691,1013.909545,993.3414081
37843200.00000,1094.282885,1037.685715,1013.909547,993.3413531
38018400.00000,1094.282885,1037.685740,1013.909549,993.3413231
38193600.00000,1094.282885,1037.685763,1013.909551,993.3412947
38368800.00000,1094.282885,1037.685787,1013.909553,993.3412678
38544000.00000,1094.282885,1037.685810,1013.909555,993.3412425
38719200.00000,1094.282885,1037.685833,1013.909557,993.3412186
38894400.00000,1094.282885,1037.685855,1013.909559,993.3411961
39069600.00000,1094.282885,1037.685877,1013.909561,993.3411750
39244800.00000,1094.282885,1037.685899,1013.909563,993.3411551
39420000.00000,1094.282885,1037.685921,1013.909564,993.3411362
39595200.00000,1094.282885,1037.685942,1013.909566,993.3422247
39770400.00000,1094.282885,1037.685963,1013.909568,993.3422516
39945600.00000,1094.282885,1037.685984,1013.909570,993.3422780
40120800.00000,1094.282885,1037.686004,1013.909571,993.3423014
40296000.00000,1094.282885,1037.686023,1013.909573,993.3423218
40471200.00000,1094.282885,1037.686042,1013.909574,993.3423394
40646400.00000,1094.282885,1037.686060,1013.909576,993.3423543
40821600.00000,1094.282885,1037.686077,1013.909577,993.3423666
40996800.00000,1094.282885,1037.686094,1013.909578,993.3423764
41172000.00000,1094.282885,1037.686111,1013.909580,993.3423855
41347200.00000,1094.282885,1037.686127,1013.909581,993.3424420
41522400.00000,1094.282885,1037.686143,1013.909582,993.3425063
41697600.00000,1094.282885,1037.686160,1013.909582,993.3425501
41872800.00000,1094.282885,1037.686176,1013.909583,993.3425790
42048000.00000,1094.282885,1037.686193,1013.909584,993.3425973
42223200.00000,1094.282885,1037.686210,1013.909586,993.3432935
42398400.00000,1094.282885,1037.686226,1013.909588,993.3434246
42573600.00000,1094.282885,1037.686242,1013.909591,993.3435106
42748800.00000,1094.282885,1037.686259,1013.909593,993.3435666
42924000.00000,1094.282885,1037.686275,1013.909596,993.3436031
43099200.00000,1094.282885,1037.686291,1013.909600,993.3436268
43274400.00000,1094.282885,1037.686307,1013.909604,993.3436421
43449600.00000,1094.282885,1037.686323,1013.909608,993.3436517
43624800.00000,1094.282885,1037.686339,1013.909612,993.3436581
43800000.00000,1094.282885,1037.686355,1013.909617,993.3436623
43975200.00000,1094.282885,1037.686371,1013.909638,993.3436706
44150400.00000,1094.282885,1037.686387,1013.909666,993.3436857
44325600.00000,1094.282885,1037.686403,1013.909691,993.3437063
44500800.00000,1094.282885,1037.686419,1013.909716,993.3437315
44676000.00000,1094.282885,1037.686434,1013.909739,993.3437607
44851200.00000,1094.282885,1037.686451,1013.909761,993.3461967
45026400.00000,1094.282885,1037.686469,1013.909782,993.3466379
45201600.00000,1094.282885,1037.686490,1013.909803,993.3469772
45376800.00000,1094.282885,1037.686514,1013.909824,993.3472601
45552000.00000,1094.282885,1037.686540,1013.909846,993.3475071
45727200.00000,1094.282885,1037.686568,1013.909862,993.3477312
45902400.00000,1094.282885,1037.686599,1013.909877,993.3479435
46077600.00000,1094.282885,1037.686631,1013.909893,993.3481502
46252800.00000,1094.282885,1037.686666,1013.909910,993.3483585
46428000.00000,1094.282885,1037.686704,1013.909928,993.3485759
46603200.00000,1094.282885,1037.686743,1013.909947,993.3487985
46778400.00000,1094.282885,1037.686784,1013.909971,993.3490318
46953600.00000,1094.282885,1037.686828,1013.910064,993.3492846
47128800.00000,1094.282885,1037.686872,1013.910206,993.3495542
47304000.00000,1094.282885,1037.686918,1013.910351,993.3498392
47479200.00000,1094.282885,1037.686966,1013.910496,993.3432501
47654400.00000,1094.282885,1037.687016,1013.910637,993.3434300
47829600.00000,1094.282885,1037.687067,1013.910776,993.3436335
48004800.00000,1094.282885,1037.687122,1013.910912,993.3438616
48180000.00000,1094.282885,1037.687179,1013.911131,993.3441493
48355200.00000,1094.282885,1037.687241,1013.911352,993.3445217
48530400.00000,1094.282885,1037.687309,1013.911595,993.3449658
48705600.00000,1094.282885,1037.687381,1013.911848,993.3454685
48880800.00000,1094.282885,1037.687458,1013.912093,993.3460186
49056000.00000,1094.282885,1037.687540,1013.912328,993.3466183
49231200.00000,1094.282885,1037.687628,1013.912556,993.3472565
49406400.00000,1094.282885,1037.687722,1013.912777,993.3479422
49581600.00000,1094.282885,1037.687823,1013.912992,993.3487152
49756800.00000,1094.282885,1037.687935,1013.913201,993.3495328
49932000.00000,1094.282885,1037.688056,1013.913402,993.3503967
50107200.00000,1094.282885,1037.688185,1013.913578,993.3517000
50282400.00000,1094.282885,1037.688325,1013.913729,993.3526099
50457600.00000,1094.282885,1037.688476,1013.913848,993.3539311
50632800.00000,1094.282885,1037.688641,1013.913956,993.3555449
50808000.00000,1094.282885,1037.688821,1013.914038,993.3569074
50983200.00000,1094.282885,1037.689017,1013.914114,993.3580558
51158400.00000,1094.282885,1037.689225,1013.914187,993.3590451
51333600.00000,1094.282885,1037.689443,1013.914247,993.3599268
51508800.00000,1094.282885,1037.689672,1013.914296,993.3607420
51684000.00000,1094.282885,1037.689908,1013.914348,993.3615085
51859200.00000,1094.282885,1037.690151,1013.914392,993.3622282
52034400.00000,1094.282885,1037.690401,1013.914440,993.3629041
52209600.00000,1094.282885,1037.690655,1013.914486,993.3635695
52384800.00000,1094.282885,1037.690917,1013.914520,993.3644104
52560000.00000,1094.282885,1037.691188,1013.914558,993.3651095
52735200.00000,1094.282885,1037.691469,1013.914597,993.3652838
52910400.00000,1094.282885,1037.691756,1013.914633,993.3658470
53085600.00000,1094.282885,1037.692051,1013.914672,993.3664132
53260800.00000,1094.282885,1037.692355,1013.914715,993.3669513
53436000.00000,1094.282885,1037.692665,1013.914761,993.3674367
53611200.00000,1094.282885,1037.692978,1013.914809,993.3678799
53786400.00000,1094.282885,1037.693294,1013.914849,993.3682934
53961600.00000,1094.282885,1037.693608,1013.914884,993.3686826
54136800.00000,1094.282885,1037.693920,1013.914922,993.3690452
54312000.00000,1094.282885,1037.694228,1013.914961,993.3693865
54487200.00000,1094.282885,1037.694531,1013.914997,993.3697072
54662400.00000,1094.282885,1037.694828,1013.915031,993.3699999
54837600.00000,1094.282885,1037.695118,1013.915066,993.3702552
55012800.00000,1094.282885,1037.695401,1013.915102,993.3704850
55188000.00000,1094.282885,1037.695675,1013.915139,993.3706974
55363200.00000,1094.282885,1037.695940,1013.915176,993.3706725
55538400.00000,1094.282885,1037.696196,1013.915213,993.3708519
55713600.00000,1094.282885,1037.696442,1013.915250,993.3710186
55888800.00000,1094.282885,1037.696679,1013.915287,993.3711729
56064000.00000,1094.282885,1037.696908,1013.915324,993.3713203
56239200.00000,1094.282885,1037.697129,1013.915360,993.3714669
56414400.00000,1094.282885,1037.697342,1013.915396,993.3716050
56589600.00000,1094.282885,1037.697548,1013.915420,993.3717312
56764800.00000,1094.282885,1037.697747,1013.915445,993.3718439
56940000.00000,1094.282885,1037.697936,1013.915469,993.3719391
57115200.00000,1094.282885,1037.698116,1013.915493,993.3720079
57290400.00000,1094.282885,1037.698288,1013.915516,993.3720580
57465600.00000,1094.282885,1037.698451,1013.915540,993.3720989
57640800.00000,1094.282885,1037.698605,1013.915563,993.3721352
57816000.00000,1094.282885,1037.698753,1013.915581,993.3721658
57991200.00000,1094.282885,1037.698893,1013.915598,993.3719722
58166400.00000,1094.282885,1037.699027,1013.915616,993.3719906
58341600.00000,1094.282885,1037.699155,1013.915646,993.3720065
58516800.00000,1094.282885,1037.699277,1013.915751,993.3720325
58692000.00000,1094.282885,1037.699394,1013.915840,993.3720652
58867200.00000,1094.282885,1037.699507,1013.915924,993.3721031
59042400.00000,1094.282885,1037.699615,1013.916004,993.3721443
59217600.00000,1094.282885,1037.699718,1013.916081,993.3721877
59392800.00000,1094.282885,1037.699817,1013.916154,993.3722334
59568000.00000,1094.282885,1037.699912,1013.916223,993.3722808
59743200.00000,1094.282885,1037.700002,1013.916289,993.3723292
59918400.00000,1094.282885,1037.700088,1013.916352,993.3723769
60093600.00000,1094.282885,1037.700169,1013.916411,993.3724224
60268800.00000,1094.282885,1037.700245,1013.916467,993.3724652
60444000.00000,1094.282885,1037.700316,1013.916520,993.3725051
60619200.00000,1094.282885,1037.700384,1013.916571,993.3725422
60794400.00000,1094.282885,1037.700448,1013.916618,993.3725773
60969600.00000,1094.282885,1037.700509,1013.916663,993.3726091
61144800.00000,1094.282885,1037.700566,1013.916703,993.3726330
61320000.00000,1094.282885,1037.700620,1013.916736,993.3726471
61495200.00000,1094.282885,1037.700671,1013.916766,993.3726524
61670400.00000,1094.282885,1037.700720,1013.916796,993.3726510
61845600.00000,1094.282885,1037.700766,1013.916823,993.3726436
62020800.00000,1094.282885,1037.700809,1013.916849,993.3726309
62196000.00000,1094.282885,1037.700850,1013.916874,993.3726158
62371200.00000,1094.282885,1037.700890,1013.916897,993.3725994
62546400.00000,1094.282885,1037.700928,1013.916916,993.3725800
62721600.00000,1094.282885,1037.700964,1013.916931,993.3725576
62896800.00000,1094.282885,1037.700998,1013.916945,993.3725327
63072000.00000,1094.282885,1037.701030,1013.916958,993.3725057
