time,S01,S24,S29,S31
2628000.000000,1094.282885,1037.679708,1013.907731,993.3254570
2803200.000000,1094.282885,1037.679707,1013.907732,993.3298753
2978400.000000,1094.282885,1037.679707,1013.907733,993.3298749
3153600.000000,1094.282885,1037.679706,1013.907734,993.3298744
3328800.000000,1094.282885,1037.679705,1013.907735,993.3298737
3504000.000000,1094.282885,1037.679704,1013.907736,993.3298728
3679200.000000,1094.282885,1037.679703,1013.907736,993.3298718
3854400.000000,1094.282885,1037.679701,1013.907737,993.3298707
4029600.000000,1094.282885,1037.679699,1013.907737,993.3298694
4204800.000000,1094.282885,1037.679698,1013.907738,993.3298679
4380000.000000,1094.282885,1037.679696,1013.907738,993.3298663
4555200.000000,1094.282885,1037.679694,1013.907739,993.3300162
4730400.000000,1094.282885,1037.679691,1013.907739,993.3302148
4905600.000000,1094.282885,1037.679689,1013.907739,993.3303993
5080800.000000,1094.282885,1037.679687,1013.907739,993.3305710
5256000.000000,1094.282885,1037.679685,1013.907740,993.3307305
5431200.000000,1094.282885,1037.679682,1013.907740,993.3275373
5606400.000000,1094.282885,1037.679678,1013.907740,993.3276719
5781600.000000,1094.282885,1037.679674,1013.907739,993.3277702
5956800.000000,1094.282885,1037.679669,1013.907739,993.3277886
6132000.000000,1094.282885,1037.679663,1013.907739,993.3277719
6307200.000000,1094.282885,1037.679657,1013.907738,993.3277391
6482400.000000,1094.282885,1037.679651,1013.907737,993.3276983
6657600.000000,1094.282885,1037.679644,1013.907736,993.3276586
6832800.000000,1094.282885,1037.679637,1013.907736,993.3276199
7008000.000000,1094.282885,1037.679629,1013.907735,993.3275823
7183200.000000,1094.282885,1037.679620,1013.907734,993.3275456
7358400.000000,1094.282885,1037.679612,1013.907732,993.3275098
7533600.000000,1094.282885,1037.679603,1013.907731,993.3274749
7708800.000000,1094.282885,1037.679594,1013.907730,993.3274407
7884000.000000,1094.282885,1037.679584,1013.907728,993.3274073
8059200.000000,1094.282885,1037.679575,1013.907727,993.3284883
8234400.000000,1094.282885,1037.679565,1013.907725,993.3284562
8409600.000000,1094.282885,1037.679554,1013.907724,993.3284247
8584800.000000,1094.282885,1037.679544,1013.907722,993.3283938
8760000.000000,1094.282885,1037.679533,1013.907721,993.3283634
8935200.000000,1094.282885,1037.679522,1013.907719,993.3283628
9110400.000000,1094.282885,1037.679511,1013.907717,993.3283786
9285600.000000,1094.282885,1037.679500,1013.907715,993.3283922
9460800.000000,1094.282885,1037.679489,1013.907713,993.3284035
9636000.000000,1094.282885,1037.679477,1013.907711,993.3284128
9811200.000000,1094.282885,1037.679465,1013.907710,993.3284201
9986400.000000,1094.282885,1037.679454,1013.907708,993.3284256
10161600.00000,1094.282885,1037.679442,1013.907705,993.3284294
10336800.00000,1094.282885,1037.679430,1013.907703,993.3284316
10512000.00000,1094.282885,1037.679418,1013.907701,993.3284323
10687200.00000,1094.282885,1037.679405,1013.907699,993.3289860
10862400.00000,1094.282885,1037.679391,1013.907697,993.3289805
11037600.00000,1094.282885,1037.679377,1013.907694,993.3289729
11212800.00000,1094.282885,1037.679362,1013.907692,993.3289739
11388000.00000,1094.282885,1037.679347,1013.907689,993.3289871
11563200.00000,1094.282885,1037.679330,1013.907686,993.3289970
11738400.00000,1094.282885,1037.679314,1013.907683,993.3290038
11913600.00000,1094.282885,1037.679297,1013.907680,993.3290077
12088800.00000,1094.282885,1037.679279,1013.907677,993.3290089
12264000.00000,1094.282885,1037.679261,1013.907674,993.3290075
12439200.00000,1094.282885,1037.679243,1013.907670,993.3290037
12614400.00000,1094.282885,1037.679224,1013.907667,993.3289976
12789600.00000,1094.282885,1037.679205,1013.907663,993.3289895
12964800.00000,1094.282885,1037.679185,1013.907660,993.3289793
13140000.00000,1094.282885,1037.679165,1013.907656,993.3289672
13315200.00000,1094.282885,1037.679146,1013.907653,993.3306271
13490400.00000,1094.282885,1037.679128,1013.907649,993.3306185
13665600.00000,1094.282885,1037.679111,1013.907646,993.3306527
13840800.00000,1094.282885,1037.679095,1013.907643,993.3307231
14016000.00000,1094.282885,1037.679080,1013.907640,993.3307881
14191200.00000,1094.282885,1037.679066,1013.907637,993.3308479
