time,TALLAHATCHIE RIVER,YAZOO RIVER
1.000000000000,-87975.48887684118,-9948.509055864997
30.00377423524,-67626.09302409425,-6596.679773619864
73.50943558811,-56723.30135673394,-6096.861706461292
138.7679276174,-48367.83497262660,-5927.136011349503
236.6556656614,-40543.11736647258,-5802.490240073297
383.4872727273,-32250.56694434761,-5681.015252616722
603.7346833262,-22903.15503435027,-5543.897296613548
934.1057992245,-12446.60246194308,-5389.557092574891
1429.662473072,-1389.462157995207,-5232.738610527944
2172.997483843,10161.13990561360,-5083.863877556752
3288.000000000,22691.45929154191,-4936.286594109144
3301.876777251,21836.21729291978,-7419.704149298836
3322.691943128,21781.51703752154,-7817.445256545208
3353.914691943,22037.75910948738,-7836.515225086361
3400.748815166,22211.97816927367,-7801.705501612742
3471.000000000,22193.57025867749,-7768.686269002967
3484.876777251,742.7007855103002,-8750.877528960817
3505.691943128,-12478.19775432105,-9199.834412199445
3536.914691943,-22923.15462963044,-9466.575290067121
3583.748815166,-31993.56172175529,-9665.518165726680
3654.000000000,-40487.17895673512,-9840.895104869269
3667.876777251,-24633.14444165409,-8964.088824597653
3688.691943128,-15937.31335483896,-8542.429007592611
3719.914691943,-9946.156034671716,-8287.239039015491
3766.748815166,-5590.135432612093,-8099.571674799081
3837.000000000,-2373.614943468914,-7951.160726357717
3850.800947867,-16612.92624686868,-8515.772624991834
3871.502369668,-25383.55017454308,-8844.076479071286
3902.554502370,-32424.16499457367,-9073.535840216093
3949.132701422,-38653.98275780777,-9266.675867393147
4019.000000000,-44506.43909099523,-9442.375081436243
4032.876777251,-43365.62078953214,-9357.785279661883
4053.691943128,-43359.02198359121,-9272.182305376511
4084.914691943,-43868.18431592388,-9214.642641266342
4131.748815166,-44890.26132514188,-9175.473258952610
4202.000000000,-46581.40731590099,-9150.280215784907
4215.800947867,-64037.13459949403,-9738.720177012030
4236.502369668,-75171.84111902234,-10032.36542571802
4267.554502370,-84535.59613696502,-10219.83793727728
4314.132701422,-93246.65150049892,-10370.62362619536
4384.000000000,-101799.1682127723,-10511.25792616326
4397.876777251,-50551.76513833352,-8730.643927112222
4418.691943128,-20000.18199082815,-7823.156207245775
4449.914691943,3615.030833723635,-7250.873450399376
4496.748815166,23408.48641001630,-6814.643575980328
4567.000000000,40697.08194852482,-6437.647308163811
4580.800947867,20824.14562051556,-7239.442083361093
4601.502369668,10400.60829956390,-7745.004366639536
4632.554502370,3373.918878988203,-8076.755419464782
4679.132701422,-1556.211085801056,-8323.486596111674
4749.000000000,-4857.679036752335,-8524.514702914283
4762.876777251,12524.57684382160,-8023.752541098744
4783.691943128,23121.89873804913,-7617.065391849726
4814.914691943,31979.80908826659,-7312.996741101611
4861.748815166,40436.96359430703,-7047.297400902025
4932.000000000,49114.09248324222,-6783.877174547408
4945.876777251,16776.62027481495,-7796.468939809129
4966.691943128,-1943.629634660232,-8378.166799104307
4997.914691943,-16061.81749307828,-8747.333125012461
5044.748815166,-27655.58725010407,-9025.860153552145
5115.000000000,-37508.00223775137,-9269.314886627719
5128.876777251,-7572.093955075223,-8175.836310103070
5149.691943128,10036.70146701722,-7599.702546680346
5180.914691943,23787.89301721446,-7215.681349607650
5227.748815166,35582.79409192348,-6901.609189259354
5298.000000000,46163.93963845950,-6614.933558977675
5311.800947867,3420.809559056841,-8219.993559889961
5332.502369668,-21849.59095863614,-8976.113330912311
5363.554502370,-41348.70625494496,-9436.813692503609
5410.132701422,-57585.33968173883,-9786.448010439985
5480.000000000,-71451.72847572973,-10089.38462247141
5493.876777251,-40394.91642320232,-9033.135733780451
5514.691943128,-22682.68712675384,-8548.258765877690
5545.914691943,-9845.471612991183,-8282.498111620080
5592.748815166,-39.03317700927437,-8105.182727769949
5663.000000000,7453.724691724361,-7962.246279543731
5676.800947867,-6979.366748857225,-8519.369552233722
5697.502369668,-15536.73875454204,-8839.297989190556
5728.554502370,-22163.91855864572,-9048.583162713796
5775.132701422,-27754.40377203429,-9216.882068882231
5845.000000000,-32668.25580764160,-9374.325237453450
5858.876777251,-19140.43320114275,-8748.201727936976
5879.691943128,-11393.73245458417,-8404.403494110797
5910.914691943,-5590.726703298948,-8182.098202444147
5957.748815166,-783.5780137697875,-8011.698244144674
6028.000000000,3434.578508284379,-7864.818417639937
6041.800947867,-22950.13122288178,-8691.986021520570
6062.502369668,-38793.03440756412,-9129.893730500713
6093.554502370,-51118.38900744598,-9413.458876217715
6140.132701422,-61614.76994841358,-9634.305926632136
6210.000000000,-71021.27392686914,-9830.763499491848
6223.876777251,-40192.24758054610,-8873.296672759578
6244.691943128,-22291.89190030587,-8380.224208423868
6275.914691943,-8954.628942125535,-8076.449952941854
6322.748815166,1706.138253761106,-7856.033328141551
6393.000000000,10460.00361934674,-7672.647099337541
