#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -1176.37 wel_58514
1 27 5 -959.338 wel_58515
1 27 6 -1722.55 wel_58516
1 27 8 -4919.89 wel_58517
1 27 9 -5658.76 wel_58518
1 27 11 -1831.14 wel_58519
1 27 13 -1142.28 wel_58520
1 27 14 -833.095 wel_58521
13 27 16 -163.954 wel_58522
4 27 18 -822.736 wel_58523
13 27 19 -474.843 wel_58524
4 27 21 -234.032 wel_58525
13 27 24 -190.613 wel_58527
13 27 26 -2361.94 wel_58528
4 27 27 -1990.52 wel_58529
4 27 29 -679.198 wel_58530
4 27 30 -1186.68 wel_58531
1 26 3 -1180.29 wel_58908
1 26 5 -1862.75 wel_58909
1 26 6 -7713.56 wel_58910
1 26 8 -4996.69 wel_58911
1 26 9 -6051.98 wel_58912
1 26 11 -3261.45 wel_58913
1 26 13 -1651.97 wel_58914
13 26 14 -724.537 wel_58915
13 26 16 -736.635 wel_58916
4 26 18 -543.952 wel_58917
13 26 19 -667.204 wel_58918
13 26 21 -166.801 wel_58919
13 26 22 -166.801 wel_58920
13 26 24 -195.786 wel_58921
13 26 26 -760.286 wel_58922
13 26 27 -1724.85 wel_58923
13 26 29 -604.899 wel_58924
13 26 30 -28.436 wel_58925
1 24 3 -1351.2 wel_59302
1 24 5 -3525.89 wel_59303
1 24 6 -3942.17 wel_59304
1 24 8 -4384.21 wel_59305
1 24 9 -8609.48 wel_59306
1 24 11 -2019.34 wel_59307
1 24 13 -699.552 wel_59308
4 24 14 -1763.71 wel_59309
4 24 16 -2571.95 wel_59310
13 24 18 -555.044 wel_59311
13 24 19 -43.549 wel_59312
13 24 21 -223.673 wel_59313
13 24 22 -284.36 wel_59314
13 24 24 -135.649 wel_59315
13 24 26 -142.18 wel_59316
4 24 27 -1661.39 wel_59317
13 24 29 -500.143 wel_59318
13 24 30 -1206.34 wel_59319
1 23 3 -1169.61 wel_59696
1 23 5 -656.003 wel_59697
1 23 6 -5691.25 wel_59698
1 23 8 -5904.03 wel_59699
1 23 9 -2578.27 wel_59700
1 23 11 -7450.44 wel_59701
9 23 13 -6865.43 wel_59702
4 23 14 -4774.45 wel_59703
4 23 16 -6110.18 wel_59704
4 23 18 -4593.51 wel_59705
4 23 19 -1000.14 wel_59706
13 23 26 -451.71 wel_59710
13 23 27 -280.545 wel_59711
13 23 29 -637.7 wel_59712
13 23 30 -1247.92 wel_59713
13 23 32 -454.976 wel_59714
1 21 3 -1798.38 wel_60090
1 21 5 -3982.13 wel_60091
1 21 6 -4402.67 wel_60092
1 21 8 -1530.99 wel_60093
1 21 9 -3015.63 wel_60094
1 21 11 -1166.93 wel_60095
4 21 13 -3051.54 wel_60096
4 21 14 -2950.6 wel_60097
4 21 16 -4899.71 wel_60098
4 21 18 -3115.67 wel_60099
4 21 19 -4367.5 wel_60100
13 21 30 -284.36 wel_60107
13 21 32 -1160.15 wel_60108
1 19 3 -2569.12 wel_60484
1 19 5 -9305.69 wel_60485
1 19 6 -3115.47 wel_60486
1 19 8 -3736.02 wel_60487
1 19 9 -6378.66 wel_60488
4 19 11 -3767.38 wel_60489
4 19 13 -4270.75 wel_60490
4 19 14 -2597.55 wel_60491
13 19 16 -3249.74 wel_60492
13 19 18 -525.64 wel_60493
13 19 19 -1627.44 wel_60494
13 19 21 -2096.63 wel_60495
13 19 22 -83.4004 wel_60496
13 19 24 -333.602 wel_60497
13 19 26 -83.4004 wel_60498
13 19 30 -85.3079 wel_60501
4 19 32 -417.002 wel_60502
1 18 3 -5136.92 wel_60878
1 18 5 -10661.8 wel_60879
1 18 6 -3117.2 wel_60880
1 18 8 -4559.33 wel_60881
1 18 9 -2561.21 wel_60882
4 18 11 -3850.71 wel_60883
4 18 13 -4588.83 wel_60884
4 18 14 -683.676 wel_60885
4 18 16 -1288.98 wel_60886
4 18 18 -1779.62 wel_60887
13 18 19 -536.064 wel_60888
13 18 21 -643.277 wel_60889
13 18 22 -321.638 wel_60890
13 18 24 -548.027 wel_60891
1 16 3 -3959.98 wel_61272
1 16 5 -5474.53 wel_61273
1 16 6 -6316.84 wel_61274
1 16 8 -4402.74 wel_61275
4 16 9 -4444.9 wel_61276
4 16 11 -1706.16 wel_61277
13 16 13 -625.591 wel_61278
4 16 14 -1084.21 wel_61279
4 16 16 -5254.23 wel_61280
13 16 18 -561.09 wel_61281
13 16 19 -398.104 wel_61282
13 16 21 -2050.11 wel_61283
4 16 22 -1904.66 wel_61284
13 16 24 -328.169 wel_61285
1 15 3 -6772.58 wel_61666
1 15 5 -6761.06 wel_61667
1 15 6 -6888.53 wel_61668
1 15 8 -4607.4 wel_61669
4 15 9 -3535.65 wel_61670
4 15 11 -1342.62 wel_61671
4 15 13 -344.812 wel_61672
6 15 14 -426.54 wel_61673
4 15 16 -1039.63 wel_61674
13 15 18 -299.733 wel_61675
13 15 19 -485.723 wel_61676
13 15 21 -1131.72 wel_61677
4 15 22 -1543.29 wel_61678
13 15 24 -296.468 wel_61679
1 13 3 -2642.96 wel_62060
1 13 5 -8261.36 wel_62061
1 13 6 -3335.9 wel_62062
4 13 8 -3562.43 wel_62063
13 13 9 -1296 wel_62064
13 13 11 -174.196 wel_62065
4 13 13 -757.052 wel_62066
13 13 14 -331.435 wel_62067
13 13 16 -1700.98 wel_62068
4 13 18 -277.829 wel_62069
4 13 19 -2262.07 wel_62070
4 13 21 -3055.56 wel_62071
13 13 22 -1530.77 wel_62072
13 13 24 -53.6064 wel_62073
1 11 3 -2055.29 wel_62454
1 11 5 -7900.54 wel_62455
1 11 6 -4389.71 wel_62456
4 11 8 -4304.07 wel_62457
4 11 9 -1916.53 wel_62458
4 11 11 -1379.96 wel_62459
4 11 13 -574.415 wel_62460
13 11 14 -135.649 wel_62461
4 11 16 -107.082 wel_62462
13 11 18 -142.18 wel_62463
13 11 19 -1483.35 wel_62464
4 11 21 -3326.6 wel_62465
13 11 22 -1529.41 wel_62466
1 10 3 -9715.91 wel_62848
1 10 5 -4264.58 wel_62849
1 10 6 -1880.85 wel_62850
4 10 8 -2419.77 wel_62851
13 10 9 -3168.78 wel_62852
4 10 11 -321.638 wel_62853
13 10 13 -990.388 wel_62854
13 10 14 -2473.93 wel_62855
13 10 16 -1848.34 wel_62856
13 10 18 -393.232 wel_62857
13 10 19 -539.123 wel_62858
4 10 21 -550.916 wel_62859
1 8 3 -3256.68 wel_63242
1 8 5 -1040.38 wel_63243
1 8 6 -4592.38 wel_63244
13 8 8 -1596.08 wel_63245
13 8 9 -1241.39 wel_63246
4 8 11 -329.829 wel_63247
4 8 13 -1273.09 wel_63248
4 8 14 -1057.71 wel_63249
13 8 16 -284.36 wel_63250
13 8 18 -327.909 wel_63251
13 8 19 -555.396 wel_63252
1 7 3 -2379.63 wel_63636
1 7 5 -847.425 wel_63637
1 7 6 -7916.91 wel_63638
4 7 8 -1272.13 wel_63639
4 7 9 -2180.18 wel_63640
4 7 11 -868.453 wel_63641
13 7 13 -761.24 wel_63642
13 7 14 -284.36 wel_63643
1 5 3 -3683.47 wel_64030
1 5 5 -2235.52 wel_64031
1 5 6 -3308.07 wel_64032
13 5 8 -3006.79 wel_64033
13 5 9 -2971.21 wel_64034
13 5 11 -3604.69 wel_64035
13 5 13 -1073.08 wel_64036
2 3 3 -1547.47 wel_64424
13 3 5 -1076.75 wel_64425
13 3 6 -1962.49 wel_64426
13 3 8 -4198.23 wel_64427
4 3 9 -1909.57 wel_64428
4 3 11 -1636.46 wel_64429
13 3 13 -800.102 wel_64430
4 3 19 -594.573 wel_64434
4 3 21 -936.303 wel_64435
4 3 22 -773.924 wel_64436
1 2 3 -2780.65 wel_64818
2 2 5 -366.402 wel_64819
13 2 6 -621.372 wel_64820
13 2 8 -2088.96 wel_64821
4 2 9 -2270.66 wel_64822
13 2 11 -2355.97 wel_64823
13 2 13 -1066.55 wel_64824
4 2 19 -2303.18 wel_64828
4 2 21 -2315.8 wel_64829
4 2 22 -989.564 wel_64830
4 2 24 -1255.19 wel_64831
4 2 26 -143.037 wel_64832
4 2 29 -43.549 wel_64834
13 2 32 -166.801 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
