#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -4133.88 wel_58514
1 27 5 -2230.65 wel_58515
1 27 6 -2005.88 wel_58516
1 27 8 -3202.32 wel_58517
1 27 9 -10986.6 wel_58518
1 27 11 -5134.17 wel_58519
1 27 13 -2188.06 wel_58520
1 27 14 -1272.96 wel_58521
13 27 16 -304.708 wel_58522
4 27 18 -1589.68 wel_58523
13 27 19 -752.896 wel_58524
4 27 21 -428.325 wel_58525
13 27 24 -128.054 wel_58527
13 27 26 -3079.12 wel_58528
4 27 27 -5358.25 wel_58529
4 27 29 -1198.97 wel_58530
4 27 30 -1622.34 wel_58531
13 27 32 -281.211 wel_58532
1 26 3 -1305.94 wel_58908
1 26 5 -1916.57 wel_58909
1 26 6 -5873.77 wel_58910
1 26 8 -6187.96 wel_58911
1 26 9 -4733.16 wel_58912
1 26 11 -5677.11 wel_58913
1 26 13 -2505.95 wel_58914
13 26 14 -1450.64 wel_58915
13 26 16 -1920.81 wel_58916
4 26 18 -188.447 wel_58917
13 26 19 -422.754 wel_58918
13 26 24 -309.144 wel_58921
13 26 26 -1042.18 wel_58922
13 26 27 -4091.17 wel_58923
13 26 29 -385.768 wel_58924
13 26 30 -285.737 wel_58925
1 24 3 -3073.58 wel_59302
1 24 5 -4596.91 wel_59303
1 24 6 -8465.46 wel_59304
1 24 8 -6952.74 wel_59305
1 24 9 -3950.09 wel_59306
1 24 11 -4181.96 wel_59307
1 24 13 -787.374 wel_59308
4 24 14 -2600.52 wel_59309
4 24 16 -4696.39 wel_59310
13 24 18 -389.202 wel_59311
13 24 19 -315.535 wel_59312
13 24 21 -88.3269 wel_59313
13 24 22 -561.618 wel_59314
13 24 24 -812.486 wel_59315
13 24 26 -220.817 wel_59316
4 24 27 -2938.89 wel_59317
13 24 29 -525.525 wel_59318
13 24 30 -2262.35 wel_59319
13 24 32 -181.18 wel_59320
1 23 3 -946.89 wel_59696
1 23 5 -2562.76 wel_59697
1 23 6 -6691.71 wel_59698
1 23 8 -6566.38 wel_59699
1 23 9 -3923.46 wel_59700
1 23 11 -5062.01 wel_59701
9 23 13 -5820.12 wel_59702
4 23 14 -3460.83 wel_59703
4 23 16 -6653.49 wel_59704
4 23 18 -3523.8 wel_59705
4 23 19 -1385.6 wel_59706
13 23 26 -706.616 wel_59710
13 23 27 -176.654 wel_59711
13 23 29 -883.269 wel_59712
13 23 30 -1987.36 wel_59713
13 23 32 -1104.09 wel_59714
1 21 3 -4769.68 wel_60090
1 21 5 -6638.44 wel_60091
1 21 6 -5621.28 wel_60092
1 21 8 -3981.53 wel_60093
1 21 9 -7092.47 wel_60094
1 21 11 -883.269 wel_60095
4 21 13 -6196.63 wel_60096
4 21 14 -6368.41 wel_60097
4 21 16 -9160.64 wel_60098
4 21 18 -4203.73 wel_60099
4 21 19 -4808.8 wel_60100
13 21 30 -502.028 wel_60107
13 21 32 -1743.13 wel_60108
1 19 3 -4141.12 wel_60484
1 19 5 -3003.12 wel_60485
1 19 6 -7246.63 wel_60486
1 19 8 -2828.58 wel_60487
1 19 9 -2159.57 wel_60488
4 19 11 -3482.62 wel_60489
4 19 13 -6082.17 wel_60490
4 19 14 -2773.48 wel_60491
13 19 16 -2590.17 wel_60492
13 19 18 -973.8 wel_60493
13 19 19 -1685.75 wel_60494
13 19 21 -2176.91 wel_60495
13 19 24 -241.574 wel_60497
13 19 26 -181.18 wel_60498
13 19 27 -60.3934 wel_60499
13 19 30 -132.49 wel_60501
4 19 32 -301.967 wel_60502
1 18 3 -10150.1 wel_60878
1 18 5 -5639.06 wel_60879
1 18 6 -6156.41 wel_60880
1 18 8 -3624.71 wel_60881
1 18 9 -5939.54 wel_60882
4 18 11 -2365.25 wel_60883
4 18 13 -2869.29 wel_60884
4 18 14 -731.095 wel_60885
4 18 16 -1217.7 wel_60886
4 18 18 -2365.56 wel_60887
13 18 19 -1088.46 wel_60888
13 18 21 -768.323 wel_60889
13 18 22 -384.161 wel_60890
13 18 24 -627.649 wel_60891
13 18 30 -120.787 wel_60895
1 16 3 -8224.78 wel_61272
1 16 5 -9647.87 wel_61273
1 16 6 -6986.24 wel_61274
1 16 8 -11366.5 wel_61275
4 16 9 -5907.78 wel_61276
4 16 11 -5081.47 wel_61277
13 16 13 -1258.56 wel_61278
4 16 14 -483.147 wel_61279
4 16 16 -3753.57 wel_61280
13 16 18 -493.958 wel_61281
13 16 19 -960.404 wel_61282
13 16 21 -2945.24 wel_61283
4 16 22 -2304.97 wel_61284
13 16 24 -512.215 wel_61285
13 16 26 -120.787 wel_61286
13 16 27 -264.981 wel_61287
13 16 29 -120.787 wel_61288
1 15 3 -5702.16 wel_61666
1 15 5 -5570.92 wel_61667
1 15 6 -4376.42 wel_61668
1 15 8 -6004.95 wel_61669
4 15 9 -3218.16 wel_61670
4 15 11 -2535.06 wel_61671
4 15 13 -564.272 wel_61672
6 15 14 -662.452 wel_61673
4 15 16 -1247.57 wel_61674
13 15 18 -388.598 wel_61675
13 15 19 -600.542 wel_61676
13 15 21 -1280.54 wel_61677
4 15 22 -1909.91 wel_61678
13 15 24 -364.298 wel_61679
13 15 26 -362.361 wel_61680
8 15 27 -120.787 wel_61681
8 15 32 -60.3934 wel_61684
1 13 3 -5731.19 wel_62060
1 13 5 -6668.71 wel_62061
1 13 6 -4873.67 wel_62062
4 13 8 -5675.34 wel_62063
13 13 9 -803.08 wel_62064
13 13 11 -512.215 wel_62065
4 13 13 -2137.19 wel_62066
13 13 14 -576.242 wel_62067
13 13 16 -2733.29 wel_62068
4 13 18 -472.488 wel_62069
4 13 19 -2362.44 wel_62070
4 13 21 -3450.9 wel_62071
13 13 22 -1900.94 wel_62072
13 13 24 -124.42 wel_62073
13 13 26 -60.3934 wel_62074
13 13 27 -60.3934 wel_62075
13 13 29 -543.541 wel_62076
13 13 30 -301.967 wel_62077
13 13 32 -362.361 wel_62078
1 11 3 -2227.11 wel_62454
1 11 5 -5734.96 wel_62455
1 11 6 -2154.73 wel_62456
4 11 8 -2921.14 wel_62457
4 11 9 -2068.44 wel_62458
4 11 11 -1678.21 wel_62459
4 11 13 -768.726 wel_62460
13 11 14 -192.081 wel_62461
4 11 16 -176.654 wel_62462
13 11 18 -300.271 wel_62463
13 11 19 -2791.21 wel_62464
4 11 21 -4314.1 wel_62465
13 11 22 -1856.78 wel_62466
13 11 26 -120.787 wel_62468
13 11 29 -724.721 wel_62470
1 10 3 -4632.41 wel_62848
1 10 5 -7298.36 wel_62849
1 10 6 -3921.93 wel_62850
4 10 8 -3739.86 wel_62851
13 10 9 -2892.61 wel_62852
4 10 11 -432.762 wel_62853
13 10 13 -1728.89 wel_62854
13 10 14 -4063.04 wel_62855
13 10 16 -2826.46 wel_62856
13 10 18 -761.769 wel_62857
13 10 19 -834.827 wel_62858
4 10 21 -848.67 wel_62859
13 10 24 -60.3934 wel_62861
13 10 26 -120.787 wel_62862
13 10 29 -120.787 wel_62864
1 8 3 -8647.45 wel_63242
1 8 5 -1841.93 wel_63243
1 8 6 -6624.52 wel_63244
13 8 8 -2685.19 wel_63245
13 8 9 -1894.59 wel_63246
4 8 11 -460.072 wel_63247
4 8 13 -2075.68 wel_63248
4 8 14 -1369.07 wel_63249
13 8 16 -441.635 wel_63250
13 8 18 -529.962 wel_63251
13 8 19 -883.269 wel_63252
13 8 24 -60.3934 wel_63255
1 7 3 -3114.73 wel_63636
1 7 5 -389.903 wel_63637
1 7 6 -7758.93 wel_63638
4 7 8 -1969.61 wel_63639
4 7 9 -2340.66 wel_63640
4 7 11 -1512.55 wel_63641
13 7 13 -1236.58 wel_63642
13 7 14 -441.635 wel_63643
13 7 19 -543.541 wel_63646
13 7 22 -120.787 wel_63648
13 7 26 -241.574 wel_63650
8 7 30 -60.3934 wel_63653
1 5 3 -4835.19 wel_64030
1 5 5 -1192.41 wel_64031
1 5 6 -2932.08 wel_64032
13 5 8 -2581.34 wel_64033
13 5 9 -2956.63 wel_64034
13 5 11 -3510.89 wel_64035
13 5 13 -1280.74 wel_64036
13 5 24 -181.18 wel_64043
2 3 3 -895.242 wel_64424
13 3 5 -1620.74 wel_64425
13 3 6 -2662.71 wel_64426
13 3 8 -4061.79 wel_64427
4 3 9 -2576.91 wel_64428
4 3 11 -2895.13 wel_64429
13 3 13 -1719.28 wel_64430
4 3 19 -1236.58 wel_64434
4 3 21 -1756.69 wel_64435
4 3 22 -690.252 wel_64436
1 2 3 -104.557 wel_64818
2 2 5 -618.289 wel_64819
13 2 6 -593.989 wel_64820
13 2 8 -2548.87 wel_64821
4 2 9 -3656.49 wel_64822
13 2 11 -4091.37 wel_64823
13 2 13 -1340.33 wel_64824
4 2 19 -2790.39 wel_64828
4 2 21 -3673.66 wel_64829
4 2 22 -1148.25 wel_64830
4 2 24 -1413.23 wel_64831
4 2 26 -176.654 wel_64832
4 2 29 -88.3269 wel_64834
13 2 32 -120.787 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
