#k i j head boundname
5 5 25 295.049 perimeter-heads
5 6 25 294.351 perimeter-heads
5 7 25 293.59 perimeter-heads
5 8 25 292.786 perimeter-heads
5 9 25 292.003 perimeter-heads
5 10 25 291.295 perimeter-heads
5 11 25 290.7 perimeter-heads
5 12 25 290.241 perimeter-heads
5 13 25 289.936 perimeter-heads
5 14 25 289.686 perimeter-heads
5 15 25 289.441 perimeter-heads
5 16 25 289.186 perimeter-heads
5 17 25 288.926 perimeter-heads
5 18 25 288.657 perimeter-heads
5 19 25 288.385 perimeter-heads
5 20 25 288.09 perimeter-heads
5 21 25 287.755 perimeter-heads
5 22 25 287.39 perimeter-heads
5 23 25 286.994 perimeter-heads
5 24 25 286.58 perimeter-heads
5 25 25 286.181 perimeter-heads
5 1 1 312.556 perimeter-heads
5 2 1 312.301 perimeter-heads
5 3 1 312.04 perimeter-heads
5 4 1 311.792 perimeter-heads
5 5 1 311.552 perimeter-heads
5 6 1 311.299 perimeter-heads
5 7 1 311.033 perimeter-heads
5 8 1 310.748 perimeter-heads
5 9 1 310.446 perimeter-heads
5 10 1 310.133 perimeter-heads
5 11 1 309.818 perimeter-heads
5 12 1 309.501 perimeter-heads
5 13 1 309.182 perimeter-heads
5 14 1 308.863 perimeter-heads
5 15 1 308.544 perimeter-heads
5 16 1 308.231 perimeter-heads
5 17 1 307.927 perimeter-heads
5 18 1 307.588 perimeter-heads
5 19 1 307.248 perimeter-heads
5 20 1 306.889 perimeter-heads
5 21 1 306.507 perimeter-heads
5 22 1 306.102 perimeter-heads
5 23 1 305.676 perimeter-heads
5 24 1 305.232 perimeter-heads
5 25 1 304.774 perimeter-heads
5 25 2 304.193 perimeter-heads
5 25 3 303.576 perimeter-heads
5 25 4 302.922 perimeter-heads
5 25 5 302.229 perimeter-heads
5 25 6 301.49 perimeter-heads
5 25 7 300.7 perimeter-heads
5 25 8 299.845 perimeter-heads
5 25 9 298.99 perimeter-heads
5 25 10 298.105 perimeter-heads
5 25 11 297.194 perimeter-heads
5 25 12 296.28 perimeter-heads
5 25 13 295.364 perimeter-heads
5 25 14 294.425 perimeter-heads
5 25 15 293.478 perimeter-heads
5 25 16 292.526 perimeter-heads
5 25 17 291.59 perimeter-heads
5 25 18 290.689 perimeter-heads
5 25 19 289.827 perimeter-heads
5 25 20 289.146 perimeter-heads
5 25 21 288.5 perimeter-heads
5 25 22 287.89 perimeter-heads
5 25 23 287.293 perimeter-heads
5 25 24 286.728 perimeter-heads
5 1 2 312.267 perimeter-heads
5 1 3 312.012 perimeter-heads
5 1 4 311.746 perimeter-heads
5 1 5 311.45 perimeter-heads
5 1 6 311.112 perimeter-heads
5 1 7 310.729 perimeter-heads
5 1 8 310.293 perimeter-heads
5 1 9 309.801 perimeter-heads
5 1 10 309.26 perimeter-heads
5 1 11 308.678 perimeter-heads
5 1 12 308.046 perimeter-heads
5 1 13 307.348 perimeter-heads
5 1 14 306.572 perimeter-heads
5 1 15 305.743 perimeter-heads
5 1 16 304.878 perimeter-heads
5 1 17 303.982 perimeter-heads
5 1 18 303.071 perimeter-heads
5 1 19 302.173 perimeter-heads
5 1 20 301.351 perimeter-heads
5 1 21 300.583 perimeter-heads
5 1 22 299.844 perimeter-heads
5 1 23 299.132 perimeter-heads
5 1 24 298.429 perimeter-heads
