#k i j head boundname
1 11 25 290.671 perimeter-heads
1 12 25 290.115 perimeter-heads
1 13 25 289.997 perimeter-heads
1 18 25 288.761 perimeter-heads
1 25 23 287.041 perimeter-heads
2 1 25 298.115 perimeter-heads
2 2 25 297.461 perimeter-heads
2 3 25 296.66 perimeter-heads
2 4 25 296.011 perimeter-heads
2 5 25 295.411 perimeter-heads
2 6 25 294.769 perimeter-heads
2 7 25 293.949 perimeter-heads
2 8 25 292.952 perimeter-heads
2 9 25 292.069 perimeter-heads
2 10 25 291.299 perimeter-heads
2 11 25 290.679 perimeter-heads
2 12 25 290.146 perimeter-heads
2 13 25 290.004 perimeter-heads
2 14 25 289.84 perimeter-heads
2 15 25 289.639 perimeter-heads
2 16 25 289.388 perimeter-heads
2 17 25 289.09 perimeter-heads
2 18 25 288.766 perimeter-heads
2 19 25 288.512 perimeter-heads
2 21 25 287.941 perimeter-heads
2 24 25 286.649 perimeter-heads
2 25 25 286.14 perimeter-heads
2 25 19 289.263 perimeter-heads
2 25 21 288.061 perimeter-heads
2 25 22 287.584 perimeter-heads
2 25 23 287.043 perimeter-heads
2 1 18 303.244 perimeter-heads
2 1 19 302.227 perimeter-heads
2 1 20 301.516 perimeter-heads
2 1 21 300.822 perimeter-heads
2 1 22 300.104 perimeter-heads
2 1 23 299.458 perimeter-heads
2 1 24 298.757 perimeter-heads
3 1 25 298.101 perimeter-heads
3 2 25 297.441 perimeter-heads
3 3 25 296.67 perimeter-heads
3 4 25 296.014 perimeter-heads
3 5 25 295.402 perimeter-heads
3 6 25 294.746 perimeter-heads
3 7 25 293.925 perimeter-heads
3 8 25 292.956 perimeter-heads
3 9 25 292.09 perimeter-heads
3 10 25 291.328 perimeter-heads
3 11 25 290.694 perimeter-heads
3 12 25 290.208 perimeter-heads
3 13 25 290.019 perimeter-heads
3 14 25 289.832 perimeter-heads
3 15 25 289.618 perimeter-heads
3 16 25 289.372 perimeter-heads
3 17 25 289.084 perimeter-heads
3 18 25 288.774 perimeter-heads
3 19 25 288.517 perimeter-heads
3 20 25 288.291 perimeter-heads
3 21 25 287.94 perimeter-heads
3 22 25 287.577 perimeter-heads
3 23 25 287.154 perimeter-heads
3 24 25 286.652 perimeter-heads
3 25 25 286.153 perimeter-heads
3 1 1 313.247 perimeter-heads
3 2 1 312.984 perimeter-heads
3 3 1 312.534 perimeter-heads
3 4 1 312.344 perimeter-heads
3 5 1 312.116 perimeter-heads
3 6 1 311.897 perimeter-heads
3 7 1 311.668 perimeter-heads
3 8 1 311.403 perimeter-heads
3 25 18 290.686 perimeter-heads
3 25 19 289.264 perimeter-heads
3 25 20 288.669 perimeter-heads
3 25 21 288.063 perimeter-heads
3 25 22 287.584 perimeter-heads
3 25 23 287.05 perimeter-heads
3 25 24 286.615 perimeter-heads
3 1 2 312.79 perimeter-heads
3 1 3 312.491 perimeter-heads
3 1 4 312.175 perimeter-heads
3 1 5 311.832 perimeter-heads
3 1 6 311.485 perimeter-heads
3 1 7 311.093 perimeter-heads
3 1 8 310.653 perimeter-heads
3 1 9 310.131 perimeter-heads
3 1 10 309.561 perimeter-heads
3 1 11 308.985 perimeter-heads
3 1 12 308.372 perimeter-heads
3 1 13 307.68 perimeter-heads
3 1 14 306.852 perimeter-heads
3 1 15 305.977 perimeter-heads
3 1 16 305.086 perimeter-heads
3 1 17 304.198 perimeter-heads
3 1 18 303.243 perimeter-heads
3 1 19 302.268 perimeter-heads
3 1 20 301.531 perimeter-heads
3 1 21 300.826 perimeter-heads
3 1 22 300.109 perimeter-heads
3 1 23 299.449 perimeter-heads
3 1 24 298.756 perimeter-heads
4 1 25 298.086 perimeter-heads
4 2 25 297.422 perimeter-heads
4 3 25 296.68 perimeter-heads
4 4 25 296.018 perimeter-heads
4 5 25 295.393 perimeter-heads
4 6 25 294.722 perimeter-heads
4 7 25 293.903 perimeter-heads
4 8 25 292.96 perimeter-heads
4 9 25 292.116 perimeter-heads
4 10 25 291.364 perimeter-heads
4 11 25 290.725 perimeter-heads
4 12 25 290.281 perimeter-heads
4 13 25 290.045 perimeter-heads
4 14 25 289.833 perimeter-heads
4 15 25 289.607 perimeter-heads
4 16 25 289.362 perimeter-heads
4 17 25 289.084 perimeter-heads
4 18 25 288.785 perimeter-heads
4 19 25 288.523 perimeter-heads
4 20 25 288.272 perimeter-heads
4 21 25 287.932 perimeter-heads
4 22 25 287.571 perimeter-heads
4 23 25 287.148 perimeter-heads
4 24 25 286.656 perimeter-heads
4 25 25 286.168 perimeter-heads
4 1 1 313.194 perimeter-heads
4 2 1 312.89 perimeter-heads
4 3 1 312.475 perimeter-heads
4 4 1 312.315 perimeter-heads
4 5 1 312.089 perimeter-heads
4 6 1 311.873 perimeter-heads
4 7 1 311.649 perimeter-heads
4 8 1 311.385 perimeter-heads
4 9 1 311.079 perimeter-heads
4 10 1 310.784 perimeter-heads
4 11 1 310.496 perimeter-heads
4 12 1 310.185 perimeter-heads
4 13 1 309.861 perimeter-heads
4 14 1 309.517 perimeter-heads
4 15 1 309.149 perimeter-heads
4 25 13 295.528 perimeter-heads
4 25 14 294.547 perimeter-heads
4 25 15 293.64 perimeter-heads
4 25 16 292.723 perimeter-heads
4 25 17 291.788 perimeter-heads
4 25 18 290.684 perimeter-heads
4 25 19 289.264 perimeter-heads
4 25 20 288.677 perimeter-heads
4 25 21 288.075 perimeter-heads
4 25 22 287.596 perimeter-heads
4 25 23 287.066 perimeter-heads
4 25 24 286.635 perimeter-heads
4 1 2 312.744 perimeter-heads
4 1 3 312.474 perimeter-heads
4 1 4 312.158 perimeter-heads
4 1 5 311.819 perimeter-heads
4 1 6 311.469 perimeter-heads
4 1 7 311.08 perimeter-heads
4 1 8 310.644 perimeter-heads
4 1 9 310.121 perimeter-heads
4 1 10 309.547 perimeter-heads
4 1 11 308.973 perimeter-heads
4 1 12 308.363 perimeter-heads
4 1 13 307.676 perimeter-heads
4 1 14 306.846 perimeter-heads
4 1 15 305.968 perimeter-heads
4 1 16 305.079 perimeter-heads
4 1 17 304.192 perimeter-heads
4 1 18 303.247 perimeter-heads
4 1 19 302.311 perimeter-heads
4 1 20 301.549 perimeter-heads
4 1 21 300.832 perimeter-heads
4 1 22 300.114 perimeter-heads
4 1 23 299.438 perimeter-heads
4 1 24 298.754 perimeter-heads
5 1 25 298.057 perimeter-heads
5 2 25 297.395 perimeter-heads
5 3 25 296.704 perimeter-heads
5 4 25 296.025 perimeter-heads
5 5 25 295.349 perimeter-heads
5 6 25 294.637 perimeter-heads
5 7 25 293.86 perimeter-heads
5 8 25 293.039 perimeter-heads
5 9 25 292.237 perimeter-heads
5 10 25 291.509 perimeter-heads
5 11 25 290.893 perimeter-heads
5 12 25 290.419 perimeter-heads
5 13 25 290.115 perimeter-heads
5 14 25 289.868 perimeter-heads
5 15 25 289.624 perimeter-heads
5 16 25 289.368 perimeter-heads
5 17 25 289.106 perimeter-heads
5 18 25 288.834 perimeter-heads
5 19 25 288.559 perimeter-heads
5 20 25 288.262 perimeter-heads
5 21 25 287.925 perimeter-heads
5 22 25 287.557 perimeter-heads
5 23 25 287.156 perimeter-heads
5 24 25 286.735 perimeter-heads
5 25 25 286.332 perimeter-heads
5 1 1 313.192 perimeter-heads
5 2 1 312.922 perimeter-heads
5 3 1 312.641 perimeter-heads
5 4 1 312.38 perimeter-heads
5 5 1 312.135 perimeter-heads
5 6 1 311.88 perimeter-heads
5 7 1 311.614 perimeter-heads
