#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -12027.1 wel_58514
1 27 5 -3947.26 wel_58515
1 27 6 -4001.67 wel_58516
1 27 8 -4111.33 wel_58517
1 27 9 -7912.2 wel_58518
1 27 11 -3521.21 wel_58519
1 27 13 -3141.3 wel_58520
1 27 14 -595.867 wel_58521
13 27 16 -1213.83 wel_58522
4 27 18 -2962.49 wel_58523
13 27 19 -1232.86 wel_58524
4 27 21 -714.879 wel_58525
11 27 22 -224.904 wel_58526
13 27 24 -2327.11 wel_58527
13 27 26 -4570 wel_58528
4 27 27 -3569.87 wel_58529
4 27 29 -1710.98 wel_58530
4 27 30 -3033.95 wel_58531
13 27 32 -371.405 wel_58532
1 26 3 -6769.41 wel_58908
1 26 5 -4639.67 wel_58909
1 26 6 -8574.81 wel_58910
1 26 8 -7744.23 wel_58911
1 26 9 -5358.03 wel_58912
1 26 11 -4350.06 wel_58913
1 26 13 -2650.32 wel_58914
13 26 14 -2062.34 wel_58915
13 26 16 -1696.61 wel_58916
4 26 18 -547.085 wel_58917
13 26 19 -3101.45 wel_58918
13 26 22 -689.135 wel_58920
13 26 24 -1736.95 wel_58921
13 26 26 -7342.64 wel_58922
13 26 27 -3486.78 wel_58923
13 26 29 -1435.68 wel_58924
13 26 30 -1593.03 wel_58925
13 26 32 -223.733 wel_58926
1 24 3 -2338.97 wel_59302
1 24 5 -2344.32 wel_59303
1 24 6 -8037 wel_59304
1 24 8 -7257.57 wel_59305
1 24 9 -11293.2 wel_59306
1 24 11 -7148.68 wel_59307
1 24 13 -5678.73 wel_59308
4 24 14 -5242.35 wel_59309
4 24 16 -4209.95 wel_59310
13 24 18 -1121 wel_59311
13 24 19 -2584.55 wel_59312
13 24 21 -1230.6 wel_59313
13 24 22 -1821.29 wel_59314
13 24 24 -2380.86 wel_59315
13 24 26 -6948.1 wel_59316
4 24 27 -6092.2 wel_59317
13 24 29 -2931.39 wel_59318
13 24 30 -2559.64 wel_59319
13 24 32 -1812.25 wel_59320
1 23 3 -1181.37 wel_59696
1 23 5 -1722.84 wel_59697
1 23 6 -7714.77 wel_59698
1 23 8 -8850.97 wel_59699
1 23 9 -6025.73 wel_59700
1 23 11 -5774.63 wel_59701
9 23 13 -9334.67 wel_59702
4 23 14 -3539.76 wel_59703
4 23 16 -5660.07 wel_59704
4 23 18 -7293.15 wel_59705
4 23 19 -3264.63 wel_59706
13 23 21 -1279.82 wel_59707
13 23 22 -246.12 wel_59708
12 23 24 -787.583 wel_59709
13 23 26 -1272.19 wel_59710
13 23 27 -1804.6 wel_59711
13 23 29 -1363.85 wel_59712
13 23 30 -2536.16 wel_59713
13 23 32 -1575.17 wel_59714
1 21 3 -2332.53 wel_60090
1 21 5 -5467.39 wel_60091
1 21 6 -5535.05 wel_60092
1 21 8 -5743.4 wel_60093
1 21 9 -3913.43 wel_60094
1 21 11 -3114.69 wel_60095
4 21 13 -8961.02 wel_60096
4 21 14 -3957.64 wel_60097
4 21 16 -8951.44 wel_60098
4 21 18 -6536.18 wel_60099
4 21 19 -5870.53 wel_60100
13 21 21 -449.809 wel_60101
13 21 29 -246.12 wel_60106
13 21 30 -2671.51 wel_60107
13 21 32 -3127.94 wel_60108
1 19 3 -3581.47 wel_60484
1 19 5 -4687.88 wel_60485
1 19 6 -3625.88 wel_60486
1 19 8 -1836.9 wel_60487
1 19 9 -6296.6 wel_60488
4 19 11 -5488.85 wel_60489
4 19 13 -10090.9 wel_60490
4 19 14 -5601.61 wel_60491
13 19 16 -4075.82 wel_60492
13 19 18 -2200.17 wel_60493
13 19 19 -1941.44 wel_60494
13 19 21 -1968.96 wel_60495
13 19 22 -1230.6 wel_60496
13 19 24 -335.599 wel_60497
13 19 26 -335.599 wel_60498
13 19 30 -246.12 wel_60501
4 19 32 -1400.59 wel_60502
1 18 3 -7067.04 wel_60878
1 18 5 -6070.2 wel_60879
1 18 6 -6019.4 wel_60880
1 18 8 -4385.46 wel_60881
1 18 9 -11535.8 wel_60882
4 18 11 -4323.88 wel_60883
4 18 13 -2953.44 wel_60884
4 18 14 -1593.03 wel_60885
4 18 16 -2908.66 wel_60886
4 18 18 -3310.37 wel_60887
13 18 19 -2974.03 wel_60888
13 18 21 -2146.9 wel_60889
13 18 22 -1213.91 wel_60890
13 18 24 -1756.48 wel_60891
13 18 30 -447.465 wel_60895
13 18 32 -335.599 wel_60896
1 16 3 -6571.78 wel_61272
1 16 5 -11424 wel_61273
1 16 6 -7651.67 wel_61274
1 16 8 -5728.66 wel_61275
4 16 9 -12976.2 wel_61276
4 16 11 -2217.34 wel_61277
13 16 13 -2770.13 wel_61278
4 16 14 -2040.59 wel_61279
4 16 16 -5280.11 wel_61280
13 16 18 -2424.31 wel_61281
13 16 19 -2789.08 wel_61282
13 16 21 -5457.66 wel_61283
4 16 22 -4977.57 wel_61284
13 16 24 -447.544 wel_61285
13 16 26 -469.852 wel_61286
13 16 27 -393.791 wel_61287
13 16 30 -111.866 wel_61289
1 15 3 -7424.24 wel_61666
1 15 5 -7783.95 wel_61667
1 15 6 -3494.9 wel_61668
1 15 8 -6371.85 wel_61669
4 15 9 -6578.09 wel_61670
4 15 11 -4507 wel_61671
4 15 13 -3472.59 wel_61672
6 15 14 -2838.6 wel_61673
4 15 16 -4440.47 wel_61674
13 15 18 -1832.61 wel_61675
13 15 19 -3206.35 wel_61676
13 15 21 -2312.38 wel_61677
4 15 22 -2455.94 wel_61678
13 15 24 -505.658 wel_61679
13 15 26 -1006.8 wel_61680
8 15 27 -335.599 wel_61681
13 15 30 -111.866 wel_61683
1 13 3 -4058.07 wel_62060
1 13 5 -7076.16 wel_62061
1 13 6 -7713.27 wel_62062
4 13 8 -5422.2 wel_62063
13 13 9 -2527.45 wel_62064
13 13 11 -799.5 wel_62065
4 13 13 -3468.18 wel_62066
13 13 14 -3166.18 wel_62067
13 13 16 -3444 wel_62068
4 13 18 -1811.39 wel_62069
4 13 19 -1828.38 wel_62070
4 13 21 -5194.16 wel_62071
13 13 22 -1407.73 wel_62072
13 13 24 -49.2239 wel_62073
13 13 27 -783.065 wel_62075
13 13 29 -894.931 wel_62076
13 13 30 -223.733 wel_62077
13 13 32 -447.465 wel_62078
1 11 3 -1605.96 wel_62454
1 11 5 -7925.56 wel_62455
1 11 6 -8020.98 wel_62456
4 11 8 -7309.34 wel_62457
4 11 9 -2828.86 wel_62458
4 11 11 -2998.3 wel_62459
4 11 13 -1792.48 wel_62460
13 11 14 -1418.2 wel_62461
4 11 16 -393.791 wel_62462
13 11 18 -196.896 wel_62463
13 11 19 -1174.99 wel_62464
4 11 21 -2024.38 wel_62465
13 11 22 -738.359 wel_62466
13 11 26 -223.733 wel_62468
13 11 27 -783.065 wel_62469
13 11 29 -2237.33 wel_62470
1 10 3 -6114.61 wel_62848
1 10 5 -6999.89 wel_62849
1 10 6 -3950.01 wel_62850
4 10 8 -3781.78 wel_62851
13 10 9 -5919.24 wel_62852
4 10 11 -703.316 wel_62853
13 10 13 -1478.98 wel_62854
13 10 14 -4577.82 wel_62855
13 10 16 -3101.11 wel_62856
13 10 18 -738.359 wel_62857
13 10 19 -682.101 wel_62858
4 10 21 -1011.94 wel_62859
13 10 22 -98.4479 wel_62860
13 10 24 -223.733 wel_62861
13 10 26 -223.733 wel_62862
13 10 27 -223.733 wel_62863
13 10 29 -111.866 wel_62864
1 8 3 -8253.22 wel_63242
1 8 5 -2085.8 wel_63243
1 8 6 -1389.88 wel_63244
13 8 8 -2657.85 wel_63245
13 8 9 -5805.86 wel_63246
4 8 11 -1378.27 wel_63247
4 8 13 -2313.52 wel_63248
4 8 14 -2658.09 wel_63249
13 8 16 -639.911 wel_63250
13 8 18 -1329.05 wel_63251
13 8 19 -935.255 wel_63252
13 8 24 -111.866 wel_63255
1 7 3 -2519.73 wel_63636
1 7 5 -3244.77 wel_63637
1 7 6 -8498.36 wel_63638
4 7 8 -2817.09 wel_63639
4 7 9 -4287.52 wel_63640
4 7 11 -1821.29 wel_63641
13 7 13 -2018.18 wel_63642
13 7 14 -639.911 wel_63643
13 7 19 -1118.66 wel_63646
13 7 22 -111.866 wel_63648
13 7 26 -223.733 wel_63650
8 7 30 -111.866 wel_63653
1 5 3 -2928.77 wel_64030
1 5 5 -3471.37 wel_64031
1 5 6 -7730.09 wel_64032
13 5 8 -4216.57 wel_64033
13 5 9 -3606.93 wel_64034
13 5 11 -6544.01 wel_64035
13 5 13 -1673.61 wel_64036
13 5 16 -111.866 wel_64038
13 5 18 -57.008 wel_64039
4 5 26 -49.2239 wel_64044
4 5 27 -1132.15 wel_64045
2 3 3 -1205.24 wel_64424
13 3 5 -1772.06 wel_64425
13 3 6 -3199.56 wel_64426
13 3 8 -4787.35 wel_64427
4 3 9 -714.879 wel_64428
4 3 11 -398.971 wel_64429
13 3 13 -932.141 wel_64430
4 3 19 -855.97 wel_64434
4 3 21 -2990.18 wel_64435
4 3 22 -836.807 wel_64436
4 3 26 -196.896 wel_64438
4 3 27 -2658.09 wel_64439
1 2 3 -1256.39 wel_64818
2 2 5 -1818.26 wel_64819
13 2 6 -1181.37 wel_64820
13 2 8 -2862.16 wel_64821
4 2 9 -1624.39 wel_64822
13 2 11 -1063.98 wel_64823
13 2 13 -517.983 wel_64824
4 2 19 -3142.55 wel_64828
4 2 21 -4050.57 wel_64829
4 2 22 -1279.82 wel_64830
4 2 24 -1624.39 wel_64831
4 2 26 -196.896 wel_64832
4 2 29 -98.4479 wel_64834
13 2 32 -223.733 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
