#k i j head boundname
5 1 25 298.176 perimeter-heads
5 2 25 297.518 perimeter-heads
5 3 25 296.834 perimeter-heads
5 4 25 296.16 perimeter-heads
5 5 25 295.488 perimeter-heads
5 6 25 294.776 perimeter-heads
5 7 25 294.001 perimeter-heads
5 8 25 293.184 perimeter-heads
5 9 25 292.387 perimeter-heads
5 10 25 291.658 perimeter-heads
5 11 25 291.039 perimeter-heads
5 12 25 290.562 perimeter-heads
5 13 25 290.262 perimeter-heads
5 14 25 290.02 perimeter-heads
5 15 25 289.778 perimeter-heads
5 16 25 289.519 perimeter-heads
5 17 25 289.249 perimeter-heads
5 18 25 288.965 perimeter-heads
5 19 25 288.674 perimeter-heads
5 20 25 288.359 perimeter-heads
5 21 25 288.007 perimeter-heads
5 22 25 287.632 perimeter-heads
5 23 25 287.234 perimeter-heads
5 24 25 286.825 perimeter-heads
5 25 25 286.433 perimeter-heads
5 1 1 313.278 perimeter-heads
5 2 1 313.004 perimeter-heads
5 3 1 312.714 perimeter-heads
5 4 1 312.448 perimeter-heads
5 5 1 312.203 perimeter-heads
5 6 1 311.951 perimeter-heads
5 7 1 311.69 perimeter-heads
5 8 1 311.415 perimeter-heads
5 9 1 311.13 perimeter-heads
5 10 1 310.839 perimeter-heads
5 11 1 310.543 perimeter-heads
5 12 1 310.236 perimeter-heads
5 13 1 309.917 perimeter-heads
5 14 1 309.581 perimeter-heads
5 15 1 309.229 perimeter-heads
5 16 1 308.869 perimeter-heads
5 17 1 308.518 perimeter-heads
5 18 1 308.163 perimeter-heads
5 19 1 307.808 perimeter-heads
5 20 1 307.41 perimeter-heads
5 21 1 307.015 perimeter-heads
5 22 1 306.609 perimeter-heads
5 23 1 306.183 perimeter-heads
5 24 1 305.725 perimeter-heads
5 25 1 305.263 perimeter-heads
5 25 2 304.643 perimeter-heads
5 25 3 304.006 perimeter-heads
5 25 4 303.37 perimeter-heads
5 25 5 302.708 perimeter-heads
5 25 6 301.995 perimeter-heads
5 25 7 301.193 perimeter-heads
5 25 8 300.308 perimeter-heads
5 25 9 299.427 perimeter-heads
5 25 10 298.525 perimeter-heads
5 25 11 297.579 perimeter-heads
5 25 12 296.633 perimeter-heads
5 25 13 295.692 perimeter-heads
5 25 14 294.729 perimeter-heads
5 25 15 293.764 perimeter-heads
5 25 16 292.796 perimeter-heads
5 25 17 291.841 perimeter-heads
5 25 18 290.921 perimeter-heads
5 25 19 290.047 perimeter-heads
5 25 20 289.386 perimeter-heads
5 25 21 288.744 perimeter-heads
5 25 22 288.128 perimeter-heads
5 25 23 287.531 perimeter-heads
5 25 24 286.975 perimeter-heads
5 1 2 312.874 perimeter-heads
5 1 3 312.529 perimeter-heads
5 1 4 312.189 perimeter-heads
5 1 5 311.833 perimeter-heads
5 1 6 311.449 perimeter-heads
5 1 7 311.032 perimeter-heads
5 1 8 310.57 perimeter-heads
5 1 9 310.059 perimeter-heads
5 1 10 309.501 perimeter-heads
5 1 11 308.907 perimeter-heads
5 1 12 308.265 perimeter-heads
5 1 13 307.562 perimeter-heads
5 1 14 306.786 perimeter-heads
5 1 15 305.964 perimeter-heads
5 1 16 305.114 perimeter-heads
5 1 17 304.242 perimeter-heads
5 1 18 303.359 perimeter-heads
5 1 19 302.499 perimeter-heads
5 1 20 301.71 perimeter-heads
5 1 21 300.966 perimeter-heads
5 1 22 300.246 perimeter-heads
5 1 23 299.548 perimeter-heads
5 1 24 298.86 perimeter-heads
