#k i j head boundname
1 11 25 290.571 perimeter-heads
1 12 25 290.083 perimeter-heads
1 13 25 290.005 perimeter-heads
1 18 25 288.862 perimeter-heads
1 25 23 287.094 perimeter-heads
2 1 25 298.279 perimeter-heads
2 2 25 297.621 perimeter-heads
2 3 25 296.805 perimeter-heads
2 4 25 296.128 perimeter-heads
2 5 25 295.492 perimeter-heads
2 6 25 294.797 perimeter-heads
2 7 25 293.893 perimeter-heads
2 8 25 292.787 perimeter-heads
2 9 25 291.844 perimeter-heads
2 10 25 291.122 perimeter-heads
2 11 25 290.575 perimeter-heads
2 12 25 290.111 perimeter-heads
2 13 25 290.011 perimeter-heads
2 14 25 289.885 perimeter-heads
2 15 25 289.716 perimeter-heads
2 16 25 289.484 perimeter-heads
2 17 25 289.193 perimeter-heads
2 18 25 288.866 perimeter-heads
2 19 25 288.607 perimeter-heads
2 21 25 288.039 perimeter-heads
2 24 25 286.744 perimeter-heads
2 25 25 286.232 perimeter-heads
2 25 19 289.303 perimeter-heads
2 25 20 288.717 perimeter-heads
2 25 21 288.11 perimeter-heads
2 25 22 287.63 perimeter-heads
2 25 23 287.095 perimeter-heads
2 1 18 303.312 perimeter-heads
2 1 19 302.331 perimeter-heads
2 1 20 301.638 perimeter-heads
2 1 21 300.959 perimeter-heads
2 1 22 300.253 perimeter-heads
2 1 23 299.612 perimeter-heads
2 1 24 298.917 perimeter-heads
3 1 25 298.265 perimeter-heads
3 2 25 297.599 perimeter-heads
3 3 25 296.813 perimeter-heads
3 4 25 296.129 perimeter-heads
3 5 25 295.48 perimeter-heads
3 6 25 294.767 perimeter-heads
3 7 25 293.86 perimeter-heads
3 8 25 292.781 perimeter-heads
3 9 25 291.853 perimeter-heads
3 10 25 291.138 perimeter-heads
3 11 25 290.583 perimeter-heads
3 12 25 290.165 perimeter-heads
3 13 25 290.022 perimeter-heads
3 14 25 289.875 perimeter-heads
3 15 25 289.692 perimeter-heads
3 16 25 289.464 perimeter-heads
3 17 25 289.184 perimeter-heads
3 18 25 288.872 perimeter-heads
3 19 25 288.611 perimeter-heads
3 20 25 288.39 perimeter-heads
3 21 25 288.038 perimeter-heads
3 22 25 287.678 perimeter-heads
3 23 25 287.258 perimeter-heads
3 24 25 286.747 perimeter-heads
3 25 25 286.244 perimeter-heads
3 1 1 312.935 perimeter-heads
3 2 1 312.735 perimeter-heads
3 3 1 312.457 perimeter-heads
3 4 1 312.279 perimeter-heads
3 5 1 312.076 perimeter-heads
3 6 1 311.87 perimeter-heads
3 7 1 311.66 perimeter-heads
3 8 1 311.413 perimeter-heads
3 25 18 290.75 perimeter-heads
3 25 19 289.303 perimeter-heads
3 25 20 288.716 perimeter-heads
3 25 21 288.112 perimeter-heads
3 25 22 287.63 perimeter-heads
3 25 23 287.102 perimeter-heads
3 25 24 286.694 perimeter-heads
3 1 2 312.724 perimeter-heads
3 1 3 312.484 perimeter-heads
3 1 4 312.191 perimeter-heads
3 1 5 311.861 perimeter-heads
3 1 6 311.518 perimeter-heads
3 1 7 311.13 perimeter-heads
3 1 8 310.693 perimeter-heads
3 1 9 310.171 perimeter-heads
3 1 10 309.602 perimeter-heads
3 1 11 309.027 perimeter-heads
3 1 12 308.414 perimeter-heads
3 1 13 307.724 perimeter-heads
3 1 14 306.9 perimeter-heads
3 1 15 306.027 perimeter-heads
3 1 16 305.145 perimeter-heads
3 1 17 304.266 perimeter-heads
3 1 18 303.316 perimeter-heads
3 1 19 302.37 perimeter-heads
3 1 20 301.652 perimeter-heads
3 1 21 300.962 perimeter-heads
3 1 22 300.256 perimeter-heads
3 1 23 299.601 perimeter-heads
3 1 24 298.914 perimeter-heads
4 1 25 298.249 perimeter-heads
4 2 25 297.578 perimeter-heads
4 3 25 296.822 perimeter-heads
4 4 25 296.131 perimeter-heads
4 5 25 295.467 perimeter-heads
4 6 25 294.736 perimeter-heads
4 7 25 293.826 perimeter-heads
4 8 25 292.771 perimeter-heads
4 9 25 291.854 perimeter-heads
4 10 25 291.15 perimeter-heads
4 11 25 290.599 perimeter-heads
4 12 25 290.226 perimeter-heads
4 13 25 290.043 perimeter-heads
4 14 25 289.873 perimeter-heads
4 15 25 289.677 perimeter-heads
4 16 25 289.45 perimeter-heads
4 17 25 289.18 perimeter-heads
4 18 25 288.881 perimeter-heads
4 19 25 288.615 perimeter-heads
4 20 25 288.367 perimeter-heads
4 21 25 288.027 perimeter-heads
4 22 25 287.669 perimeter-heads
4 23 25 287.251 perimeter-heads
4 24 25 286.752 perimeter-heads
4 25 25 286.259 perimeter-heads
4 1 1 312.85 perimeter-heads
4 2 1 312.627 perimeter-heads
4 3 1 312.347 perimeter-heads
4 4 1 312.203 perimeter-heads
4 5 1 312.009 perimeter-heads
4 6 1 311.806 perimeter-heads
4 7 1 311.608 perimeter-heads
4 8 1 311.365 perimeter-heads
4 9 1 311.062 perimeter-heads
4 10 1 310.787 perimeter-heads
4 11 1 310.525 perimeter-heads
4 12 1 310.242 perimeter-heads
4 13 1 309.94 perimeter-heads
4 14 1 309.623 perimeter-heads
4 15 1 309.288 perimeter-heads
4 25 13 295.636 perimeter-heads
4 25 14 294.649 perimeter-heads
4 25 15 293.734 perimeter-heads
4 25 16 292.808 perimeter-heads
4 25 17 291.86 perimeter-heads
4 25 18 290.749 perimeter-heads
4 25 19 289.303 perimeter-heads
4 25 20 288.724 perimeter-heads
4 25 21 288.125 perimeter-heads
4 25 22 287.643 perimeter-heads
4 25 23 287.12 perimeter-heads
4 25 24 286.714 perimeter-heads
4 1 2 312.647 perimeter-heads
4 1 3 312.443 perimeter-heads
4 1 4 312.162 perimeter-heads
4 1 5 311.84 perimeter-heads
4 1 6 311.499 perimeter-heads
4 1 7 311.115 perimeter-heads
4 1 8 310.683 perimeter-heads
