#k i j head boundname
1 11 25 290.501 perimeter-heads
1 12 25 289.975 perimeter-heads
1 13 25 289.838 perimeter-heads
1 18 25 288.614 perimeter-heads
1 25 23 286.981 perimeter-heads
2 1 25 297.867 perimeter-heads
2 2 25 297.215 perimeter-heads
2 3 25 296.407 perimeter-heads
2 4 25 295.758 perimeter-heads
2 5 25 295.165 perimeter-heads
2 6 25 294.533 perimeter-heads
2 7 25 293.728 perimeter-heads
2 8 25 292.745 perimeter-heads
2 9 25 291.865 perimeter-heads
2 10 25 291.108 perimeter-heads
2 11 25 290.51 perimeter-heads
2 12 25 290.004 perimeter-heads
2 13 25 289.846 perimeter-heads
2 14 25 289.672 perimeter-heads
2 15 25 289.47 perimeter-heads
2 16 25 289.224 perimeter-heads
2 17 25 288.933 perimeter-heads
2 18 25 288.619 perimeter-heads
2 19 25 288.374 perimeter-heads
2 24 25 286.542 perimeter-heads
2 25 25 286.033 perimeter-heads
2 25 19 289.212 perimeter-heads
2 25 21 288.004 perimeter-heads
2 25 22 287.53 perimeter-heads
2 25 23 286.983 perimeter-heads
2 1 18 303.094 perimeter-heads
2 1 19 302.038 perimeter-heads
2 1 20 301.31 perimeter-heads
2 1 21 300.605 perimeter-heads
2 1 22 299.875 perimeter-heads
2 1 23 299.221 perimeter-heads
2 1 24 298.512 perimeter-heads
3 1 25 297.853 perimeter-heads
3 2 25 297.194 perimeter-heads
3 3 25 296.418 perimeter-heads
3 4 25 295.762 perimeter-heads
3 5 25 295.156 perimeter-heads
3 6 25 294.511 perimeter-heads
3 7 25 293.706 perimeter-heads
3 8 25 292.749 perimeter-heads
3 9 25 291.888 perimeter-heads
3 10 25 291.138 perimeter-heads
3 11 25 290.526 perimeter-heads
3 12 25 290.061 perimeter-heads
3 13 25 289.861 perimeter-heads
3 14 25 289.666 perimeter-heads
3 15 25 289.452 perimeter-heads
3 16 25 289.209 perimeter-heads
3 17 25 288.928 perimeter-heads
3 18 25 288.628 perimeter-heads
3 19 25 288.378 perimeter-heads
3 20 25 288.145 perimeter-heads
3 21 25 287.803 perimeter-heads
3 22 25 287.446 perimeter-heads
3 23 25 287.029 perimeter-heads
3 24 25 286.544 perimeter-heads
3 25 25 286.047 perimeter-heads
3 1 1 312.619 perimeter-heads
3 2 1 312.353 perimeter-heads
3 3 1 312.004 perimeter-heads
3 4 1 311.836 perimeter-heads
3 5 1 311.626 perimeter-heads
3 6 1 311.406 perimeter-heads
3 7 1 311.181 perimeter-heads
3 8 1 310.92 perimeter-heads
3 25 18 290.587 perimeter-heads
3 25 19 289.212 perimeter-heads
3 25 20 288.613 perimeter-heads
3 25 21 288.006 perimeter-heads
3 25 22 287.53 perimeter-heads
3 25 23 286.989 perimeter-heads
3 25 24 286.523 perimeter-heads
3 1 2 312.301 perimeter-heads
3 1 3 312.11 perimeter-heads
3 1 4 311.866 perimeter-heads
3 1 5 311.577 perimeter-heads
3 1 6 311.265 perimeter-heads
3 1 7 310.898 perimeter-heads
3 1 8 310.477 perimeter-heads
3 1 9 309.967 perimeter-heads
3 1 10 309.408 perimeter-heads
3 1 11 308.841 perimeter-heads
3 1 12 308.246 perimeter-heads
3 1 13 307.561 perimeter-heads
3 1 14 306.739 perimeter-heads
3 1 15 305.864 perimeter-heads
3 1 16 304.952 perimeter-heads
3 1 17 304.042 perimeter-heads
3 1 18 303.094 perimeter-heads
3 1 19 302.081 perimeter-heads
3 1 20 301.326 perimeter-heads
3 1 21 300.609 perimeter-heads
3 1 22 299.88 perimeter-heads
3 1 23 299.211 perimeter-heads
3 1 24 298.511 perimeter-heads
4 1 25 297.839 perimeter-heads
4 2 25 297.174 perimeter-heads
4 3 25 296.429 perimeter-heads
4 4 25 295.767 perimeter-heads
4 5 25 295.149 perimeter-heads
4 6 25 294.489 perimeter-heads
4 7 25 293.684 perimeter-heads
4 8 25 292.753 perimeter-heads
4 9 25 291.915 perimeter-heads
4 10 25 291.177 perimeter-heads
4 11 25 290.557 perimeter-heads
4 12 25 290.129 perimeter-heads
4 13 25 289.887 perimeter-heads
4 14 25 289.67 perimeter-heads
4 15 25 289.444 perimeter-heads
4 16 25 289.202 perimeter-heads
4 17 25 288.93 perimeter-heads
4 18 25 288.641 perimeter-heads
4 19 25 288.384 perimeter-heads
4 20 25 288.13 perimeter-heads
4 21 25 287.797 perimeter-heads
4 22 25 287.441 perimeter-heads
4 23 25 287.024 perimeter-heads
4 24 25 286.547 perimeter-heads
4 25 25 286.062 perimeter-heads
4 1 1 312.59 perimeter-heads
4 2 1 312.302 perimeter-heads
4 3 1 311.959 perimeter-heads
4 4 1 311.81 perimeter-heads
4 5 1 311.596 perimeter-heads
4 6 1 311.376 perimeter-heads
4 7 1 311.155 perimeter-heads
4 8 1 310.894 perimeter-heads
4 9 1 310.588 perimeter-heads
4 10 1 310.289 perimeter-heads
4 11 1 309.998 perimeter-heads
4 12 1 309.69 perimeter-heads
4 13 1 309.368 perimeter-heads
4 14 1 309.04 perimeter-heads
4 15 1 308.705 perimeter-heads
4 25 13 295.379 perimeter-heads
4 25 14 294.416 perimeter-heads
4 25 15 293.516 perimeter-heads
4 25 16 292.6 perimeter-heads
4 25 17 291.672 perimeter-heads
4 25 18 290.586 perimeter-heads
4 25 19 289.212 perimeter-heads
4 25 20 288.619 perimeter-heads
4 25 21 288.016 perimeter-heads
4 25 22 287.54 perimeter-heads
4 25 23 287.002 perimeter-heads
4 25 24 286.543 perimeter-heads
4 1 2 312.269 perimeter-heads
4 1 3 312.083 perimeter-heads
4 1 4 311.838 perimeter-heads
4 1 5 311.553 perimeter-heads
4 1 6 311.241 perimeter-heads
4 1 7 310.88 perimeter-heads
4 1 8 310.465 perimeter-heads
4 1 9 309.956 perimeter-heads
4 1 10 309.393 perimeter-heads
4 1 11 308.829 perimeter-heads
4 1 12 308.234 perimeter-heads
4 1 13 307.555 perimeter-heads
4 1 14 306.731 perimeter-heads
4 1 15 305.85 perimeter-heads
4 1 16 304.943 perimeter-heads
4 1 17 304.038 perimeter-heads
4 1 18 303.09 perimeter-heads
4 1 19 302.126 perimeter-heads
4 1 20 301.345 perimeter-heads
4 1 21 300.615 perimeter-heads
4 1 22 299.886 perimeter-heads
4 1 23 299.2 perimeter-heads
4 1 24 298.509 perimeter-heads
5 1 25 297.811 perimeter-heads
5 2 25 297.148 perimeter-heads
5 3 25 296.457 perimeter-heads
5 4 25 295.781 perimeter-heads
5 5 25 295.112 perimeter-heads
5 6 25 294.409 perimeter-heads
5 7 25 293.644 perimeter-heads
5 8 25 292.834 perimeter-heads
5 9 25 292.041 perimeter-heads
5 10 25 291.325 perimeter-heads
5 11 25 290.724 perimeter-heads
5 12 25 290.262 perimeter-heads
5 13 25 289.957 perimeter-heads
5 14 25 289.709 perimeter-heads
5 15 25 289.465 perimeter-heads
5 16 25 289.213 perimeter-heads
5 17 25 288.957 perimeter-heads
5 18 25 288.693 perimeter-heads
5 19 25 288.425 perimeter-heads
5 20 25 288.132 perimeter-heads
5 21 25 287.799 perimeter-heads
5 22 25 287.434 perimeter-heads
5 23 25 287.036 perimeter-heads
5 24 25 286.621 perimeter-heads
5 25 25 286.219 perimeter-heads
