#k i j q boundname
1 28 15 -0 perimeter-fluxes
1 9 5 -110.894 perimeter-fluxes
1 10 4 -113.331 perimeter-fluxes
1 11 4 -126.941 perimeter-fluxes
1 12 4 -137.081 perimeter-fluxes
1 13 4 -165.764 perimeter-fluxes
1 14 4 -133.138 perimeter-fluxes
1 15 4 -170.392 perimeter-fluxes
1 16 4 -136.695 perimeter-fluxes
1 17 5 -158.733 perimeter-fluxes
1 18 5 -151.703 perimeter-fluxes
1 19 5 -124.794 perimeter-fluxes
1 20 5 -116.537 perimeter-fluxes
1 21 5 -93.5461 perimeter-fluxes
1 22 5 -72.5735 perimeter-fluxes
1 23 5 -58.9548 perimeter-fluxes
1 24 5 -62.7783 perimeter-fluxes
1 25 5 -89.7184 perimeter-fluxes
1 26 5 -110.184 perimeter-fluxes
1 27 10 -390.478 perimeter-fluxes
1 28 11 0 perimeter-fluxes
1 16 4 -116.009 perimeter-fluxes
1 26 5 -125.231 perimeter-fluxes
1 26 6 -106.974 perimeter-fluxes
1 26 7 -81.7185 perimeter-fluxes
1 26 8 -60.175 perimeter-fluxes
1 26 9 -49.6506 perimeter-fluxes
1 27 10 -0 perimeter-fluxes
1 28 11 -0 perimeter-fluxes
1 28 12 -0 perimeter-fluxes
1 28 13 -0 perimeter-fluxes
1 28 14 -0 perimeter-fluxes
1 28 15 -0 perimeter-fluxes
1 9 5 285.978 perimeter-fluxes
1 9 6 245.632 perimeter-fluxes
1 10 4 250.736 perimeter-fluxes
2 9 6 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 -133.302 perimeter-fluxes
2 10 4 -103.256 perimeter-fluxes
2 11 4 -110.321 perimeter-fluxes
2 12 4 -116.003 perimeter-fluxes
2 13 4 -119.716 perimeter-fluxes
2 14 4 -120.594 perimeter-fluxes
2 15 4 -123.412 perimeter-fluxes
2 16 4 -113.725 perimeter-fluxes
2 17 5 -143.418 perimeter-fluxes
2 18 5 -128.761 perimeter-fluxes
2 19 5 -114.927 perimeter-fluxes
2 20 5 -103.047 perimeter-fluxes
2 21 5 -87.2298 perimeter-fluxes
2 22 5 -73.7801 perimeter-fluxes
2 23 5 -63.1112 perimeter-fluxes
2 24 5 -66.4944 perimeter-fluxes
2 25 5 -81.0195 perimeter-fluxes
2 26 5 -104.018 perimeter-fluxes
2 27 10 -377.12 perimeter-fluxes
2 28 11 0 perimeter-fluxes
2 16 4 -116.762 perimeter-fluxes
2 26 5 -118.515 perimeter-fluxes
2 26 6 -99.2446 perimeter-fluxes
2 26 7 -84.0633 perimeter-fluxes
2 26 8 -64.0604 perimeter-fluxes
2 26 9 -49.9932 perimeter-fluxes
2 27 10 -0 perimeter-fluxes
2 28 11 -0 perimeter-fluxes
2 28 12 -0 perimeter-fluxes
2 28 13 -0 perimeter-fluxes
2 28 14 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 218.836 perimeter-fluxes
2 9 6 223.733 perimeter-fluxes
2 10 4 230.021 perimeter-fluxes
3 9 6 -0 perimeter-fluxes
3 28 15 -0 perimeter-fluxes
3 9 5 -133.481 perimeter-fluxes
3 10 4 -103.243 perimeter-fluxes
3 11 4 -110.403 perimeter-fluxes
3 12 4 -116.091 perimeter-fluxes
3 13 4 -119.719 perimeter-fluxes
3 14 4 -120.503 perimeter-fluxes
3 15 4 -123.465 perimeter-fluxes
3 16 4 -113.615 perimeter-fluxes
3 17 5 -143.534 perimeter-fluxes
3 18 5 -128.774 perimeter-fluxes
3 19 5 -115.03 perimeter-fluxes
3 20 5 -103.137 perimeter-fluxes
3 21 5 -87.3354 perimeter-fluxes
3 22 5 -73.7812 perimeter-fluxes
3 23 5 -63.2229 perimeter-fluxes
3 24 5 -66.5857 perimeter-fluxes
3 25 5 -81.0735 perimeter-fluxes
3 26 5 -104.098 perimeter-fluxes
3 27 10 -377.391 perimeter-fluxes
3 28 11 0 perimeter-fluxes
3 16 4 -116.763 perimeter-fluxes
3 26 5 -118.518 perimeter-fluxes
3 26 6 -99.1844 perimeter-fluxes
3 26 7 -84.1072 perimeter-fluxes
3 26 8 -64.0584 perimeter-fluxes
3 26 9 -49.9518 perimeter-fluxes
3 27 10 -0 perimeter-fluxes
3 28 11 -0 perimeter-fluxes
3 28 12 -0 perimeter-fluxes
3 28 13 -0 perimeter-fluxes
3 28 14 -0 perimeter-fluxes
3 28 15 -0 perimeter-fluxes
3 9 5 219.021 perimeter-fluxes
3 9 6 223.893 perimeter-fluxes
3 10 4 230.009 perimeter-fluxes
4 4 16 737.675 perimeter-fluxes
4 4 27 267.207 perimeter-fluxes
4 5 33 -60.9034 perimeter-fluxes
4 6 18 821.601 perimeter-fluxes
4 6 33 -69.8134 perimeter-fluxes
4 7 19 884.339 perimeter-fluxes
4 10 33 -73.4143 perimeter-fluxes
4 11 33 -68.3049 perimeter-fluxes
4 12 33 -35.3348 perimeter-fluxes
4 13 33 -62.0866 perimeter-fluxes
4 14 33 -88.9359 perimeter-fluxes
4 15 33 -155.581 perimeter-fluxes
4 18 35 -0 perimeter-fluxes
4 19 35 -0 perimeter-fluxes
4 21 35 -0 perimeter-fluxes
4 22 35 -0 perimeter-fluxes
4 24 35 -0 perimeter-fluxes
4 26 35 -0 perimeter-fluxes
4 27 35 -0 perimeter-fluxes
4 28 21 -0 perimeter-fluxes
4 4 12 -637.141 perimeter-fluxes
4 4 24 -721.68 perimeter-fluxes
4 5 32 -200.373 perimeter-fluxes
4 6 8 -462.856 perimeter-fluxes
4 6 23 -764.729 perimeter-fluxes
4 7 7 -1.62562 perimeter-fluxes
4 7 22 -856.372 perimeter-fluxes
4 8 6 0 perimeter-fluxes
4 9 5 -0.0957087 perimeter-fluxes
4 10 4 -0.0656324 perimeter-fluxes
4 11 4 -0.0618989 perimeter-fluxes
4 12 4 -0.0572969 perimeter-fluxes
4 13 4 -0.0529294 perimeter-fluxes
4 14 4 -0.0497148 perimeter-fluxes
4 15 4 -0.0471461 perimeter-fluxes
4 16 4 -0.0428034 perimeter-fluxes
4 17 5 -0.0550806 perimeter-fluxes
4 18 5 -0.0510949 perimeter-fluxes
4 19 5 -0.0479714 perimeter-fluxes
4 20 5 -0.0458094 perimeter-fluxes
4 21 5 -0.0413203 perimeter-fluxes
4 22 5 -0.0380732 perimeter-fluxes
4 23 5 -0.0349578 perimeter-fluxes
4 24 5 -0.040496 perimeter-fluxes
4 25 5 -0.0535035 perimeter-fluxes
4 26 5 -0.0840872 perimeter-fluxes
4 27 10 -0.272315 perimeter-fluxes
4 28 11 0 perimeter-fluxes
4 16 4 -0.0431458 perimeter-fluxes
4 26 5 -0.0962149 perimeter-fluxes
4 26 6 -0.0786272 perimeter-fluxes
4 26 7 -0.0637433 perimeter-fluxes
4 26 8 -0.0462769 perimeter-fluxes
4 26 9 -0.033917 perimeter-fluxes
4 27 10 -0 perimeter-fluxes
4 27 22 -0 perimeter-fluxes
4 27 23 -0 perimeter-fluxes
4 27 24 -0 perimeter-fluxes
4 27 25 -0 perimeter-fluxes
4 27 27 -0 perimeter-fluxes
4 27 28 -0 perimeter-fluxes
4 27 29 -0 perimeter-fluxes
4 27 30 -0 perimeter-fluxes
4 27 31 -0 perimeter-fluxes
4 27 32 -0 perimeter-fluxes
4 27 33 -0 perimeter-fluxes
4 27 34 -0 perimeter-fluxes
4 28 11 -0 perimeter-fluxes
4 28 12 -0 perimeter-fluxes
4 28 13 -0 perimeter-fluxes
4 28 14 -0 perimeter-fluxes
4 28 15 -0 perimeter-fluxes
4 28 16 -0 perimeter-fluxes
4 28 17 -0 perimeter-fluxes
4 28 18 -0 perimeter-fluxes
4 28 20 -0 perimeter-fluxes
4 28 21 -0 perimeter-fluxes
4 4 12 306.583 perimeter-fluxes
4 4 13 277.969 perimeter-fluxes
4 4 14 241.51 perimeter-fluxes
4 4 15 204.291 perimeter-fluxes
4 4 16 182.271 perimeter-fluxes
4 4 24 -85.5711 perimeter-fluxes
4 4 25 -47.1996 perimeter-fluxes
4 4 27 -4.61439 perimeter-fluxes
4 5 11 424.094 perimeter-fluxes
4 5 17 192.114 perimeter-fluxes
4 5 32 88.2534 perimeter-fluxes
4 5 33 71.7407 perimeter-fluxes
4 6 8 377.185 perimeter-fluxes
4 6 18 177.634 perimeter-fluxes
4 7 7 0.558049 perimeter-fluxes
4 7 19 191.886 perimeter-fluxes
4 7 22 46.2478 perimeter-fluxes
4 7 31 -17.1221 perimeter-fluxes
4 8 6 931.153 perimeter-fluxes
4 8 20 219.01 perimeter-fluxes
