41.25 41.34 40.20 38.70 40.31 40.65 39.56 40.17 39.86 39.39 39.00 39.70 39.94 39.99 40.02 40.34 40.57 41.55 42.39 41.89 42.39 43.41 43.27 43.09 43.02 42.12 41.91 42.53 41.90 42.04 42.26 42.32 40.53 42.35 40.97
40.98 41.85 38.49 40.70 40.25 38.82 40.08 40.61 39.64 39.03 39.18 39.36 39.15 39.95 39.51 39.75 40.69 41.44 42.11 42.03 41.34 42.44 40.59 41.91 42.18 39.95 41.41 42.21 41.81 41.80 41.36 41.87 41.56 41.53 40.72
41.22 40.67 40.83 40.58 39.50 39.17 39.52 40.16 39.51 39.19 38.26 38.52 38.59 39.54 39.32 39.77 40.25 41.10 41.55 41.96 42.09 42.13 42.00 40.35 42.60 39.92 40.08 40.22 40.63 41.54 40.11 39.30 42.05 41.46 40.60
41.23 40.54 40.66 40.08 40.26 38.81 40.44 39.59 38.69 39.32 38.37 -119.36 -115.58 -111.62 -107.54 -103.07 39.57 40.31 41.50 42.10 41.68 41.53 39.77 -56.70 -50.03 -43.61 -38.33 39.76 40.99 41.73 40.73 39.93 39.70 39.86 40.97
40.43 40.66 40.03 39.78 38.37 39.99 39.30 39.23 -130.98 -127.70 -124.33 -120.90 -117.31 -113.54 -109.65 -105.33 -100.80 39.94 41.42 41.37 41.49 41.28 -65.57 -58.41 -51.30 -44.32 -39.08 -34.51 40.86 40.82 41.47 -21.87 -19.37 39.46 39.63
41.37 40.38 37.25 39.27 39.92 39.32 39.17 -134.92 -131.91 -128.86 -125.72 -122.52 -119.15 -115.60 -111.91 -107.78 -103.41 -98.68 41.37 41.42 41.00 41.79 -68.08 -60.65 -53.22 -45.85 -40.55 -36.04 -31.76 40.71 39.60 -22.82 -20.56 39.47 37.96
40.89 38.05 40.08 39.69 38.97 39.09 -138.25 -135.56 -132.84 -130.08 -127.21 -124.28 -121.18 -117.89 -114.48 -110.59 -106.44 -101.91 -96.76 41.21 40.88 -78.51 -71.58 -64.23 -56.94 -49.80 -44.12 -39.01 -34.30 -29.95 -25.64 -24.20 -22.15 38.95 38.16
40.57 39.56 39.53 39.15 39.10 -140.86 -138.56 -136.20 -133.80 -131.34 -128.78 -126.14 -123.35 -120.37 -117.26 -113.68 -109.82 -105.55 -100.59 -95.26 -89.13 -82.56 -75.63 -68.33 -61.11 -54.07 -48.02 -42.39 -37.21 -32.09 -27.14 -24.68 -21.93 37.87 40.45
39.78 38.93 38.53 39.11 -142.62 -140.77 -138.86 -136.84 -134.77 -132.64 -130.39 -128.07 -125.60 -122.95 -120.19 -116.95 -113.42 -109.45 -104.71 -99.56 -93.49 -86.94 -80.02 -72.75 -65.55 -58.52 -52.12 -46.01 -40.36 -34.82 -29.39 -25.34 -22.50 40.97 40.43
39.73 38.45 38.10 -143.48 -142.19 -140.76 -139.25 -137.58 -135.85 -134.04 -132.11 -130.13 -128.01 -125.75 -123.38 -120.59 -117.50 -113.97 -109.54 -104.61 -98.54 -91.91 -84.85 -77.43 -70.07 -62.86 -56.12 -49.63 -43.58 -37.67 -31.91 -25.83 -23.26 37.76 38.18
39.70 38.22 38.21 -142.69 -141.86 -140.85 -139.74 -138.40 -136.99 -135.48 -133.87 -132.20 -130.44 -128.56 -126.61 -124.30 -121.71 -118.67 -114.61 -109.95 -103.80 -97.00 -89.71 -82.07 -74.48 -67.02 -59.97 -53.12 -46.70 -40.46 -34.39 -28.53 -24.19 39.40 39.68
