#k i j q boundname
4 26 5 0.283781 perimeter-fluxes
4 27 10 -0.203729 perimeter-fluxes
4 28 11 0 perimeter-fluxes
4 16 4 -0.0262739 perimeter-fluxes
4 26 5 0.000151444 perimeter-fluxes
4 26 6 0.0931248 perimeter-fluxes
4 26 7 -0.044042 perimeter-fluxes
4 26 8 -0.0920918 perimeter-fluxes
4 26 9 -0.0804645 perimeter-fluxes
4 27 10 -0 perimeter-fluxes
4 27 22 -0 perimeter-fluxes
4 27 23 -0 perimeter-fluxes
4 27 24 -0 perimeter-fluxes
4 27 25 -0 perimeter-fluxes
4 27 27 -0 perimeter-fluxes
4 27 28 -0 perimeter-fluxes
4 27 29 -0 perimeter-fluxes
4 27 30 -0 perimeter-fluxes
4 27 31 -0 perimeter-fluxes
4 27 32 -0 perimeter-fluxes
4 27 33 -0 perimeter-fluxes
4 27 34 -0 perimeter-fluxes
4 28 11 -0 perimeter-fluxes
4 28 12 -0 perimeter-fluxes
4 28 13 -0 perimeter-fluxes
4 28 14 -0 perimeter-fluxes
4 28 15 -0 perimeter-fluxes
4 28 16 -0 perimeter-fluxes
4 28 17 -0 perimeter-fluxes
4 28 18 -0 perimeter-fluxes
4 28 20 -0 perimeter-fluxes
4 28 21 -0 perimeter-fluxes
4 4 12 130.204 perimeter-fluxes
4 4 13 145.244 perimeter-fluxes
4 4 14 94.1285 perimeter-fluxes
4 4 15 63.428 perimeter-fluxes
4 4 16 40.6578 perimeter-fluxes
4 4 24 -140.68 perimeter-fluxes
4 4 25 -70.6425 perimeter-fluxes
4 4 27 -20.4894 perimeter-fluxes
4 5 11 -78.6969 perimeter-fluxes
4 5 17 28.1569 perimeter-fluxes
4 5 32 1.44963 perimeter-fluxes
4 5 33 -16.808 perimeter-fluxes
4 6 8 227.326 perimeter-fluxes
4 6 18 30.0699 perimeter-fluxes
4 7 7 0.218358 perimeter-fluxes
4 7 19 84.842 perimeter-fluxes
4 7 22 -16.3984 perimeter-fluxes
4 7 31 61.5832 perimeter-fluxes
4 8 6 -98.6518 perimeter-fluxes
4 8 20 86.5311 perimeter-fluxes
4 8 21 109.277 perimeter-fluxes
4 9 5 0.215569 perimeter-fluxes
4 10 4 0.0717382 perimeter-fluxes
5 4 16 318.282 perimeter-fluxes
5 4 27 95.5172 perimeter-fluxes
5 5 17 340.358 perimeter-fluxes
5 5 28 75.2585 perimeter-fluxes
5 5 33 -12.2075 perimeter-fluxes
5 6 18 358.049 perimeter-fluxes
5 6 29 55.6298 perimeter-fluxes
5 6 33 -9.02393 perimeter-fluxes
5 7 19 372.331 perimeter-fluxes
5 7 33 -7.66613 perimeter-fluxes
5 8 33 -6.05956 perimeter-fluxes
5 9 33 -4.62232 perimeter-fluxes
5 10 33 -4.92159 perimeter-fluxes
5 11 33 -6.86901 perimeter-fluxes
5 12 33 -8.75075 perimeter-fluxes
5 13 33 -12.1385 perimeter-fluxes
5 14 33 -14.0691 perimeter-fluxes
5 15 33 -17.2341 perimeter-fluxes
5 16 33 -22.8835 perimeter-fluxes
5 17 33 -24.2445 perimeter-fluxes
5 18 35 -0 perimeter-fluxes
5 19 35 -0 perimeter-fluxes
5 20 35 -0 perimeter-fluxes
5 21 35 -0 perimeter-fluxes
5 22 35 -0 perimeter-fluxes
5 23 35 -0 perimeter-fluxes
5 24 35 -0 perimeter-fluxes
5 25 35 -0 perimeter-fluxes
5 26 35 -0 perimeter-fluxes
5 27 35 -0 perimeter-fluxes
5 28 21 -0 perimeter-fluxes
5 4 12 -253.278 perimeter-fluxes
5 4 24 -246.838 perimeter-fluxes
5 5 9 -261.941 perimeter-fluxes
5 5 23 -275.807 perimeter-fluxes
5 5 32 -4.74977 perimeter-fluxes
5 6 8 -103.83 perimeter-fluxes
5 6 23 -266.945 perimeter-fluxes
5 6 32 -7.66198 perimeter-fluxes
5 7 7 -0.292508 perimeter-fluxes
5 7 22 -306.384 perimeter-fluxes
5 8 6 -0.394646 perimeter-fluxes
5 9 5 -0.0741366 perimeter-fluxes
5 10 4 0.0481076 perimeter-fluxes
5 11 4 0.211215 perimeter-fluxes
5 12 4 0.0579919 perimeter-fluxes
5 13 4 0.2327 perimeter-fluxes
5 14 4 0.0660491 perimeter-fluxes
5 15 4 0.219617 perimeter-fluxes
5 16 4 0.22141 perimeter-fluxes
5 17 5 -0.121485 perimeter-fluxes
5 18 5 -0.375111 perimeter-fluxes
5 19 5 -0.33919 perimeter-fluxes
5 20 5 -0.0838545 perimeter-fluxes
5 21 5 0.0294675 perimeter-fluxes
5 22 5 0.123896 perimeter-fluxes
5 23 5 0.424664 perimeter-fluxes
5 24 5 0.293904 perimeter-fluxes
5 25 5 0.334495 perimeter-fluxes
5 26 5 0.688706 perimeter-fluxes
5 27 10 -0.508732 perimeter-fluxes
5 28 11 0 perimeter-fluxes
5 16 4 -0.0765325 perimeter-fluxes
5 26 5 0.000273575 perimeter-fluxes
5 26 6 0.228699 perimeter-fluxes
5 26 7 -0.109502 perimeter-fluxes
5 26 8 -0.236265 perimeter-fluxes
5 26 9 -0.216274 perimeter-fluxes
5 27 10 -0 perimeter-fluxes
5 27 22 -0 perimeter-fluxes
5 27 23 -0 perimeter-fluxes
5 27 24 -0 perimeter-fluxes
5 27 25 -0 perimeter-fluxes
5 27 26 -0 perimeter-fluxes
5 27 27 -0 perimeter-fluxes
5 27 28 -0 perimeter-fluxes
5 27 29 -0 perimeter-fluxes
5 27 30 -0 perimeter-fluxes
5 27 31 -0 perimeter-fluxes
5 27 32 -0 perimeter-fluxes
5 27 33 -0 perimeter-fluxes
5 27 34 -0 perimeter-fluxes
5 27 35 -0 perimeter-fluxes
5 28 11 -0 perimeter-fluxes
5 28 12 -0 perimeter-fluxes
5 28 13 -0 perimeter-fluxes
5 28 14 -0 perimeter-fluxes
5 28 15 -0 perimeter-fluxes
5 28 16 -0 perimeter-fluxes
5 28 17 -0 perimeter-fluxes
5 28 18 -0 perimeter-fluxes
5 28 19 -0 perimeter-fluxes
5 28 20 -0 perimeter-fluxes
5 28 21 -0 perimeter-fluxes
5 4 12 73.9259 perimeter-fluxes
