,0,1,2,3
0,0,-1,,
1,1,0,-2.0,
2,2,1,-3.0,
3,3,2,-4.0,-9.0
4,4,3,-5.0,
5,5,4,-6.0,
6,6,5,-7.0,
7,7,6,-8.0,
8,8,7,-22.0,
9,9,3,-10.0,
10,10,9,-11.0,
11,11,10,-12.0,
12,12,11,-13.0,
13,13,12,-14.0,
14,14,13,-18.0,
15,15,-16,,
16,16,15,-17.0,
17,17,16,-18.0,
18,18,14,17.0,-19.0
19,19,18,-20.0,
20,20,19,-21.0,
21,21,20,-22.0,
22,22,8,21.0,-23.0
23,23,22,-24.0,
24,24,23,-25.0,
25,25,24,-26.0,
26,26,25,-30.0,
27,27,-28,,
28,28,27,-29.0,
29,29,28,-30.0,
30,30,26,29.0,-31.0
31,31,30,-32.0,
32,32,31,-33.0,
33,33,32,-34.0,
34,34,33,-35.0,
35,35,34,,
