rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
124,461,0,13,6,42,4,1220.3386,2.6415303,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,125,45,-6.465873,17956107,Pecan Bayou
125,496,0,14,6,42,5,946.3642,2.7303104,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,126,45,-5.382521,17956107,Pecan Bayou
126,497,0,14,7,42,6,905.7902,2.806202,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,127,45,-4.456444,17956107,Pecan Bayou
127,532,0,15,7,42,7,531.92285,2.8651118,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,128,45,-3.7375875,17956107,Pecan Bayou
128,533,3,15,8,42,8,1298.2706,2.9401035,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,129,45,-2.8224907,17956107,Pecan Bayou
129,568,3,16,8,42,9,340.49152,3.0072513,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,130,45,-2.0031097,17956107,Pecan Bayou
130,569,3,16,9,42,10,467.7516,3.0403688,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,131,45,-1.598988,17956107,Pecan Bayou
131,534,3,15,9,42,11,570.8549,3.0829256,0.0001,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,132,45,-1.0796847,17956107,Pecan Bayou
132,535,3,15,10,42,12,794.2573,3.1388607,0.00044015259832121947,35.69922637939453,1,1.0,0.0,0.0,0.0,0.0,138,45,-0.39712864,17956107,Pecan Bayou
133,504,3,14,14,43,1,584.18994,23.780394,0.0007858496559739423,32.64985070101168,1,1.0,0.0,0.0,0.0,0.0,134,46,-0.7009792,17956091,None
134,539,3,15,14,43,2,408.88416,23.78554,0.0005375475373207007,32.19076523653414,1,1.0,0.0,0.0,0.0,0.0,143,46,-0.20444208,17956091,None
135,575,3,16,15,44,1,1181.2313,4.5950203,0.0006306974119949578,33.82982079386012,1,1.0,0.0,0.0,0.0,0.0,136,46,-1.6911979,17956151,None
136,540,3,15,15,44,2,197.2023,4.629523,0.003016343030146826,33.084821255323895,1,1.0,0.0,0.0,0.0,0.0,137,46,-1.001981,17956151,None
137,539,3,15,14,44,3,903.3799,4.6570706,0.000574532279447845,32.48999146909704,1,1.0,0.0,0.0,0.0,0.0,143,46,-0.45168993,17956151,None
138,535,3,15,10,45,1,720.16724,3.6396668,0.0010820593749202392,35.34963195440399,1,1.0,0.0,0.0,0.0,0.0,139,47,-3.6221442,17956169,None
139,536,3,15,11,45,2,885.122,3.6889193,0.0009591487834982919,34.57036824482474,1,1.0,0.0,0.0,0.0,0.0,140,47,-2.8194995,17956169,None
140,571,3,16,11,45,3,863.7497,3.7425773,0.0011522993267760841,33.721404546378814,1,1.0,0.0,0.0,0.0,0.0,141,47,-1.9450637,17956169,None
141,572,3,16,12,45,4,1186.5725,3.8054843,0.0006190563203608923,32.72610635452982,1,1.0,0.0,0.0,0.0,0.0,142,47,-0.9199027,17956169,None
142,573,3,16,13,45,5,326.61642,3.851911,0.000496081131798494,31.991551142792922,1,1.0,0.0,0.0,0.0,0.0,146,47,-0.1633082,17956169,None
143,539,3,15,14,46,1,838.2556,24.286957,0.0001,31.97097056581745,1,1.0,0.0,0.0,0.0,0.0,144,47,-1.8791698,17957929,None
144,574,3,16,14,46,2,425.44507,24.293375,0.00012598292923269807,31.924579530008195,1,1.0,0.0,0.0,0.0,0.0,145,47,-1.2473195,17957929,None
