rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
154,304,3,8,24,66,1,1072.6873,3.421637,1e-05,36.61037063598633,1,1.0,0.0,0.0,0.0,0.0,155,80,-1.6209774,18046688,None
155,305,3,8,25,66,2,1053.1478,3.492017,1e-05,36.61037063598633,1,1.0,0.0,0.0,0.0,0.0,188,80,-0.5580599,18046688,None
156,36,0,1,1,67,1,1005.48914,4.6024055,0.0001602607373224719,36.22855397149391,1,1.0,0.0,0.0,0.0,0.0,157,0,-1.1885018,17955487,None
157,71,0,2,1,67,2,685.7572,4.6791425,0.001,36.06741354123013,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.3428786,17955487,None
158,581,3,16,21,68,1,223.72618,2.9556274,0.001,36.7502326965332,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.423388,17956199,None
159,737,0,21,2,69,1,247.41435,31.98226,0.001,30.79560089111328,1,9.769261,0.0,0.0,0.0,0.0,0,0,-0.123707175,17956403,Big Sunflower River
160,842,0,24,2,70,1,445.9215,33.37031,1e-05,30.79560089111328,1,1.0,0.0,0.0,0.0,0.0,161,0,-2.629181,17956869,Big Sunflower River
161,877,0,25,2,70,2,340.44287,33.385395,1e-05,30.79560089111328,1,1.7773949,0.0,0.0,0.0,0.0,162,0,-1.9712852,17956869,Big Sunflower River
162,912,0,26,2,70,3,541.9512,33.409004,1e-05,30.79560089111328,1,2.0862062,0.0,0.0,0.0,0.0,163,0,-0.9411891,17956869,Big Sunflower River
163,947,0,27,2,70,4,670.21356,33.422897,0.001,30.79560089111328,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.33510676,17956869,Big Sunflower River
164,953,0,27,8,71,1,594.91943,4.9349484,0.001,34.10989570617676,1,3.1808918,0.0,0.0,0.0,0.0,0,0,-0.29745972,17956879,None
165,820,3,23,15,72,1,286.62708,3.0351226,0.0002756497341941029,32.64890206392305,1,1.0,0.0,0.0,0.0,0.0,166,0,-4.6401978,17956913,None
166,854,3,24,14,72,2,1370.1298,3.1031506,6.038067573810619e-05,32.56989338683263,1,1.0,0.0,0.0,0.0,0.0,167,0,-3.7796285,17956913,None
167,889,3,25,14,72,3,364.64728,3.1717176,0.00013934788390539956,32.48716402603013,1,1.0,0.0,0.0,0.0,0.0,168,0,-2.91224,17956913,None
168,888,3,25,13,72,4,700.86237,3.213832,0.00011577664624435947,32.43635119949237,1,1.0,0.0,0.0,0.0,0.0,169,0,-2.3794854,17956913,None
169,923,0,26,13,72,5,1000.6598,3.2810848,0.001,32.355207705310114,1,1.0,0.0,0.0,0.0,0.0,0,0,-1.5287242,17956913,None
170,958,0,27,13,73,1,390.03632,6.7162113,0.0006818625491072092,32.65512976007584,1,2.319579,0.0,0.0,0.0,0.0,171,0,-0.36793956,17956919,Turkey Bayou
171,959,0,27,14,73,2,172.9214,6.734333,0.001,32.38917860345963,1,6.7781124,0.0,0.0,0.0,0.0,0,0,-0.086460695,17956919,Turkey Bayou
172,886,0,25,11,74,1,116.209755,25.237219,0.0006525096969766243,29.66454411836076,1,9.604974,0.0,0.0,0.0,0.0,173,0,-2.910668,17956955,None
173,920,0,26,10,74,2,333.36008,25.243288,0.0006123785386998544,29.58871612637662,1,1.0,0.0,0.0,0.0,0.0,174,0,-2.5017755,17956955,None
174,921,0,26,11,74,3,876.96234,25.25227,0.0004491134784317679,29.384573569621097,1,1.2098312,0.0,0.0,0.0,0.0,175,0,-1.8966143,17956955,None
175,956,0,27,11,74,4,1458.133,25.269598,0.001,28.990717962062327,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.72906655,17956955,None
176,916,0,26,6,75,1,794.92035,4.6767673,1e-05,33.31502914428711,1,1.0,0.0,0.0,0.0,0.0,177,0,-1.3991184,17956961,None
177,951,0,27,6,75,2,1001.65826,4.7611146,0.001,33.31502914428711,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.5008291,17956961,None
178,7,3,0,7,76,1,160.48048,19.42144,1e-05,32.91991424560547,1,3.6370275,0.0,0.0,0.0,0.0,179,0,-4.1540933,17957815,None
179,42,3,1,7,76,2,1066.5188,19.429157,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,180,0,-3.5405939,17957815,None
180,77,3,2,7,76,3,720.3323,19.440397,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,181,0,-2.6471682,17957815,None
181,76,3,2,6,76,4,481.51633,19.447956,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,182,0,-2.046244,17957815,None
182,111,3,3,6,76,5,870.5771,19.45646,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,183,0,-1.3701972,17957815,None
183,110,3,3,5,76,6,913.12683,19.46768,0.001,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.47834527,17957815,None
184,597,0,17,2,77,1,1006.08044,31.74935,0.001,30.79560089111328,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.50304025,17958207,Big Sunflower River
185,382,3,10,32,78,1,1370.5671,3.0025442,0.001,37.34619140625,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.6852836,18022216,None
186,906,3,25,31,79,1,94.49058,73.41919,1e-05,34.17790222167969,1,13.223722,0.0,0.0,0.0,0.0,187,0,-1.5962735,18022256,Yalobusha River
187,941,3,26,31,79,2,850.6508,73.41919,0.00036955418799498863,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,0,0,-1.1237028,18022256,Yalobusha River
188,306,3,8,26,80,1,632.4843,3.7100964,1e-05,36.60846911138268,1,1.0,0.0,0.0,0.0,0.0,189,0,-5.5313034,18047170,None
189,271,3,7,26,80,2,1129.0331,3.7624633,1e-05,36.603173220040894,1,1.0,0.0,0.0,0.0,0.0,190,0,-4.6505446,18047170,None
