per,rno,inflow,runoff,specified_line_id,category,n_measured,n_estimated,start_datetime,line_id_in_model
0,115,,11930.666149624163,,,,,2007-01-01,17956813
0,116,,11930.666149624163,,,,,2007-01-01,17956813
0,117,,11930.666149624163,,,,,2007-01-01,17956813
0,120,,176.50436471568628,,,,,2007-01-01,17958269
0,121,,176.50436471568628,,,,,2007-01-01,17958269
0,122,,176.50436471568628,,,,,2007-01-01,17958269
0,124,,10292.94151677669,,,,,2007-01-01,17958265
0,126,,6852.762242362088,,,,,2007-01-01,17956335
0,127,,5035.212750973964,,,,,2007-01-01,17956705
0,128,,446.96111040000005,,,,,2007-01-01,17958031
0,129,,446.96111040000005,,,,,2007-01-01,17958031
0,130,,446.96111040000005,,,,,2007-01-01,17958031
0,131,,446.96111040000005,,,,,2007-01-01,17958031
0,132,,446.96111040000005,,,,,2007-01-01,17958031
0,133,,664.5084808914287,,,,,2007-01-01,17958025
0,134,,664.5084808914287,,,,,2007-01-01,17958025
0,135,,664.5084808914287,,,,,2007-01-01,17958025
0,136,,664.5084808914287,,,,,2007-01-01,17958025
0,137,,664.5084808914287,,,,,2007-01-01,17958025
0,138,,2565.8637556342856,,,,,2007-01-01,17958237
0,141,,428.5800270428572,,,,,2007-01-01,17958241
0,142,,851.4658795588235,,,,,2007-01-01,17956823
0,143,,851.4658795588235,,,,,2007-01-01,17956823
0,144,,29169.090386053744,,,,,2007-01-01,17956827
0,149,,10276.722227692751,,,,,2007-01-01,17955371
0,150,,889.5123917142859,,,,,2007-01-01,17958205
0,151,,889.5123917142859,,,,,2007-01-01,17958205
0,152,,889.5123917142859,,,,,2007-01-01,17958205
0,153,,13230.459611155613,,,,,2007-01-01,18022250
0,154,,5352.433745653361,,,,,2007-01-01,18046688
0,155,,5352.433745653361,,,,,2007-01-01,18046688
0,156,,2949.3091009534287,,,,,2007-01-01,17955487
0,157,,2949.3091009534287,,,,,2007-01-01,17955487
0,158,,537.475882269697,,,,,2007-01-01,17956199
0,160,,2541.8152300628003,,,,,2007-01-01,17956869
