per,k,i,j,q,boundname
1,2,10,3,-1721.0056,wel_100278
1,2,10,4,-2591.0198,wel_100279
1,3,10,6,-1061.2406,wel_100280
1,3,10,8,-1419.5367,wel_100281
1,3,10,9,-815.3811,wel_100282
1,3,10,11,-2210.913,wel_100283
1,3,10,12,-770.26025,wel_100284
1,3,10,14,-1828.4453,wel_100285
1,3,10,16,-582.1562,wel_100286
1,3,10,17,-1153.2499,wel_100287
1,3,10,19,-1261.9573,wel_100288
1,3,10,21,-747.2874,wel_100289
1,3,10,22,-705.2841,wel_100290
1,3,10,24,-1447.5159,wel_100291
1,3,10,25,-1757.9325,wel_100292
1,3,10,27,-1571.9304,wel_100293
1,3,10,29,-611.34937,wel_100294
1,3,10,30,-1076.5386,wel_100295
1,3,10,32,-15.121196,wel_100296
1,2,11,3,-2891.4421,wel_100672
1,2,11,4,-694.3502,wel_100673
1,3,11,6,-1610.3135,wel_100674
1,3,11,8,-1464.6152,wel_100675
1,3,11,9,-1398.5798,wel_100676
1,3,11,11,-2206.4446,wel_100677
1,3,11,12,-3672.6047,wel_100678
1,3,11,14,-1114.3414,wel_100679
1,3,11,16,0.0,wel_100680
1,3,11,17,0.0,wel_100681
1,3,11,19,-688.58075,wel_100682
1,3,11,21,-680.7239400000001,wel_100683
1,5,11,22,-846.1836,wel_100684
2,9,11,22,-565.5480299999999,wel_100684
3,9,11,22,-565.5480299999999,wel_100684
4,9,11,22,-565.5480299999999,wel_100684
5,9,11,22,-565.5480299999999,wel_100684
6,9,11,22,-565.5480299999999,wel_100684
7,9,11,22,-565.5480299999999,wel_100684
8,9,11,22,-565.5480299999999,wel_100684
9,9,11,22,-565.5480299999999,wel_100684
10,9,11,22,-565.5480299999999,wel_100684
11,9,11,22,-565.5480299999999,wel_100684
12,9,11,22,-565.5480299999999,wel_100684
13,9,11,22,-565.5480299999999,wel_100684
14,9,11,22,-565.5480299999999,wel_100684
15,9,11,22,-565.5480299999999,wel_100684
16,9,11,22,-565.5480299999999,wel_100684
17,9,11,22,-565.5480299999999,wel_100684
18,9,11,22,-565.5480299999999,wel_100684
1,3,11,24,-1507.2859,wel_100685
1,3,11,25,-1349.3657,wel_100686
1,3,11,27,-668.9363,wel_100687
1,3,11,29,-1978.0143,wel_100688
2,8,11,29,-121.332016,wel_100688
3,8,11,29,-121.332016,wel_100688
4,8,11,29,-121.332016,wel_100688
5,8,11,29,-121.332016,wel_100688
6,8,11,29,-121.332016,wel_100688
7,8,11,29,-121.332016,wel_100688
8,8,11,29,-121.332016,wel_100688
9,8,11,29,-121.332016,wel_100688
10,8,11,29,-121.332016,wel_100688
11,8,11,29,-121.332016,wel_100688
12,8,11,29,-121.332016,wel_100688
13,8,11,29,-121.332016,wel_100688
14,8,11,29,-121.332016,wel_100688
15,8,11,29,-121.332016,wel_100688
16,8,11,29,-121.332016,wel_100688
17,8,11,29,-121.332016,wel_100688
18,8,11,29,-121.332016,wel_100688
1,3,11,30,-218.43616,wel_100689
1,3,11,32,-61.810013,wel_100690
1,2,13,3,-1284.1729,wel_101066
1,2,13,4,-1765.8777,wel_101067
1,2,13,6,-897.6132,wel_101068
1,3,13,8,-1026.0208,wel_101069
1,3,13,9,-1132.8157,wel_101070
1,3,13,11,-2512.8042,wel_101071
1,3,13,12,-2238.063,wel_101072
1,3,13,14,-968.5112,wel_101073
1,3,13,16,0.0,wel_101074
1,3,13,17,0.0,wel_101075
1,3,13,19,-465.8384400000001,wel_101076
1,3,13,21,-798.22,wel_101077
1,3,13,22,-1321.924,wel_101078
1,3,13,24,-974.514,wel_101079
1,3,13,25,-281.82623,wel_101080
1,3,13,27,-40.77626,wel_101081
1,3,13,29,-3.4150116,wel_101082
1,7,13,30,-963.46655,wel_101083
2,8,13,30,-121.332016,wel_101083
3,8,13,30,-121.332016,wel_101083
4,8,13,30,-121.332016,wel_101083
5,8,13,30,-121.332016,wel_101083
6,8,13,30,-121.332016,wel_101083
7,8,13,30,-121.332016,wel_101083
8,8,13,30,-121.332016,wel_101083
9,8,13,30,-121.332016,wel_101083
10,8,13,30,-121.332016,wel_101083
11,8,13,30,-121.332016,wel_101083
12,8,13,30,-121.332016,wel_101083
13,8,13,30,-121.332016,wel_101083
14,8,13,30,-121.332016,wel_101083
15,8,13,30,-121.332016,wel_101083
16,8,13,30,-121.332016,wel_101083
17,8,13,30,-121.332016,wel_101083
18,8,13,30,-121.332016,wel_101083
1,8,13,32,-147.49553,wel_101084
2,8,13,32,-121.332016,wel_101084
3,8,13,32,-121.332016,wel_101084
4,8,13,32,-121.332016,wel_101084
5,8,13,32,-121.332016,wel_101084
6,8,13,32,-121.332016,wel_101084
7,8,13,32,-121.332016,wel_101084
8,8,13,32,-121.332016,wel_101084
9,8,13,32,-121.332016,wel_101084
10,8,13,32,-121.332016,wel_101084
11,8,13,32,-121.332016,wel_101084
12,8,13,32,-121.332016,wel_101084
13,8,13,32,-121.332016,wel_101084
14,8,13,32,-121.332016,wel_101084
15,8,13,32,-121.332016,wel_101084
16,8,13,32,-121.332016,wel_101084
17,8,13,32,-121.332016,wel_101084
18,8,13,32,-121.332016,wel_101084
1,2,14,3,-1171.4324,wel_101460
1,2,14,4,-1720.8287,wel_101461
1,2,14,6,-1110.5142,wel_101462
1,3,14,8,-3773.4236,wel_101463
1,3,14,9,-1525.0724,wel_101464
1,3,14,11,-536.9814,wel_101465
1,4,14,12,-1996.2651,wel_101466
2,9,14,12,-565.5480299999999,wel_101466
3,9,14,12,-565.5480299999999,wel_101466
4,9,14,12,-565.5480299999999,wel_101466
5,9,14,12,-565.5480299999999,wel_101466
6,9,14,12,-565.5480299999999,wel_101466
7,9,14,12,-565.5480299999999,wel_101466
8,9,14,12,-565.5480299999999,wel_101466
9,9,14,12,-565.5480299999999,wel_101466
10,9,14,12,-565.5480299999999,wel_101466
11,9,14,12,-565.5480299999999,wel_101466
12,9,14,12,-565.5480299999999,wel_101466
13,9,14,12,-565.5480299999999,wel_101466
14,9,14,12,-565.5480299999999,wel_101466
15,9,14,12,-565.5480299999999,wel_101466
16,9,14,12,-565.5480299999999,wel_101466
17,9,14,12,-565.5480299999999,wel_101466
18,9,14,12,-565.5480299999999,wel_101466
1,3,14,14,-1285.5006,wel_101467
1,3,14,16,-1521.8749,wel_101468
1,3,14,17,-729.5123,wel_101469
1,3,14,19,-1844.6855,wel_101470
2,9,14,19,-1252.4281,wel_101470
3,9,14,19,-1252.4281,wel_101470
4,9,14,19,-1252.4281,wel_101470
5,9,14,19,-1252.4281,wel_101470
6,9,14,19,-1252.4281,wel_101470
7,9,14,19,-1252.4281,wel_101470
8,9,14,19,-1252.4281,wel_101470
9,9,14,19,-1252.4281,wel_101470
10,9,14,19,-1252.4281,wel_101470
11,9,14,19,-1252.4281,wel_101470
12,9,14,19,-1252.4281,wel_101470
13,9,14,19,-1252.4281,wel_101470
14,9,14,19,-1252.4281,wel_101470
15,9,14,19,-1252.4281,wel_101470
16,9,14,19,-1252.4281,wel_101470
17,9,14,19,-1252.4281,wel_101470
18,9,14,19,-1252.4281,wel_101470
1,3,14,21,-818.4823,wel_101471
1,3,14,22,-1307.8079,wel_101472
1,3,14,24,-829.9171,wel_101473
1,3,14,25,0.0,wel_101474
1,3,14,27,0.0,wel_101475
1,3,14,29,-399.73746,wel_101476
1,3,14,30,-625.1568599999999,wel_101477
1,3,14,32,-300.73056,wel_101478
1,2,16,3,-1807.4011,wel_101854
1,2,16,4,-1762.3506,wel_101855
1,2,16,6,-2303.5398,wel_101856
1,3,16,8,-1637.5419,wel_101857
1,3,16,9,-3399.6714,wel_101858
1,3,16,11,-2289.3052,wel_101859
1,3,16,12,-2181.689,wel_101860
1,3,16,14,-3343.8628,wel_101861
1,3,16,16,-1526.6069,wel_101862
1,3,16,17,-1931.9088,wel_101863
1,3,16,19,-982.0604,wel_101864
1,3,16,21,-2072.2502,wel_101865
1,3,16,22,-1320.1029999999998,wel_101866
1,3,16,24,-715.2485,wel_101867
1,3,16,25,-240.92538,wel_101868
1,3,16,27,0.0,wel_101869
1,3,16,29,-413.0212,wel_101870
1,3,16,30,-519.49255,wel_101871
1,3,16,32,-442.42825,wel_101872
1,2,18,3,-2354.7670000000003,wel_102248
1,2,18,4,-1524.5757,wel_102249
1,2,18,6,-1614.4979999999998,wel_102250
1,2,18,8,-2918.7344,wel_102251
1,2,18,9,-3764.292,wel_102252
1,3,18,11,-2430.8462,wel_102253
1,3,18,12,-995.3902,wel_102254
1,3,18,14,-1559.1813,wel_102255
1,3,18,16,-558.4738,wel_102256
1,3,18,17,-1932.9077,wel_102257
1,3,18,19,-952.0351,wel_102258
1,3,18,21,-1729.8696,wel_102259
1,3,18,22,-1495.8431,wel_102260
1,3,18,24,-807.3758,wel_102261
1,3,18,25,-1048.4996,wel_102262
1,3,18,27,-935.5012,wel_102263
1,3,18,29,-725.3277,wel_102264
1,3,18,30,-569.6669,wel_102265
1,3,18,32,-330.53122,wel_102266
1,2,19,3,-1055.7251,wel_102642
1,2,19,4,-1487.6923,wel_102643
1,2,19,6,-2113.5227,wel_102644
1,2,19,8,-1157.8262,wel_102645
1,2,19,9,-2710.9663,wel_102646
1,3,19,11,-1174.6956,wel_102647
1,3,19,12,-1143.2938,wel_102648
1,3,19,14,-1178.7737,wel_102649
1,3,19,16,-1493.6566,wel_102650
1,3,19,17,-2436.475,wel_102651
1,3,19,19,-2244.648,wel_102652
1,3,19,21,-1945.2637,wel_102653
1,5,19,22,-741.96796,wel_102654
2,8,19,22,-121.332016,wel_102654
3,8,19,22,-121.332016,wel_102654
4,8,19,22,-121.332016,wel_102654
5,8,19,22,-121.332016,wel_102654
6,8,19,22,-121.332016,wel_102654
7,8,19,22,-121.332016,wel_102654
8,8,19,22,-121.332016,wel_102654
9,8,19,22,-121.332016,wel_102654
10,8,19,22,-121.332016,wel_102654
11,8,19,22,-121.332016,wel_102654
12,8,19,22,-121.332016,wel_102654
13,8,19,22,-121.332016,wel_102654
14,8,19,22,-121.332016,wel_102654
15,8,19,22,-121.332016,wel_102654
16,8,19,22,-121.332016,wel_102654
17,8,19,22,-121.332016,wel_102654
18,8,19,22,-121.332016,wel_102654
1,3,19,24,-929.13776,wel_102655
1,3,19,25,-1226.4662,wel_102656
1,3,19,27,-504.63452,wel_102657
1,3,19,29,-1143.9226,wel_102658
1,3,19,30,-1197.3269,wel_102659
1,3,19,32,-1059.4724,wel_102660
1,2,21,3,-2157.7336,wel_103036
2,9,21,3,-570.13873,wel_103036
3,9,21,3,-570.13873,wel_103036
4,9,21,3,-570.13873,wel_103036
5,9,21,3,-570.13873,wel_103036
6,9,21,3,-570.13873,wel_103036
7,9,21,3,-570.13873,wel_103036
8,9,21,3,-570.13873,wel_103036
9,9,21,3,-570.13873,wel_103036
10,9,21,3,-570.13873,wel_103036
11,9,21,3,-570.13873,wel_103036
12,9,21,3,-570.13873,wel_103036
13,9,21,3,-570.13873,wel_103036
14,9,21,3,-570.13873,wel_103036
15,9,21,3,-570.13873,wel_103036
16,9,21,3,-570.13873,wel_103036
17,9,21,3,-570.13873,wel_103036
18,9,21,3,-570.13873,wel_103036
1,2,21,4,-2773.7937,wel_103037
1,2,21,6,-4300.5566,wel_103038
1,2,21,8,-1472.6929,wel_103039
1,2,21,9,-2158.8362,wel_103040
1,3,21,11,-1661.1722,wel_103041
1,3,21,12,-3643.3977,wel_103042
2,9,21,12,-1131.0961,wel_103042
3,9,21,12,-1131.0961,wel_103042
4,9,21,12,-1131.0961,wel_103042
5,9,21,12,-1131.0961,wel_103042
6,9,21,12,-1131.0961,wel_103042
7,9,21,12,-1131.0961,wel_103042
8,9,21,12,-1131.0961,wel_103042
9,9,21,12,-1131.0961,wel_103042
10,9,21,12,-1131.0961,wel_103042
11,9,21,12,-1131.0961,wel_103042
12,9,21,12,-1131.0961,wel_103042
13,9,21,12,-1131.0961,wel_103042
14,9,21,12,-1131.0961,wel_103042
15,9,21,12,-1131.0961,wel_103042
16,9,21,12,-1131.0961,wel_103042
17,9,21,12,-1131.0961,wel_103042
18,9,21,12,-1131.0961,wel_103042
1,3,21,14,-3973.7424,wel_103043
1,3,21,16,-427.64374,wel_103044
1,3,21,17,-3717.022,wel_103045
1,3,21,19,-6246.1357,wel_103046
1,3,21,21,-2260.3920000000003,wel_103047
1,3,21,22,-912.6735,wel_103048
1,3,21,24,-2488.0706,wel_103049
1,3,21,25,-1390.5403,wel_103050
1,3,21,27,-1851.7344,wel_103051
1,3,21,29,-772.62946,wel_103052
1,3,21,30,-692.2804,wel_103053
1,3,21,32,-77.83169000000001,wel_103054
1,2,22,3,-2145.5688,wel_103430
1,2,22,4,-3539.5857,wel_103431
1,2,22,6,-2486.487,wel_103432
1,2,22,8,-2167.5435,wel_103433
1,2,22,9,-2398.7888,wel_103434
1,3,22,11,-2189.725,wel_103435
1,3,22,12,-1571.7775,wel_103436
1,3,22,14,-2128.187,wel_103437
1,3,22,16,-398.66614,wel_103438
1,3,22,17,-3296.1978,wel_103439
1,3,22,19,-1277.0784,wel_103440
1,3,22,21,-1320.6249,wel_103441
1,3,22,22,-864.1668,wel_103442
1,3,22,24,-2347.0872,wel_103443
1,3,22,25,-1218.5726,wel_103444
1,3,22,27,-1305.4183,wel_103445
1,3,22,29,-1568.4818,wel_103446
1,3,22,30,-1384.8623,wel_103447
1,3,22,32,-201.13455,wel_103448
1,2,24,3,-2641.0112,wel_103824
1,2,24,4,-2857.6292,wel_103825
1,2,24,6,-2605.4368,wel_103826
1,2,24,8,-3325.0547,wel_103827
1,2,24,9,-3226.8347,wel_103828
1,2,24,11,-2286.2344,wel_103829
1,2,24,12,-2972.1394,wel_103830
1,3,24,14,-2803.651,wel_103831
1,3,24,16,-2916.526,wel_103832
1,3,24,17,-2446.084,wel_103833
1,3,24,19,-596.9108,wel_103834
1,3,24,21,-1795.2654,wel_103835
1,3,24,22,-3908.1042,wel_103836
1,3,24,24,-2423.859,wel_103837
1,3,24,25,-1503.8943,wel_103838
1,3,24,27,-632.2235,wel_103839
1,3,24,29,-1561.9133,wel_103840
1,3,24,30,-568.1708,wel_103841
1,3,24,32,-779.14233,wel_103842
1,2,26,3,-1421.7179,wel_104218
2,6,26,3,-151.68626,wel_104218
3,6,26,3,-151.68626,wel_104218
4,6,26,3,-151.68626,wel_104218
5,6,26,3,-151.68626,wel_104218
6,6,26,3,-151.68626,wel_104218
7,6,26,3,-151.68626,wel_104218
8,6,26,3,-151.68626,wel_104218
9,6,26,3,-151.68626,wel_104218
10,6,26,3,-151.68626,wel_104218
11,6,26,3,-151.68626,wel_104218
12,6,26,3,-151.68626,wel_104218
13,6,26,3,-151.68626,wel_104218
14,6,26,3,-151.68626,wel_104218
15,6,26,3,-151.68626,wel_104218
16,6,26,3,-151.68626,wel_104218
17,6,26,3,-151.68626,wel_104218
18,6,26,3,-151.68626,wel_104218
1,2,26,4,-2118.5322,wel_104219
1,2,26,6,-2431.552,wel_104220
2,6,26,6,-106.180244,wel_104220
3,6,26,6,-106.180244,wel_104220
4,6,26,6,-106.180244,wel_104220
5,6,26,6,-106.180244,wel_104220
6,6,26,6,-106.180244,wel_104220
7,6,26,6,-106.180244,wel_104220
8,6,26,6,-106.180244,wel_104220
9,6,26,6,-106.180244,wel_104220
10,6,26,6,-106.180244,wel_104220
11,6,26,6,-106.180244,wel_104220
12,6,26,6,-106.180244,wel_104220
13,6,26,6,-106.180244,wel_104220
14,6,26,6,-106.180244,wel_104220
15,6,26,6,-106.180244,wel_104220
16,6,26,6,-106.180244,wel_104220
17,6,26,6,-106.180244,wel_104220
18,6,26,6,-106.180244,wel_104220
1,2,26,8,-4920.726,wel_104221
1,2,26,9,-1624.5754,wel_104222
1,2,26,11,-461.51382,wel_104223
1,2,26,12,-3413.5464,wel_104224
1,2,26,14,-3010.9348,wel_104225
1,3,26,16,-5372.4097,wel_104226
2,9,26,16,-1696.644,wel_104226
3,9,26,16,-1696.644,wel_104226
4,9,26,16,-1696.644,wel_104226
5,9,26,16,-1696.644,wel_104226
6,9,26,16,-1696.644,wel_104226
7,9,26,16,-1696.644,wel_104226
8,9,26,16,-1696.644,wel_104226
9,9,26,16,-1696.644,wel_104226
10,9,26,16,-1696.644,wel_104226
11,9,26,16,-1696.644,wel_104226
12,9,26,16,-1696.644,wel_104226
13,9,26,16,-1696.644,wel_104226
14,9,26,16,-1696.644,wel_104226
15,9,26,16,-1696.644,wel_104226
16,9,26,16,-1696.644,wel_104226
17,9,26,16,-1696.644,wel_104226
18,9,26,16,-1696.644,wel_104226
1,3,26,17,-1971.0383,wel_104227
1,3,26,19,-793.3511,wel_104228
1,3,26,21,-1312.7020000000002,wel_104229
1,3,26,22,-2254.8267,wel_104230
1,3,26,24,-1420.5059,wel_104231
1,3,26,25,-1158.2683,wel_104232
1,3,26,27,-1890.985,wel_104233
1,3,26,29,-1476.1416,wel_104234
1,3,26,30,-3986.6614,wel_104235
1,3,26,32,-797.51166,wel_104236
1,2,27,3,-3711.5789,wel_104612
2,8,27,3,-120.50177,wel_104612
3,8,27,3,-120.50177,wel_104612
4,8,27,3,-120.50177,wel_104612
5,8,27,3,-120.50177,wel_104612
6,8,27,3,-120.50177,wel_104612
7,8,27,3,-120.50177,wel_104612
8,8,27,3,-120.50177,wel_104612
9,8,27,3,-120.50177,wel_104612
10,8,27,3,-120.50177,wel_104612
11,8,27,3,-120.50177,wel_104612
12,8,27,3,-120.50177,wel_104612
13,8,27,3,-120.50177,wel_104612
14,8,27,3,-120.50177,wel_104612
15,8,27,3,-120.50177,wel_104612
16,8,27,3,-120.50177,wel_104612
17,8,27,3,-120.50177,wel_104612
18,8,27,3,-120.50177,wel_104612
1,2,27,4,-1876.3314,wel_104613
1,2,27,6,-4118.1357,wel_104614
1,2,27,8,-1338.5348,wel_104615
1,2,27,9,-2494.051,wel_104616
1,2,27,11,-654.7181,wel_104617
1,2,27,12,-1392.027,wel_104618
1,2,27,14,-2804.7068,wel_104619
1,4,27,16,-3209.397,wel_104620
2,6,27,16,-1483.8752,wel_104620
3,6,27,16,-1483.8752,wel_104620
4,6,27,16,-1483.8752,wel_104620
5,6,27,16,-1483.8752,wel_104620
6,6,27,16,-1483.8752,wel_104620
7,6,27,16,-1483.8752,wel_104620
8,6,27,16,-1483.8752,wel_104620
9,6,27,16,-1483.8752,wel_104620
10,6,27,16,-1483.8752,wel_104620
11,6,27,16,-1483.8752,wel_104620
12,6,27,16,-1483.8752,wel_104620
13,6,27,16,-1483.8752,wel_104620
14,6,27,16,-1483.8752,wel_104620
15,6,27,16,-1483.8752,wel_104620
16,6,27,16,-1483.8752,wel_104620
17,6,27,16,-1483.8752,wel_104620
18,6,27,16,-1483.8752,wel_104620
1,3,27,17,-2284.2788,wel_104621
1,3,27,19,-752.8422,wel_104622
1,3,27,21,-1197.8595,wel_104623
2,9,27,21,-565.5480299999999,wel_104623
3,9,27,21,-565.5480299999999,wel_104623
4,9,27,21,-565.5480299999999,wel_104623
5,9,27,21,-565.5480299999999,wel_104623
6,9,27,21,-565.5480299999999,wel_104623
7,9,27,21,-565.5480299999999,wel_104623
8,9,27,21,-565.5480299999999,wel_104623
9,9,27,21,-565.5480299999999,wel_104623
10,9,27,21,-565.5480299999999,wel_104623
11,9,27,21,-565.5480299999999,wel_104623
12,9,27,21,-565.5480299999999,wel_104623
13,9,27,21,-565.5480299999999,wel_104623
14,9,27,21,-565.5480299999999,wel_104623
15,9,27,21,-565.5480299999999,wel_104623
16,9,27,21,-565.5480299999999,wel_104623
17,9,27,21,-565.5480299999999,wel_104623
18,9,27,21,-565.5480299999999,wel_104623
1,3,27,22,-1205.5087,wel_104624
2,0,26,2,-1176.3673,wel_58514
4,0,26,2,-4133.879,wel_58514
6,0,26,2,-3018.5806,wel_58514
8,0,26,2,-9149.978,wel_58514
9,0,26,2,-6.853656,wel_58514
10,0,26,2,-12027.056,wel_58514
12,0,26,2,-12533.334,wel_58514
14,0,26,2,-6342.7793,wel_58514
16,0,26,2,-4670.081,wel_58514
18,0,26,2,-5341.816,wel_58514
2,0,26,4,-959.3379,wel_58515
4,0,26,4,-2230.6467,wel_58515
6,0,26,4,-1173.4059,wel_58515
8,0,26,4,-3221.7295,wel_58515
10,0,26,4,-3947.2551,wel_58515
12,0,26,4,-4457.8647,wel_58515
14,0,26,4,-2208.4597,wel_58515
16,0,26,4,-3124.704,wel_58515
18,0,26,4,-2439.6836,wel_58515
2,0,26,5,-1722.5541,wel_58516
4,0,26,5,-2005.8772,wel_58516
6,0,26,5,-1596.0399,wel_58516
8,0,26,5,-3877.3025,wel_58516
10,0,26,5,-4001.6726,wel_58516
12,0,26,5,-4169.824000000001,wel_58516
14,0,26,5,-2234.0076,wel_58516
16,0,26,5,-3197.2795,wel_58516
18,0,26,5,-2894.9075,wel_58516
2,0,26,7,-4919.8906,wel_58517
4,0,26,7,-3202.3237,wel_58517
6,0,26,7,-2530.9517,wel_58517
8,0,26,7,-8653.576,wel_58517
