#k i j head boundname
1 11 25 290.497 perimeter-heads
1 12 25 290.011 perimeter-heads
1 13 25 289.916 perimeter-heads
1 18 25 288.768 perimeter-heads
2 1 25 298.159 perimeter-heads
2 2 25 297.497 perimeter-heads
2 3 25 296.675 perimeter-heads
2 4 25 295.998 perimeter-heads
2 5 25 295.366 perimeter-heads
2 6 25 294.68 perimeter-heads
2 7 25 293.793 perimeter-heads
2 8 25 292.713 perimeter-heads
2 9 25 291.785 perimeter-heads
2 10 25 291.057 perimeter-heads
2 11 25 290.504 perimeter-heads
2 12 25 290.039 perimeter-heads
2 13 25 289.922 perimeter-heads
2 14 25 289.785 perimeter-heads
2 15 25 289.611 perimeter-heads
2 16 25 289.381 perimeter-heads
2 17 25 289.093 perimeter-heads
2 18 25 288.772 perimeter-heads
2 19 25 288.521 perimeter-heads
2 21 25 287.97 perimeter-heads
2 24 25 286.681 perimeter-heads
2 25 25 286.168 perimeter-heads
2 25 22 287.597 perimeter-heads
2 25 23 287.059 perimeter-heads
2 1 18 303.251 perimeter-heads
2 1 19 302.245 perimeter-heads
2 1 20 301.542 perimeter-heads
2 1 21 300.854 perimeter-heads
2 1 22 300.141 perimeter-heads
2 1 23 299.497 perimeter-heads
2 1 24 298.798 perimeter-heads
3 1 25 298.144 perimeter-heads
3 2 25 297.476 perimeter-heads
3 3 25 296.684 perimeter-heads
3 4 25 296 perimeter-heads
3 5 25 295.355 perimeter-heads
3 6 25 294.652 perimeter-heads
3 7 25 293.764 perimeter-heads
3 8 25 292.714 perimeter-heads
3 9 25 291.803 perimeter-heads
3 10 25 291.081 perimeter-heads
3 11 25 290.517 perimeter-heads
3 12 25 290.094 perimeter-heads
3 13 25 289.935 perimeter-heads
3 14 25 289.777 perimeter-heads
3 15 25 289.59 perimeter-heads
3 16 25 289.363 perimeter-heads
3 17 25 289.086 perimeter-heads
3 18 25 288.78 perimeter-heads
3 19 25 288.526 perimeter-heads
3 20 25 288.31 perimeter-heads
3 21 25 287.968 perimeter-heads
3 22 25 287.613 perimeter-heads
3 23 25 287.193 perimeter-heads
3 24 25 286.684 perimeter-heads
3 25 25 286.181 perimeter-heads
3 1 1 312.739 perimeter-heads
3 2 1 312.529 perimeter-heads
3 3 1 312.285 perimeter-heads
3 4 1 312.119 perimeter-heads
3 5 1 311.924 perimeter-heads
3 6 1 311.716 perimeter-heads
3 7 1 311.507 perimeter-heads
3 8 1 311.256 perimeter-heads
3 25 18 290.709 perimeter-heads
3 25 19 289.276 perimeter-heads
3 25 20 288.682 perimeter-heads
3 25 21 288.076 perimeter-heads
3 25 22 287.597 perimeter-heads
3 25 23 287.066 perimeter-heads
3 25 24 286.64 perimeter-heads
3 1 2 312.574 perimeter-heads
3 1 3 312.377 perimeter-heads
3 1 4 312.109 perimeter-heads
3 1 5 311.794 perimeter-heads
3 1 6 311.459 perimeter-heads
3 1 7 311.076 perimeter-heads
3 1 8 310.642 perimeter-heads
3 1 9 310.122 perimeter-heads
3 1 10 309.554 perimeter-heads
3 1 11 308.979 perimeter-heads
3 1 12 308.367 perimeter-heads
3 1 13 307.677 perimeter-heads
3 1 14 306.852 perimeter-heads
3 1 15 305.979 perimeter-heads
3 1 16 305.094 perimeter-heads
3 1 17 304.208 perimeter-heads
3 1 18 303.252 perimeter-heads
3 1 19 302.286 perimeter-heads
3 1 20 301.556 perimeter-heads
3 1 21 300.857 perimeter-heads
3 1 22 300.145 perimeter-heads
3 1 23 299.486 perimeter-heads
3 1 24 298.796 perimeter-heads
4 1 25 298.129 perimeter-heads
4 2 25 297.455 perimeter-heads
4 3 25 296.694 perimeter-heads
4 4 25 296.003 perimeter-heads
4 5 25 295.344 perimeter-heads
4 6 25 294.625 perimeter-heads
4 7 25 293.736 perimeter-heads
4 8 25 292.712 perimeter-heads
4 9 25 291.819 perimeter-heads
4 10 25 291.107 perimeter-heads
4 11 25 290.54 perimeter-heads
4 12 25 290.157 perimeter-heads
4 13 25 289.959 perimeter-heads
4 14 25 289.778 perimeter-heads
4 15 25 289.577 perimeter-heads
4 16 25 289.351 perimeter-heads
4 17 25 289.083 perimeter-heads
4 18 25 288.79 perimeter-heads
4 19 25 288.531 perimeter-heads
4 20 25 288.288 perimeter-heads
4 21 25 287.957 perimeter-heads
4 22 25 287.604 perimeter-heads
4 23 25 287.186 perimeter-heads
4 24 25 286.689 perimeter-heads
4 25 25 286.196 perimeter-heads
4 1 1 312.691 perimeter-heads
4 2 1 312.457 perimeter-heads
4 3 1 312.191 perimeter-heads
4 4 1 312.053 perimeter-heads
4 5 1 311.862 perimeter-heads
4 6 1 311.655 perimeter-heads
4 7 1 311.454 perimeter-heads
4 8 1 311.208 perimeter-heads
4 9 1 310.899 perimeter-heads
4 10 1 310.617 perimeter-heads
4 11 1 310.347 perimeter-heads
4 12 1 310.061 perimeter-heads
4 13 1 309.756 perimeter-heads
4 14 1 309.439 perimeter-heads
4 15 1 309.109 perimeter-heads
4 25 13 295.571 perimeter-heads
4 25 14 294.591 perimeter-heads
4 25 15 293.68 perimeter-heads
4 25 16 292.756 perimeter-heads
4 25 17 291.815 perimeter-heads
4 25 18 290.708 perimeter-heads
4 25 19 289.276 perimeter-heads
4 25 20 288.69 perimeter-heads
4 25 21 288.089 perimeter-heads
4 25 22 287.609 perimeter-heads
4 25 23 287.082 perimeter-heads
4 25 24 286.66 perimeter-heads
4 1 2 312.512 perimeter-heads
4 1 3 312.335 perimeter-heads
4 1 4 312.076 perimeter-heads
4 1 5 311.769 perimeter-heads
4 1 6 311.438 perimeter-heads
4 1 7 311.06 perimeter-heads
4 1 8 310.632 perimeter-heads
4 1 9 310.111 perimeter-heads
4 1 10 309.54 perimeter-heads
4 1 11 308.967 perimeter-heads
4 1 12 308.358 perimeter-heads
4 1 13 307.673 perimeter-heads
4 1 14 306.846 perimeter-heads
4 1 15 305.971 perimeter-heads
4 1 16 305.086 perimeter-heads
4 1 17 304.202 perimeter-heads
4 1 18 303.257 perimeter-heads
4 1 19 302.329 perimeter-heads
4 1 20 301.573 perimeter-heads
4 1 21 300.861 perimeter-heads
4 1 22 300.148 perimeter-heads
4 1 23 299.474 perimeter-heads
4 1 24 298.792 perimeter-heads
5 1 25 298.094 perimeter-heads
5 2 25 297.419 perimeter-heads
5 3 25 296.708 perimeter-heads
5 4 25 295.999 perimeter-heads
5 5 25 295.281 perimeter-heads
5 6 25 294.504 perimeter-heads
5 7 25 293.634 perimeter-heads
5 8 25 292.692 perimeter-heads
5 9 25 291.788 perimeter-heads
5 10 25 291.161 perimeter-heads
5 11 25 290.662 perimeter-heads
5 12 25 290.274 perimeter-heads
5 13 25 290.021 perimeter-heads
5 14 25 289.809 perimeter-heads
5 15 25 289.591 perimeter-heads
5 16 25 289.353 perimeter-heads
5 17 25 289.1 perimeter-heads
5 18 25 288.831 perimeter-heads
5 19 25 288.556 perimeter-heads
5 20 25 288.262 perimeter-heads
5 21 25 287.932 perimeter-heads
5 22 25 287.573 perimeter-heads
5 23 25 287.179 perimeter-heads
5 24 25 286.76 perimeter-heads
5 25 25 286.356 perimeter-heads
5 1 1 312.593 perimeter-heads
5 2 1 312.395 perimeter-heads
5 3 1 312.193 perimeter-heads
5 4 1 311.982 perimeter-heads
5 5 1 311.771 perimeter-heads
5 6 1 311.546 perimeter-heads
5 7 1 311.304 perimeter-heads
5 8 1 311.038 perimeter-heads
5 9 1 310.753 perimeter-heads
5 10 1 310.47 perimeter-heads
5 11 1 310.189 perimeter-heads
5 12 1 309.904 perimeter-heads
5 13 1 309.613 perimeter-heads
5 14 1 309.313 perimeter-heads
5 15 1 309.006 perimeter-heads
5 16 1 308.696 perimeter-heads
5 17 1 308.386 perimeter-heads
5 18 1 308.062 perimeter-heads
5 19 1 307.718 perimeter-heads
5 20 1 307.348 perimeter-heads
5 21 1 306.955 perimeter-heads
5 22 1 306.539 perimeter-heads
5 23 1 306.103 perimeter-heads
5 24 1 305.651 perimeter-heads
5 25 1 305.186 perimeter-heads
5 25 2 304.598 perimeter-heads
5 25 3 303.975 perimeter-heads
5 25 4 303.315 perimeter-heads
5 25 5 302.613 perimeter-heads
5 25 6 301.863 perimeter-heads
5 25 7 301.052 perimeter-heads
5 25 8 300.185 perimeter-heads
5 25 9 299.315 perimeter-heads
5 25 10 298.412 perimeter-heads
5 25 11 297.485 perimeter-heads
5 25 12 296.548 perimeter-heads
5 25 13 295.611 perimeter-heads
5 25 14 294.653 perimeter-heads
5 25 15 293.688 perimeter-heads
5 25 16 292.72 perimeter-heads
5 25 17 291.766 perimeter-heads
5 25 18 290.846 perimeter-heads
5 25 19 289.967 perimeter-heads
5 25 20 289.29 perimeter-heads
5 25 21 288.648 perimeter-heads
5 25 22 288.041 perimeter-heads
5 25 23 287.449 perimeter-heads
5 25 24 286.895 perimeter-heads
5 1 2 312.454 perimeter-heads
5 1 3 312.265 perimeter-heads
5 1 4 312.02 perimeter-heads
5 1 5 311.721 perimeter-heads
5 1 6 311.37 perimeter-heads
5 1 7 310.97 perimeter-heads
5 1 8 310.517 perimeter-heads
5 1 9 310.011 perimeter-heads
5 1 10 309.457 perimeter-heads
5 1 11 308.864 perimeter-heads
5 1 12 308.224 perimeter-heads
5 1 13 307.523 perimeter-heads
5 1 14 306.748 perimeter-heads
5 1 15 305.928 perimeter-heads
5 1 16 305.077 perimeter-heads
5 1 17 304.199 perimeter-heads
5 1 18 303.304 perimeter-heads
5 1 19 302.43 perimeter-heads
5 1 20 301.633 perimeter-heads
5 1 21 300.886 perimeter-heads
5 1 22 300.165 perimeter-heads
5 1 23 299.468 perimeter-heads
5 1 24 298.779 perimeter-heads
