#k i j head boundname
1 11 25 290.713 perimeter-heads
1 12 25 290.153 perimeter-heads
1 13 25 290.042 perimeter-heads
1 18 25 288.797 perimeter-heads
2 1 25 298.118 perimeter-heads
2 2 25 297.457 perimeter-heads
2 3 25 296.663 perimeter-heads
2 4 25 296.026 perimeter-heads
2 5 25 295.433 perimeter-heads
2 6 25 294.796 perimeter-heads
2 7 25 293.983 perimeter-heads
2 8 25 292.989 perimeter-heads
2 9 25 292.11 perimeter-heads
2 10 25 291.344 perimeter-heads
2 11 25 290.721 perimeter-heads
2 12 25 290.185 perimeter-heads
2 13 25 290.049 perimeter-heads
2 14 25 289.884 perimeter-heads
2 15 25 289.678 perimeter-heads
2 16 25 289.423 perimeter-heads
2 17 25 289.123 perimeter-heads
2 18 25 288.801 perimeter-heads
2 19 25 288.542 perimeter-heads
2 21 25 287.922 perimeter-heads
2 24 25 286.639 perimeter-heads
2 25 25 286.133 perimeter-heads
2 25 22 287.59 perimeter-heads
2 25 23 287.051 perimeter-heads
2 1 18 303.255 perimeter-heads
2 1 19 302.23 perimeter-heads
2 1 20 301.514 perimeter-heads
2 1 21 300.812 perimeter-heads
2 1 22 300.092 perimeter-heads
2 1 23 299.452 perimeter-heads
2 1 24 298.756 perimeter-heads
3 1 25 298.105 perimeter-heads
3 2 25 297.439 perimeter-heads
3 3 25 296.674 perimeter-heads
3 4 25 296.029 perimeter-heads
3 5 25 295.424 perimeter-heads
3 6 25 294.773 perimeter-heads
3 7 25 293.959 perimeter-heads
3 8 25 292.993 perimeter-heads
3 9 25 292.131 perimeter-heads
3 10 25 291.371 perimeter-heads
3 11 25 290.736 perimeter-heads
3 12 25 290.247 perimeter-heads
3 13 25 290.062 perimeter-heads
3 14 25 289.875 perimeter-heads
3 15 25 289.657 perimeter-heads
3 16 25 289.407 perimeter-heads
3 17 25 289.118 perimeter-heads
3 18 25 288.808 perimeter-heads
3 19 25 288.544 perimeter-heads
3 20 25 288.294 perimeter-heads
3 21 25 287.92 perimeter-heads
3 22 25 287.556 perimeter-heads
3 23 25 287.139 perimeter-heads
3 24 25 286.641 perimeter-heads
3 25 25 286.146 perimeter-heads
3 1 1 313.281 perimeter-heads
3 2 1 313.024 perimeter-heads
3 3 1 312.539 perimeter-heads
3 4 1 312.346 perimeter-heads
3 5 1 312.118 perimeter-heads
3 6 1 311.9 perimeter-heads
3 7 1 311.668 perimeter-heads
