#k i j head boundname
1 11 25 290.504 perimeter-heads
1 12 25 289.982 perimeter-heads
1 13 25 289.852 perimeter-heads
1 18 25 288.641 perimeter-heads
2 1 25 297.952 perimeter-heads
2 2 25 297.295 perimeter-heads
2 3 25 296.48 perimeter-heads
2 4 25 295.823 perimeter-heads
2 5 25 295.22 perimeter-heads
2 6 25 294.58 perimeter-heads
2 7 25 293.77 perimeter-heads
2 8 25 292.792 perimeter-heads
2 9 25 291.875 perimeter-heads
2 10 25 291.11 perimeter-heads
2 11 25 290.513 perimeter-heads
2 12 25 290.012 perimeter-heads
2 13 25 289.86 perimeter-heads
2 14 25 289.693 perimeter-heads
2 15 25 289.498 perimeter-heads
2 16 25 289.255 perimeter-heads
2 17 25 288.964 perimeter-heads
2 18 25 288.646 perimeter-heads
2 19 25 288.4 perimeter-heads
2 24 25 286.582 perimeter-heads
2 25 25 286.072 perimeter-heads
2 25 22 287.549 perimeter-heads
2 25 23 287.004 perimeter-heads
2 1 18 303.142 perimeter-heads
2 1 19 302.097 perimeter-heads
2 1 20 301.377 perimeter-heads
2 1 21 300.677 perimeter-heads
2 1 22 299.952 perimeter-heads
2 1 23 299.301 perimeter-heads
2 1 24 298.595 perimeter-heads
3 1 25 297.938 perimeter-heads
3 2 25 297.274 perimeter-heads
3 3 25 296.491 perimeter-heads
3 4 25 295.827 perimeter-heads
3 5 25 295.212 perimeter-heads
3 6 25 294.558 perimeter-heads
3 7 25 293.749 perimeter-heads
3 8 25 292.794 perimeter-heads
3 9 25 291.901 perimeter-heads
3 10 25 291.143 perimeter-heads
3 11 25 290.53 perimeter-heads
3 12 25 290.07 perimeter-heads
3 13 25 289.875 perimeter-heads
3 14 25 289.687 perimeter-heads
3 15 25 289.479 perimeter-heads
3 16 25 289.24 perimeter-heads
3 17 25 288.959 perimeter-heads
3 18 25 288.655 perimeter-heads
3 19 25 288.405 perimeter-heads
3 20 25 288.182 perimeter-heads
3 21 25 287.847 perimeter-heads
3 22 25 287.493 perimeter-heads
3 23 25 287.077 perimeter-heads
3 24 25 286.584 perimeter-heads
3 25 25 286.085 perimeter-heads
3 1 1 312.624 perimeter-heads
3 2 1 312.368 perimeter-heads
3 3 1 312.06 perimeter-heads
3 4 1 311.898 perimeter-heads
3 5 1 311.696 perimeter-heads
3 6 1 311.48 perimeter-heads
3 7 1 311.262 perimeter-heads
3 8 1 311.005 perimeter-heads
3 25 18 290.626 perimeter-heads
3 25 19 289.231 perimeter-heads
3 25 20 288.633 perimeter-heads
3 25 21 288.026 perimeter-heads
3 25 22 287.549 perimeter-heads
3 25 23 287.011 perimeter-heads
3 25 24 286.557 perimeter-heads
3 1 2 312.362 perimeter-heads
3 1 3 312.183 perimeter-heads
3 1 4 311.94 perimeter-heads
3 1 5 311.647 perimeter-heads
3 1 6 311.33 perimeter-heads
3 1 7 310.959 perimeter-heads
3 1 8 310.533 perimeter-heads
3 1 9 310.019 perimeter-heads
3 1 10 309.456 perimeter-heads
3 1 11 308.885 perimeter-heads
3 1 12 308.282 perimeter-heads
3 1 13 307.594 perimeter-heads
3 1 14 306.766 perimeter-heads
3 1 15 305.885 perimeter-heads
3 1 16 304.989 perimeter-heads
3 1 17 304.092 perimeter-heads
3 1 18 303.14 perimeter-heads
3 1 19 302.139 perimeter-heads
3 1 20 301.392 perimeter-heads
3 1 21 300.681 perimeter-heads
3 1 22 299.957 perimeter-heads
3 1 23 299.291 perimeter-heads
3 1 24 298.593 perimeter-heads
4 1 25 297.923 perimeter-heads
4 2 25 297.254 perimeter-heads
4 3 25 296.502 perimeter-heads
4 4 25 295.832 perimeter-heads
4 5 25 295.205 perimeter-heads
4 6 25 294.537 perimeter-heads
4 7 25 293.729 perimeter-heads
4 8 25 292.795 perimeter-heads
4 9 25 291.932 perimeter-heads
4 10 25 291.184 perimeter-heads
4 11 25 290.563 perimeter-heads
4 12 25 290.138 perimeter-heads
4 13 25 289.902 perimeter-heads
4 14 25 289.691 perimeter-heads
4 15 25 289.47 perimeter-heads
4 16 25 289.232 perimeter-heads
4 17 25 288.96 perimeter-heads
4 18 25 288.669 perimeter-heads
4 19 25 288.413 perimeter-heads
4 20 25 288.167 perimeter-heads
4 21 25 287.84 perimeter-heads
4 22 25 287.487 perimeter-heads
4 23 25 287.071 perimeter-heads
4 24 25 286.587 perimeter-heads
4 25 25 286.1 perimeter-heads
4 1 1 312.605 perimeter-heads
4 2 1 312.326 perimeter-heads
4 3 1 312.009 perimeter-heads
4 4 1 311.866 perimeter-heads
4 5 1 311.66 perimeter-heads
4 6 1 311.444 perimeter-heads
4 7 1 311.228 perimeter-heads
4 8 1 310.973 perimeter-heads
4 9 1 310.666 perimeter-heads
4 10 1 310.372 perimeter-heads
4 11 1 310.087 perimeter-heads
4 12 1 309.787 perimeter-heads
4 13 1 309.473 perimeter-heads
4 14 1 309.151 perimeter-heads
4 15 1 308.82 perimeter-heads
4 25 13 295.441 perimeter-heads
4 25 14 294.473 perimeter-heads
4 25 15 293.569 perimeter-heads
4 25 16 292.65 perimeter-heads
4 25 17 291.718 perimeter-heads
4 25 18 290.624 perimeter-heads
4 25 19 289.231 perimeter-heads
4 25 20 288.64 perimeter-heads
4 25 21 288.037 perimeter-heads
4 25 22 287.559 perimeter-heads
4 25 23 287.025 perimeter-heads
4 25 24 286.576 perimeter-heads
4 1 2 312.328 perimeter-heads
4 1 3 312.151 perimeter-heads
4 1 4 311.909 perimeter-heads
4 1 5 311.622 perimeter-heads
4 1 6 311.306 perimeter-heads
4 1 7 310.941 perimeter-heads
4 1 8 310.521 perimeter-heads
4 1 9 310.008 perimeter-heads
4 1 10 309.441 perimeter-heads
4 1 11 308.873 perimeter-heads
4 1 12 308.271 perimeter-heads
4 1 13 307.588 perimeter-heads
4 1 14 306.759 perimeter-heads
4 1 15 305.876 perimeter-heads
4 1 16 304.981 perimeter-heads
4 1 17 304.086 perimeter-heads
4 1 18 303.139 perimeter-heads
4 1 19 302.184 perimeter-heads
4 1 20 301.411 perimeter-heads
4 1 21 300.686 perimeter-heads
4 1 22 299.961 perimeter-heads
4 1 23 299.279 perimeter-heads
4 1 24 298.591 perimeter-heads
5 1 25 297.894 perimeter-heads
5 2 25 297.226 perimeter-heads
5 3 25 296.529 perimeter-heads
5 4 25 295.846 perimeter-heads
5 5 25 295.169 perimeter-heads
5 6 25 294.46 perimeter-heads
5 7 25 293.69 perimeter-heads
5 8 25 292.871 perimeter-heads
5 9 25 292.064 perimeter-heads
5 10 25 291.338 perimeter-heads
5 11 25 290.734 perimeter-heads
5 12 25 290.274 perimeter-heads
5 13 25 289.973 perimeter-heads
5 14 25 289.73 perimeter-heads
5 15 25 289.491 perimeter-heads
5 16 25 289.242 perimeter-heads
5 17 25 288.987 perimeter-heads
5 18 25 288.724 perimeter-heads
5 19 25 288.457 perimeter-heads
5 20 25 288.168 perimeter-heads
5 21 25 287.838 perimeter-heads
5 22 25 287.475 perimeter-heads
5 23 25 287.079 perimeter-heads
5 24 25 286.662 perimeter-heads
5 25 25 286.259 perimeter-heads
5 1 1 312.622 perimeter-heads
5 2 1 312.371 perimeter-heads
5 3 1 312.121 perimeter-heads
5 4 1 311.882 perimeter-heads
5 5 1 311.65 perimeter-heads
5 6 1 311.404 perimeter-heads
5 7 1 311.145 perimeter-heads
5 8 1 310.866 perimeter-heads
5 9 1 310.57 perimeter-heads
5 10 1 310.27 perimeter-heads
5 11 1 309.969 perimeter-heads
5 12 1 309.668 perimeter-heads
5 13 1 309.363 perimeter-heads
5 14 1 309.055 perimeter-heads
5 15 1 308.744 perimeter-heads
5 16 1 308.435 perimeter-heads
5 17 1 308.134 perimeter-heads
5 18 1 307.807 perimeter-heads
5 19 1 307.471 perimeter-heads
5 20 1 307.112 perimeter-heads
5 21 1 306.728 perimeter-heads
5 22 1 306.321 perimeter-heads
5 23 1 305.891 perimeter-heads
5 24 1 305.444 perimeter-heads
5 25 1 304.982 perimeter-heads
5 25 2 304.396 perimeter-heads
5 25 3 303.773 perimeter-heads
5 25 4 303.114 perimeter-heads
5 25 5 302.413 perimeter-heads
5 25 6 301.666 perimeter-heads
5 25 7 300.864 perimeter-heads
5 25 8 300.002 perimeter-heads
5 25 9 299.142 perimeter-heads
5 25 10 298.252 perimeter-heads
5 25 11 297.339 perimeter-heads
5 25 12 296.413 perimeter-heads
5 25 13 295.485 perimeter-heads
5 25 14 294.536 perimeter-heads
5 25 15 293.581 perimeter-heads
5 25 16 292.622 perimeter-heads
5 25 17 291.68 perimeter-heads
5 25 18 290.772 perimeter-heads
5 25 19 289.903 perimeter-heads
