#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
1 5 21 16 203.97282 3.640835870498413 0.0001 290.66016 1 1.0 0.03700000047683716 1 1.0 0 6867623
2 5 22 16 142.93286 3.6728096857551984 0.0001 290.66016 1 1.0 0.03700000047683716 2 1.0 0 6867623
3 5 22 17 70.1542 3.692449625846543 0.0001 290.66016 1 1.0 0.03700000047683716 2 1.0 0 6867623
4 5 23 17 250.40224 3.72199486676094 0.0001 290.66016 1 1.0 0.03700000047683716 2 1.0 0 6867623
5 5 23 18 168.27725 3.7605839662152993 0.0001 290.66016 1 1.0 0.03700000047683716 2 1.0 0 6867623
6 5 24 18 64.599625 3.782047898435329 0.007223637749518673 290.66016 1 1.0 0.03700000047683716 2 1.0 0 6867623
7 5 24 19 186.91173 3.8052293484706006 0.0038695624382063943 290.1935 1 1.0 0.03700000047683716 2 1.0 0 6867623
8 3 25 19 305.24066 3.8505903537730433 0.0004215103868917468 289.47025 1 1.0 0.03700000047683716 2 1.0 0 6867623
9 3 25 20 201.47238 3.897293395592837 0.002591850432159364 289.34158 1 1.0 0.03700000047683716 2 1.0 0 6867623
10 3 25 21 224.37366 3.9365430217015733 0.0009341325053629652 288.8194 1 1.0 0.03700000047683716 2 1.0 0 6867623
11 2 25 22 210.66438 3.9766398968935888 0.004446584883016574 288.6098 1 1.0 0.03700000047683716 2 1.0 0 6867623
12 2 25 23 224.08124 4.0167098145693565 0.001 287.67307 1 1.0 0.03700000047683716 1 1.0 0 6867623
13 1 12 22 219.31369 4.396841257805459 0.004096308187982669 293.58676 1 1.0 0.03700000047683716 1 1.0 0 6867619
14 1 12 23 202.81001 4.430422740546348 0.0028377839824782376 292.6884 1 1.0 0.03700000047683716 2 1.0 0 6867619
15 1 12 24 201.48373 4.462585773158855 0.011309530931948789 292.11285 1 1.0 0.03700000047683716 2 1.0 0 6867619
16 1 12 25 205.89838 4.494994512136357 0.001 289.83417 1 1.0 0.03700000047683716 1 1.0 0 6867619
