,rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name,geometry
522,11,13278,0,82,158,3,2,258.70886,1.0,0.00851950928265103,1379.5054397809322,1,1.0,0.0,0.0,0.0,0.0,12,6,48.432854,1815711,None,"LINESTRING (694803.8 5141213.220713306, 694777.2485236916 5141206.606754527, 694751.5310094468 5141215.911430599, 694727.6 5141219.100912742)"
523,12,13277,0,82,157,3,3,208.73987,1.3252151,0.009124279291926109,1377.3013672270233,1,1.0,0.0,0.0,0.0,0.0,13,6,119.67204,1815711,None,"LINESTRING (694727.6 5141219.100912742, 694720.8969932608 5141219.994277493, 694698.2953457895 5141211.625371325, 694678.397630005 5141185.6)"
524,13,13437,0,83,157,3,4,195.19568,1.6329919,0.007746285248515505,1375.3967663705346,1,1.0,0.0,0.0,0.0,0.0,14,6,181.23181,1815711,None,"LINESTRING (694678.397630005 5141185.6, 694676.3746279825 5141182.953998851, 694651.4 5141132.647304241)"
525,14,13436,0,83,156,3,5,125.48434,1.8414509,0.011173939157008993,1373.884724963962,1,1.0,0.0,0.0,0.0,0.0,15,6,230.10345,1815711,None,"LINESTRING (694651.4 5141132.647304241, 694643.0158985653 5141115.759107518, 694624.6953485395 5141109.4)"
526,15,13596,0,84,156,3,6,171.89035,2.0158064,0.01192186980508769,1372.4825706188087,1,1.0,0.0,0.0,0.0,0.0,16,6,275.42334,1815711,None,"LINESTRING (694624.6953485395 5141109.4, 694575.2000000001 5141092.22004402)"
527,16,13595,0,84,155,3,7,262.72375,2.2466948,0.006300130068645508,1370.433316241283,1,1.0,0.0,0.0,0.0,0.0,17,6,341.65854,1815711,None,"LINESTRING (694575.2000000001 5141092.22004402, 694570.1568884746 5141090.469567731, 694509.4016520474 5141083.3863581065, 694499 5141092.106270361)"
528,17,13594,0,84,154,3,8,88.31678,2.4173248,0.016842231882263647,1368.7781224133983,1,1.0,0.0,0.0,0.0,0.0,18,6,395.1571,1815711,None,"LINESTRING (694499 5141092.106270361, 694478.370966924 5141109.4)"
529,18,13434,0,83,154,3,9,227.14778,2.5610979,0.009808436871755132,1367.290670724022,1,1.0,0.0,0.0,0.0,0.0,19,6,443.23392,1815711,None,"LINESTRING (694478.370966924 5141109.4, 694433.592460232 5141146.938714759, 694422.8 5141147.41333733)"
530,19,13433,0,83,153,3,10,245.36812,2.7626503,0.007121252917071038,1365.0627060498748,1,1.0,0.0,0.0,0.0,0.0,20,6,515.24536,1815711,None,"LINESTRING (694422.8 5141147.41333733, 694400.5031081293 5141148.393893006, 694368.5157719848 5141116.8287710855, 694367.2828147953 5141109.4)"
531,20,13593,0,84,153,3,11,125.21224,2.911091,0.01582007333304168,1363.3153776217735,1,1.0,0.0,0.0,0.0,0.0,21,6,571.7218,1815711,None,"LINESTRING (694367.2828147953 5141109.4, 694366.3951676035 5141104.051778791, 694346.6 5141077.969685996)"
532,21,13592,0,84,152,3,12,294.89835,3.0708103,0.008871977992993507,1361.3345107691382,1,1.0,0.0,0.0,0.0,0.0,22,6,635.74664,1815711,None,"LINESTRING (694346.6 5141077.969685996, 694334.7369542682 5141062.338948949, 694270.4 5141034.098118174)"
533,22,13751,0,85,151,3,13,259.98416,3.2750757,0.0093477222653082,1358.7181791337239,1,1.0,0.0,0.0,0.0,0.0,23,6,722.5452,1815711,None,"LINESTRING (694268.353948723 5141033.2, 694247.066494857 5141023.855830866, 694194.2000000001 5141005.400640337)"
534,23,13750,0,85,150,3,14,255.43497,3.4496439,0.009332440174036068,1356.287919399793,1,1.0,0.0,0.0,0.0,0.0,24,6,801.0951,1815711,None,"LINESTRING (694194.2000000001 5141005.400640337, 694166.6602088283 5140995.786761176, 694118 5140994.173074579)"
535,24,13749,0,85,149,3,15,250.13744,3.6127908,0.00991229824105376,1353.904087851526,1,1.0,0.0,0.0,0.0,0.0,25,6,878.14435,1815711,None,"LINESTRING (694118 5140994.173074579, 694041.8 5140991.646103947)"
536,25,13748,0,85,148,3,16,275.71194,3.7750986,0.006327535725844586,1351.424650985503,1,1.0,0.0,0.0,0.0,0.0,26,6,958.28375,1815711,None,"LINESTRING (694041.8 5140991.646103947, 694039.7303062864 5140991.577468052, 693985.4092166475 5141020.281632036, 693965.6 5141025.664319019)"
537,26,13747,0,85,147,3,17,94.28542,3.8852897,0.012955554089577383,1349.6800738061304,1,1.0,0.0,0.0,0.0,0.0,27,6,1014.6714,1815711,None,"LINESTRING (693965.6 5141025.664319019, 693937.8673940336 5141033.2)"
538,27,13587,0,84,147,3,18,164.77963,3.9606416,0.012001608321007474,1348.458553904983,1,1.0,0.0,0.0,0.0,0.0,28,6,1054.153,1815711,None,"LINESTRING (693937.8673940336 5141033.2, 693889.4 5141046.369870148)"
