,rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name,geometry
1114,245,4674,0,29,34,8,33,246.5988,5.370311,0.023228594423970267,946.4437427731283,1,1.0,0.0,0.0,0.0,0.0,246,11,1930.5876,1814717,None,"LINESTRING (685340.8807028644 5145224.2, 685309.4823892015 5145253.76269833, 685278.8 5145262.982981636)"
1115,246,4673,0,29,33,8,34,261.04413,5.4775453,0.013861431478067853,940.7155992471787,1,1.0,0.0,0.0,0.0,0.0,247,11,2007.9524,1814717,None,"LINESTRING (685278.8 5145262.982981636, 685202.6 5145285.881641297)"
1116,247,4672,0,29,32,8,35,59.632343,5.5442295,0.07173381943906569,937.0971539483611,1,1.0,0.0,0.0,0.0,0.0,248,11,2056.8235,1814717,None,"LINESTRING (685202.6 5145285.881641297, 685201.793683127 5145286.123945439, 685191.9620077342 5145300.4)"
1117,248,4512,0,28,32,8,36,319.4633,5.6220546,0.01218131426800798,932.8194982019074,1,1.0,0.0,0.0,0.0,0.0,249,11,2114.5977,1814717,None,"LINESTRING (685191.9620077342 5145300.4, 685148.6474087273 5145363.294832672, 685132.3931557712 5145376.6)"
1118,249,4352,0,27,32,8,37,25.410032,5.6919413,0.14219884437533245,928.9280155015633,1,1.0,0.0,0.0,0.0,0.0,250,11,2167.1562,1814717,None,"LINESTRING (685132.3931557712 5145376.6, 685126.4 5145381.505789307)"
1119,250,4351,0,27,31,8,38,294.80692,5.7560816,0.02093709215997603,925.3147382768968,1,1.0,0.0,0.0,0.0,0.0,251,11,2215.9573,1814717,None,"LINESTRING (685126.4 5145381.505789307, 685088.7434361039 5145412.330145553, 685050.2 5145426.866372234)"
1120,251,4350,0,27,30,8,39,252.2064,5.8640475,0.022518876695125166,919.1423387222142,1,1.0,0.0,0.0,0.0,0.0,252,11,2299.3223,1814717,None,"LINESTRING (685050.2 5145426.866372234, 685045.0356969498 5145428.814031483, 684974 5145435.537240621)"
1121,252,4349,0,27,29,8,40,251.11722,5.9616847,0.018256986896244377,913.4629337718942,1,1.0,0.0,0.0,0.0,0.0,253,11,2376.0288,1814717,None,"LINESTRING (684974 5145435.537240621, 684897.8 5145442.749227809)"
1122,253,4348,0,27,28,8,41,155.18504,6.039365,0.019374051040435648,908.8782900131259,1,1.0,0.0,0.0,0.0,0.0,254,11,2437.9492,1814717,None,"LINESTRING (684897.8 5145442.749227809, 684881.9610063563 5145444.2483173, 684851.7576961743 5145452.8)"
1123,254,4188,0,26,28,8,42,111.26401,6.089775,0.04193678443557873,905.8717270628422,1,1.0,0.0,0.0,0.0,0.0,255,11,2478.5562,1814717,None,"LINESTRING (684851.7576961743 5145452.8, 684833.2566091244 5145458.038347224, 684821.6 5145466.969723924)"
1124,255,4187,0,26,27,8,43,302.25504,6.1672044,0.016648945563113523,901.2056723620093,1,1.0,0.0,0.0,0.0,0.0,256,11,2541.5764,1814717,None,"LINESTRING (684821.6 5145466.969723924, 684763.0367108475 5145511.841332008, 684745.4 5145516.907179317)"
1125,256,4186,0,26,26,8,44,143.71188,6.249648,0.020422829572737174,896.1734447314512,1,1.0,0.0,0.0,0.0,0.0,257,11,2609.5417,1814717,None,"LINESTRING (684745.4 5145516.907179317, 684703.2989320719 5145529)"
1126,257,4026,0,25,26,8,45,116.396614,6.297241,0.03598546565049433,893.2384414262362,1,1.0,0.0,0.0,0.0,0.0,258,11,2649.1821,1814717,None,"LINESTRING (684703.2989320719 5145529, 684669.2 5145538.794342312)"
1127,258,4025,0,25,25,8,46,254.80621,6.3645525,0.021494642685392352,889.049855068617,1,1.0,0.0,0.0,0.0,0.0,259,11,2705.7537,1814717,None,"LINESTRING (684669.2 5145538.794342312, 684634.8771495229 5145548.653001404, 684593 5145551.195754407)"
1128,259,4024,0,25,24,8,47,230.57635,6.451523,0.01220391052989972,883.5728865580196,1,1.0,0.0,0.0,0.0,0.0,366,11,2779.7258,1814717,None,"LINESTRING (684593 5145551.195754407, 684522.8495237356 5145555.455245232)"
575,260,8950,0,55,150,9,1,156.56496,1.0,0.012295054495301602,1300.0581949073403,1,1.0,0.0,0.0,0.0,0.0,261,14,23.860498,1815703,Vogue Creek,"LINESTRING (694165.4522180314 5143257.582148396, 694118 5143252.524427799)"
576,261,8949,0,55,149,9,2,207.5703,1.0777187,0.006698139102744057,1298.133220233089,1,1.0,0.0,0.0,0.0,0.0,262,14,79.354706,1815703,Vogue Creek,"LINESTRING (694118 5143252.524427799, 694061.6196708746 5143246.5150996, 694056.0717544208 5143243)"
577,262,9109,0,56,149,9,3,55.430515,1.3238993,0.033511823401597494,1296.7428855085695,1,1.0,0.0,0.0,0.0,0.0,263,14,119.436035,1815703,Vogue Creek,"LINESTRING (694056.0717544208 5143243, 694041.8 5143233.957571428)"
578,263,9108,0,56,148,9,4,295.95557,1.595178,0.007353508412104727,1294.8853078691347,1,1.0,0.0,0.0,0.0,0.0,264,14,172.98727,1815703,Vogue Creek,"LINESTRING (694041.8 5143233.957571428, 693965.6 5143185.678079164)"
579,264,9107,0,56,147,9,5,115.72352,1.8639617,0.013438451220463098,1292.7089961219572,1,1.0,0.0,0.0,0.0,0.0,265,14,235.72717,1815703,Vogue Creek,"LINESTRING (693965.6 5143185.678079164, 693935.804541 5143166.8)"
580,265,9267,0,57,147,9,6,178.4534,2.0346363,0.01285922844311457,1291.1538512652603,1,1.0,0.0,0.0,0.0,0.0,266,14,280.55972,1815703,Vogue Creek,"LINESTRING (693935.804541 5143166.8, 693892.3581146626 5143139.272816217, 693889.4 5143139.174511436)"
581,266,9266,0,57,146,9,7,255.63432,2.2633643,0.010687127079698915,1288.859078232605,1,1.0,0.0,0.0,0.0,0.0,267,14,346.7147,1815703,Vogue Creek,"LINESTRING (693889.4 5143139.174511436, 693841.5847920068 5143137.58550491, 693815.8660812535 5143146.908388617, 693813.2000000001 5143146.372441609)"
582,267,9265,0,57,145,9,8,261.16013,2.5089352,0.010370060448771425,1286.1270817354875,1,1.0,0.0,0.0,0.0,0.0,268,14,425.47418,1815703,Vogue Creek,"LINESTRING (693813.2000000001 5143146.372441609, 693755.2734151675 5143134.727792833, 693737 5143125.400616162)"
583,268,9264,0,57,144,9,9,251.14146,2.7309127,0.005908277939478284,1283.4188354448336,1,1.0,0.0,0.0,0.0,0.0,269,14,503.54892,1815703,Vogue Creek,"LINESTRING (693737 5143125.400616162, 693668.8200855716 5143090.6)"
584,269,9424,0,58,144,9,10,29.542072,2.8452857,0.054167739314189,1281.935021872015,1,1.0,0.0,0.0,0.0,0.0,270,14,546.3251,1815703,Vogue Creek,"LINESTRING (693668.8200855716 5143090.6, 693660.8 5143086.506361544)"
585,270,9423,0,58,143,9,11,273.16275,2.9637494,0.010641694492862768,1280.3347946010767,1,1.0,0.0,0.0,0.0,0.0,271,14,592.45734,1815703,Vogue Creek,"LINESTRING (693660.8 5143086.506361544, 693632.8160554325 5143072.22270452, 693584.6 5143053.176699942)"
586,271,9422,0,58,142,9,12,276.7198,3.1677687,0.005681657345838598,1277.4278800661484,1,1.0,0.0,0.0,0.0,0.0,272,14,676.2594,1815703,Vogue Creek,"LINESTRING (693584.6 5143053.176699942, 693527.4559098954 5143030.603998961, 693508.4 5143017.898215192)"
587,272,9421,0,58,141,9,13,20.688528,3.2728834,0.07677902886661869,1275.8556530522053,1,1.0,0.0,0.0,0.0,0.0,273,14,721.5844,1815703,Vogue Creek,"LINESTRING (693508.4 5143017.898215192, 693503.1534386937 5143014.4)"
588,273,9581,0,59,141,9,14,279.7875,3.375801,0.008440813695253334,1274.2672079590086,1,1.0,0.0,0.0,0.0,0.0,274,14,767.377,1815703,Vogue Creek,"LINESTRING (693503.1534386937 5143014.4, 693432.2 5142967.090842125)"
589,274,9580,0,59,140,9,15,166.94772,3.5233297,0.009362561728176656,1271.9055737457293,1,1.0,0.0,0.0,0.0,0.0,275,14,835.4594,1815703,Vogue Creek,"LINESTRING (693432.2 5142967.090842125, 693403.1255970945 5142947.705093632, 693390.3283545132 5142938.2)"
590,275,9740,0,60,140,9,16,128.72612,3.6177058,0.00983139559941155,1270.3425153801243,1,1.0,0.0,0.0,0.0,0.0,276,14,880.52014,1815703,Vogue Creek,"LINESTRING (693390.3283545132 5142938.2, 693370.8859887518 5142923.759271396, 693356 5142925.739556092)"
591,276,9739,0,60,139,9,17,110.67103,3.6923742,0.013679053988079426,1269.076957970475,1,1.0,0.0,0.0,0.0,0.0,277,14,917.0043,1815703,Vogue Creek,"LINESTRING (693356 5142925.739556092, 693340.257124292 5142927.833832553, 693325.7244201928 5142938.2)"
592,277,9579,0,59,139,9,18,175.69891,3.7797804,0.013199535420218192,1267.5630830016698,1,1.0,0.0,0.0,0.0,0.0,278,14,960.64703,1815703,Vogue Creek,"LINESTRING (693325.7244201928 5142938.2, 693296.0041988201 5142959.399412665, 693279.8 5142964.692472674)"
593,278,9578,0,59,138,9,19,262.99936,3.9099395,0.010557236849989124,1265.243938968653,1,1.0,0.0,0.0,0.0,0.0,279,14,1027.5046,1815703,Vogue Creek,"LINESTRING (693279.8 5142964.692472674, 693203.6 5142989.583007356)"
594,279,9577,0,59,137,9,20,262.2223,4.060353,0.01042861947118629,1262.4673924429133,1,1.0,0.0,0.0,0.0,0.0,280,14,1107.5485,1815703,Vogue Creek,"LINESTRING (693203.6 5142989.583007356, 693127.6251419386 5143014.4)"
595,280,9416,0,58,136,9,21,255.0682,4.2037234,0.010470661241045764,1259.7327759632328,1,1.0,0.0,0.0,0.0,0.0,281,14,1186.6204,1815703,Vogue Creek,"LINESTRING (693127.4 5143014.473542037, 693098.1868092676 5143024.01595591, 693051.2 5143022.459297233)"
596,281,9415,0,58,135,9,22,250.13716,4.3388314,0.010572857676073247,1257.062043176604,1,1.0,0.0,0.0,0.0,0.0,282,14,1263.6136,1815703,Vogue Creek,"LINESTRING (693051.2 5143022.459297233, 692975 5143019.934814448)"
597,282,9414,0,58,134,9,23,250.13716,4.4686465,0.010572857676073247,1254.4173785711591,1,1.0,0.0,0.0,0.0,0.0,283,14,1339.8555,1815703,Vogue Creek,"LINESTRING (692975 5143019.934814448, 692898.8 5143017.410331662)"
598,283,9413,0,58,133,9,24,250.13716,4.594841,0.006303828088781443,1251.7727139657143,1,1.0,0.0,0.0,0.0,0.0,284,14,1416.0973,1815703,Vogue Creek,"LINESTRING (692898.8 5143017.410331662, 692822.6 5143014.885848876)"
599,284,9412,0,58,132,9,25,48.140102,4.668479,0.017271801831684305,1250.1958923025477,1,1.0,0.0,0.0,0.0,0.0,285,14,1461.5547,1815703,Vogue Creek,"LINESTRING (692822.6 5143014.885848876, 692807.9349428384 5143014.4)"
600,285,9572,0,59,132,9,26,109.142975,4.7068505,0.009787532897172331,1249.3644259939715,1,1.0,0.0,0.0,0.0,0.0,286,14,1485.5247,1815703,Vogue Creek,"LINESTRING (692807.9349428384 5143014.4, 692788.4707800425 5143013.755158217, 692774.693926266 5143014.4)"
601,286,9412,0,58,132,9,27,92.929474,4.7557,0.01952366296837262,1248.2961855370975,1,1.0,0.0,0.0,0.0,0.0,287,14,1516.3206,1815703,Vogue Creek,"LINESTRING (692774.693926266 5143014.4, 692746.4 5143015.724330372)"
602,287,9411,0,58,131,9,28,250.2737,4.8375516,0.01089717137583708,1246.4818618092957,1,1.0,0.0,0.0,0.0,0.0,288,14,1568.6246,1815703,Vogue Creek,"LINESTRING (692746.4 5143015.724330372, 692670.2 5143019.290960657)"
603,288,9410,0,58,130,9,29,265.6278,4.9580803,0.01069285347018152,1243.7545864433184,1,1.0,0.0,0.0,0.0,0.0,289,14,1647.248,1815703,Vogue Creek,"LINESTRING (692670.2 5143019.290960657, 692661.2006759305 5143019.712184565, 692604.6806501781 5143038.162187631, 692594 5143044.654438195)"
604,289,9409,0,58,129,9,30,271.65723,5.080604,0.0059755636865355495,1240.9142672188623,1,1.0,0.0,0.0,0.0,0.0,290,14,1729.1302,1815703,Vogue Creek,"LINESTRING (692594 5143044.654438195, 692537.2516165554 5143079.149035272, 692525.5233561057 5143090.6)"
605,290,9249,0,57,129,9,31,35.413795,5.1493363,0.050239665611485435,1239.2909621606304,1,1.0,0.0,0.0,0.0,0.0,291,14,1775.9279,1815703,Vogue Creek,"LINESTRING (692525.5233561057 5143090.6, 692517.8 5143098.14074986)"
606,291,9248,0,57,128,9,32,301.14163,5.223643,0.006935327602979647,1237.5117849181242,1,1.0,0.0,0.0,0.0,0.0,292,14,1827.219,1815703,Vogue Creek,"LINESTRING (692517.8 5143098.14074986, 692476.8326782524 5143138.139465638, 692457.5700400409 5143166.8)"
607,292,9088,0,56,128,9,33,93.92906,5.3095584,0.02050658953351533,1235.423269044753,1,1.0,0.0,0.0,0.0,0.0,293,14,1887.4277,1815703,Vogue Creek,"LINESTRING (692457.5700400409 5143166.8, 692441.6 5143190.561536521)"
608,293,9087,0,56,127,9,34,270.43167,5.387596,0.00625594859038258,1233.4971043273138,1,1.0,0.0,0.0,0.0,0.0,294,14,1942.9563,1815703,Vogue Creek,"LINESTRING (692441.6 5143190.561536521, 692436.7373603124 5143197.796571012, 692392.2347869684 5143236.982860194, 692379.1367399542 5143243)"
609,294,8927,0,55,127,9,35,49.596172,5.4552298,0.033317212729028926,1231.8052976954345,1,1.0,0.0,0.0,0.0,0.0,295,14,1991.7285,1815703,Vogue Creek,"LINESTRING (692379.1367399542 5143243, 692365.4 5143249.310550321)"
610,295,8926,0,55,126,9,36,262.97958,5.5204988,0.01087506984240023,1230.1528914712783,1,1.0,0.0,0.0,0.0,0.0,296,14,2039.3651,1815703,Vogue Creek,"LINESTRING (692365.4 5143249.310550321, 692335.4607335813 5143263.064413897, 692289.2 5143272.478062473)"
611,296,8925,0,55,125,9,37,278.01358,5.6316986,0.009320951817774979,1227.292970130978,1,1.0,0.0,0.0,0.0,0.0,297,14,2121.8125,1815703,Vogue Creek,"LINESTRING (692289.2 5143272.478062473, 692281.7307505241 5143273.997988429, 692235.025753843 5143302.94249674, 692213 5143305.4630261)"
612,297,8924,0,55,124,9,38,212.17638,5.730616,0.006586434440899961,1224.701618944107,1,1.0,0.0,0.0,0.0,0.0,298,14,2196.5173,1815703,Vogue Creek,"LINESTRING (692213 5143305.4630261, 692166.1471169146 5143310.824661767, 692150.7669963286 5143319.2)"
613,298,8764,0,54,124,9,39,52.177258,5.783268,0.040136751667233114,1223.3041331514175,1,1.0,0.0,0.0,0.0,0.0,299,14,2236.805,1815703,Vogue Creek,"LINESTRING (692150.7669963286 5143319.2, 692136.8 5143326.805812822)"
614,299,8763,0,54,123,9,40,343.97412,5.8612957,0.010640513949373959,1221.209907522944,1,1.0,0.0,0.0,0.0,0.0,300,14,2297.1785,1815703,Vogue Creek,"LINESTRING (692136.8 5143326.805812822, 692122.1493331168 5143334.783922603, 692074.5332264801 5143370.203549018, 692063.6973563572 5143392.757761154, 692060.974766903 5143395.4)"
615,300,8602,0,53,122,9,41,348.37534,5.995912,0.009465861487029766,1217.5498460892222,1,1.0,0.0,0.0,0.0,0.0,301,14,2403.2146,1815703,Vogue Creek,"LINESTRING (692060.6 5143395.76370657, 691984.4 5143469.714848836)"
616,301,8441,0,52,121,9,42,275.42465,6.117448,0.010016093323566518,1214.2521734160514,1,1.0,0.0,0.0,0.0,0.0,302,14,2500.9885,1815703,Vogue Creek,"LINESTRING (691982.4575213006 5143471.6, 691977.3336558586 5143476.572647011, 691908.2 5143510.042186523)"
617,302,8440,0,52,120,9,43,246.4165,6.214573,0.006452517313063683,1211.4934943970109,1,1.0,0.0,0.0,0.0,0.0,303,14,2580.5173,1815703,Vogue Creek,"LINESTRING (691908.2 5143510.042186523, 691858.7210426966 5143533.996335858, 691844.0619215467 5143547.8)"
618,303,8280,0,51,120,9,44,54.35657,6.269878,0.03194434483536559,1209.9034876393312,1,1.0,0.0,0.0,0.0,0.0,304,14,2626.355,1815703,Vogue Creek,"LINESTRING (691844.0619215467 5143547.8, 691832 5143559.158028373)"
619,304,8279,0,51,119,9,45,274.10364,6.329729,0.010325633108693643,1208.1671025849298,1,1.0,0.0,0.0,0.0,0.0,305,14,2676.4124,1815703,Vogue Creek,"LINESTRING (691832 5143559.158028373, 691811.6525567935 5143578.318063227, 691813.9580746614 5143586.013280497, 691790.3487647774 5143610.722572117, 691788.6181417011 5143624)"
620,305,8119,0,50,119,9,46,261.28415,6.4261065,0.009136310958806878,1205.3368089883297,1,1.0,0.0,0.0,0.0,0.0,306,14,2758.0054,1815703,Vogue Creek,"LINESTRING (691788.6181417011 5143624, 691783.7507940156 5143661.342537932, 691799.6410809839 5143700.2)"
621,306,7959,0,49,119,9,47,190.28307,6.506299,0.009288872271050396,1202.949635752906,1,1.0,0.0,0.0,0.0,0.0,307,14,2826.8242,1815703,Vogue Creek,"LINESTRING (691799.6410809839 5143700.2, 691812.1593686541 5143730.811712002, 691832 5143745.899722665)"
622,307,7960,0,49,120,9,48,144.06674,6.565052,0.015941665489677286,1201.182120659384,1,1.0,0.0,0.0,0.0,0.0,308,14,2877.7793,1815703,Vogue Creek,"LINESTRING (691832 5143745.899722665, 691846.950949687 5143757.26932499, 691863.2440147708 5143776.4)"
623,308,7800,0,48,120,9,49,290.3789,6.6406274,0.011204706792886347,1198.8854568511354,1,1.0,0.0,0.0,0.0,0.0,309,14,2943.9888,1815703,Vogue Creek,"LINESTRING (691863.2440147708 5143776.4, 691893.5852543716 5143812.025487975, 691902.6819441596 5143847.881724201, 691902.5402716708 5143852.6)"
624,309,7640,0,47,120,9,50,325.08698,6.746262,0.006773583311141951,1195.631846347765,1,1.0,0.0,0.0,0.0,0.0,310,14,3037.7856,1815703,Vogue Creek,"LINESTRING (691902.5402716708 5143852.6, 691901.3100082078 5143893.57282664, 691882.7782028058 5143918.427366072, 691857.7501056484 5143928.8)"
625,310,7480,0,46,120,9,51,91.449936,6.8168364,0.019852457286137888,1193.429842638574,1,1.0,0.0,0.0,0.0,0.0,311,14,3101.2659,1815703,Vogue Creek,"LINESTRING (691857.7501056484 5143928.8, 691832 5143939.471862819)"
626,311,7479,0,46,119,9,52,251.9782,6.874486,0.010619090096116236,1191.6143366920394,1,1.0,0.0,0.0,0.0,0.0,312,14,3153.6045,1815703,Vogue Creek,"LINESTRING (691832 5143939.471862819, 691831.3109473702 5143939.757433497, 691755.8 5143948.855484498)"
627,312,7478,0,46,118,9,53,254.18196,6.958593,0.010558259573799784,1188.9385575350555,1,1.0,0.0,0.0,0.0,0.0,313,14,3230.7432,1815703,Vogue Creek,"LINESTRING (691755.8 5143948.855484498, 691696.1480962574 5143956.042734578, 691683.2990549166 5143960.738482477, 691679.6 5143961.037646803)"
628,313,7477,0,46,117,9,54,253.48015,7.041953,0.009632258338654477,1186.254838411211,1,1.0,0.0,0.0,0.0,0.0,314,14,3308.1108,1815703,Vogue Creek,"LINESTRING (691679.6 5143961.037646803, 691614.5176075627 5143966.3012426365, 691603.4 5143961.876253009)"
629,314,7476,0,46,116,9,55,208.3799,7.116955,0.007574534592805684,1183.8132521389164,1,1.0,0.0,0.0,0.0,0.0,315,14,3378.4983,1815703,Vogue Creek,"LINESTRING (691603.4 5143961.876253009, 691586.8990530241 5143955.308606256, 691549.6063454844 5143928.8)"
630,315,7636,0,47,116,9,56,90.1911,7.1650276,0.02053388878437452,1182.23487139253,1,1.0,0.0,0.0,0.0,0.0,316,14,3424.0007,1815703,Vogue Creek,"LINESTRING (691549.6063454844 5143928.8, 691527.2 5143912.872999005)"
631,316,7635,0,47,115,9,57,260.13586,7.2210307,0.010522363818782493,1180.3828973537318,1,1.0,0.0,0.0,0.0,0.0,317,14,3477.3904,1815703,Vogue Creek,"LINESTRING (691527.2 5143912.872999005, 691527.1795460589 5143912.858459823, 691451 5143890.960783366)"
632,317,7634,0,47,114,9,58,257.65152,7.303027,0.010571286604652279,1177.6456531476977,1,1.0,0.0,0.0,0.0,0.0,318,14,3556.3013,1815703,Vogue Creek,"LINESTRING (691451 5143890.960783366, 691408.7655737647 5143878.820571867, 691374.8 5143872.290803972)"
633,318,7633,0,47,113,9,59,257.57278,7.383725,0.010429046077733995,1174.9219450880278,1,1.0,0.0,0.0,0.0,0.0,319,14,3634.8215,1815703,Vogue Creek,"LINESTRING (691374.8 5143872.290803972, 691330.4347131597 5143863.761726039, 691300.2744883463 5143852.690363965, 691299.0754904154 5143852.6)"
634,319,7792,0,48,112,9,60,250.56543,7.462952,0.01056539727073909,1172.2357066509014,1,1.0,0.0,0.0,0.0,0.0,320,14,3712.7385,1815703,Vogue Creek,"LINESTRING (691298.6 5143852.564164075, 691244.4959338843 5143848.486544063, 691222.4 5143849.400777864)"
635,320,7791,0,48,111,9,61,250.2139,7.539757,0.005883633662711293,1169.5883833439395,1,1.0,0.0,0.0,0.0,0.0,321,14,3789.0574,1815703,Vogue Creek,"LINESTRING (691222.4 5143849.400777864, 691146.2 5143852.553602995)"
636,321,7630,0,47,110,9,62,28.26677,7.5832524,0.04748679827202978,1168.1162164325237,1,1.0,0.0,0.0,0.0,0.0,322,14,3832.62,1815703,Vogue Creek,"LINESTRING (691145.0786400811 5143852.6, 691137.6420413925 5143852.907694163, 691136.5103759562 5143852.6)"
637,322,7790,0,48,110,9,63,225.64514,7.6216836,0.011168595381877982,1166.773918055788,1,1.0,0.0,0.0,0.0,0.0,323,14,3871.3162,1815703,Vogue Creek,"LINESTRING (691136.5103759562 5143852.6, 691074.6352973832 5143835.776476092, 691070 5143835.346258553)"
638,323,7789,0,48,109,9,64,251.07448,7.693326,0.005578168739774414,1164.2537787693536,1,1.0,0.0,0.0,0.0,0.0,508,14,3943.9683,1815703,Vogue Creek,"LINESTRING (691070 5143835.346258553, 690993.7999999999 5143828.273880281)"
194,324,12270,0,76,110,10,1,69.20077,40.157593,0.01461558861829689,1211.0868037280957,1,1.0,0.0,0.0,0.0,0.0,325,14,105223.55,1814859,Tyler Forks,"LINESTRING (691125.8401565857 5141702.749338102, 691112.3937781506 5141719)"
195,325,12110,0,75,110,10,2,281.92883,40.16787,0.0041128947064631724,1210.0753937779955,1,1.0,0.0,0.0,0.0,0.0,326,14,105277.055,1814859,Tyler Forks,"LINESTRING (691112.3937781506 5141719, 691088.9162786882 5141747.373803982, 691080.4643922078 5141775.0688368995, 691081.2978895901 5141795.2)"
196,326,11950,0,74,110,10,3,120.62808,40.179646,0.006715401930239904,1208.9158501731183,1,1.0,0.0,0.0,0.0,0.0,327,14,105338.41,1814859,Tyler Forks,"LINESTRING (691081.2978895901 5141795.2, 691081.9395736771 5141810.698365429, 691074.1752683453 5141815.5480973935, 691070 5141826.906318262)"
197,327,11949,0,74,109,10,4,160.60129,40.18787,0.00813610603909681,1208.105784116565,1,1.0,0.0,0.0,0.0,0.0,328,14,105381.266,1814859,Tyler Forks,"LINESTRING (691070 5141826.906318262, 691065.8627754406 5141838.161046449, 691049.7001923716 5141871.4)"
198,328,11789,0,73,109,10,5,293.03296,40.201134,0.0034702610587814043,1206.7991150086687,1,1.0,0.0,0.0,0.0,0.0,329,14,105450.4,1814859,Tyler Forks,"LINESTRING (691049.7001923716 5141871.4, 691041.4984525965 5141888.267183065, 691022.8904722859 5141915.657789429, 691003.3455277691 5141947.6)"
199,329,11629,0,72,109,10,6,60.002937,40.211456,0.015009031488028072,1205.7822141421657,1,1.0,0.0,0.0,0.0,0.0,330,14,105504.2,1814859,Tyler Forks,"LINESTRING (691003.3455277691 5141947.6, 690993.7999999999 5141963.200210977)"
200,330,11628,0,72,108,10,7,252.65195,40.220592,0.004520240931251643,1204.8816281666022,1,1.0,0.0,0.0,0.0,0.0,331,14,105551.85,1814859,Tyler Forks,"LINESTRING (690993.7999999999 5141963.200210977, 690990.8276598164 5141968.05789251, 690946.3482208992 5142023.8)"
201,331,11468,0,71,108,10,8,143.83102,40.232178,0.007406692674098652,1203.7395804943153,1,1.0,0.0,0.0,0.0,0.0,332,14,105612.27,1814859,Tyler Forks,"LINESTRING (690946.3482208992 5142023.8, 690935.3837201216 5142037.540829376, 690917.6 5142056.8630817905)"
202,332,11467,0,71,107,10,9,226.01157,40.24298,0.004228347854507014,1202.6742683012878,1,1.0,0.0,0.0,0.0,0.0,333,14,105668.64,1814859,Tyler Forks,"LINESTRING (690917.6 5142056.8630817905, 690901.233090433 5142074.645950377, 690864.3948759503 5142100)"
203,333,11307,0,70,107,10,10,105.76179,40.25267,0.008416502595394395,1201.7186127804125,1,1.0,0.0,0.0,0.0,0.0,334,14,105719.2,1814859,Tyler Forks,"LINESTRING (690864.3948759503 5142100, 690862.3191193179 5142101.42864787, 690841.4 5142122.53432474)"
204,334,11306,0,70,106,10,11,203.26826,40.261692,0.006426509998659279,1200.8284684221444,1,1.0,0.0,0.0,0.0,0.0,335,14,105766.3,1814859,Tyler Forks,"LINESTRING (690841.4 5142122.53432474, 690825.6280502365 5142138.44692939, 690817.480819224 5142156.001115899, 690817.4689926297 5142176.2)"
205,335,11146,0,69,106,10,12,250.23976,40.27493,0.005781968753752923,1199.5221628861866,1,1.0,0.0,0.0,0.0,0.0,336,14,105835.414,1814859,Tyler Forks,"LINESTRING (690817.4689926297 5142176.2, 690817.4302433829 5142242.380636308, 690818.642471564 5142252.4)"
206,336,10986,0,68,106,10,13,252.07051,40.289585,0.0042226088737701666,1198.0752844050996,1,1.0,0.0,0.0,0.0,0.0,337,14,105911.97,1814859,Tyler Forks,"LINESTRING (690818.642471564 5142252.4, 690827.6141630852 5142326.553234254, 690828.2289068277 5142328.6)"
207,337,10826,0,67,106,10,14,117.45402,40.30036,0.009042722090032497,1197.0108892291084,1,1.0,0.0,0.0,0.0,0.0,338,14,105968.28,1814859,Tyler Forks,"LINESTRING (690828.2289068277 5142328.6, 690836.8542847846 5142357.3178655505, 690841.4 5142360.94388816)"
208,338,10827,0,67,107,10,15,251.27484,40.311115,0.0037405939280412714,1195.9487851892397,1,1.0,0.0,0.0,0.0,0.0,339,14,106024.48,1814859,Tyler Forks,"LINESTRING (690841.4 5142360.94388816, 690876.5663739985 5142388.995374272, 690903.9353937232 5142404.8)"
209,339,10667,0,66,107,10,16,75.03437,40.32063,0.011629666333189381,1195.0088680435713,1,1.0,0.0,0.0,0.0,0.0,340,14,106074.2,1814859,Tyler Forks,"LINESTRING (690903.9353937232 5142404.8, 690909.0473305141 5142407.751959863, 690917.6 5142422.406158219)"
210,340,10668,0,66,108,10,17,227.91328,40.329456,0.005012818363015258,1194.1362433520383,1,1.0,0.0,0.0,0.0,0.0,341,14,106120.375,1814859,Tyler Forks,"LINESTRING (690917.6 5142422.406158219, 690921.1217061763 5142428.440272006, 690927.9092174068 5142456.607008031, 690950.8829067284 5142481)"
211,341,10508,0,65,108,10,18,168.72263,40.341015,0.007120182682617124,1192.9937554553153,1,1.0,0.0,0.0,0.0,0.0,342,14,106180.82,1814859,Tyler Forks,"LINESTRING (690950.8829067284 5142481, 690957.4644502744 5142487.988147903, 690993.7999999999 5142508.706175181)"
212,342,10509,0,65,109,10,19,248.34299,40.353165,0.005947983717055256,1191.7924195374096,1,1.0,0.0,0.0,0.0,0.0,343,14,106244.38,1814859,Tyler Forks,"LINESTRING (690993.7999999999 5142508.706175181, 691037.4132055126 5142533.573821008, 691046.8857188686 5142556.738681391, 691046.8410817673 5142557.2)"
213,343,10349,0,64,109,10,20,264.47354,40.3681,0.004694557379291527,1190.3152794941286,1,1.0,0.0,0.0,0.0,0.0,344,14,106322.54,1814859,Tyler Forks,"LINESTRING (691046.8410817673 5142557.2, 691043.2085187703 5142594.742063951, 691024.6216650212 5142633.4)"
