#k i j stage cond rbot boundname
4 1 29 36.7647 54215.8 35.7647 "Tallahatchie River"
4 2 29 36.6828 70075.9 35.6828 "Tallahatchie River"
4 3 29 36.5656 70134 35.5656 "Tallahatchie River"
4 4 29 36.495 83083.2 35.495 "Tallahatchie River"
4 4 30 36.4798 55166.8 35.4798 "Tallahatchie River"
4 5 30 36.4748 28940.5 35.4748 "Tallahatchie River"
4 5 31 36.4695 60972.5 35.4695 "Tallahatchie River"
4 6 31 36.4616 71597 35.4616 "Tallahatchie River"
4 7 31 36.4532 83623 35.4532 "Tallahatchie River"
4 8 31 36.4006 4590.2 35.4006 "Tallahatchie River"
4 8 30 36.3743 80132.3 35.3743 "Tallahatchie River"
4 9 30 36.3362 42989.6 35.3362 "Tallahatchie River"
4 9 29 36.3163 31601.1 35.3163 "Tallahatchie River"
4 10 29 36.2784 66631.1 35.2784 "Tallahatchie River"
4 11 29 36.2366 22435 35.2366 "Tallahatchie River"
4 11 30 36.2187 55041.8 35.2187 "Tallahatchie River"
4 12 30 36.1917 39694.2 35.1917 "Tallahatchie River"
4 12 31 36.1386 68682.1 35.1386 "Tallahatchie River"
4 12 32 36.0886 102662 35.0886 "Tallahatchie River"
4 13 32 36.0608 71984.9 35.0608 "Tallahatchie River"
4 14 32 36.0371 77626.1 35.0371 "Tallahatchie River"
4 15 32 36.0179 42800.1 35.0179 "Tallahatchie River"
4 15 31 35.9997 71675.4 34.9997 "Tallahatchie River"
4 16 31 35.9866 11104.6 34.9866 "Tallahatchie River"
4 16 30 35.9742 66944.2 34.9742 "Tallahatchie River"
4 17 30 35.9516 75324.2 34.9516 "Tallahatchie River"
4 17 29 35.935 28960.4 34.935 "Tallahatchie River"
4 18 29 35.9219 53501.7 34.9219 "Tallahatchie River"
4 18 28 35.9056 49742.8 34.9056 "Tallahatchie River"
4 19 28 35.8911 41257.8 34.8911 "Tallahatchie River"
4 19 27 35.8775 44065.4 34.8775 "Tallahatchie River"
4 20 27 35.8705 68917.7 34.8705 "Tallahatchie River"
4 21 27 35.8705 69567.3 34.8705 "Tallahatchie River"
4 22 28 35.8705 83245.1 34.8705 "Tallahatchie River"
4 22 29 35.8705 71850.4 34.8705 "Tallahatchie River"
4 22 30 35.8705 69912.7 34.8705 "Tallahatchie River"
4 21 30 35.8705 82503.4 34.8705 "Tallahatchie River"
4 20 30 35.7246 37985.6 34.7246 "Tallahatchie River"
4 20 31 35.4248 40011.6 34.4248 "Tallahatchie River"
4 19 31 35.2557 81841.3 34.2557 "Tallahatchie River"
4 19 32 35.2435 69803.9 34.2435 "Tallahatchie River"
4 19 33 35.2222 76889.1 34.2222 "Tallahatchie River"
4 21 33 35.136 81219.4 34.136 "Tallahatchie River"
4 22 33 34.9819 85715 33.9819 "Tallahatchie River"
4 23 33 34.892 56278.2 33.892 "Tallahatchie River"
4 23 32 34.8665 63359.7 33.8665 "Tallahatchie River"
4 24 32 34.8497 8684.39 33.8497 "Tallahatchie River"
4 24 31 34.8244 99781.7 33.8244 "Tallahatchie River"
4 25 31 34.8003 3573.11 33.8003 "Tallahatchie River"
4 25 30 34.7839 66641.1 33.7839 "Tallahatchie River"
4 26 30 34.752 70166.7 33.752 "Tallahatchie River"
4 27 30 34.4568 4652.16 33.4568 "Tallahatchie River"
4 27 31 33.8635 130823 32.8635 "Yazoo River"
4 23 22 119.673 1000 118.673 "Lake Henry"
4 24 22 118.025 1000 117.025 "Lake Henry"
4 25 22 117.202 1000 116.202 "Lake Henry"
4 26 20 119.707 1000 118.707 "Lake Henry"
4 26 21 116.369 1000 115.369 "Lake Henry"
4 26 22 118.158 1000 117.158 "Lake Henry"
4 27 21 118.082 1000 117.082 "Lake Henry"
4 27 22 118.486 1000 117.486 "Lake Henry"
4 27 23 117.349 1000 116.349 "Lake Henry"
