#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
4 27 18 -2.15691 wel_58523
13 27 19 -2.15691 wel_58524
4 27 21 -2.15691 wel_58525
13 27 24 -2.15691 wel_58527
13 27 26 -2.15691 wel_58528
4 27 30 -8.62763 wel_58531
13 26 16 -2.15691 wel_58916
4 26 18 -12.9414 wel_58917
13 26 19 -17.2553 wel_58918
13 26 21 -4.31382 wel_58919
13 26 22 -4.31382 wel_58920
13 26 29 -8.62763 wel_58924
1 24 8 -2.15691 wel_59305
13 24 18 -6.47072 wel_59311
13 24 21 -4.31382 wel_59313
13 24 29 -2.15691 wel_59318
1 23 3 -4.31382 wel_59696
13 23 27 -4.31382 wel_59711
1 21 9 -2.15691 wel_60094
1 21 11 -2.15691 wel_60095
4 21 14 -2.15691 wel_60097
4 21 16 -4.31382 wel_60098
4 21 18 -2.15691 wel_60099
13 21 32 -6.47072 wel_60108
1 19 8 -2.15691 wel_60487
13 19 16 -4.31382 wel_60492
13 19 18 -2.15691 wel_60493
13 19 21 -4.31382 wel_60495
13 19 22 -2.15691 wel_60496
13 19 24 -8.62763 wel_60497
13 19 26 -2.15691 wel_60498
4 19 32 -10.7845 wel_60502
4 18 13 -2.15691 wel_60884
4 18 14 -8.62763 wel_60885
4 18 16 -21.5691 wel_60886
4 18 18 -8.62763 wel_60887
13 18 24 -8.62763 wel_60891
4 16 14 -28.0398 wel_61279
4 16 16 -135.885 wel_61280
13 16 18 -8.62763 wel_61281
1 15 3 -2.15691 wel_61666
4 15 16 -8.62763 wel_61674
13 15 21 -4.31382 wel_61677
4 15 22 -6.47072 wel_61678
1 13 3 -2.15691 wel_62060
4 13 19 -6.47072 wel_62070
13 13 22 -2.15691 wel_62072
1 11 5 -2.15691 wel_62455
1 10 5 -2.15691 wel_62849
1 10 6 -2.15691 wel_62850
1 8 3 -2.15691 wel_63242
1 7 3 -2.15691 wel_63636
1 7 5 -8.62763 wel_63637
1 7 6 -15.0984 wel_63638
1 5 5 -32.3536 wel_64031
1 5 6 -38.8243 wel_64032
2 3 3 -32.3536 wel_64424
13 3 5 -4.31382 wel_64425
1 2 3 -71.178 wel_64818
13 2 32 -4.31382 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
