per,rno,node,k,i,j,cond,stage,rbot,outreach,asum,line_id,name,boundname
0,32,694,3,19,29,37985.582,35.78566375394564,34.78566375394564,42,-1.7943153,17991440,Tallahatchie River,Tallahatchie River
0,42,695,3,19,30,40011.617,35.61136730383327,34.61136730383327,0,-1.186642,17991440,Tallahatchie River,Tallahatchie River
0,13,660,3,18,30,81841.336,35.25672602339252,34.25672602339252,16,-4.5687985,18046708,Tallahatchie River,Tallahatchie River
0,16,661,3,18,31,69803.9,35.25053642254396,34.25053642254396,19,-3.950631,18046708,Tallahatchie River,Tallahatchie River
0,19,662,3,18,32,76889.11,35.23974806459491,34.23974806459491,24,-2.8731766,18046708,Tallahatchie River,Tallahatchie River
0,24,663,3,18,33,46924.746,35.23064232684402,34.23064232684402,31,-1.9637688,18046708,Tallahatchie River,Tallahatchie River
0,31,698,3,19,33,72679.62,35.22184617128662,34.22184617128662,41,-1.0852796,18046708,Tallahatchie River,Tallahatchie River
0,41,733,3,20,33,81842.19,35.21374024767669,34.21374024767669,0,-0.27572533,18046708,Tallahatchie River,Tallahatchie River
0,30,732,3,20,32,81219.39,35.092839875454054,34.092839875454054,40,-2.055135,18047238,Tallahatchie River,Tallahatchie River
0,40,767,3,21,32,85714.99,34.97671114813929,33.97671114813929,0,-0.7995342,18047238,Tallahatchie River,Tallahatchie River
0,8,802,3,22,32,56278.223,34.892032845108204,33.892032845108204,10,-5.0178156,18047240,Tallahatchie River,Tallahatchie River
0,10,801,3,22,31,63359.742,34.86651774300691,33.86651774300691,12,-4.2025695,18047240,Tallahatchie River,Tallahatchie River
0,12,836,3,23,31,8684.392,34.84970671852673,33.84970671852673,15,-3.6654322,18047240,Tallahatchie River,Tallahatchie River
0,15,835,3,23,30,99781.68,34.82439686639502,33.82439686639502,18,-2.8567448,18047240,Tallahatchie River,Tallahatchie River
0,18,870,3,24,30,3573.1084,34.800279709387496,33.800279709387496,23,-2.0861652,18047240,Tallahatchie River,Tallahatchie River
0,23,869,3,24,29,66641.09,34.783895685532755,33.783895685532755,29,-1.5626711,18047240,Tallahatchie River,Tallahatchie River
0,29,904,3,25,29,70166.734,34.75197246226275,33.75197246226275,39,-0.5426766,18047240,Tallahatchie River,Tallahatchie River
0,39,939,3,26,29,4652.1577,34.7050590667673,33.7050590667673,0,-0.5422309,18047242,Tallahatchie River,Tallahatchie River
0,38,940,3,26,30,79548.33,33.86354064941406,32.86354064941406,0,-0.27597585,25352514,Yazoo River,Yazoo River
