total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
18,1.000000000000000,1,1,1,18,-5.964447039906013,1,,4060
37,1.000000000000000,1,1,2,19,-1.875894377956001,1,,3684
53,1.000000000000000,1,1,3,16,-.7198346285840884,1,,3481
68,1.000000000000000,1,1,4,15,-.2802723733994199,1,,3690
73,1.000000000000000,1,1,5,5,-.1707074344074435,1,,959
79,1.000000000000000,1,1,6,6,-.1911079678237790,1,,959
85,1.000000000000000,1,1,7,6,-.8526647036121204E-01,1,,925
89,30.00377423524343,2,1,1,4,-.4429716997862130,1,,13520
91,30.00377423524343,2,1,2,2,302.1648769910508,1,SFR_0,197
92,30.00377423524343,2,1,3,1,96.89155269210021,1,SFR_0,197
93,30.00377423524343,2,1,4,1,30.47518715131395,1,SFR_0,197
94,30.00377423524343,2,1,5,1,9.845337101947845,1,SFR_0,197
95,30.00377423524343,2,1,6,1,2.891094133305220,1,SFR_0,197
96,30.00377423524343,2,1,7,1,.7964162831988258,1,SFR_0,197
97,30.00377423524343,2,1,8,1,.2230512435181560,1,SFR_0,197
98,30.00377423524343,2,1,9,1,.6315148125658640E-01,1,SFR_0,197
102,73.50943558810857,2,2,1,4,-.3443123343744645,1,,920
104,73.50943558810857,2,2,2,2,343.2591635707203,1,SFR_0,197
105,73.50943558810857,2,2,3,1,135.1001405504801,1,SFR_0,162
106,73.50943558810857,2,2,4,1,49.18603201970403,1,SFR_0,197
107,73.50943558810857,2,2,5,1,18.87511566602934,1,SFR_0,197
108,73.50943558810857,2,2,6,1,6.843776661477983,1,SFR_0,197
109,73.50943558810857,2,2,7,1,2.414664642548996,1,SFR_0,197
110,73.50943558810857,2,2,8,1,.8562301587222992,1,SFR_0,197
111,73.50943558810857,2,2,9,1,.3150928047716278,1,SFR_0,197
112,73.50943558810857,2,2,10,1,.1218567475133503,1,SFR_0,197
113,73.50943558810857,2,2,11,1,.4916313972150834E-01,1,SFR_0,197
117,138.7679276174063,2,3,1,4,-.2716962765427446,1,,920
119,138.7679276174063,2,3,2,2,466.7837859929450,1,SFR_0,197
121,138.7679276174063,2,3,3,2,195.1626332578324,1,SFR_0,162
122,138.7679276174063,2,3,4,1,82.91761800169733,1,SFR_0,197
123,138.7679276174063,2,3,5,1,28.40955268012994,1,SFR_0,197
124,138.7679276174063,2,3,6,1,12.05725064987145,1,SFR_0,197
125,138.7679276174063,2,3,7,1,4.822024255502789,1,SFR_0,197
126,138.7679276174063,2,3,8,1,1.979690590269940,1,SFR_0,197
127,138.7679276174063,2,3,9,1,.8343486806385781,1,SFR_0,197
128,138.7679276174063,2,3,10,1,.3806534346865640,1,SFR_0,197
129,138.7679276174063,2,3,11,1,.1958655450077835,1,SFR_0,197
130,138.7679276174063,2,3,12,1,.1013159774534204,1,SFR_0,197
131,138.7679276174063,2,3,13,1,.5611545557299796E-01,1,SFR_0,197
135,236.6556656613529,2,4,1,4,-.3587323656869614,1,,880
137,236.6556656613529,2,4,2,2,665.9938110724952,1,SFR_0,197
139,236.6556656613529,2,4,3,2,276.4133167036800,1,SFR_0,197
140,236.6556656613529,2,4,4,1,135.4442818259668,1,SFR_0,197
141,236.6556656613529,2,4,5,1,57.47053817609016,1,SFR_0,162
142,236.6556656613529,2,4,6,1,29.16974371509109,1,SFR_0,197
143,236.6556656613529,2,4,7,1,14.55948547721401,1,SFR_0,197
144,236.6556656613529,2,4,8,1,7.247948111452969,1,SFR_0,197
