#k i j head boundname
1 11 25 290.486 perimeter-heads
1 12 25 289.985 perimeter-heads
1 13 25 289.871 perimeter-heads
1 18 25 288.693 perimeter-heads
2 1 25 298.051 perimeter-heads
2 2 25 297.39 perimeter-heads
2 3 25 296.568 perimeter-heads
2 4 25 295.897 perimeter-heads
2 5 25 295.276 perimeter-heads
2 6 25 294.606 perimeter-heads
2 7 25 293.745 perimeter-heads
2 8 25 292.698 perimeter-heads
2 9 25 291.803 perimeter-heads
2 10 25 291.066 perimeter-heads
2 11 25 290.494 perimeter-heads
2 12 25 290.014 perimeter-heads
2 13 25 289.878 perimeter-heads
2 14 25 289.726 perimeter-heads
2 15 25 289.542 perimeter-heads
2 16 25 289.307 perimeter-heads
2 17 25 289.018 perimeter-heads
2 18 25 288.698 perimeter-heads
2 19 25 288.45 perimeter-heads
2 21 25 287.904 perimeter-heads
2 24 25 286.629 perimeter-heads
2 25 25 286.117 perimeter-heads
2 25 22 287.57 perimeter-heads
2 25 23 287.029 perimeter-heads
2 1 18 303.194 perimeter-heads
2 1 19 302.168 perimeter-heads
2 1 20 301.456 perimeter-heads
2 1 21 300.762 perimeter-heads
2 1 22 300.042 perimeter-heads
2 1 23 299.394 perimeter-heads
2 1 24 298.692 perimeter-heads
3 1 25 298.037 perimeter-heads
3 2 25 297.368 perimeter-heads
3 3 25 296.578 perimeter-heads
3 4 25 295.9 perimeter-heads
3 5 25 295.266 perimeter-heads
3 6 25 294.581 perimeter-heads
3 7 25 293.721 perimeter-heads
3 8 25 292.706 perimeter-heads
3 9 25 291.827 perimeter-heads
3 10 25 291.095 perimeter-heads
3 11 25 290.51 perimeter-heads
3 12 25 290.07 perimeter-heads
3 13 25 289.893 perimeter-heads
3 14 25 289.72 perimeter-heads
3 15 25 289.522 perimeter-heads
3 16 25 289.29 perimeter-heads
3 17 25 289.011 perimeter-heads
3 18 25 288.706 perimeter-heads
3 19 25 288.455 perimeter-heads
3 20 25 288.239 perimeter-heads
3 21 25 287.903 perimeter-heads
3 22 25 287.55 perimeter-heads
3 23 25 287.133 perimeter-heads
3 24 25 286.631 perimeter-heads
3 25 25 286.13 perimeter-heads
3 1 1 312.621 perimeter-heads
3 2 1 312.404 perimeter-heads
3 3 1 312.15 perimeter-heads
3 4 1 311.989 perimeter-heads
3 5 1 311.795 perimeter-heads
3 6 1 311.584 perimeter-heads
3 7 1 311.372 perimeter-heads
3 8 1 311.119 perimeter-heads
3 25 18 290.667 perimeter-heads
3 25 19 289.252 perimeter-heads
3 25 20 288.654 perimeter-heads
3 25 21 288.048 perimeter-heads
3 25 22 287.57 perimeter-heads
3 25 23 287.036 perimeter-heads
3 25 24 286.595 perimeter-heads
3 1 2 312.45 perimeter-heads
3 1 3 312.274 perimeter-heads
3 1 4 312.023 perimeter-heads
3 1 5 311.722 perimeter-heads
3 1 6 311.397 perimeter-heads
3 1 7 311.02 perimeter-heads
3 1 8 310.59 perimeter-heads
3 1 9 310.072 perimeter-heads
3 1 10 309.506 perimeter-heads
3 1 11 308.933 perimeter-heads
3 1 12 308.32 perimeter-heads
3 1 13 307.631 perimeter-heads
3 1 14 306.805 perimeter-heads
3 1 15 305.929 perimeter-heads
3 1 16 305.041 perimeter-heads
3 1 17 304.15 perimeter-heads
3 1 18 303.193 perimeter-heads
3 1 19 302.21 perimeter-heads
3 1 20 301.471 perimeter-heads
3 1 21 300.765 perimeter-heads
3 1 22 300.046 perimeter-heads
3 1 23 299.384 perimeter-heads
3 1 24 298.69 perimeter-heads
4 1 25 298.021 perimeter-heads
4 2 25 297.348 perimeter-heads
4 3 25 296.588 perimeter-heads
4 4 25 295.904 perimeter-heads
4 5 25 295.257 perimeter-heads
4 6 25 294.556 perimeter-heads
4 7 25 293.697 perimeter-heads
4 8 25 292.712 perimeter-heads
4 9 25 291.853 perimeter-heads
4 10 25 291.131 perimeter-heads
4 11 25 290.539 perimeter-heads
4 12 25 290.136 perimeter-heads
4 13 25 289.919 perimeter-heads
4 14 25 289.722 perimeter-heads
4 15 25 289.512 perimeter-heads
4 16 25 289.28 perimeter-heads
4 17 25 289.01 perimeter-heads
4 18 25 288.717 perimeter-heads
4 19 25 288.46 perimeter-heads
4 20 25 288.219 perimeter-heads
4 21 25 287.892 perimeter-heads
4 22 25 287.542 perimeter-heads
4 23 25 287.126 perimeter-heads
4 24 25 286.635 perimeter-heads
4 25 25 286.145 perimeter-heads
4 1 1 312.587 perimeter-heads
4 2 1 312.348 perimeter-heads
4 3 1 312.074 perimeter-heads
4 4 1 311.936 perimeter-heads
4 5 1 311.742 perimeter-heads
4 6 1 311.531 perimeter-heads
4 7 1 311.326 perimeter-heads
4 8 1 311.077 perimeter-heads
4 9 1 310.769 perimeter-heads
4 10 1 310.48 perimeter-heads
4 11 1 310.203 perimeter-heads
4 12 1 309.912 perimeter-heads
4 13 1 309.604 perimeter-heads
4 14 1 309.286 perimeter-heads
4 15 1 308.957 perimeter-heads
4 25 13 295.507 perimeter-heads
4 25 14 294.532 perimeter-heads
4 25 15 293.625 perimeter-heads
4 25 16 292.704 perimeter-heads
4 25 17 291.767 perimeter-heads
4 25 18 290.666 perimeter-heads
4 25 19 289.251 perimeter-heads
4 25 20 288.662 perimeter-heads
4 25 21 288.059 perimeter-heads
4 25 22 287.581 perimeter-heads
