rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
1,2613,0,30,63,1,1,37.851482,4.3590627,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,2,0,13521.872,6867619,Chaffee Creek
2,2528,0,29,63,1,2,11.301521,4.3630476,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,3,0,13546.448,6867619,Chaffee Creek
3,2529,0,29,64,1,3,50.517265,4.3680544,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,4,0,13577.357,6867619,Chaffee Creek
4,2530,0,29,65,1,4,3.140187,4.3723955,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,5,0,13604.187,6867619,Chaffee Creek
5,2445,0,28,65,1,5,44.41411,4.3762393,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,6,0,13627.964,6867619,Chaffee Creek
6,2446,0,28,66,1,6,33.07612,4.382496,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,7,0,13666.709,6867619,Chaffee Creek
7,2361,0,27,66,1,7,12.040193,4.386134,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,8,0,13689.267,6867619,Chaffee Creek
8,2362,0,27,67,1,8,42.997604,4.3905687,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,9,0,13716.786,6867619,Chaffee Creek
9,2363,0,27,68,1,9,42.265347,4.39743,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,10,0,13759.417,6867619,Chaffee Creek
10,2364,0,27,69,1,10,40.121178,4.40405,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,11,0,13800.61,6867619,Chaffee Creek
11,2365,0,27,70,1,11,40.121178,4.410488,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,12,0,13840.731,6867619,Chaffee Creek
12,2366,0,27,71,1,12,13.225701,4.414763,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,13,0,13867.405,6867619,Chaffee Creek
13,2366,0,27,71,1,13,26.684704,4.4181037,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,14,0,13888.266,6867619,Chaffee Creek
14,2367,0,27,72,1,14,41.76604,4.4235787,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,15,0,13922.491,6867619,Chaffee Creek
15,2368,0,27,73,1,15,42.09797,4.430278,0.0001,297.03528,1,1.0,0.0,0.0,0.0,0.0,16,0,13964.423,6867619,Chaffee Creek
16,2369,0,27,74,1,16,17.727654,4.435051,0.007378209407044848,297.03528,1,1.0,0.0,0.0,0.0,0.0,17,0,13994.336,6867619,Chaffee Creek
17,2454,0,28,74,1,17,45.51093,4.4400907,0.0001,296.90448,1,1.0,0.0,0.0,0.0,0.0,18,0,14025.955,6867619,Chaffee Creek
18,2539,0,29,74,1,18,11.589502,4.444636,0.03268601932413104,296.90448,1,1.0,0.0,0.0,0.0,0.0,19,0,14054.506,6867619,Chaffee Creek
19,2540,0,29,75,1,19,50.765102,4.4495945,0.004036740348700124,296.52567,1,1.0,0.0,0.0,0.0,0.0,20,0,14085.683,6867619,Chaffee Creek
20,2541,0,29,76,1,20,40.083187,4.4568095,0.007187962732000662,296.32074,1,1.0,0.0,0.0,0.0,0.0,21,0,14131.106,6867619,Chaffee Creek
21,2542,0,29,77,1,21,40.083187,4.463166,0.005102608434473937,296.03262,1,1.0,0.0,0.0,0.0,0.0,22,0,14171.19,6867619,Chaffee Creek
22,2543,0,29,78,1,22,40.083187,4.4695144,0.0036849634173163016,295.8281,1,1.0,0.0,0.0,0.0,0.0,23,0,14211.273,6867619,Chaffee Creek
23,2544,0,29,79,1,23,40.083187,4.4758534,0.003171809420772668,295.6804,1,1.0,0.0,0.0,0.0,0.0,24,0,14251.356,6867619,Chaffee Creek
24,2545,0,29,80,1,24,40.083187,4.4821835,0.0001,295.55325,1,1.0,0.0,0.0,0.0,0.0,25,0,14291.439,6867619,Chaffee Creek
25,2546,0,29,81,1,25,40.083187,4.488505,0.005675909561176246,295.55325,1,1.0,0.0,0.0,0.0,0.0,26,0,14331.522,6867619,Chaffee Creek
