per,k,i,j,q,boundname
0,4,8,22,-878.654,pleasant_3-13-28
1,4,8,22,0.0,pleasant_3-13-28
4,4,8,22,0.0,pleasant_3-13-28
5,4,8,22,-944.903,pleasant_3-13-28
6,4,8,22,-4451.65,pleasant_3-13-28
7,4,8,22,-4308.04,pleasant_3-13-28
8,4,8,22,-2584.83,pleasant_3-13-28
9,4,8,22,-953.924,pleasant_3-13-28
10,4,8,22,0.0,pleasant_3-13-28
0,4,19,21,-48.9226,pleasant_3-24-27
1,4,19,21,0.0,pleasant_3-24-27
4,4,19,21,0.0,pleasant_3-24-27
5,4,19,21,0.0,pleasant_3-24-27
6,4,19,21,-68.1374,pleasant_3-24-27
7,4,19,21,-527.516,pleasant_3-24-27
8,4,19,21,-316.509,pleasant_3-24-27
9,4,19,21,-163.53,pleasant_3-24-27
10,4,19,21,0.0,pleasant_3-24-27
