lakeno,cellid,claktype,bedleak,belev,telev,connlen,connwidth,zone,iconn
1,"(np.int64(0), np.int64(43), np.int64(31))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,56
1,"(np.int64(0), np.int64(32), np.int64(40))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,57
1,"(np.int64(1), np.int64(35), np.int64(36))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,58
1,"(np.int64(0), np.int64(32), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,59
1,"(np.int64(1), np.int64(43), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,60
1,"(np.int64(0), np.int64(35), np.int64(45))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,61
1,"(np.int64(0), np.int64(35), np.int64(54))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,62
1,"(np.int64(0), np.int64(36), np.int64(37))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,63
1,"(np.int64(0), np.int64(42), np.int64(44))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,64
1,"(np.int64(0), np.int64(42), np.int64(53))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,65
1,"(np.int64(0), np.int64(39), np.int64(38))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,66
1,"(np.int64(1), np.int64(31), np.int64(34))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,67
1,"(np.int64(0), np.int64(39), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,68
1,"(np.int64(0), np.int64(31), np.int64(43))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,69
1,"(np.int64(0), np.int64(31), np.int64(52))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,70
1,"(np.int64(1), np.int64(32), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,71
1,"(np.int64(0), np.int64(43), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,72
1,"(np.int64(0), np.int64(32), np.int64(44))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,73
1,"(np.int64(0), np.int64(43), np.int64(44))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,74
1,"(np.int64(1), np.int64(35), np.int64(40))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,75
1,"(np.int64(0), np.int64(35), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,76
1,"(np.int64(0), np.int64(38), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,77
1,"(np.int64(0), np.int64(42), np.int64(39))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,78
1,"(np.int64(0), np.int64(42), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,79
1,"(np.int64(0), np.int64(39), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,80
1,"(np.int64(0), np.int64(39), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,81
1,"(np.int64(0), np.int64(31), np.int64(38))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,82
1,"(np.int64(0), np.int64(39), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,83
1,"(np.int64(0), np.int64(31), np.int64(47))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,84
1,"(np.int64(0), np.int64(32), np.int64(39))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,85
1,"(np.int64(1), np.int64(35), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,86
1,"(np.int64(0), np.int64(35), np.int64(44))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,87
1,"(np.int64(0), np.int64(46), np.int64(50))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,88
1,"(np.int64(0), np.int64(38), np.int64(46))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,89
1,"(np.int64(0), np.int64(42), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,90
1,"(np.int64(0), np.int64(30), np.int64(41))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,91
1,"(np.int64(0), np.int64(42), np.int64(43))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,92
1,"(np.int64(0), np.int64(30), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,93
1,"(np.int64(0), np.int64(42), np.int64(52))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,94
1,"(np.int64(0), np.int64(39), np.int64(37))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,95
1,"(np.int64(1), np.int64(31), np.int64(33))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,96
1,"(np.int64(0), np.int64(39), np.int64(46))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,97
1,"(np.int64(0), np.int64(31), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,98
1,"(np.int64(0), np.int64(31), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,99
1,"(np.int64(0), np.int64(43), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,100
1,"(np.int64(0), np.int64(34), np.int64(53))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,101
1,"(np.int64(0), np.int64(38), np.int64(32))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,102
1,"(np.int64(0), np.int64(38), np.int64(41))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,103
1,"(np.int64(0), np.int64(38), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,104
1,"(np.int64(0), np.int64(42), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,105
1,"(np.int64(0), np.int64(39), np.int64(32))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,106
1,"(np.int64(0), np.int64(39), np.int64(41))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,107
1,"(np.int64(0), np.int64(31), np.int64(37))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,108
1,"(np.int64(2), np.int64(34), np.int64(39))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,109
1,"(np.int64(0), np.int64(34), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,110
1,"(np.int64(1), np.int64(45), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,111
1,"(np.int64(0), np.int64(37), np.int64(44))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,112
1,"(np.int64(0), np.int64(37), np.int64(53))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,113
1,"(np.int64(0), np.int64(38), np.int64(36))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,114
1,"(np.int64(0), np.int64(46), np.int64(49))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,115
1,"(np.int64(0), np.int64(38), np.int64(45))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,116
1,"(np.int64(0), np.int64(38), np.int64(54))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,117
1,"(np.int64(0), np.int64(42), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,118
1,"(np.int64(1), np.int64(30), np.int64(40))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,119
1,"(np.int64(0), np.int64(42), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,120
1,"(np.int64(0), np.int64(30), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,121
1,"(np.int64(0), np.int64(41), np.int64(46))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,122
1,"(np.int64(0), np.int64(33), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,123
1,"(np.int64(2), np.int64(34), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,124
1,"(np.int64(0), np.int64(45), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,125
1,"(np.int64(0), np.int64(34), np.int64(43))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,126
1,"(np.int64(0), np.int64(37), np.int64(39))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,127
1,"(np.int64(0), np.int64(34), np.int64(52))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,128
1,"(np.int64(0), np.int64(37), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,129
