per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,68,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.750233,2.947058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.750233,2.988062,0.0,0.0,0.0,0.0,0.0
0,69,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7956,31.979889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7956,31.98463,0.0,0.0,0.0,0.0,0.0
0,70,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7956,33.36465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7956,33.43058,0.0,0.0,0.0,0.0,0.0
0,71,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.466354,4.9164743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.753437,4.953422,0.0,0.0,0.0,0.0,0.0
0,72,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.66257,3.0237937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.307487,3.4019303,0.0,0.0,0.0,0.0,0.0
0,73,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.83939,6.6623054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.307487,6.7398996,0.0,0.0,0.0,0.0,0.0
0,74,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.684145,25.236357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.744778,25.280418,0.0,0.0,0.0,0.0,0.0
0,75,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.31503,4.6394463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.31503,4.8081417,0.0,0.0,0.0,0.0,0.0
0,76,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.420431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.473698,0.0,0.0,0.0,0.0,0.0
0,77,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7956,31.73621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7956,31.76249,0.0,0.0,0.0,0.0,0.0
0,78,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34619,2.8356252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34619,3.1694632,0.0,0.0,0.0,0.0,0.0
0,79,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.177902,73.41919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.177902,73.41919,0.0,0.0,0.0,0.0,0.0
0,80,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.61037,3.6912935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.579567,4.03897,0.0,0.0,0.0,0.0,0.0
0,81,1,0,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4673,61.720135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.788006,61.720135,0.0,0.0,0.0,0.0,0.0
