#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
1 4 4 15 434.40228 3.679670053244436 0.0008951802220718208 37.5499681562128 1 1.0 0.03700000047683716 1 1.0 0 17957799
2 4 4 14 551.29846 3.71868379664501 0.0008386924846704132 37.16109982430362 1 1.0 0.03700000047683716 2 1.0 0 17957799
3 4 4 14 676.10504 3.8968094079739757 0.0004024998685119952 36.69872994748594 1 1.0 0.03700000047683716 2 1.0 0 17955535
4 4 4 13 75.25044 3.918936896069356 0.001096085051116566 36.42659775718032 1 1.0 0.03700000047683716 2 1.0 0 17955535
5 4 5 13 152.47874 3.9256435440463138 0.003692920879042497 36.34411687206081 1 1.0 0.03700000047683716 2 1.0 0 17955535
6 4 5 13 258.42383 4.03936243057251 0.0020846416853408205 35.78102493286133 1 1.0 0.03700000047683716 2 1.0 0 17955537
7 4 4 12 1165.6306 17.659387588500977 0.0001 35.34654998779297 1 1.0 0.03700000047683716 1 1.0 0 17957809
8 4 5 13 564.0291 18.367368698120117 0.0001 35.2423038482666 1 1.0 0.03700000047683716 2 1.0 0 17955541
9 4 4 12 160.85802 17.710650813910853 0.00026192779204551507 35.32479515075523 1 1.0 0.03700000047683716 2 1.0 0 17955543
10 4 5 12 150.68007 17.71279221139761 0.0003039275500649309 35.28266196553804 1 1.0 0.03700000047683716 2 1.0 0 17955543
11 4 5 13 187.94003 17.71511976062875 0.00021366293529338293 35.236866141332456 1 1.0 0.03700000047683716 2 1.0 0 17955543
12 4 5 13 179.52443 18.50274143031257 0.00047068428917892453 35.196710322231304 1 1.0 0.03700000047683716 3 1.0 0 17955663
13 4 5 12 849.74255 18.50952464633874 0.00012688249215120172 35.11221099382596 1 1.0 0.03700000047683716 2 1.0 0 17955663
14 4 6 12 463.55713 18.51817973376045 0.0002830865803015984 35.00439354092419 1 1.0 0.03700000047683716 2 1.0 0 17955663
15 4 6 11 1134.8866 18.52871401569946 0.00016639873235323543 34.873166738527694 1 1.0 0.03700000047683716 2 1.0 0 17955663
16 4 7 11 1165.3746 18.54387351549384 0.00022907447507224444 34.684323047475516 1 1.0 0.03700000047683716 2 1.0 0 17955663
