#k i j q boundname
1 28 15 -0 perimeter-fluxes
1 9 5 -83.3262 perimeter-fluxes
1 10 4 -82.7463 perimeter-fluxes
1 11 4 -94.6534 perimeter-fluxes
1 12 4 -104.169 perimeter-fluxes
1 13 4 -116.386 perimeter-fluxes
1 14 4 -105.525 perimeter-fluxes
1 15 4 -119.763 perimeter-fluxes
1 16 4 -103.702 perimeter-fluxes
1 17 5 -120.765 perimeter-fluxes
1 18 5 -112.655 perimeter-fluxes
1 19 5 -94.7122 perimeter-fluxes
1 20 5 -84.6048 perimeter-fluxes
1 21 5 -61.1604 perimeter-fluxes
1 22 5 -37.3803 perimeter-fluxes
1 23 5 -13.2412 perimeter-fluxes
1 24 5 3.20117 perimeter-fluxes
1 25 5 17.4691 perimeter-fluxes
1 26 5 20.4927 perimeter-fluxes
1 27 10 -274.678 perimeter-fluxes
1 28 11 0 perimeter-fluxes
1 16 4 -113.279 perimeter-fluxes
1 26 5 -66.8152 perimeter-fluxes
1 26 6 -67.1902 perimeter-fluxes
1 26 7 -64.8525 perimeter-fluxes
1 26 8 -58.8447 perimeter-fluxes
1 26 9 -58.1903 perimeter-fluxes
1 27 10 -0 perimeter-fluxes
1 28 11 -0 perimeter-fluxes
1 28 12 -0 perimeter-fluxes
1 28 13 -0 perimeter-fluxes
1 28 14 -0 perimeter-fluxes
1 28 15 -0 perimeter-fluxes
1 9 5 186.534 perimeter-fluxes
1 9 6 162.281 perimeter-fluxes
1 10 4 176.348 perimeter-fluxes
2 9 6 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 -96.3939 perimeter-fluxes
2 10 4 -79.183 perimeter-fluxes
2 11 4 -88.3633 perimeter-fluxes
2 12 4 -96.6574 perimeter-fluxes
2 13 4 -100.925 perimeter-fluxes
2 14 4 -101.618 perimeter-fluxes
2 15 4 -104.809 perimeter-fluxes
2 16 4 -96.2383 perimeter-fluxes
2 17 5 -115.007 perimeter-fluxes
2 18 5 -103.147 perimeter-fluxes
2 19 5 -90.8738 perimeter-fluxes
2 20 5 -78.8969 perimeter-fluxes
2 21 5 -59.1165 perimeter-fluxes
2 22 5 -38.0263 perimeter-fluxes
2 23 5 -13.9202 perimeter-fluxes
2 24 5 3.02362 perimeter-fluxes
2 25 5 18.1451 perimeter-fluxes
2 26 5 20.7903 perimeter-fluxes
2 27 10 -272.366 perimeter-fluxes
2 28 11 0 perimeter-fluxes
2 16 4 -113.29 perimeter-fluxes
2 26 5 -65.459 perimeter-fluxes
2 26 6 -64.8174 perimeter-fluxes
2 26 7 -66.167 perimeter-fluxes
2 26 8 -61.2782 perimeter-fluxes
2 26 9 -58.4651 perimeter-fluxes
2 27 10 -0 perimeter-fluxes
2 28 11 -0 perimeter-fluxes
2 28 12 -0 perimeter-fluxes
2 28 13 -0 perimeter-fluxes
2 28 14 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 155.437 perimeter-fluxes
2 9 6 154.49 perimeter-fluxes
2 10 4 170.644 perimeter-fluxes
3 9 6 -0 perimeter-fluxes
3 28 15 -0 perimeter-fluxes
3 9 5 -96.5306 perimeter-fluxes
3 10 4 -79.1698 perimeter-fluxes
3 11 4 -88.4234 perimeter-fluxes
3 12 4 -96.7148 perimeter-fluxes
3 13 4 -100.919 perimeter-fluxes
3 14 4 -101.536 perimeter-fluxes
3 15 4 -104.841 perimeter-fluxes
3 16 4 -96.1339 perimeter-fluxes
3 17 5 -115.106 perimeter-fluxes
3 18 5 -103.16 perimeter-fluxes
3 19 5 -90.9585 perimeter-fluxes
3 20 5 -78.9635 perimeter-fluxes
3 21 5 -59.1946 perimeter-fluxes
3 22 5 -38.0451 perimeter-fluxes
3 23 5 -13.9882 perimeter-fluxes
3 24 5 2.98436 perimeter-fluxes
3 25 5 18.0717 perimeter-fluxes
3 26 5 20.7597 perimeter-fluxes
3 27 10 -272.557 perimeter-fluxes
3 28 11 0 perimeter-fluxes
3 16 4 -113.29 perimeter-fluxes
3 26 5 -65.4538 perimeter-fluxes
3 26 6 -64.7688 perimeter-fluxes
3 26 7 -66.1992 perimeter-fluxes
3 26 8 -61.2652 perimeter-fluxes
3 26 9 -58.3973 perimeter-fluxes
3 27 10 -0 perimeter-fluxes
3 28 11 -0 perimeter-fluxes
3 28 12 -0 perimeter-fluxes
3 28 13 -0 perimeter-fluxes
3 28 14 -0 perimeter-fluxes
3 28 15 -0 perimeter-fluxes
3 9 5 155.578 perimeter-fluxes
3 9 6 154.609 perimeter-fluxes
3 10 4 170.641 perimeter-fluxes
4 4 16 670.976 perimeter-fluxes
4 4 27 347.155 perimeter-fluxes
4 5 33 -92.6811 perimeter-fluxes
4 6 18 772.613 perimeter-fluxes
4 6 33 -89.4286 perimeter-fluxes
4 7 19 837.947 perimeter-fluxes
4 10 33 -70.1429 perimeter-fluxes
4 11 33 -61.0677 perimeter-fluxes
4 12 33 -18.6755 perimeter-fluxes
4 13 33 -29.0879 perimeter-fluxes
4 14 33 -60.8757 perimeter-fluxes
4 15 33 -126.544 perimeter-fluxes
4 18 35 -0 perimeter-fluxes
4 19 35 -0 perimeter-fluxes
4 21 35 -0 perimeter-fluxes
4 22 35 -0 perimeter-fluxes
4 24 35 -0 perimeter-fluxes
4 26 35 -0 perimeter-fluxes
4 27 35 -0 perimeter-fluxes
4 28 21 -0 perimeter-fluxes
4 4 12 -479.594 perimeter-fluxes
4 4 24 -789.158 perimeter-fluxes
4 5 32 -114.899 perimeter-fluxes
4 6 8 -306.255 perimeter-fluxes
4 6 23 -810.732 perimeter-fluxes
4 7 7 -1.11643 perimeter-fluxes
4 7 22 -873.894 perimeter-fluxes
4 8 6 0 perimeter-fluxes
4 9 5 -0.0692171 perimeter-fluxes
4 10 4 -0.0503282 perimeter-fluxes
4 11 4 -0.0495741 perimeter-fluxes
4 12 4 -0.0477301 perimeter-fluxes
4 13 4 -0.0446152 perimeter-fluxes
4 14 4 -0.0418887 perimeter-fluxes
4 15 4 -0.040032 perimeter-fluxes
4 16 4 -0.0362158 perimeter-fluxes
4 17 5 -0.0441727 perimeter-fluxes
4 18 5 -0.0409327 perimeter-fluxes
4 19 5 -0.0379335 perimeter-fluxes
4 20 5 -0.0350722 perimeter-fluxes
4 21 5 -0.0280077 perimeter-fluxes
4 22 5 -0.0196368 perimeter-fluxes
4 23 5 -0.00774566 perimeter-fluxes
4 24 5 0.00180272 perimeter-fluxes
4 25 5 0.0119001 perimeter-fluxes
4 26 5 0.0167508 perimeter-fluxes
4 27 10 -0.196668 perimeter-fluxes
4 28 11 0 perimeter-fluxes
4 16 4 -0.0418622 perimeter-fluxes
4 26 5 -0.0531336 perimeter-fluxes
4 26 6 -0.0513413 perimeter-fluxes
4 26 7 -0.0501711 perimeter-fluxes
4 26 8 -0.0442553 perimeter-fluxes
4 26 9 -0.0396453 perimeter-fluxes
4 27 10 -0 perimeter-fluxes
4 27 22 -0 perimeter-fluxes
4 27 23 -0 perimeter-fluxes
4 27 24 -0 perimeter-fluxes
4 27 25 -0 perimeter-fluxes
4 27 27 -0 perimeter-fluxes
4 27 28 -0 perimeter-fluxes
4 27 29 -0 perimeter-fluxes
4 27 30 -0 perimeter-fluxes
4 27 31 -0 perimeter-fluxes
4 27 32 -0 perimeter-fluxes
4 27 33 -0 perimeter-fluxes
4 27 34 -0 perimeter-fluxes
4 28 11 -0 perimeter-fluxes
4 28 12 -0 perimeter-fluxes
4 28 13 -0 perimeter-fluxes
4 28 14 -0 perimeter-fluxes
4 28 15 -0 perimeter-fluxes
4 28 16 -0 perimeter-fluxes
4 28 17 -0 perimeter-fluxes
4 28 18 -0 perimeter-fluxes
4 28 20 -0 perimeter-fluxes
4 28 21 -0 perimeter-fluxes
4 4 12 139.786 perimeter-fluxes
4 4 13 122.69 perimeter-fluxes
4 4 14 100.015 perimeter-fluxes
4 4 15 78.1002 perimeter-fluxes
4 4 16 69.3235 perimeter-fluxes
4 4 24 -106.432 perimeter-fluxes
4 4 25 -64.9878 perimeter-fluxes
4 4 27 -28.5747 perimeter-fluxes
4 5 11 227.685 perimeter-fluxes
4 5 17 72.9659 perimeter-fluxes
4 5 32 44.9195 perimeter-fluxes
4 5 33 18.0059 perimeter-fluxes
4 6 8 241.23 perimeter-fluxes
4 6 18 60.414 perimeter-fluxes
4 7 7 0.387061 perimeter-fluxes
4 7 19 79.2131 perimeter-fluxes
4 7 22 -23.0303 perimeter-fluxes
4 7 31 0.334302 perimeter-fluxes
4 8 6 658.14 perimeter-fluxes
4 8 20 105.183 perimeter-fluxes
4 8 21 86.1337 perimeter-fluxes
4 9 5 0.108766 perimeter-fluxes
4 10 4 0.10586 perimeter-fluxes
5 4 16 325.143 perimeter-fluxes
5 4 27 85.5306 perimeter-fluxes
5 5 17 346.22 perimeter-fluxes
5 5 28 60.9377 perimeter-fluxes
5 5 33 -15.4743 perimeter-fluxes
5 6 18 358.385 perimeter-fluxes
5 6 29 30.1004 perimeter-fluxes
5 6 33 -14.8977 perimeter-fluxes
5 7 19 365.949 perimeter-fluxes
5 7 33 -13.7755 perimeter-fluxes
5 8 33 -12.8216 perimeter-fluxes
5 9 33 -12.486 perimeter-fluxes
5 10 33 -13.2498 perimeter-fluxes
5 11 33 -11.8186 perimeter-fluxes
5 12 33 -3.5986 perimeter-fluxes
5 13 33 -5.99811 perimeter-fluxes
5 14 33 -13.0275 perimeter-fluxes
5 15 33 -27.8844 perimeter-fluxes
5 16 33 -47.2991 perimeter-fluxes
5 17 33 -55.8041 perimeter-fluxes
5 18 35 -0 perimeter-fluxes
5 19 35 -0 perimeter-fluxes
5 20 35 -0 perimeter-fluxes
5 21 35 -0 perimeter-fluxes
5 22 35 -0 perimeter-fluxes
5 23 35 -0 perimeter-fluxes
5 24 35 -0 perimeter-fluxes
5 25 35 -0 perimeter-fluxes
5 26 35 -0 perimeter-fluxes
5 27 35 -0 perimeter-fluxes
5 28 21 -0 perimeter-fluxes
5 4 12 -277.23 perimeter-fluxes
5 4 24 -231.407 perimeter-fluxes
5 5 9 -228.228 perimeter-fluxes
5 5 23 -270.142 perimeter-fluxes
5 5 32 -20.0894 perimeter-fluxes
5 6 8 -176.296 perimeter-fluxes
5 6 23 -266.761 perimeter-fluxes
5 6 32 -23.7407 perimeter-fluxes
