#k i j q boundname
4 24 5 -0.0335931 perimeter-fluxes
4 25 5 -0.0733419 perimeter-fluxes
4 26 5 -0.119747 perimeter-fluxes
4 27 10 -0.23115 perimeter-fluxes
4 28 11 0 perimeter-fluxes
4 16 4 -0.0435434 perimeter-fluxes
4 26 5 -0.110703 perimeter-fluxes
4 26 6 -0.103826 perimeter-fluxes
4 26 7 -0.0892375 perimeter-fluxes
4 26 8 -0.101767 perimeter-fluxes
4 26 9 -0.113373 perimeter-fluxes
4 27 10 -0 perimeter-fluxes
4 27 22 -0 perimeter-fluxes
4 27 23 -0 perimeter-fluxes
4 27 24 -0 perimeter-fluxes
4 27 25 -0 perimeter-fluxes
4 27 27 -0 perimeter-fluxes
4 27 28 -0 perimeter-fluxes
4 27 29 -0 perimeter-fluxes
4 27 30 -0 perimeter-fluxes
4 27 31 -0 perimeter-fluxes
4 27 32 -0 perimeter-fluxes
4 27 33 -0 perimeter-fluxes
4 27 34 -0 perimeter-fluxes
4 28 11 -0 perimeter-fluxes
4 28 12 -0 perimeter-fluxes
4 28 13 -0 perimeter-fluxes
4 28 14 -0 perimeter-fluxes
4 28 15 -0 perimeter-fluxes
4 28 16 -0 perimeter-fluxes
4 28 17 -0 perimeter-fluxes
4 28 18 -0 perimeter-fluxes
4 28 20 -0 perimeter-fluxes
4 28 21 -0 perimeter-fluxes
4 4 12 378.578 perimeter-fluxes
4 4 13 389.599 perimeter-fluxes
4 4 14 297.628 perimeter-fluxes
4 4 15 243.039 perimeter-fluxes
4 4 16 202.844 perimeter-fluxes
4 4 24 -90.0221 perimeter-fluxes
4 4 25 -50.8964 perimeter-fluxes
4 4 27 5.96855 perimeter-fluxes
4 5 11 264.69 perimeter-fluxes
4 5 17 213.841 perimeter-fluxes
4 5 32 96.2167 perimeter-fluxes
4 5 33 87.3686 perimeter-fluxes
4 6 8 448.474 perimeter-fluxes
4 6 18 249.057 perimeter-fluxes
4 7 7 0.530097 perimeter-fluxes
4 7 19 226.094 perimeter-fluxes
4 7 22 83.1348 perimeter-fluxes
4 7 31 -27.8795 perimeter-fluxes
4 8 6 430.832 perimeter-fluxes
4 8 20 272.779 perimeter-fluxes
4 8 21 273.214 perimeter-fluxes
4 9 5 0.21315 perimeter-fluxes
4 10 4 0.125094 perimeter-fluxes
5 4 16 372.938 perimeter-fluxes
5 4 27 56.8406 perimeter-fluxes
5 5 17 370.552 perimeter-fluxes
5 5 28 22.1029 perimeter-fluxes
5 5 33 -1.95204 perimeter-fluxes
5 6 18 395.496 perimeter-fluxes
5 6 29 -2.12053 perimeter-fluxes
5 6 33 1.25759 perimeter-fluxes
5 7 19 453.83 perimeter-fluxes
5 7 33 2.338 perimeter-fluxes
5 8 33 0.851226 perimeter-fluxes
5 9 33 -0.146289 perimeter-fluxes
5 10 33 -0.146398 perimeter-fluxes
5 11 33 3.00027 perimeter-fluxes
5 12 33 11.7098 perimeter-fluxes
5 13 33 7.77213 perimeter-fluxes
5 14 33 -1.86882 perimeter-fluxes
5 15 33 -16.0257 perimeter-fluxes
5 16 33 -30.8847 perimeter-fluxes
5 17 33 -33.2789 perimeter-fluxes
5 18 35 -0 perimeter-fluxes
5 19 35 -0 perimeter-fluxes
5 20 35 -0 perimeter-fluxes
5 21 35 -0 perimeter-fluxes
5 22 35 -0 perimeter-fluxes
5 23 35 -0 perimeter-fluxes
5 24 35 -0 perimeter-fluxes
5 25 35 -0 perimeter-fluxes
5 26 35 -0 perimeter-fluxes
5 27 35 -0 perimeter-fluxes
5 28 21 -0 perimeter-fluxes
5 4 12 -382.89 perimeter-fluxes
5 4 24 -209.548 perimeter-fluxes
5 5 9 -434.586 perimeter-fluxes
5 5 23 -252.35 perimeter-fluxes
5 5 32 -42.7802 perimeter-fluxes
5 6 8 -253.786 perimeter-fluxes
5 6 23 -254.25 perimeter-fluxes
5 6 32 -42.1079 perimeter-fluxes
5 7 7 -0.541305 perimeter-fluxes
5 7 22 -322.259 perimeter-fluxes
5 8 6 -0.506308 perimeter-fluxes
5 9 5 -0.20097 perimeter-fluxes
5 10 4 -0.00586758 perimeter-fluxes
5 11 4 0.0178442 perimeter-fluxes
5 12 4 -0.0678384 perimeter-fluxes
5 13 4 0.0234812 perimeter-fluxes
5 14 4 -0.0599308 perimeter-fluxes
5 15 4 0.0493393 perimeter-fluxes
5 16 4 0.048253 perimeter-fluxes
5 17 5 -0.172211 perimeter-fluxes
5 18 5 -0.0998853 perimeter-fluxes
5 19 5 -0.160746 perimeter-fluxes
5 20 5 -0.151911 perimeter-fluxes
5 21 5 -0.0527302 perimeter-fluxes
5 22 5 -0.112388 perimeter-fluxes
5 23 5 -0.044439 perimeter-fluxes
5 24 5 -0.101709 perimeter-fluxes
5 25 5 -0.210324 perimeter-fluxes
5 26 5 -0.29089 perimeter-fluxes
5 27 10 -0.57724 perimeter-fluxes
5 28 11 0 perimeter-fluxes
5 16 4 -0.126828 perimeter-fluxes
5 26 5 -0.271382 perimeter-fluxes
5 26 6 -0.255749 perimeter-fluxes
5 26 7 -0.221851 perimeter-fluxes
5 26 8 -0.261061 perimeter-fluxes
5 26 9 -0.304518 perimeter-fluxes
5 27 10 -0 perimeter-fluxes
5 27 22 -0 perimeter-fluxes
5 27 23 -0 perimeter-fluxes
5 27 24 -0 perimeter-fluxes
5 27 25 -0 perimeter-fluxes
5 27 26 -0 perimeter-fluxes
5 27 27 -0 perimeter-fluxes
5 27 28 -0 perimeter-fluxes
5 27 29 -0 perimeter-fluxes
5 27 30 -0 perimeter-fluxes
5 27 31 -0 perimeter-fluxes
5 27 32 -0 perimeter-fluxes
5 27 33 -0 perimeter-fluxes
5 27 34 -0 perimeter-fluxes
5 27 35 -0 perimeter-fluxes
5 28 11 -0 perimeter-fluxes
5 28 12 -0 perimeter-fluxes
5 28 13 -0 perimeter-fluxes
5 28 14 -0 perimeter-fluxes
5 28 15 -0 perimeter-fluxes
5 28 16 -0 perimeter-fluxes
5 28 17 -0 perimeter-fluxes
5 28 18 -0 perimeter-fluxes
5 28 19 -0 perimeter-fluxes
5 28 20 -0 perimeter-fluxes
5 28 21 -0 perimeter-fluxes
5 4 12 214.509 perimeter-fluxes
5 4 13 211.75 perimeter-fluxes
5 4 14 154.84 perimeter-fluxes
5 4 15 122.749 perimeter-fluxes
5 4 16 98.4955 perimeter-fluxes
5 4 24 -27.116 perimeter-fluxes
5 4 25 -14.75 perimeter-fluxes
5 4 26 -10.6919 perimeter-fluxes
5 4 27 1.1843 perimeter-fluxes
5 5 9 206.214 perimeter-fluxes
5 5 10 236.174 perimeter-fluxes
5 5 11 157.422 perimeter-fluxes
5 5 17 100.674 perimeter-fluxes
5 5 23 -31.8946 perimeter-fluxes
5 5 28 -12.0641 perimeter-fluxes
5 5 32 17.3913 perimeter-fluxes
5 5 33 14.6277 perimeter-fluxes
5 6 8 263.284 perimeter-fluxes
5 6 18 113.941 perimeter-fluxes
5 6 29 -2.93893 perimeter-fluxes
5 7 7 0.273754 perimeter-fluxes
5 7 19 98.6333 perimeter-fluxes
5 7 22 30.2782 perimeter-fluxes
5 7 30 50.8228 perimeter-fluxes
5 7 31 -5.27471 perimeter-fluxes
5 8 6 0.145016 perimeter-fluxes
5 8 20 115.324 perimeter-fluxes
5 8 21 109.701 perimeter-fluxes
5 9 5 0.419543 perimeter-fluxes
5 10 4 0.253888 perimeter-fluxes
5 18 34 144.987 perimeter-fluxes
5 18 35 0 perimeter-fluxes
6 4 16 372.759 perimeter-fluxes
6 4 27 56.9001 perimeter-fluxes
6 5 17 370.443 perimeter-fluxes
6 5 28 22.1104 perimeter-fluxes
6 5 33 -1.94908 perimeter-fluxes
6 6 18 395.468 perimeter-fluxes
6 6 29 -2.11281 perimeter-fluxes
6 6 33 1.28776 perimeter-fluxes
6 7 19 453.844 perimeter-fluxes
6 7 33 2.36573 perimeter-fluxes
6 8 33 0.870728 perimeter-fluxes
6 9 33 -0.130962 perimeter-fluxes
6 10 33 -0.133451 perimeter-fluxes
6 11 33 3.01752 perimeter-fluxes
6 12 33 11.7484 perimeter-fluxes
6 13 33 7.79276 perimeter-fluxes
6 14 33 -1.86378 perimeter-fluxes
6 15 33 -15.9787 perimeter-fluxes
6 16 33 -30.8118 perimeter-fluxes
6 17 33 -33.2046 perimeter-fluxes
6 18 35 -0 perimeter-fluxes
6 19 35 -0 perimeter-fluxes
6 20 35 -0 perimeter-fluxes
6 21 35 -0 perimeter-fluxes
6 22 35 -0 perimeter-fluxes
6 23 35 -0 perimeter-fluxes
6 24 35 -0 perimeter-fluxes
6 25 35 -0 perimeter-fluxes
6 26 35 -0 perimeter-fluxes
6 27 35 -0 perimeter-fluxes
6 28 21 -0 perimeter-fluxes
6 4 12 -382.957 perimeter-fluxes
6 4 24 -209.399 perimeter-fluxes
6 5 9 -435.513 perimeter-fluxes
6 5 23 -252.288 perimeter-fluxes
6 5 32 -42.7708 perimeter-fluxes
6 6 8 -253.574 perimeter-fluxes
6 6 23 -254.065 perimeter-fluxes
6 6 32 -42.0955 perimeter-fluxes
6 7 7 -0.54175 perimeter-fluxes
6 7 22 -322.302 perimeter-fluxes
6 8 6 -0.505694 perimeter-fluxes
6 9 5 -0.201036 perimeter-fluxes
6 10 4 -0.00618134 perimeter-fluxes
6 11 4 0.0175516 perimeter-fluxes
6 12 4 -0.0678263 perimeter-fluxes
6 13 4 0.0231269 perimeter-fluxes
6 14 4 -0.0599519 perimeter-fluxes
6 15 4 0.0489747 perimeter-fluxes
6 16 4 0.0478794 perimeter-fluxes
6 17 5 -0.172149 perimeter-fluxes
6 18 5 -0.100111 perimeter-fluxes
6 19 5 -0.16069 perimeter-fluxes
6 20 5 -0.151966 perimeter-fluxes
6 21 5 -0.0530169 perimeter-fluxes
6 22 5 -0.112431 perimeter-fluxes
6 23 5 -0.0446518 perimeter-fluxes
6 24 5 -0.101862 perimeter-fluxes
6 25 5 -0.210406 perimeter-fluxes
6 26 5 -0.290792 perimeter-fluxes
6 27 10 -0.577406 perimeter-fluxes
6 28 11 0 perimeter-fluxes
6 16 4 -0.12679 perimeter-fluxes
6 26 5 -0.271442 perimeter-fluxes
6 26 6 -0.255795 perimeter-fluxes
6 26 7 -0.221864 perimeter-fluxes
6 26 8 -0.261126 perimeter-fluxes
6 26 9 -0.304178 perimeter-fluxes
6 27 10 -0 perimeter-fluxes
6 27 22 -0 perimeter-fluxes
6 27 23 -0 perimeter-fluxes
6 27 24 -0 perimeter-fluxes
6 27 25 -0 perimeter-fluxes
6 27 26 -0 perimeter-fluxes
6 27 27 -0 perimeter-fluxes
6 27 28 -0 perimeter-fluxes
6 27 29 -0 perimeter-fluxes
6 27 30 -0 perimeter-fluxes
6 27 31 -0 perimeter-fluxes
6 27 32 -0 perimeter-fluxes
6 27 33 -0 perimeter-fluxes
6 27 34 -0 perimeter-fluxes
6 27 35 -0 perimeter-fluxes
6 28 11 -0 perimeter-fluxes
6 28 12 -0 perimeter-fluxes
6 28 13 -0 perimeter-fluxes
6 28 14 -0 perimeter-fluxes
6 28 15 -0 perimeter-fluxes
6 28 16 -0 perimeter-fluxes
