#k i j q boundname
4 24 5 -0.0638282 perimeter-fluxes
4 25 5 -0.0701259 perimeter-fluxes
4 26 5 -0.0946468 perimeter-fluxes
4 27 10 -0.280757 perimeter-fluxes
4 28 11 0 perimeter-fluxes
4 16 4 -0.0609468 perimeter-fluxes
4 26 5 -0.0959402 perimeter-fluxes
4 26 6 -0.0851608 perimeter-fluxes
4 26 7 -0.0714911 perimeter-fluxes
4 26 8 -0.05326 perimeter-fluxes
4 26 9 -0.0402799 perimeter-fluxes
4 27 10 -0 perimeter-fluxes
4 27 22 -0 perimeter-fluxes
4 27 23 -0 perimeter-fluxes
4 27 24 -0 perimeter-fluxes
4 27 25 -0 perimeter-fluxes
4 27 27 -0 perimeter-fluxes
4 27 28 -0 perimeter-fluxes
4 27 29 -0 perimeter-fluxes
4 27 30 -0 perimeter-fluxes
4 27 31 -0 perimeter-fluxes
4 27 32 -0 perimeter-fluxes
4 27 33 -0 perimeter-fluxes
4 27 34 -0 perimeter-fluxes
4 28 11 -0 perimeter-fluxes
4 28 12 -0 perimeter-fluxes
4 28 13 -0 perimeter-fluxes
4 28 14 -0 perimeter-fluxes
4 28 15 -0 perimeter-fluxes
4 28 16 -0 perimeter-fluxes
4 28 17 -0 perimeter-fluxes
4 28 18 -0 perimeter-fluxes
4 28 20 -0 perimeter-fluxes
4 28 21 -0 perimeter-fluxes
4 4 12 289.351 perimeter-fluxes
4 4 13 272.591 perimeter-fluxes
4 4 14 243.457 perimeter-fluxes
4 4 15 209.155 perimeter-fluxes
4 4 16 193.647 perimeter-fluxes
4 4 24 -39.8545 perimeter-fluxes
4 4 25 -18.0472 perimeter-fluxes
4 4 27 -1.82697 perimeter-fluxes
4 5 11 401.522 perimeter-fluxes
4 5 17 203.451 perimeter-fluxes
4 5 32 115.457 perimeter-fluxes
4 5 33 89.767 perimeter-fluxes
4 6 8 358.281 perimeter-fluxes
4 6 18 181.43 perimeter-fluxes
4 7 7 0.541813 perimeter-fluxes
4 7 19 186.776 perimeter-fluxes
4 7 22 42.4022 perimeter-fluxes
4 7 31 -76.1431 perimeter-fluxes
4 8 6 906.963 perimeter-fluxes
4 8 20 196.86 perimeter-fluxes
4 8 21 165.986 perimeter-fluxes
4 9 5 0.149824 perimeter-fluxes
4 10 4 0.145164 perimeter-fluxes
5 4 16 390.902 perimeter-fluxes
5 4 27 28.2764 perimeter-fluxes
5 5 17 412.531 perimeter-fluxes
5 5 28 2.86013 perimeter-fluxes
5 5 33 -7.98241 perimeter-fluxes
5 6 18 422.015 perimeter-fluxes
5 6 29 -15.473 perimeter-fluxes
5 6 33 -10.6844 perimeter-fluxes
5 7 19 427.448 perimeter-fluxes
5 7 33 -9.51645 perimeter-fluxes
5 8 33 -10.3256 perimeter-fluxes
5 9 33 -11.5925 perimeter-fluxes
5 10 33 -14.1992 perimeter-fluxes
5 11 33 -12.981 perimeter-fluxes
5 12 33 -1.49803 perimeter-fluxes
5 13 33 -3.36484 perimeter-fluxes
5 14 33 -9.95476 perimeter-fluxes
5 15 33 -29.8349 perimeter-fluxes
5 16 33 -57.5818 perimeter-fluxes
5 17 33 -70.3582 perimeter-fluxes
5 18 35 -0 perimeter-fluxes
5 19 35 -0 perimeter-fluxes
5 20 35 -0 perimeter-fluxes
5 21 35 -0 perimeter-fluxes
5 22 35 -0 perimeter-fluxes
5 23 35 -0 perimeter-fluxes
5 24 35 -0 perimeter-fluxes
5 25 35 -0 perimeter-fluxes
5 26 35 -0 perimeter-fluxes
5 27 35 -0 perimeter-fluxes
5 28 21 -0 perimeter-fluxes
5 4 12 -357.462 perimeter-fluxes
5 4 24 -211.624 perimeter-fluxes
5 5 9 -312.221 perimeter-fluxes
5 5 23 -271.365 perimeter-fluxes
5 5 32 -49.7609 perimeter-fluxes
5 6 8 -239.277 perimeter-fluxes
5 6 23 -272.709 perimeter-fluxes
5 6 32 -51.678 perimeter-fluxes
5 7 7 -0.689038 perimeter-fluxes
5 7 22 -334.99 perimeter-fluxes
5 8 6 -0.292673 perimeter-fluxes
5 9 5 -0.168724 perimeter-fluxes
5 10 4 -0.127072 perimeter-fluxes
5 11 4 -0.133954 perimeter-fluxes
5 12 4 -0.139183 perimeter-fluxes
5 13 4 -0.141112 perimeter-fluxes
5 14 4 -0.14279 perimeter-fluxes
5 15 4 -0.147084 perimeter-fluxes
5 16 4 -0.140401 perimeter-fluxes
5 17 5 -0.188667 perimeter-fluxes
5 18 5 -0.186709 perimeter-fluxes
5 19 5 -0.190287 perimeter-fluxes
5 20 5 -0.19961 perimeter-fluxes
5 21 5 -0.196907 perimeter-fluxes
5 22 5 -0.194221 perimeter-fluxes
5 23 5 -0.186825 perimeter-fluxes
5 24 5 -0.193105 perimeter-fluxes
5 25 5 -0.201112 perimeter-fluxes
5 26 5 -0.229925 perimeter-fluxes
5 27 10 -0.700813 perimeter-fluxes
5 28 11 0 perimeter-fluxes
5 16 4 -0.17753 perimeter-fluxes
5 26 5 -0.23506 perimeter-fluxes
5 26 6 -0.20971 perimeter-fluxes
5 26 7 -0.177702 perimeter-fluxes
5 26 8 -0.136631 perimeter-fluxes
5 26 9 -0.108246 perimeter-fluxes
5 27 10 -0 perimeter-fluxes
5 27 22 -0 perimeter-fluxes
5 27 23 -0 perimeter-fluxes
5 27 24 -0 perimeter-fluxes
5 27 25 -0 perimeter-fluxes
5 27 26 -0 perimeter-fluxes
5 27 27 -0 perimeter-fluxes
5 27 28 -0 perimeter-fluxes
5 27 29 -0 perimeter-fluxes
5 27 30 -0 perimeter-fluxes
5 27 31 -0 perimeter-fluxes
5 27 32 -0 perimeter-fluxes
5 27 33 -0 perimeter-fluxes
5 27 34 -0 perimeter-fluxes
5 27 35 -0 perimeter-fluxes
5 28 11 -0 perimeter-fluxes
5 28 12 -0 perimeter-fluxes
5 28 13 -0 perimeter-fluxes
5 28 14 -0 perimeter-fluxes
5 28 15 -0 perimeter-fluxes
5 28 16 -0 perimeter-fluxes
5 28 17 -0 perimeter-fluxes
5 28 18 -0 perimeter-fluxes
5 28 19 -0 perimeter-fluxes
5 28 20 -0 perimeter-fluxes
5 28 21 -0 perimeter-fluxes
5 4 12 164.031 perimeter-fluxes
5 4 13 147.981 perimeter-fluxes
5 4 14 126.677 perimeter-fluxes
5 4 15 105.648 perimeter-fluxes
5 4 16 93.8989 perimeter-fluxes
5 4 24 -12.13 perimeter-fluxes
5 4 25 -5.25973 perimeter-fluxes
5 4 26 -4.86668 perimeter-fluxes
5 4 27 -0.444284 perimeter-fluxes
5 5 9 264.928 perimeter-fluxes
5 5 10 256.242 perimeter-fluxes
5 5 11 239.556 perimeter-fluxes
5 5 17 95.6806 perimeter-fluxes
5 5 23 -24.247 perimeter-fluxes
5 5 28 -11.267 perimeter-fluxes
5 5 32 20.8922 perimeter-fluxes
5 5 33 15.0796 perimeter-fluxes
5 6 8 210.888 perimeter-fluxes
5 6 18 83.0109 perimeter-fluxes
5 6 29 -13.6945 perimeter-fluxes
5 7 7 0.27977 perimeter-fluxes
5 7 19 81.5524 perimeter-fluxes
5 7 22 15.5516 perimeter-fluxes
5 7 30 77.9208 perimeter-fluxes
5 7 31 -14.7651 perimeter-fluxes
5 8 6 0.302561 perimeter-fluxes
5 8 20 83.0421 perimeter-fluxes
5 8 21 66.5394 perimeter-fluxes
5 9 5 0.295064 perimeter-fluxes
5 10 4 0.294628 perimeter-fluxes
5 18 34 157.665 perimeter-fluxes
5 18 35 0 perimeter-fluxes
6 4 16 390.718 perimeter-fluxes
6 4 27 28.2912 perimeter-fluxes
6 5 17 412.482 perimeter-fluxes
6 5 28 2.85557 perimeter-fluxes
6 5 33 -7.92931 perimeter-fluxes
6 6 18 421.971 perimeter-fluxes
6 6 29 -15.4703 perimeter-fluxes
6 6 33 -10.6373 perimeter-fluxes
6 7 19 427.189 perimeter-fluxes
6 7 33 -9.48035 perimeter-fluxes
6 8 33 -10.2884 perimeter-fluxes
6 9 33 -11.5631 perimeter-fluxes
6 10 33 -14.1697 perimeter-fluxes
6 11 33 -12.9556 perimeter-fluxes
6 12 33 -1.43553 perimeter-fluxes
6 13 33 -3.31114 perimeter-fluxes
6 14 33 -9.92353 perimeter-fluxes
6 15 33 -29.6964 perimeter-fluxes
6 16 33 -57.3743 perimeter-fluxes
6 17 33 -70.1772 perimeter-fluxes
6 18 35 -0 perimeter-fluxes
6 19 35 -0 perimeter-fluxes
6 20 35 -0 perimeter-fluxes
6 21 35 -0 perimeter-fluxes
6 22 35 -0 perimeter-fluxes
6 23 35 -0 perimeter-fluxes
6 24 35 -0 perimeter-fluxes
6 25 35 -0 perimeter-fluxes
6 26 35 -0 perimeter-fluxes
6 27 35 -0 perimeter-fluxes
6 28 21 -0 perimeter-fluxes
6 4 12 -357.453 perimeter-fluxes
6 4 24 -211.433 perimeter-fluxes
6 5 9 -312.238 perimeter-fluxes
6 5 23 -271.302 perimeter-fluxes
6 5 32 -49.7429 perimeter-fluxes
6 6 8 -239.211 perimeter-fluxes
6 6 23 -272.478 perimeter-fluxes
6 6 32 -51.6514 perimeter-fluxes
6 7 7 -0.688832 perimeter-fluxes
6 7 22 -334.945 perimeter-fluxes
6 8 6 -0.292534 perimeter-fluxes
6 9 5 -0.168772 perimeter-fluxes
6 10 4 -0.127064 perimeter-fluxes
6 11 4 -0.133948 perimeter-fluxes
6 12 4 -0.139175 perimeter-fluxes
6 13 4 -0.141055 perimeter-fluxes
6 14 4 -0.142845 perimeter-fluxes
6 15 4 -0.147065 perimeter-fluxes
6 16 4 -0.140331 perimeter-fluxes
6 17 5 -0.188599 perimeter-fluxes
6 18 5 -0.186715 perimeter-fluxes
6 19 5 -0.190223 perimeter-fluxes
6 20 5 -0.199679 perimeter-fluxes
6 21 5 -0.19692 perimeter-fluxes
6 22 5 -0.194304 perimeter-fluxes
6 23 5 -0.186786 perimeter-fluxes
6 24 5 -0.193171 perimeter-fluxes
6 25 5 -0.201206 perimeter-fluxes
6 26 5 -0.229859 perimeter-fluxes
6 27 10 -0.700568 perimeter-fluxes
6 28 11 0 perimeter-fluxes
6 16 4 -0.177495 perimeter-fluxes
6 26 5 -0.234924 perimeter-fluxes
6 26 6 -0.209653 perimeter-fluxes
6 26 7 -0.177684 perimeter-fluxes
6 26 8 -0.13667 perimeter-fluxes
6 26 9 -0.108202 perimeter-fluxes
6 27 10 -0 perimeter-fluxes
6 27 22 -0 perimeter-fluxes
6 27 23 -0 perimeter-fluxes
6 27 24 -0 perimeter-fluxes
6 27 25 -0 perimeter-fluxes
6 27 26 -0 perimeter-fluxes
6 27 27 -0 perimeter-fluxes
6 27 28 -0 perimeter-fluxes
6 27 29 -0 perimeter-fluxes
6 27 30 -0 perimeter-fluxes
6 27 31 -0 perimeter-fluxes
6 27 32 -0 perimeter-fluxes
6 27 33 -0 perimeter-fluxes
6 27 34 -0 perimeter-fluxes
6 27 35 -0 perimeter-fluxes
6 28 11 -0 perimeter-fluxes
6 28 12 -0 perimeter-fluxes
6 28 13 -0 perimeter-fluxes
6 28 14 -0 perimeter-fluxes
6 28 15 -0 perimeter-fluxes
6 28 16 -0 perimeter-fluxes
6 28 17 -0 perimeter-fluxes
6 28 18 -0 perimeter-fluxes
6 28 19 -0 perimeter-fluxes
6 28 20 -0 perimeter-fluxes
6 28 21 -0 perimeter-fluxes
6 4 12 164.024 perimeter-fluxes
6 4 13 147.971 perimeter-fluxes
6 4 14 126.625 perimeter-fluxes
6 4 15 105.605 perimeter-fluxes
6 4 16 93.7634 perimeter-fluxes
6 4 24 -12.1771 perimeter-fluxes
6 4 25 -5.27729 perimeter-fluxes
6 4 26 -4.84988 perimeter-fluxes
6 4 27 -0.443388 perimeter-fluxes
6 5 9 264.971 perimeter-fluxes
6 5 10 256.095 perimeter-fluxes
6 5 11 239.39 perimeter-fluxes
6 5 17 95.6144 perimeter-fluxes
6 5 23 -24.2276 perimeter-fluxes
6 5 28 -11.263 perimeter-fluxes
6 5 32 20.9023 perimeter-fluxes
6 5 33 15.1019 perimeter-fluxes
6 6 8 210.851 perimeter-fluxes
6 6 18 83.0123 perimeter-fluxes
6 6 29 -13.6133 perimeter-fluxes
6 7 7 0.279749 perimeter-fluxes
6 7 19 81.4798 perimeter-fluxes
6 7 22 15.6152 perimeter-fluxes
6 7 30 77.6102 perimeter-fluxes
6 7 31 -14.6245 perimeter-fluxes
6 8 6 0.302424 perimeter-fluxes
6 8 20 82.8409 perimeter-fluxes
6 8 21 66.4427 perimeter-fluxes
6 9 5 0.295065 perimeter-fluxes
