time,UNNAMED
1.000000000000,45783.49990491707
30.00377423524,52595.52419644155
73.50943558811,56535.96130934128
138.7679276174,61008.46636545971
236.6556656614,65788.44190098310
383.4872727273,70281.66672540888
603.7346833262,73847.78369299122
934.1057992245,76151.96627543952
1429.662473072,77330.12142943370
2172.997483843,77797.60883373120
3288.000000000,77936.31327679027
3301.876777251,54491.34344117556
3322.691943128,58781.60378332593
3353.914691943,61318.27860705835
3400.748815166,62793.25225111133
3471.000000000,63721.94361147971
3484.876777251,106412.7909157350
3505.691943128,94840.96326973329
3536.914691943,86251.74870666685
3583.748815166,79142.98189102495
3654.000000000,72509.22066205658
3667.876777251,29420.57881726283
3688.691943128,39604.87719672464
3719.914691943,46441.84074966691
3766.748815166,51302.53406903602
3837.000000000,55048.00434040943
3850.800947867,98368.11025296230
3871.502369668,87555.50044097478
3902.554502370,79888.30734082007
3949.132701422,73767.91483463507
4019.000000000,68619.27626509544
4032.876777251,24736.58171083847
4053.691943128,33494.51028111438
4084.914691943,38538.34952297344
4131.748815166,41162.34861810924
4202.000000000,42251.00706911316
4215.800947867,84960.59300290847
4236.502369668,73257.28809470008
4267.554502370,64661.85683758215
4314.132701422,57782.79818944059
4384.000000000,51567.41056846350
4397.876777251,11241.07652588671
4418.691943128,23809.43315367203
4449.914691943,33618.52997592468
4496.748815166,42553.22274956678
4567.000000000,51401.07967776479
4580.800947867,95548.72855674109
4601.502369668,85974.45421816839
4632.554502370,80059.74695069419
4679.132701422,76420.22991623898
4749.000000000,74141.19190121538
4762.876777251,31294.20712539260
4783.691943128,42150.91700127462
4814.914691943,49798.64216297137
4861.748815166,55656.26844926579
4932.000000000,60555.27011298559
4945.876777251,103055.2317105799
4966.691943128,91409.66771678040
4997.914691943,82852.18553007823
5044.748815166,75832.42188292800
5115.000000000,69411.14664164669
5128.876777251,29625.39441369541
5149.691943128,40806.83730269981
5180.914691943,48842.49454852506
5227.748815166,55287.51833510781
5298.000000000,61144.32138586092
5311.800947867,101160.3672262768
5332.502369668,89127.89341148798
5363.554502370,80097.66994045960
5410.132701422,72212.21497555704
5480.000000000,64836.03359156464
5493.876777251,22134.14363808846
5514.691943128,32246.80429320572
5545.914691943,39287.66599165270
5592.748815166,44603.35902297602
5663.000000000,48992.23222676480
5676.800947867,92814.03806086167
5697.502369668,82707.93134171079
5728.554502370,75901.79413024028
5775.132701422,71019.71340602779
5845.000000000,67323.35498375227
5858.876777251,23917.06585964133
5879.691943128,33657.07023347524
5910.914691943,40225.14556212841
5957.748815166,45016.40360737088
6028.000000000,48889.52179022750
6041.800947867,92104.08935942058
6062.502369668,81106.68818647077
6093.554502370,72907.35890887532
6140.132701422,66331.52916037386
6210.000000000,60425.87415806066
6223.876777251,18603.47429644244
6244.691943128,29345.31544470178
6275.914691943,37147.39990687073
6322.748815166,43400.47431958681
6393.000000000,48866.41827382334
