time,A,B,C
4.382077105465,115.2450321971242,115.3316956473056,115.2320577641118
8.786064596457,115.5013773748301,115.6562475530917,115.4548014541279
13.21207202490,115.7711925362964,115.9433526938944,115.6671529138992
17.66020949049,116.0563221365783,116.1904248896509,115.8698148131180
22.13058764341,116.3583246802032,116.4037553974232,116.0642490914193
26.62331768709,116.6784571551940,116.5911837193981,116.2521634911187
31.13851138099,117.0176692329545,116.7598066409934,116.4352585149848
35.67628104336,117.3766056383277,116.9152587932193,116.6151033455541
40.23673955405,117.7556154448655,117.0617050845883,116.7930753250092
44.82000035728,118.1547671365231,117.2020780806802,116.9703298672932
49.42617746453,118.5738685573234,117.3383572466553,117.1478056638211
54.05538545732,119.0124898215797,117.4718341631237,117.3262398418786
58.70773949007,119.4699895787817,117.6033172075384,117.5061879315275
63.38335529299,119.9455291787535,117.7332952019027,117.6880459121211
68.08234917492,120.4380791632226,117.8620523669699,117.8720724022158
72.80483802626,120.9464449776797,117.9897392850134,118.0584096634566
77.55093932185,121.4685208896438,118.1164364155625,118.2471033866192
82.32077112393,122.0020838977692,118.2421821374114,118.4381204333371
87.11445208501,122.5450737441769,118.3669887846157,118.6313644511740
91.93210145090,123.0955304843930,118.4908719459126,118.8266900549428
96.77383906362,123.6515993265237,118.6138443834065,119.0239147092731
101.6397853644,124.2115387550672,118.7359164927063,119.2228287732453
106.5300613967,124.7737275662488,118.8571083784703,119.4232043040934
111.4447888091,125.3366634931157,118.9774513695032,119.6248024679794
116.3840898586,125.8989591732548,119.0969790400425,119.8273793924857
121.3480874134,126.4593416012913,119.2157252809789,120.0306908766933
126.3369049559,127.0166506054620,119.3337249518046,120.2344961788025
131.3506665862,127.5698363595865,119.4510150472217,120.4385605498304
136.3894970246,128.1179559921935,119.5676355981025,120.6426567311491
141.4535216152,128.6601694224070,119.6836301092281,120.8465633196582
146.5428663287,129.1957345817519,119.7990455728025,121.0500535947625
151.6576577658,129.7240027883468,119.9139321716996,121.2529030013539
156.7980231601,130.2444133134991,120.0283427861470,121.4548943534023
161.9640903814,130.7564872656987,120.1423323948467,121.6558215346260
167.1559879387,131.2598214549595,120.2559574361270,121.8554920164220
172.3738449839,131.7540823261095,120.3692751717267,122.0537284481140
