time,LAKE1,LAKE2
4.382077105465,122.5422720,121.0335539
8.786064596457,119.5489389,116.7559467
13.21207202490,118.1157552,114.4933105
17.66020949049,117.3557805,113.2004351
22.13058764341,116.9260179,112.4174406
26.62331768709,116.6733756,111.9233089
31.13851138099,116.5221648,111.6031197
35.67628104336,116.4310736,111.3925791
40.23673955405,116.3765585,111.2534984
44.82000035728,116.3451443,111.1622080
49.42617746453,116.3280698,111.1032679
54.05538545732,116.3202472,111.0664545
58.70773949007,116.3181536,111.0447597
63.38335529299,116.3199201,111.0334648
68.08234917492,116.3243555,111.0293707
72.80483802626,116.3303211,111.0301738
77.55093932185,116.3377191,111.0344532
82.32077112393,116.3460390,111.0411735
87.11445208501,116.3547801,111.0495331
91.93210145090,116.3644479,111.0592238
96.77383906362,116.3745229,111.0698746
101.6397853644,116.3846950,111.0811507
106.5300613967,116.3952414,111.0929491
111.4447888091,116.4062457,111.1052366
116.3840898586,116.4173719,111.1178706
121.3480874134,116.4284371,111.1306994
126.3369049559,116.4393490,111.1435987
131.3506665862,116.4500678,111.1564805
136.3894970246,116.4605830,111.1692886
141.4535216152,116.4708998,111.1819918
146.5428663287,116.4810306,111.1945762
151.6576577658,116.4909909,111.2070391
156.7980231601,116.5007966,111.2193849
161.9640903814,116.5104626,111.2316211
167.1559879387,116.5200024,111.2437570
172.3738449839,116.5294275,111.2558021
177.6177913143,116.5387478,111.2677652
182.8879573763,116.5479716,111.2796544
188.1844742687,116.5571058,111.2914765
193.5074737455,116.5661556,111.3032372
198.8570882197,116.5751253,111.3149411
204.2334507662,116.5840179,111.3265914
209.6366951255,116.5928356,111.3381906
215.0669557066,116.6015796,111.3497401
220.5243675906,116.6102506,111.3612405
226.0090665340,116.6188484,111.3726916
231.5211889722,116.6273729,111.3840926
237.0608720225,116.6358231,111.3954422
242.6282534881,116.6441981,111.4067386
248.2234718610,116.6524968,111.4179797
253.8466663258,116.6607177,111.4291628
259.4979767629,116.6688595,111.4402854
265.1775437521,116.6769206,111.4513446
270.8855085764,116.6848997,111.4623373
276.6220132247,116.6927952,111.4732603
282.3872003963,116.7006056,111.4841105
288.1812135037,116.7083295,111.4948847
294.0041966767,116.7159653,111.5055795
299.8562947656,116.7235112,111.5161914
305.7376533449,116.7309648,111.5267165
311.6484187171,116.7383228,111.5371503
317.5887379161,116.7455809,111.5474873
323.5587587111,116.7527341,111.5577213
329.5586296102,116.7597775,111.5678458
335.5884998637,116.7667068,111.5778543
341.6485194685,116.7735186,111.5877407
347.7388391713,116.7802102,111.5974995
353.8596104726,116.7867795,111.6071257
360.0109856304,116.7932251,111.6166151
366.1931176640,116.7995457,111.6259636
372.4061603578,116.8057405,111.6351680
378.6502682651,116.8118090,111.6442251
