#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -4670.08 wel_58514
1 27 5 -3124.7 wel_58515
1 27 6 -3197.28 wel_58516
1 27 8 -3717.18 wel_58517
1 27 9 -4066.18 wel_58518
1 27 11 -3496.37 wel_58519
1 27 13 -2059.08 wel_58520
1 27 14 -402.223 wel_58521
13 27 16 -873.629 wel_58522
4 27 18 -1738.14 wel_58523
13 27 19 -833.581 wel_58524
4 27 21 -508.695 wel_58525
11 27 22 -95.3461 wel_58526
13 27 24 -1094.9 wel_58527
13 27 26 -1884.81 wel_58528
4 27 27 -3196.09 wel_58529
4 27 29 -1518.49 wel_58530
4 27 30 -1585.57 wel_58531
13 27 32 -190.692 wel_58532
1 26 3 -2685.04 wel_58908
1 26 5 -2089.24 wel_58909
1 26 6 -3462 wel_58910
1 26 8 -5297.98 wel_58911
1 26 9 -3885.04 wel_58912
1 26 11 -4195.63 wel_58913
1 26 13 -2236.27 wel_58914
13 26 14 -1310.32 wel_58915
13 26 16 -493.193 wel_58916
4 26 18 -475.491 wel_58917
13 26 19 -2522.75 wel_58918
13 26 22 -502.867 wel_58920
13 26 24 -1080.44 wel_58921
13 26 26 -3166.96 wel_58922
13 26 27 -2484.49 wel_58923
13 26 29 -1070.69 wel_58924
13 26 30 -1033.95 wel_58925
1 24 3 -2086.99 wel_59302
1 24 5 -1551.09 wel_59303
1 24 6 -2967.39 wel_59304
1 24 8 -3083.48 wel_59305
1 24 9 -4742.93 wel_59306
1 24 11 -2928.47 wel_59307
1 24 13 -2889.01 wel_59308
4 24 14 -2854.92 wel_59309
4 24 16 -2705.6 wel_59310
13 24 18 -829.484 wel_59311
13 24 19 -1718.67 wel_59312
13 24 21 -923.107 wel_59313
13 24 22 -1048.12 wel_59314
13 24 24 -1923.58 wel_59315
13 24 26 -4183.45 wel_59316
4 24 27 -2990.02 wel_59317
13 24 29 -2535.09 wel_59318
13 24 30 -1565.82 wel_59319
13 24 32 -863.727 wel_59320
1 23 3 -1170.46 wel_59696
1 23 5 -2499.36 wel_59697
1 23 6 -2534.98 wel_59698
1 23 8 -3008.1 wel_59699
1 23 9 -3416.16 wel_59700
1 23 11 -4357.73 wel_59701
9 23 13 -3867.76 wel_59702
4 23 14 -2753.27 wel_59703
4 23 16 -3960.36 wel_59704
4 23 18 -3554.92 wel_59705
4 23 19 -2110.52 wel_59706
13 23 21 -820.683 wel_59707
13 23 22 -158.91 wel_59708
12 23 24 -690.663 wel_59709
13 23 26 -658.066 wel_59710
13 23 27 -1048.81 wel_59711
13 23 29 -1443.59 wel_59712
13 23 30 -1959.18 wel_59713
13 23 32 -988.78 wel_59714
1 21 3 -2896.98 wel_60090
1 21 5 -4397.46 wel_60091
1 21 6 -3210.83 wel_60092
1 21 8 -2765.88 wel_60093
1 21 9 -4502.89 wel_60094
1 21 11 -2196.37 wel_60095
4 21 13 -2155.02 wel_60096
4 21 14 -1818.87 wel_60097
4 21 16 -3444.74 wel_60098
4 21 18 -3027.74 wel_60099
4 21 19 -2249.54 wel_60100
13 21 21 -173.745 wel_60101
13 21 29 -275.438 wel_60106
13 21 30 -1611.01 wel_60107
13 21 32 -1942.94 wel_60108
1 19 3 -3388.73 wel_60484
1 19 5 -5749.34 wel_60485
1 19 6 -2928.64 wel_60486
1 19 8 -1424.73 wel_60487
1 19 9 -5002.45 wel_60488
4 19 11 -2936.25 wel_60489
4 19 13 -4513.67 wel_60490
4 19 14 -3590.42 wel_60491
13 19 16 -2110.81 wel_60492
13 19 18 -1093.82 wel_60493
13 19 19 -1513.68 wel_60494
13 19 21 -1876.76 wel_60495
13 19 22 -1063.65 wel_60496
13 19 24 -366.531 wel_60497
13 19 29 -122.177 wel_60500
13 19 30 -130.665 wel_60501
4 19 32 -252.144 wel_60502
1 18 3 -5115.68 wel_60878
1 18 5 -5223.69 wel_60879
1 18 6 -2957.53 wel_60880
1 18 8 -2801.53 wel_60881
1 18 9 -3061.68 wel_60882
4 18 11 -2688.43 wel_60883
4 18 13 -2780.38 wel_60884
4 18 14 -1565.48 wel_60885
4 18 16 -2064.97 wel_60886
4 18 18 -2736.64 wel_60887
13 18 19 -1493.45 wel_60888
13 18 21 -1713.66 wel_60889
13 18 22 -1004.61 wel_60890
13 18 24 -873.804 wel_60891
13 18 30 -244.354 wel_60895
1 16 3 -4524.11 wel_61272
1 16 5 -4408.38 wel_61273
1 16 6 -3435.16 wel_61274
1 16 8 -2962.64 wel_61275
4 16 9 -5198.16 wel_61276
4 16 11 -1626.2 wel_61277
13 16 13 -2067.11 wel_61278
4 16 14 -1806.37 wel_61279
4 16 16 -5889.93 wel_61280
13 16 18 -2028.54 wel_61281
13 16 19 -1678.8 wel_61282
13 16 21 -3593.51 wel_61283
4 16 22 -3512.51 wel_61284
13 16 24 -211.665 wel_61285
13 16 26 -403.264 wel_61286
13 16 27 -248.607 wel_61287
1 15 3 -2456.6 wel_61666
1 15 5 -4654.64 wel_61667
1 15 6 -3523.82 wel_61668
1 15 8 -3132.3 wel_61669
4 15 9 -2708.97 wel_61670
4 15 11 -3338.79 wel_61671
4 15 13 -2138.58 wel_61672
6 15 14 -2017.11 wel_61673
4 15 16 -4032.61 wel_61674
13 15 18 -1091.08 wel_61675
13 15 19 -2156.79 wel_61676
13 15 21 -1708.17 wel_61677
4 15 22 -1812.98 wel_61678
13 15 24 -254.256 wel_61679
13 15 26 -855.239 wel_61680
8 15 27 -244.354 wel_61681
8 15 32 -122.177 wel_61684
1 13 3 -2533.36 wel_62060
1 13 5 -4187.03 wel_62061
1 13 6 -3302.41 wel_62062
4 13 8 -1847.19 wel_62063
13 13 9 -1286.85 wel_62064
13 13 11 -528.996 wel_62065
4 13 13 -2381.21 wel_62066
13 13 14 -2228.63 wel_62067
13 13 16 -1407.69 wel_62068
4 13 18 -904.577 wel_62069
4 13 19 -1302.58 wel_62070
4 13 21 -3859.75 wel_62071
13 13 22 -825.537 wel_62072
13 13 24 -26.6223 wel_62073
13 13 27 -488.708 wel_62075
13 13 29 -855.239 wel_62076
13 13 30 -244.354 wel_62077
13 13 32 -610.885 wel_62078
1 11 3 -1106.57 wel_62454
1 11 5 -3258.25 wel_62455
1 11 6 -3617.9 wel_62456
4 11 8 -2893.06 wel_62457
4 11 9 -1538.01 wel_62458
4 11 11 -2705.61 wel_62459
4 11 13 -1367.95 wel_62460
13 11 14 -831.469 wel_62461
4 11 16 -226.011 wel_62462
13 11 18 -127.128 wel_62463
13 11 19 -1001.5 wel_62464
4 11 21 -2370.43 wel_62465
13 11 22 -714.05 wel_62466
13 11 26 -122.177 wel_62468
13 11 27 -488.708 wel_62469
13 11 29 -2810.07 wel_62470
1 10 3 -3065.22 wel_62848
1 10 5 -3255.42 wel_62849
1 10 6 -1494.9 wel_62850
4 10 8 -1907.88 wel_62851
13 10 9 -3621.65 wel_62852
4 10 11 -353.887 wel_62853
13 10 13 -869.854 wel_62854
13 10 14 -2803.2 wel_62855
13 10 16 -1971.91 wel_62856
13 10 18 -508.512 wel_62857
13 10 19 -313.678 wel_62858
4 10 21 -786.681 wel_62859
13 10 22 -53.2445 wel_62860
13 10 24 -122.177 wel_62861
13 10 26 -122.177 wel_62862
13 10 27 -244.354 wel_62863
13 10 29 -244.354 wel_62864
1 8 3 -3659.3 wel_63242
1 8 5 -2474.73 wel_63243
1 8 6 -567.405 wel_63244
13 8 8 -1772.04 wel_63245
13 8 9 -1555.71 wel_63246
4 8 11 -787.092 wel_63247
4 8 13 -1459.86 wel_63248
4 8 14 -1687.98 wel_63249
13 8 16 -381.384 wel_63250
13 8 18 -884.248 wel_63251
13 8 19 -603.858 wel_63252
13 8 24 -244.354 wel_63255
1 7 3 -2300.49 wel_63636
1 7 5 -2100.32 wel_63637
1 7 6 -1387.41 wel_63638
4 7 8 -1792.18 wel_63639
4 7 9 -2232.91 wel_63640
4 7 11 -1108.15 wel_63641
13 7 13 -1233.16 wel_63642
13 7 14 -367.974 wel_63643
13 7 19 -1099.59 wel_63646
13 7 21 -244.354 wel_63647
13 7 22 -244.354 wel_63648
8 7 30 -122.177 wel_63653
1 5 3 -1679 wel_64030
1 5 5 -1211.43 wel_64031
1 5 6 -2011.45 wel_64032
13 5 8 -4171.77 wel_64033
13 5 9 -2764.07 wel_64034
13 5 11 -2803.92 wel_64035
13 5 13 -1046.69 wel_64036
13 5 18 -153.959 wel_64039
13 5 24 -366.531 wel_64043
4 5 26 -17.077 wel_64044
4 5 27 -392.997 wel_64045
2 3 3 -664.372 wel_64424
13 3 5 -1108.15 wel_64425
13 3 6 -2073.11 wel_64426
13 3 8 -1527.45 wel_64427
4 3 9 -558.86 wel_64428
4 3 11 -300.873 wel_64429
13 3 13 -696.373 wel_64430
4 3 19 -535.554 wel_64434
4 3 21 -1117.94 wel_64435
4 3 22 -557.248 wel_64436
4 3 26 -68.5333 wel_64438
4 3 27 -936.168 wel_64439
13 3 30 -122.177 wel_64441
1 2 3 -401.868 wel_64818
2 2 5 -899.082 wel_64819
13 2 6 -762.769 wel_64820
13 2 8 -1572.01 wel_64821
4 2 9 -1324.85 wel_64822
13 2 11 -851.386 wel_64823
13 2 13 -402.049 wel_64824
4 2 19 -2217.68 wel_64828
4 2 21 -2180.49 wel_64829
4 2 22 -629.879 wel_64830
4 2 24 -847.019 wel_64831
4 2 26 -1233.85 wel_64832
4 2 27 -476.73 wel_64833
4 2 29 -254.256 wel_64834
13 2 32 -244.354 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
