41.22 41.35 40.19 38.70 -456.55 -451.81 -446.92 -441.75 -436.41 -430.86 -425.03 -419.05 -412.80 -406.35 -399.76 -392.91 -385.93 -378.80 -371.50 -364.09 -356.56 -348.97 -341.36 -333.81 -326.36 -319.14 -312.19 -305.45 -298.98 -292.59 -286.26 -279.94 -273.61 42.31 41.02
40.96 -471.68 -467.32 -462.82 -458.18 -453.38 -448.43 -443.20 -437.83 -432.24 -426.40 -420.41 -414.17 -407.73 -401.17 -394.32 -387.35 -380.22 -372.89 -365.45 -357.86 -350.17 -342.45 -334.76 -327.18 -319.89 -312.97 -306.35 -300.04 -293.81 -287.64 -281.45 -275.23 41.56 40.71
41.21 -473.65 -469.19 -464.62 -459.93 -455.07 -450.07 -444.81 -439.40 -433.78 -427.93 -421.95 -415.71 -409.30 -402.75 -395.92 -388.96 -381.82 -374.46 -366.97 -359.30 -351.49 -343.62 -335.74 -327.98 -320.57 -313.68 -307.23 -301.10 -295.05 -289.03 -282.97 -276.87 41.39 40.60
41.15 -475.85 -471.28 -466.62 -461.87 -456.96 -451.90 -446.60 -441.16 -435.52 -429.65 -423.66 -417.42 -411.01 -404.48 -397.65 -390.69 -383.55 -376.16 -368.63 -360.88 -352.96 -344.93 -336.84 -328.87 -321.29 -314.44 -308.23 -302.32 -296.46 -290.60 -284.65 -278.65 40.30 40.95
40.04 -478.25 -473.59 -468.87 -464.05 -459.08 -453.98 -448.64 -443.16 -437.50 -431.63 -425.63 -419.41 -413.02 -406.50 -399.69 -392.73 -385.59 -378.18 -370.61 -362.79 -354.76 -346.58 -338.26 -330.01 -322.17 -315.36 -309.43 -303.74 -298.07 -292.32 -286.46 -280.52 39.47 39.61
41.37 40.35 -476.12 -471.30 -466.41 -461.35 -456.18 -450.80 -445.28 -439.60 -433.71 -427.71 -421.50 -415.13 -408.63 -401.84 -394.91 -387.79 -380.38 -372.81 -364.98 -356.92 -348.71 -340.32 -332.02 -324.09 -317.32 -311.46 -305.78 -300.10 -294.35 -288.49 -282.56 39.80 38.01
40.87 38.04 -479.07 -474.08 -469.04 -463.88 -458.62 -453.18 -447.62 -441.92 -436.03 -430.03 -423.83 -417.48 -411.01 -404.26 -397.37 -390.28 -382.89 -375.35 -367.54 -359.51 -351.34 -343.04 -334.86 -327.10 -320.22 -314.14 -308.29 -302.49 -296.65 -290.73 -284.76 38.79 38.19
40.55 39.63 -482.16 -477.01 -471.83 -466.55 -461.19 -455.69 -450.07 -444.34 -438.45 -432.46 -426.29 -419.97 -413.55 -406.86 -400.03 -393.00 -385.69 -378.22 -370.47 -362.53 -354.49 -346.36 -338.40 -330.77 -323.77 -317.39 -311.27 -305.23 -299.22 -293.18 -287.12 37.87 40.59
39.79 38.94 -485.35 -480.06 -474.75 -469.35 -463.90 -458.33 -452.67 -446.90 -441.01 -435.01 -428.87 -422.60 -416.21 -409.60 -402.84 -395.89 -388.65 -381.25 -373.56 -365.72 -357.79 -349.83 -342.04 -334.51 -327.44 -320.78 -314.40 -308.14 -301.94 -295.77 -289.60 40.93 40.54
39.61 38.52 -488.61 -483.19 -477.77 -472.28 -466.73 -461.10 -455.38 -449.58 -443.68 -437.70 -431.59 -425.38 -419.06 -412.54 -405.90 -399.07 -391.94 -384.65 -377.02 -369.25 -361.38 -353.49 -345.75 -338.22 -331.07 -324.21 -317.62 -311.16 -304.78 -298.46 -292.17 37.80 38.17
39.67 38.24 -491.90 -486.38 -480.86 -475.28 -469.65 -463.95 -458.18 -452.34 -446.43 -440.45 -434.37 -428.22 -421.97 -415.56 -409.03 -402.32 -395.32 -388.13 -380.55 -372.81 -364.97 -357.12 -349.40 -341.86 -334.61 -327.59 -320.82 -314.19 -307.65 -301.21 -294.81 39.47 39.69
35.30 39.34 -495.19 -489.60 -483.99 -478.32 -472.62 -466.86 -461.04 -455.17 -449.25 -443.27 -437.23 -431.14 -424.97 -418.68 -412.30 -405.75 -398.88 -391.81 -384.22 -376.46 -368.59 -360.72 -352.97 -345.37 -338.04 -330.89 -323.97 -317.19 -310.52 -303.97 -297.46 40.12 41.34
36.88 39.25 -498.49 -492.83 -487.15 -481.41 -475.64 -469.83 -463.95 -458.04 -452.10 -446.11 -440.09 -434.04 -427.94 -421.78 -415.55 -409.19 -402.50 -395.57 -387.90 -380.06 -372.09 -364.16 -356.34 -348.68 -341.26 -334.00 -326.98 -320.10 -313.33 -306.69 -300.11 38.72 38.69
37.28 38.84 -501.79 -496.06 -490.31 -484.52 -478.69 -472.82 -466.90 -460.95 -454.98 -448.98 -442.97 -436.96 -430.92 -424.88 -418.78 -412.61 -406.13 -399.34 -391.54 -383.57 -375.48 -367.48 -359.59 -351.86 -344.38 -337.03 -329.91 -322.95 -316.10 -309.39 -302.74 40.28 39.62
38.91 35.24 -505.06 -499.28 -493.48 -487.63 -481.75 -475.82 -469.84 -463.85 -457.84 -451.80 -445.78 -439.77 -433.75 -427.77 -421.78 -415.76 -409.53 -402.94 -394.90 -386.76 -378.53 -370.48 -362.54 -354.78 -347.24 -339.84 -332.68 -325.66 -318.76 -312.01 -305.33 40.07 40.03
38.34 38.40 -508.31 -502.49 -496.63 -490.73 -484.80 -478.81 -472.79 -466.75 -460.69 -454.61 -448.55 -442.49 -436.43 -430.42 -424.39 -418.35 -412.08 -405.46 -397.47 -389.38 -381.19 -373.16 -365.24 -357.48 -349.94 -342.52 -335.32 -328.27 -321.34 -314.57 -307.87 40.14 39.67
