#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
13 27 16 -5.74836 wel_58522
13 27 19 -2.87418 wel_58524
4 27 30 -22.9935 wel_58531
4 26 18 -8.62255 wel_58917
13 26 19 -20.1193 wel_58918
13 26 22 -2.87418 wel_58920
13 26 29 -5.74836 wel_58924
13 26 30 -17.2451 wel_58925
13 26 32 -2.87418 wel_58926
13 24 32 -31.616 wel_59320
13 21 32 -8.62255 wel_60108
13 19 16 -5.74836 wel_60492
13 19 24 -8.62255 wel_60497
13 19 26 -8.62255 wel_60498
13 19 27 -2.87418 wel_60499
4 19 32 -22.9935 wel_60502
4 18 14 -17.2451 wel_60885
4 18 16 -11.4967 wel_60886
13 18 24 -28.7418 wel_60891
13 18 30 -8.62255 wel_60895
13 18 32 -22.9935 wel_60896
4 16 14 -51.7353 wel_61279
4 16 16 -189.696 wel_61280
13 16 18 -14.3709 wel_61281
13 16 26 -5.74836 wel_61286
13 16 32 -2.87418 wel_61290
4 15 16 -5.74836 wel_61674
4 15 22 -14.3709 wel_61678
13 15 24 -2.87418 wel_61679
13 15 26 -28.7418 wel_61680
8 15 27 -2.87418 wel_61681
13 15 29 -2.87418 wel_61682
13 13 22 -2.87418 wel_62072
13 13 27 -20.1193 wel_62075
13 13 29 -22.9935 wel_62076
13 13 30 -11.4967 wel_62077
13 13 32 -14.3709 wel_62078
13 11 22 -2.87418 wel_62466
13 11 26 -5.74836 wel_62468
13 11 27 -8.62255 wel_62469
13 11 29 -66.1062 wel_62470
13 10 24 -2.87418 wel_62861
13 10 26 -17.2451 wel_62862
13 10 27 -28.7418 wel_62863
13 10 29 -5.74836 wel_62864
13 7 19 -25.8676 wel_63646
13 7 22 -5.74836 wel_63648
13 7 26 -11.4967 wel_63650
8 7 30 -2.87418 wel_63653
13 5 13 -2.87418 wel_64036
13 5 16 -8.62255 wel_64038
13 5 18 -5.74836 wel_64039
13 5 24 -8.62255 wel_64043
2 3 3 -14.3709 wel_64424
1 2 3 -20.1193 wel_64818
4 2 27 -2.87418 wel_64833
13 2 32 -5.74836 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
