#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
13 27 16 -20.5349 wel_58522
4 27 30 -30.8024 wel_58531
13 27 32 -10.2675 wel_58532
4 26 18 -10.2675 wel_58917
13 26 19 -25.6687 wel_58918
13 26 29 -10.2675 wel_58924
13 26 30 -25.6687 wel_58925
13 26 32 -10.2675 wel_58926
13 24 32 -71.8723 wel_59320
4 23 16 -10.2675 wel_59704
1 21 9 -5.13374 wel_60094
4 21 14 -5.13374 wel_60097
13 21 30 -5.13374 wel_60107
13 21 32 -10.2675 wel_60108
13 19 16 -10.2675 wel_60492
13 19 24 -15.4012 wel_60497
13 19 26 -15.4012 wel_60498
4 19 32 -46.2036 wel_60502
4 18 14 -25.6687 wel_60885
4 18 16 -20.5349 wel_60886
13 18 24 -46.2036 wel_60891
13 18 30 -20.5349 wel_60895
13 18 32 -15.4012 wel_60896
4 16 14 -61.6048 wel_61279
4 16 16 -231.018 wel_61280
13 16 18 -30.8024 wel_61281
13 16 26 -10.2675 wel_61286
13 16 30 -5.13374 wel_61289
4 15 16 -5.13374 wel_61674
4 15 22 -25.6687 wel_61678
13 15 24 -5.13374 wel_61679
13 15 26 -46.2036 wel_61680
8 15 27 -15.4012 wel_61681
13 15 30 -5.13374 wel_61683
13 13 22 -10.2675 wel_62072
13 13 27 -35.9362 wel_62075
13 13 29 -41.0699 wel_62076
13 13 30 -10.2675 wel_62077
13 13 32 -20.5349 wel_62078
13 11 26 -10.2675 wel_62468
13 11 27 -35.9362 wel_62469
13 11 29 -102.675 wel_62470
13 10 24 -10.2675 wel_62861
13 10 26 -10.2675 wel_62862
13 10 27 -10.2675 wel_62863
13 10 29 -5.13374 wel_62864
13 8 24 -5.13374 wel_63255
1 7 5 -20.5349 wel_63637
1 7 6 -5.13374 wel_63638
13 7 19 -51.3374 wel_63646
13 7 22 -5.13374 wel_63648
13 7 26 -10.2675 wel_63650
8 7 30 -5.13374 wel_63653
1 5 5 -25.6687 wel_64031
1 5 6 -20.5349 wel_64032
13 5 16 -5.13374 wel_64038
2 3 3 -15.4012 wel_64424
1 2 3 -5.13374 wel_64818
13 2 32 -10.2675 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
