#k i j q boundname
4 25 20 -596.911 wel_103834
4 25 22 -1795.27 wel_103835
4 25 23 -3908.1 wel_103836
4 25 25 -2423.86 wel_103837
4 25 26 -1503.89 wel_103838
4 25 28 -632.223 wel_103839
4 25 30 -1561.91 wel_103840
4 25 31 -568.171 wel_103841
4 25 33 -779.142 wel_103842
3 27 4 -1421.72 wel_104218
3 27 5 -2118.53 wel_104219
3 27 7 -2431.55 wel_104220
3 27 9 -4920.73 wel_104221
3 27 10 -1624.58 wel_104222
3 27 12 -461.514 wel_104223
3 27 13 -3413.55 wel_104224
3 27 15 -3010.93 wel_104225
4 27 17 -5372.41 wel_104226
4 27 18 -1971.04 wel_104227
4 27 20 -793.351 wel_104228
4 27 22 -1312.7 wel_104229
4 27 23 -2254.83 wel_104230
4 27 25 -1420.51 wel_104231
4 27 26 -1158.27 wel_104232
4 27 28 -1890.98 wel_104233
4 27 30 -1476.14 wel_104234
4 27 31 -3986.66 wel_104235
4 27 33 -797.512 wel_104236
3 28 4 -3711.58 wel_104612
3 28 5 -1876.33 wel_104613
3 28 7 -4118.14 wel_104614
3 28 9 -1338.53 wel_104615
3 28 10 -2494.05 wel_104616
3 28 12 -654.718 wel_104617
3 28 13 -1392.03 wel_104618
3 28 15 -2804.71 wel_104619
5 28 17 -3209.4 wel_104620
4 28 18 -2284.28 wel_104621
4 28 20 -752.842 wel_104622
4 28 22 -1197.86 wel_104623
4 28 23 -1205.51 wel_104624
4 1 5 -908.468 wel_97915
4 1 7 -1063.94 wel_97916
4 1 9 -1588.63 wel_97917
4 1 10 -2282.21 wel_97918
4 1 12 -1293.3 wel_97919
4 1 13 -1043.84 wel_97920
4 1 15 -1123.09 wel_97921
4 1 17 -2090.44 wel_97922
4 1 18 -801.072 wel_97923
4 1 20 -599.224 wel_97924
4 1 22 -593.681 wel_97925
4 1 23 -1167.14 wel_97926
4 1 25 -379.147 wel_97927
4 1 26 -2890.55 wel_97928
4 1 28 -549.969 wel_97929
4 1 30 -465.696 wel_97930
4 1 31 -383.11 wel_97931
4 1 33 0 wel_97932
3 3 2 -1517.15 wel_98307
3 3 4 -694.152 wel_98308
3 3 5 -1508.88 wel_98309
4 3 7 -1378.8 wel_98310
4 3 9 -1591.22 wel_98311
4 3 10 -1152.17 wel_98312
4 3 12 -758.944 wel_98313
4 3 13 -3006.59 wel_98314
4 3 15 -3573.94 wel_98315
4 3 17 -968.141 wel_98316
4 3 18 -2005.98 wel_98317
4 3 20 -1049.12 wel_98318
4 3 22 -13.3146 wel_98319
8 3 23 -6759.64 wel_98320
4 3 25 -483.765 wel_98321
4 3 26 -596.57 wel_98322
4 3 28 -556.998 wel_98323
4 3 30 0 wel_98324
4 3 31 -676.554 wel_98325
4 3 33 -2.94495 wel_98326
3 4 2 -960.946 wel_98701
3 4 4 -974.668 wel_98702
3 4 5 -1152.95 wel_98703
4 4 7 -936.14 wel_98704
4 4 9 -2615.04 wel_98705
4 4 10 -1668.2 wel_98706
4 4 12 -2498.55 wel_98707
4 4 13 -1324.32 wel_98708
4 4 15 -2624.09 wel_98709
4 4 17 -1929.96 wel_98710
4 4 18 -1732.96 wel_98711
5 4 20 -1365.64 wel_98712
4 4 22 -597.312 wel_98713
8 4 23 -1098.85 wel_98714
4 4 25 -38.7205 wel_98715
4 4 26 0 wel_98716
4 4 28 -9.89391 wel_98717
4 4 30 -199.804 wel_98718
4 4 31 -179.183 wel_98719
4 4 33 -8.43842 wel_98720
3 6 4 -1218.73 wel_99096
3 6 5 -1272.36 wel_99097
4 6 7 -1454.46 wel_99098
4 6 9 -2324.22 wel_99099
4 6 10 -1813.91 wel_99100
4 6 12 -931.627 wel_99101
4 6 13 -3228.26 wel_99102
4 6 15 -4196.92 wel_99103
4 6 17 -1915.39 wel_99104
4 6 18 -1193.46 wel_99105
4 6 20 -1498.22 wel_99106
4 6 22 -709.088 wel_99107
4 6 23 -787.636 wel_99108
4 6 25 -688.936 wel_99109
4 6 26 -46.8644 wel_99110
4 6 28 -560.28 wel_99111
4 6 30 -897.74 wel_99112
4 6 31 -625.468 wel_99113
4 6 33 -269.288 wel_99114
3 7 4 -1416.58 wel_99490
3 7 5 -2256.93 wel_99491
4 7 7 -1527.38 wel_99492
6 7 9 -1799.75 wel_99493
4 7 10 -540.913 wel_99494
4 7 12 -2735.11 wel_99495
4 7 13 -1355.64 wel_99496
4 7 15 -764.396 wel_99497
4 7 17 -1721.13 wel_99498
4 7 18 -1818.12 wel_99499
4 7 20 -1878.51 wel_99500
4 7 22 -1149.95 wel_99501
4 7 23 -788.828 wel_99502
4 7 25 -1808.67 wel_99503
4 7 26 -640.946 wel_99504
4 7 28 -669.393 wel_99505
4 7 30 -1048.94 wel_99506
4 7 31 0 wel_99507
4 7 33 0 wel_99508
3 9 4 -765.8 wel_99884
3 9 5 -1284.5 wel_99885
4 9 7 -1915.74 wel_99886
4 9 9 -1824.38 wel_99887
4 9 10 -1656.36 wel_99888
4 9 12 -1712.2 wel_99889
4 9 13 -1834.63 wel_99890
4 9 15 -3851.95 wel_99891
4 9 17 -1935.09 wel_99892
4 9 18 -1271.26 wel_99893
4 9 20 -1077.98 wel_99894
4 9 22 -522.582 wel_99895
4 9 23 -670.124 wel_99896
4 9 25 -667.267 wel_99897
4 9 26 -549.334 wel_99898
4 9 28 -2387.59 wel_99899
4 9 30 -1103.26 wel_99900
4 9 31 -629.732 wel_99901
4 9 33 0 wel_99902
