#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -12533.3 wel_58514
1 27 5 -4457.86 wel_58515
1 27 6 -4169.82 wel_58516
1 27 8 -4443.79 wel_58517
1 27 9 -7124.77 wel_58518
1 27 11 -3229.49 wel_58519
1 27 13 -2966.72 wel_58520
1 27 14 -763.841 wel_58521
13 27 16 -1184.16 wel_58522
4 27 18 -3548.9 wel_58523
13 27 19 -1378.1 wel_58524
4 27 21 -782.481 wel_58525
11 27 22 -203.406 wel_58526
13 27 24 -2155.47 wel_58527
13 27 26 -3153.64 wel_58528
4 27 27 -6169.75 wel_58529
4 27 29 -2682.93 wel_58530
4 27 30 -2394.88 wel_58531
13 27 32 -50.8515 wel_58532
1 26 3 -3789.71 wel_58908
1 26 5 -2486.43 wel_58909
1 26 6 -4847.95 wel_58910
1 26 8 -6779.97 wel_58911
1 26 9 -6944.65 wel_58912
1 26 11 -6112.75 wel_58913
1 26 13 -2766.15 wel_58914
13 26 14 -2069.29 wel_58915
13 26 16 -937.731 wel_58916
4 26 18 -629.926 wel_58917
13 26 19 -2808.47 wel_58918
13 26 22 -818.481 wel_58920
13 26 24 -1322.14 wel_58921
13 26 26 -4832.93 wel_58922
13 26 27 -4785.28 wel_58923
13 26 29 -1433.56 wel_58924
13 26 30 -1174.44 wel_58925
1 24 3 -2237.47 wel_59302
1 24 5 -2802.3 wel_59303
1 24 6 -7175.85 wel_59304
1 24 8 -7840.84 wel_59305
1 24 9 -10989.4 wel_59306
1 24 11 -7971.41 wel_59307
1 24 13 -4121 wel_59308
4 24 14 -3806.14 wel_59309
4 24 16 -3895.94 wel_59310
13 24 18 -1276.4 wel_59311
13 24 19 -2504.08 wel_59312
13 24 21 -1502.67 wel_59313
13 24 22 -1988.07 wel_59314
13 24 24 -2135.76 wel_59315
13 24 26 -5917.02 wel_59316
4 24 27 -8848.51 wel_59317
13 24 29 -2926.99 wel_59318
13 24 30 -2695.13 wel_59319
13 24 32 -360.818 wel_59320
1 23 3 -1271.29 wel_59696
1 23 5 -1898.05 wel_59697
1 23 6 -5862.66 wel_59698
1 23 8 -6920.72 wel_59699
1 23 9 -6525.95 wel_59700
1 23 11 -6890.88 wel_59701
9 23 13 -6810.17 wel_59702
4 23 14 -4320.5 wel_59703
4 23 16 -6107.11 wel_59704
4 23 18 -4813.4 wel_59705
4 23 19 -2958.54 wel_59706
13 23 21 -1322.14 wel_59707
13 23 22 -254.258 wel_59708
12 23 24 -833.332 wel_59709
13 23 26 -1121.8 wel_59710
13 23 27 -2703.98 wel_59711
13 23 29 -1473.22 wel_59712
13 23 30 -2699.99 wel_59713
13 23 32 -1627.25 wel_59714
1 21 3 -3247.92 wel_60090
1 21 5 -1639.53 wel_60091
1 21 6 -3545.61 wel_60092
1 21 8 -4163.25 wel_60093
1 21 9 -6925.95 wel_60094
1 21 11 -3801.15 wel_60095
4 21 13 -10525.6 wel_60096
4 21 14 -7720.19 wel_60097
4 21 16 -2501.44 wel_60098
4 21 18 -5170.2 wel_60099
4 21 19 -5291.27 wel_60100
13 21 21 -518.229 wel_60101
13 21 29 -254.258 wel_60106
13 21 30 -2598.28 wel_60107
13 21 32 -3218.22 wel_60108
1 19 3 -4733.62 wel_60484
1 19 5 -6893.95 wel_60485
1 19 6 -6804.53 wel_60486
1 19 8 -1070.95 wel_60487
1 19 9 -4017.27 wel_60488
4 19 11 -7537.86 wel_60489
4 19 13 -4693.7 wel_60490
4 19 14 -3909.24 wel_60491
13 19 16 -1364.94 wel_60492
13 19 18 -1523.23 wel_60493
13 19 19 -1923.56 wel_60494
13 19 21 -2763.26 wel_60495
13 19 22 -1763.99 wel_60496
13 19 24 -319.68 wel_60497
13 19 26 -213.12 wel_60498
13 19 27 -106.56 wel_60499
13 19 30 -254.258 wel_60501
4 19 32 -670.784 wel_60502
1 18 3 -9980.19 wel_60878
1 18 5 -8134.52 wel_60879
1 18 6 -5941.77 wel_60880
1 18 8 -6051.63 wel_60881
1 18 9 -5369.34 wel_60882
4 18 11 -4741.71 wel_60883
4 18 13 -6342.68 wel_60884
4 18 14 -1264.96 wel_60885
4 18 16 -3466.9 wel_60886
4 18 18 -3833.08 wel_60887
13 18 19 -2393.76 wel_60888
13 18 21 -2577.61 wel_60889
13 18 22 -1205.84 wel_60890
13 18 24 -1002.15 wel_60891
13 18 29 -1918.08 wel_60894
13 18 30 -1172.16 wel_60895
13 18 32 -532.8 wel_60896
1 16 3 -8111.74 wel_61272
1 16 5 -5735.2 wel_61273
1 16 6 -5535.21 wel_61274
1 16 8 -9423.01 wel_61275
4 16 9 -6923.31 wel_61276
4 16 11 -5101.87 wel_61277
13 16 13 -2593.43 wel_61278
4 16 14 -1187.29 wel_61279
4 16 16 -4374.1 wel_61280
13 16 18 -2101.18 wel_61281
13 16 19 -2550.85 wel_61282
13 16 21 -4507.15 wel_61283
4 16 22 -4987.34 wel_61284
13 16 24 -415.084 wel_61285
13 16 26 -573.938 wel_61286
13 16 27 -406.812 wel_61287
13 16 29 -852.48 wel_61288
1 15 3 -4483.62 wel_61666
1 15 5 -7707.58 wel_61667
1 15 6 -3590.66 wel_61668
1 15 8 -7192.49 wel_61669
4 15 9 -4763.64 wel_61670
4 15 11 -3830.41 wel_61671
4 15 13 -3342.3 wel_61672
6 15 14 -2934.79 wel_61673
4 15 16 -4183.21 wel_61674
13 15 18 -1522.38 wel_61675
13 15 19 -3310.46 wel_61676
13 15 21 -2531.14 wel_61677
4 15 22 -2129.09 wel_61678
13 15 24 -457.664 wel_61679
13 15 26 -1065.6 wel_61680
8 15 27 -106.56 wel_61681
1 13 3 -5579.05 wel_62060
1 13 5 -7516.46 wel_62061
1 13 6 -5758.07 wel_62062
4 13 8 -6658.12 wel_62063
13 13 9 -1620.51 wel_62064
13 13 11 -884.184 wel_62065
4 13 13 -3073.49 wel_62066
13 13 14 -3154.74 wel_62067
13 13 16 -2854.74 wel_62068
4 13 18 -2018.24 wel_62069
4 13 19 -2563.32 wel_62070
4 13 21 -6324.43 wel_62071
13 13 22 -1545.25 wel_62072
13 13 24 -177.119 wel_62073
13 13 26 -213.12 wel_62074
13 13 27 -1065.6 wel_62075
13 13 29 -852.48 wel_62076
13 13 30 -532.8 wel_62077
13 13 32 -1385.28 wel_62078
1 11 3 -2262.04 wel_62454
1 11 5 -8408.57 wel_62455
1 11 6 -4022.38 wel_62456
4 11 8 -5026.17 wel_62457
4 11 9 -2743.76 wel_62458
4 11 11 -2709.72 wel_62459
4 11 13 -2281.57 wel_62460
13 11 14 -1479.8 wel_62461
4 11 16 -406.812 wel_62462
13 11 18 -282.238 wel_62463
13 11 19 -1267.8 wel_62464
4 11 21 -3494.34 wel_62465
13 11 22 -1018.98 wel_62466
13 11 26 -2131.2 wel_62468
13 11 27 -4475.52 wel_62469
13 11 29 -2450.88 wel_62470
1 10 3 -10020.9 wel_62848
1 10 5 -10779.8 wel_62849
1 10 6 -3510.11 wel_62850
4 10 8 -3008.51 wel_62851
13 10 9 -4762.4 wel_62852
4 10 11 -782.665 wel_62853
13 10 13 -1483.85 wel_62854
13 10 14 -4729.19 wel_62855
13 10 16 -3361.06 wel_62856
13 10 18 -813.624 wel_62857
13 10 19 -609.008 wel_62858
4 10 21 -1421.93 wel_62859
13 10 22 -101.703 wel_62860
13 10 24 -213.12 wel_62861
13 10 26 -959.04 wel_62862
13 10 27 -2131.2 wel_62863
13 10 29 -106.56 wel_62864
1 8 3 -4776.88 wel_63242
1 8 5 -1118.73 wel_63243
1 8 6 -7814.56 wel_63244
13 8 8 -3696.19 wel_63245
13 8 9 -2717.91 wel_63246
4 8 11 -2046.22 wel_63247
4 8 13 -2390.02 wel_63248
4 8 14 -2801.69 wel_63249
13 8 16 -1574.12 wel_63250
13 8 18 -1590.97 wel_63251
13 8 19 -966.179 wel_63252
13 8 24 -852.48 wel_63255
13 8 27 -106.56 wel_63257
8 8 30 -106.56 wel_63259
1 7 3 -2877.11 wel_63636
1 7 5 -2378.49 wel_63637
1 7 6 -9172.7 wel_63638
4 7 8 -2644.28 wel_63639
4 7 9 -3774.36 wel_63640
4 7 11 -1881.51 wel_63641
13 7 13 -2135.76 wel_63642
13 7 14 -661.07 wel_63643
13 7 16 -745.92 wel_63644
13 7 19 -852.48 wel_63646
13 7 21 -319.68 wel_63647
13 7 22 -1491.84 wel_63648
13 7 24 -213.12 wel_63649
8 7 30 -106.56 wel_63653
1 5 3 -3471.26 wel_64030
1 5 5 -2067.15 wel_64031
1 5 6 -4428.85 wel_64032
13 5 8 -4118.97 wel_64033
13 5 9 -3919.46 wel_64034
13 5 11 -4647.92 wel_64035
13 5 13 -1881.51 wel_64036
13 5 16 -213.12 wel_64038
13 5 18 -213.12 wel_64039
13 5 19 -959.04 wel_64040
13 5 21 -2131.2 wel_64041
13 5 22 -106.56 wel_64042
13 5 24 -426.24 wel_64043
4 5 26 -38.8074 wel_64044
4 5 27 -853.762 wel_64045
2 3 3 -1175.18 wel_64424
13 3 5 -2185.4 wel_64425
13 3 6 -3814.59 wel_64426
13 3 8 -2949.2 wel_64427
4 3 9 -711.921 wel_64428
4 3 11 -444.834 wel_64429
13 3 13 -1007.22 wel_64430
4 3 19 -1198.31 wel_64434
4 3 21 -2146.54 wel_64435
4 3 22 -1065.45 wel_64436
4 3 26 -155.229 wel_64438
4 3 27 -2095.6 wel_64439
1 2 3 -1765.52 wel_64818
2 2 5 -1995.49 wel_64819
13 2 6 -1189.29 wel_64820
13 2 8 -2549.63 wel_64821
4 2 9 -1993.43 wel_64822
13 2 11 -1222.38 wel_64823
13 2 13 -587.347 wel_64824
4 2 19 -3374.26 wel_64828
4 2 21 -3889.62 wel_64829
4 2 22 -1546.59 wel_64830
4 2 24 -1280.64 wel_64831
4 2 26 -562.042 wel_64832
4 2 27 -818.481 wel_64833
4 2 29 -406.812 wel_64834
13 2 32 -213.12 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
