time,TALLAHATCHIE RIVER,YAZOO RIVER,LAKE HENRY
5514.691943128,-223763.8165854305,-10140.95475971699,9000.000000000000
5545.914691943,-207381.6866112160,-9892.900328337215,9000.000000000000
5592.748815166,-195452.6046681565,-9720.833483238705,9000.000000000000
5663.000000000,-186492.2790066434,-9582.174876801670,9000.000000000000
5676.800947867,-204254.2651476671,-10222.73538688105,9000.000000000000
5697.502369668,-215520.2204313593,-10548.06913244538,9000.000000000000
5728.554502370,-223912.5862169893,-10764.74998546112,9000.000000000000
5775.132701422,-230996.3802570138,-10945.68311264552,9000.000000000000
5845.000000000,-237415.3422740312,-11114.61672974657,9000.000000000000
5858.876777251,-219499.4491481272,-10395.70885826275,9000.000000000000
5879.691943128,-208313.4455027710,-10048.72069559433,9000.000000000000
5910.914691943,-200460.8052034118,-9822.321674543433,9000.000000000000
5957.748815166,-194132.5918597823,-9644.990074398927,9000.000000000000
6028.000000000,-188404.8619205113,-9493.970385005698,9000.000000000000
6041.800947867,-222031.2604980585,-10436.36542582884,9000.000000000000
6062.502369668,-243189.1339866472,-10869.14072695188,9000.000000000000
6093.554502370,-259028.7494297601,-11152.49935102556,9000.000000000000
6140.132701422,-272430.9575528718,-11379.00386383105,9000.000000000000
6210.000000000,-284712.7845446042,-11579.02747076191,9000.000000000000
6223.876777251,-248934.4201662549,-10491.90324075334,9000.000000000000
6244.691943128,-227356.9950619608,-10012.29915674683,9000.000000000000
6275.914691943,-211447.5229041938,-9715.839549291879,9000.000000000000
6322.748815166,-198562.2079945292,-9492.859761193395,9000.000000000000
6393.000000000,-187640.1138159753,-9304.998803740367,9000.000000000000
