time,TALLAHATCHIE RIVER,YAZOO RIVER,LAKE HENRY
1.000000000000,-246166.3990146572,-11075.30599405523,9000.000000000000
30.00377423524,-226949.0579352058,-7355.976884647273,9000.000000000000
73.50943558811,-216059.6531210169,-6908.130541913211,9000.000000000000
138.7679276174,-206847.3521245493,-6730.458792203106,9000.000000000000
236.6556656614,-197998.8554837645,-6585.633945050649,9000.000000000000
383.4872727273,-189582.2812423998,-6451.370230376720,9000.000000000000
603.7346833262,-182440.4016183668,-6338.040920201689,9000.000000000000
934.1057992245,-177389.9569932998,-6258.694327319041,9000.000000000000
1429.662473072,-174550.9598227728,-6214.806568535976,9000.000000000000
2172.997483843,-173332.7238881032,-6196.274848687463,9000.000000000000
3288.000000000,-172947.4700723295,-6190.477357571945,9000.000000000000
3301.876777251,-156321.6058162185,-9034.249425638467,9000.000000000000
3322.691943128,-143859.0498517579,-9349.286848326214,9000.000000000000
3353.914691943,-136779.0975498601,-9353.997263460420,9000.000000000000
3400.748815166,-132314.2079370225,-9327.042423477396,9000.000000000000
3471.000000000,-129054.5558130740,-9306.252328594215,9000.000000000000
3484.876777251,-167732.0825331154,-10322.64652489871,9000.000000000000
3505.691943128,-193392.7342635333,-10711.81320339534,9000.000000000000
3536.914691943,-210588.7293492426,-10952.39705575444,9000.000000000000
3583.748815166,-224056.3775274337,-11141.77985094953,9000.000000000000
3654.000000000,-236175.6409677838,-11307.77268452197,9000.000000000000
3667.876777251,-223232.1199853958,-10385.99020124879,9000.000000000000
3688.691943128,-216336.7868528329,-9999.095958071761,9000.000000000000
3719.914691943,-211722.5681595689,-9753.380947824568,9000.000000000000
3766.748815166,-208318.1668677480,-9562.717269688845,9000.000000000000
3837.000000000,-205484.1703845192,-9411.200227221474,9000.000000000000
3850.800947867,-215465.5200477654,-10037.64531993773,9000.000000000000
3871.502369668,-221646.8486420798,-10357.55562798958,9000.000000000000
3902.554502370,-227478.6777189924,-10587.04562218022,9000.000000000000
3949.132701422,-233300.4185651997,-10784.19031880237,9000.000000000000
4019.000000000,-239343.8489875199,-10958.32880006265,9000.000000000000
4032.876777251,-244886.7186900314,-10954.62747194897,9000.000000000000
4053.691943128,-249684.5605816030,-10920.49170081224,9000.000000000000
4084.914691943,-253320.6881012118,-10883.89207467902,9000.000000000000
4131.748815166,-256683.0149098469,-10853.72044101544,9000.000000000000
4202.000000000,-260227.6302525752,-10838.31437436491,9000.000000000000
4215.800947867,-285070.4551777721,-11455.53717160877,9000.000000000000
4236.502369668,-300599.0409740432,-11712.94991152268,9000.000000000000
4267.554502370,-313145.0689522418,-11888.71862217505,9000.000000000000
4314.132701422,-324952.3680419367,-12041.80768293142,9000.000000000000
4384.000000000,-336793.1779461445,-12190.90284554847,9000.000000000000
4397.876777251,-270263.7927095521,-10168.10729514994,9000.000000000000
4418.691943128,-229618.0969216966,-9282.395828519948,9000.000000000000
4449.914691943,-199229.7347085584,-8721.988042921759,9000.000000000000
4496.748815166,-173402.7112765259,-8284.615555997007,9000.000000000000
4567.000000000,-150094.6514064881,-7905.556008348241,9000.000000000000
4580.800947867,-161205.7757089160,-8829.629229429178,9000.000000000000
4601.502369668,-165601.4264814941,-9347.593226585537,9000.000000000000
4632.554502370,-168483.1601517463,-9688.553276441991,9000.000000000000
4679.132701422,-170073.7999758400,-9946.800849685445,9000.000000000000
4749.000000000,-170603.1071681438,-10152.00333237462,9000.000000000000
4762.876777251,-163514.1213215828,-9566.831343398429,9000.000000000000
4783.691943128,-158919.2678516395,-9131.796507072635,9000.000000000000
4814.914691943,-152772.4074145246,-8807.094783293083,9000.000000000000
4861.748815166,-145535.0477438072,-8521.988254759461,9000.000000000000
4932.000000000,-137584.2755688355,-8250.874323107302,9000.000000000000
4945.876777251,-171265.5819153960,-9408.628514801152,9000.000000000000
4966.691943128,-191928.5235623493,-9994.025551885366,9000.000000000000
4997.914691943,-208017.2230452656,-10370.12271076813,9000.000000000000
5044.748815166,-221979.2129822178,-10665.75384251587,9000.000000000000
5115.000000000,-234866.3752339018,-10927.10194881726,9000.000000000000
5128.876777251,-187102.8832935200,-9618.418330991641,9000.000000000000
5149.691943128,-156597.5210599448,-9027.225928884000,9000.000000000000
5180.914691943,-135431.8527183268,-8632.069864053279,9000.000000000000
5227.748815166,-118614.0356074303,-8306.510532625020,9000.000000000000
5298.000000000,-104005.4368375299,-8019.529095510021,9000.000000000000
5311.800947867,-172431.1341523867,-9870.984890332446,9000.000000000000
5332.502369668,-216600.8376204218,-10613.72963779327,9000.000000000000
5363.554502370,-246518.9569817723,-11076.03101038933,9000.000000000000
5410.132701422,-270319.6688457202,-11441.76628361735,9000.000000000000
5480.000000000,-290829.2641561581,-11759.93744049314,9000.000000000000
5493.876777251,-248321.4329531027,-10593.82599891815,9000.000000000000
