,0,1,2,3
0,0,-1,,
1,1,0,-2.0,
2,2,1,-3.0,
3,3,2,-4.0,
4,4,3,-5.0,
5,5,4,,
6,6,-7,,
7,7,6,-8.0,
8,8,7,-9.0,
9,9,8,-10.0,
10,10,9,-11.0,
11,11,10,-12.0,
12,12,11,-13.0,
13,13,12,-14.0,
14,14,13,-15.0,
15,15,14,-16.0,
16,16,15,-17.0,
17,17,16,-31.0,
18,18,-19,,
19,19,18,-20.0,
20,20,19,-21.0,
21,21,20,-22.0,
22,22,21,-23.0,
23,23,22,-24.0,
24,24,23,-25.0,
25,25,24,-26.0,
26,26,25,-27.0,
27,27,26,-28.0,
28,28,27,-29.0,
29,29,28,-30.0,
30,30,29,-31.0,
31,31,-32,17.0,30.0
32,32,31,-33.0,
33,33,32,-34.0,
34,34,33,-35.0,
35,35,34,-36.0,
36,36,35,-37.0,
37,37,36,,
