,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,-71.65293,-71.03777,-70.56141,-70.13983,-70.00972999999999,-70.19391999999999,-70.09564,-70.01137,-70.22942,-70.25817,-70.02696,-70.10221,-70.42304,-70.49462,-70.20249,-70.01464,-70.41287,-70.57944,-70.05485999999999,-70.26241,-70.32785,-70.05923,-70.36010999999999
1,-72.24867,-71.30284,-70.82287,-70.4059,-70.27967000000001,-70.38172,-70.29705,-70.23625,-70.40209,-70.43851000000001,-70.28778,-70.35657,-70.62720999999999,-70.8492,-70.62386000000001,-70.50997000000001,-70.87809,-70.95737,-70.59854,-70.83361,-70.91776,-70.80834,-71.06103999999999
2,-72.74237,-72.24434,-71.40001000000001,-71.05392,-70.8994,-70.80753,-70.72719000000001,-70.71858,-70.87467000000001,-70.92842,-70.90711,-70.99033,-71.03641999999999,-71.32154,-71.28602000000001,-71.48003,-71.50451000000001,-71.63951,-71.83073,-72.02339,-72.23975,-72.38141999999999,-72.53663
3,-73.37088,-73.02091,-72.48689999999999,-71.94659,-71.73590999999999,-71.46495999999999,-71.34251,-71.41873,-71.49058,-71.55917,-71.60162,-71.67175,-71.82473999999999,-71.94139,-72.28313,-72.37272,-72.58868,-72.78786,-72.99034,-73.33474,-73.72546,-73.95896,-74.23044
4,-74.0407,-73.85825,-73.66116,-73.25186,-72.71706,-72.26023,-72.08311,-72.15934,-72.25077999999999,-72.35078,-72.40605,-72.43191999999999,-72.76682,-72.89863,-73.05299,-73.20462,-73.6982,-73.88595000000001,-74.12092,-74.64757,-74.89726,-74.95383,-75.1849
5,-74.64088,-74.59209,-74.55854,-74.09085,-73.73595,-73.39627,-72.9636,-72.91948,-73.09307,-73.26415,-73.30109,-73.2263,-73.43912,-73.538,-73.95734,-74.1506,-74.33458999999999,-74.50050999999999,-74.8404,-74.97928,-75.2033,-75.16295,-75.12402
6,-75.39202,-75.26089999999999,-75.12214,-75.03999,-74.53280000000001,-74.08765,-73.88012,-73.59378,-73.91915,-74.32391,-74.34425,-74.15154,-73.99303,-74.27693,-74.42973,-74.79825,-74.91194,-75.16034,-75.18786,-75.14583,-75.26832999999999,-75.16018,-75.10936
7,-75.50475,-75.346,-75.29869,-75.29183,-75.14182,-74.72939,-74.31755,-74.41103,-74.62377000000001,-75.03012,-75.01422,-74.76258,-74.5587,-74.78359,-74.78271000000001,-75.05313,-75.3,-75.25872,-75.3,-75.3,-75.3,-75.3,-75.3
8,-75.8554,-75.67239000000001,-75.41150999999999,-75.38347,-75.47901999999999,-75.32091,-74.86352,-74.67697,-74.85031000000001,-75.24037,-75.23519,-74.93635,-74.89604,-75.10983999999999,-75.17723000000001,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
9,-76.94395,-76.24919,-76.04617,-75.82352,-75.90505,-75.94982999999999,-75.29589,-75.22806,-75.05677,-75.07629,-75.13753,-75.15132,-75.1173,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
