,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
10,-78.51503,-77.95079,-77.53752,-76.97964,-77.15194,-76.5844,-76.40857,-75.49519000000001,-75.08127,-75.22823,-74.99781,-75.13081,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
11,-80.41746,-79.98121,-79.81094999999999,-78.79891,-78.28549,-78.11302,-77.85003,-77.29044,-76.45659,-75.90227,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
12,-82.24892,-81.96817,-81.68783,-81.44229,-81.23595,-80.74671000000001,-80.21800999999999,-78.84864,-77.87054,-76.97579,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
13,-83.13775,-82.98552000000001,-82.78431,-82.54975999999999,-82.30426,-82.0447,-81.21576999999999,-80.26102,-79.22198,-78.13804,-76.52212,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
14,-84.09135,-84.0555,-83.57841,-83.36569,-83.12455,-82.86636,-82.60036,-81.7305,-80.66824,-79.55707,-78.29981000000001,-76.63282,-75.8395,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
15,-84.44054,-84.43732,-84.37261000000001,-84.27691,-83.71048,-83.47852,-83.24644,-83.02609,-82.11933,-80.98442,-79.61501,-77.69135,-76.70492,-76.38632,-75.76817,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3,-75.3
16,-84.65535,-84.6722,-84.6013,-84.50707,-84.42057,-84.34819999999999,-84.22873,-84.07919,-83.29736,-82.26895999999999,-81.76136,-78.26841999999999,-77.11109,-76.79334,-76.38622000000001,-75.75972,-75.57944,-75.43453,-75.3664,-75.34332,-75.37409,-75.36525,-75.37697
17,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.30725,-84.19400999999999,-83.36618,-82.27098000000001,-80.35961,-78.41299000000001,-77.83941,-76.85445,-76.42989,-76.07628,-75.78968,-75.50446,-75.38823,-75.43293,-75.33833,-75.50209
18,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-83.68601,-83.29997,-81.63904,-80.31358,-79.06128,-77.98606,-77.47561,-76.96155,-76.25585,-75.95343,-75.81933000000001,-75.77859000000001,-75.77727,-75.97702
19,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.34093,-83.61897,-82.72273,-81.0968,-80.44288,-79.3734,-78.46827,-77.95364000000001,-77.43039,-77.00865999999999,-76.60786999999999,-76.56523,-76.62138,-76.76975
20,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-83.93314000000001,-83.24086,-82.33215,-81.37046000000001,-80.50978,-80.13426,-79.38474,-78.81734,-78.33241,-78.10198,-77.92558,-78.08481,-78.16419
21,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.24857,-84.02635000000001,-83.32347,-82.58319,-82.07425,-81.72934000000001,-81.45248000000001,-80.56107,-79.90801,-79.73701,-80.08452,-80.52656,-80.31071
22,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.68155,-84.37336,-83.77297,-83.19445,-83.0723,-83.51178,-83.37855,-82.34436,-81.36797,-81.26993999999999,-82.15777,-83.13645,-82.89386999999999
23,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.80921000000001,-84.77769,-84.44991999999999,-84.00631,-83.98816,-84.45523,-84.62371999999999,-83.77094,-82.63137,-82.55459,-83.43055,-84.65469,-84.30008000000001
24,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.88374,-84.88117,-85.04113,-84.98057,-84.37579,-84.42188,-84.63441,-84.6062,-84.0353,-83.35463,-83.27373,-83.86757,-84.47227000000001,-84.2398
25,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-85.05101,-85.08100999999999,-85.26107,-85.22235,-85.33164,-85.69843,-85.39842,-84.97191000000001,-84.52816,-84.60754,-84.25769,-84.00153,-83.42126999999999,-83.64839,-83.88886,-83.79592
26,-84.8,-84.8,-84.8,-84.8,-84.8,-84.8,-85.16703,-85.24746,-85.68749,-85.70940999999999,-85.72395,-86.06354999999999,-86.18039999999999,-85.83747,-85.92281,-85.74618,-84.82865,-84.46786,-84.32235,-84.21207,-84.16535999999999,-83.65013,-83.56209
27,-84.87452,-84.8769,-85.0428,-85.20830000000001,-85.306,-85.84627,-85.96382,-86.5233,-86.64852,-86.69574,-86.70385999999999,-86.78924,-86.84144,-87.10361,-86.63303,-86.48871,-86.00352000000001,-85.55625,-84.85827,-84.72792,-84.60572,-84.49271,-83.72495
28,-85.08576,-85.10207,-85.50874,-85.87151,-86.20492,-86.44973,-87.11471,-87.32684,-87.48625,-87.55663,-87.96699,-87.99632,-88.26653999999999,-88.18199,-87.47263,-87.34345,-86.86609,-86.74171,-86.26456999999999,-85.49192,-85.32715999999999,-85.56139999999999,-85.40105
29,-85.02589,-85.71142,-86.51052,-87.01302,-86.9839,-87.69726,-88.06143,-88.30405,-88.45467,-88.89474,-88.95417,-88.96436,-89.17833,-89.0391,-88.91054,-88.25008,-88.16177,-87.80906,-87.66127,-87.50184,-87.14413,-86.97030000000001,-85.83621
30,-85.77146,-87.04766000000001,-88.14222,-88.35491999999999,-88.66145,-89.01145,-89.18861,-89.4423,-89.75698,-89.85547,-89.95314,-90.19116,-90.05701,-89.84243000000001,-89.68871,-89.54106,-89.66415,-88.71685,-88.57851,-88.14516,-87.93495,-87.6942,-86.83909
31,-87.7839,-89.5175,-90.8591,-89.97098,-89.60551,-89.96421,-90.6302,-90.66708,-90.62567,-90.65311,-90.89292,-91.06325,-90.82314,-90.51133,-90.34608,-90.47287,-90.34791,-89.70974,-89.55788,-89.50907,-89.00386,-88.75452,-88.42007
32,-89.04722,-90.76271,-91.88037,-90.77747,-90.15998,-90.60276999999999,-91.62913,-91.74683,-91.30766,-91.19387,-91.68582,-91.73791,-91.36485,-90.9768,-90.97599,-91.05649,-91.04365,-90.85115,-90.41084000000001,-90.36734,-90.01604,-89.78853,-89.3977
33,-89.28377,-90.20846,-90.74134,-90.42139,-90.28393,-90.81509,-91.75525,-91.83804,-91.431,-91.46681,-91.89205,-91.93965,-91.55844,-91.31604,-91.30132,-91.59773,-91.63459,-91.57208,-91.21869,-90.97617,-91.01031,-90.72962,-90.26939
34,-89.28272,-89.63889,-89.92572,-89.99322000000001,-90.16144,-90.53398,-91.28825,-91.39585,-91.27181,-91.47102,-91.63126,-91.67112,-91.44688,-91.49196,-91.57476,-91.76111,-91.97858,-91.86062,-91.51033,-91.52477999999999,-91.70018999999999,-91.46131,-90.9227
35,-89.11509,-89.32314,-89.53081,-89.70718,-89.94622,-90.49187,-90.8104,-90.96527,-91.02446,-91.28622,-91.41091,-91.3201,-91.25241,-91.24527,-91.42616,-91.74206,-91.92922,-91.79593,-91.64723000000001,-91.7852,-91.99248,-91.82886,-91.23997
