,atotim,aLAK1_STAGE,aLAK2_STAGE,aLAK1_TO-MVR,aLAK1_FROM-MVR,aLAK2_TO-MVR,aLAK2_FROM-MVR
59,12964800.0,1041.250886,1001.410041,-32.60638543,31.22706147,-186.2936753,175.8801451
60,13140000.0,1041.250866,1001.410022,-32.60552286,31.22706147,-186.2894566,175.8786727
61,13315200.0,1041.250847,1001.410003,-32.60470047,31.22706147,-186.2854407,175.8772406
62,13490400.0,1041.25083,1001.409986,-32.60392277,31.22706147,-186.2816485,175.875857
63,13665600.0,1041.250813,1001.40997,-32.60318748,31.22706147,-186.2780749,175.8745203
64,13840800.0,1041.250797,1001.409955,-32.60249181,31.22706147,-186.2747117,175.873228
65,14016000.0,1041.250782,1001.40994,-32.60183292,31.22706147,-186.2715406,175.8719772
66,14191200.0,1041.250767,1001.409927,-32.60120811,31.22706147,-186.2685444,175.8707651
67,14366400.0,1041.250753,1001.409914,-32.60061489,31.22706147,-186.2657074,175.869589
68,14541600.0,1041.250741,1001.409901,-32.60005096,31.22706147,-186.2630156,175.8684468
69,14716800.0,1041.250728,1001.40989,-32.5995142,31.22706147,-186.2604562,175.8673359
70,14892000.0,1041.250716,1001.409879,-32.59900266,31.22706147,-186.2580185,175.8662547
71,15067200.0,1041.250705,1001.409868,-32.59851455,31.22706147,-186.2556922,175.8652011
72,15242400.0,1041.250694,1001.409858,-32.59804824,31.22706147,-186.2534684,175.8641735
73,15417600.0,1041.250684,1001.409849,-32.59760572,31.22706147,-186.2513573,175.8631812
74,15592800.0,1041.250675,1001.40984,-32.59721121,31.22706147,-186.2494824,175.8623018
75,15768000.0,1041.250667,1001.409833,-32.59686668,31.22706147,-186.2478554,175.8615437
76,15943200.0,1041.25066,1001.409826,-32.59654322,31.22706147,-186.2463304,175.8608699
77,16118400.0,1041.250653,1001.409819,-32.59624126,31.22706147,-186.2449457,175.860361
78,16293600.0,1041.250647,1001.409814,-32.59597324,31.22706147,-186.2438589,175.8602448
79,16468800.0,1041.250642,1001.409811,-32.59575285,31.22706147,-186.2431598,175.8605491
80,16644000.0,1041.250638,1001.40981,-32.59559502,31.22706147,-186.2429414,175.8613057
81,16819200.0,1041.250636,1001.409812,-32.59551538,31.22706147,-186.2434266,175.8628171
82,16994400.0,1041.250636,1001.409818,-32.59551479,31.22706147,-186.2446676,175.8650905
83,17169600.0,1041.250638,1001.409827,-32.59558985,31.22706147,-186.2466731,175.8680903
84,17344800.0,1041.250641,1001.40984,-32.59573846,31.22706147,-186.2495599,175.8717822
85,17520000.0,1041.250646,1001.409858,-32.59595832,31.22706147,-186.2534015,175.8761294
86,17695200.0,1041.250653,1001.409879,-32.59624548,31.22706147,-186.2581666,175.8810185
87,17870400.0,1041.250661,1001.409905,-32.59659564,31.22706147,-186.2638103,175.8863972
88,18045600.0,1041.25067,1001.409935,-32.59700453,31.22706147,-186.2702967,175.892321
89,18220800.0,1041.250681,1001.409968,-32.59746476,31.22706147,-186.277571,175.8987365
90,18396000.0,1041.250692,1001.410004,-32.59796335,31.22706147,-186.2855324,175.905534
91,18571200.0,1041.250705,1001.410043,-32.59851323,31.22706147,-186.2941846,175.9125774
92,18746400.0,1041.250719,1001.410085,-32.59910662,31.22706147,-186.3034268,175.9197515
93,18921600.0,1041.250733,1001.410129,-32.59973132,31.22706147,-186.3131268,175.9269468
94,19096800.0,1041.250748,1001.410175,-32.60037894,31.22706147,-186.3231715,175.9341029
95,19272000.0,1041.250763,1001.410221,-32.6010426,31.22706147,-186.3334487,175.9411335
96,19447200.0,1041.250779,1001.41027,-32.60173344,31.22706147,-186.344182,175.9482283
97,19622400.0,1041.250796,1001.410322,-32.60246303,31.22706147,-186.355511,175.9557656
98,19797600.0,1041.250815,1001.410379,-32.60329385,31.22706147,-186.368145,175.963889
99,19972800.0,1041.25084,1001.410488,-32.60436567,31.22706147,-186.3921974,176.0367978
100,20148000.0,1041.250872,1001.410658,-32.60576596,31.22706147,-186.4295823,176.101451
101,20323200.0,1041.250912,1001.41088,-32.60749362,31.22706147,-186.4785857,176.1584603
102,20498400.0,1041.250958,1001.411143,-32.60951021,31.22706147,-186.5363677,176.2092048
103,20673600.0,1041.25101,1001.411436,-32.61178165,31.22706147,-186.6009651,176.2578888
104,20848800.0,1041.251068,1001.411748,-32.6142697,31.22706147,-186.6697841,176.2976906
105,21024000.0,1041.251129,1001.412072,-32.61694016,31.22706147,-186.741202,176.333805
106,21199200.0,1041.251194,1001.412403,-32.6197423,31.22706147,-186.8142431,176.3686479
107,21374400.0,1041.25126,1001.412738,-32.62264252,31.22706147,-186.8878938,176.4020804
108,21549600.0,1041.251329,1001.413069,-32.625613,31.22706147,-186.9608798,176.4303232
109,21724800.0,1041.251398,1001.413392,-32.62863318,31.22706147,-187.0321275,176.4529404
110,21900000.0,1041.251469,1001.413706,-32.63169262,31.22706147,-187.1015486,176.4748926
111,22075200.0,1041.25154,1001.414013,-32.63478851,31.22706147,-187.1691777,176.4961946
112,22250400.0,1041.251612,1001.414311,-32.63790987,31.22706147,-187.2348483,176.5168199
113,22425600.0,1041.251684,1001.414601,-32.64106595,31.22706147,-187.2989186,176.5366476
114,22600800.0,1041.251757,1001.414883,-32.64424379,31.22706147,-187.3610891,176.555652
115,22776000.0,1041.25183,1001.415153,-32.64742747,31.22706147,-187.420705,176.5700782
116,22951200.0,1041.251904,1001.41541,-32.65060561,31.22706147,-187.4773926,176.5808868
117,23126400.0,1041.25198,1001.415654,-32.65393595,31.22706147,-187.5314239,176.5916869
118,23301600.0,1041.252063,1001.415888,-32.65754785,31.22706147,-187.5831256,176.6026652
119,23476800.0,1041.252151,1001.416112,-32.66138144,31.22706147,-187.6325751,176.6137351
120,23652000.0,1041.252243,1001.416326,-32.66537321,31.22706147,-187.6796859,176.6247942
121,23827200.0,1041.252338,1001.416528,-32.66949837,31.22706147,-187.7244269,176.6357802
122,24002400.0,1041.252435,1001.41672,-32.67371796,31.22706147,-187.7667333,176.6466338
123,24177600.0,1041.252534,1001.416901,-32.67802409,31.22706147,-187.8068151,176.6573574
124,24352800.0,1041.252634,1001.417074,-32.68237589,31.22706147,-187.8449066,176.6678798
125,24528000.0,1041.252735,1001.417238,-32.68677293,31.22706147,-187.8811764,176.6781825
126,24703200.0,1041.252837,1001.417394,-32.69121478,31.22706147,-187.9157515,176.6882835
127,24878400.0,1041.25294,1001.417542,-32.69569759,31.22706147,-187.9484388,176.6954162
128,25053600.0,1041.253044,1001.417681,-32.70021741,31.22706147,-187.9791515,176.7001996
129,25228800.0,1041.253149,1001.417812,-32.70476858,31.22706147,-188.0081171,176.7051598
130,25404000.0,1041.253254,1001.417936,-32.70934431,31.22706147,-188.0355265,176.7102816
131,25579200.0,1041.253359,1001.418054,-32.71393744,31.22706147,-188.0615054,176.7155321
132,25754400.0,1041.253465,1001.418165,-32.71853618,31.22706147,-188.0860425,176.720847
133,25929600.0,1041.253571,1001.41827,-32.72313029,31.22706147,-188.1091908,176.7261926
134,26104800.0,1041.253675,1001.418368,-32.72768328,31.22706147,-188.1308759,176.7314902
135,26280000.0,1041.253778,1001.418459,-32.7321514,31.22706147,-188.1509904,176.7366571
136,26455200.0,1041.253877,1001.418541,-32.73644495,31.22706147,-188.1691143,176.7415541
137,26630400.0,1041.253971,1001.418614,-32.74055624,31.22706147,-188.1853106,176.7461686
138,26805600.0,1041.254062,1001.418679,-32.74449257,31.22706147,-188.1997611,176.7505145
139,26980800.0,1041.254148,1001.418738,-32.7482617,31.22706147,-188.2126366,176.7546051
140,27156000.0,1041.254231,1001.418789,-32.75187097,31.22706147,-188.2240962,176.7584533
141,27331200.0,1041.25431,1001.418835,-32.75532719,31.22706147,-188.2342802,176.7620708
142,27506400.0,1041.254386,1001.418876,-32.75863641,31.22706147,-188.243307,176.7654675
143,27681600.0,1041.254459,1001.418912,-32.76180406,31.22706147,-188.2512765,176.7686533
144,27856800.0,1041.254529,1001.418944,-32.76483554,31.22706147,-188.2582817,176.7716361
145,28032000.0,1041.254595,1001.418972,-32.76773612,31.22706147,-188.2644049,176.7744158
146,28207200.0,1041.254659,1001.418996,-32.77051065,31.22706147,-188.2697164,176.7769717
147,28382400.0,1041.25472,1001.419016,-32.77316486,31.22706147,-188.2742823,176.7793154
148,28557600.0,1041.254781,1001.419034,-32.77581887,31.22706147,-188.2782261,176.7815893
149,28732800.0,1041.254842,1001.419049,-32.7784875,31.22706147,-188.2815828,176.7838183
150,28908000.0,1041.254903,1001.419062,-32.78114012,31.22706147,-188.284367,176.7859742
151,29083200.0,1041.254965,1001.419073,-32.78383906,31.22706147,-188.2868855,176.7870111
152,29258400.0,1041.255028,1001.419083,-32.78656628,31.22706147,-188.2890199,176.7861459
153,29433600.0,1041.25509,1001.419091,-32.78929182,31.22706147,-188.2908521,176.7854689
154,29608800.0,1041.255153,1001.419098,-32.7919999,31.22706147,-188.2924507,176.7849538
155,29784000.0,1041.255214,1001.419105,-32.79467018,31.22706147,-188.2938557,176.7845675
156,29959200.0,1041.255275,1001.419111,-32.79735531,31.22706147,-188.2951483,176.7843598
157,30134400.0,1041.255338,1001.419116,-32.80007233,31.22706147,-188.2963342,176.7843328
158,30309600.0,1041.255401,1001.419121,-32.80282268,31.22706147,-188.2973566,176.7844689
159,30484800.0,1041.255465,1001.419124,-32.80559693,31.22706147,-188.2981445,176.7847392
160,30660000.0,1041.255529,1001.419127,-32.80838597,31.22706147,-188.2986619,176.7851214
161,30835200.0,1041.255593,1001.419128,-32.81118195,31.22706147,-188.2989016,176.7855986
162,31010400.0,1041.255657,1001.419128,-32.81397727,31.22706147,-188.298874,176.7861535
163,31185600.0,1041.255721,1001.419126,-32.81676532,31.22706147,-188.2985955,176.7867724
