rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
13,296,0,11,21,1,1,219.31369,4.3970656,0.004096308187982669,293.58676,1,1.0,0.0,0.0,0.0,0.0,14,0,13757.151,6867619,Chaffee Creek
14,297,0,11,22,1,2,202.81001,4.430883,0.0028377839824782376,292.6884,1,1.0,0.0,0.0,0.0,0.0,15,0,13968.213,6867619,Chaffee Creek
15,298,0,11,23,1,3,201.48373,4.4630346,0.011309530931948789,292.11285,1,1.0,0.0,0.0,0.0,0.0,16,0,14170.359,6867619,Chaffee Creek
16,299,0,11,24,1,4,205.89838,4.4952025,0.001,289.83417,1,1.0,0.0,0.0,0.0,0.0,0,0,14374.051,6867619,Chaffee Creek
1,515,4,20,15,2,1,203.97282,3.6418462,0.0001,290.66016,1,1.0,0.0,0.0,0.0,0.0,2,0,9459.903,6867623,Tagatz Creek
2,540,4,21,15,2,2,142.93286,3.6752958,0.0001,290.66016,1,1.0,0.0,0.0,0.0,0.0,3,0,9633.356,6867623,Tagatz Creek
3,541,4,21,16,2,3,70.1542,3.6956942,0.0001,290.66016,1,1.0,0.0,0.0,0.0,0.0,4,0,9739.899,6867623,Tagatz Creek
4,566,4,22,16,2,4,250.40224,3.7261724,0.0001,290.66016,1,1.0,0.0,0.0,0.0,0.0,5,0,9900.178,6867623,Tagatz Creek
5,567,4,22,17,2,5,168.27725,3.7656136,0.0001,290.66016,1,1.0,0.0,0.0,0.0,0.0,6,0,10109.518,6867623,Tagatz Creek
6,592,4,23,17,2,6,64.599625,3.787376,0.007223637749518673,290.66016,1,1.0,0.0,0.0,0.0,0.0,7,0,10225.956,6867623,Tagatz Creek
7,593,4,23,18,2,7,186.91173,3.810742,0.0038695624382063943,290.1935,1,1.0,0.0,0.0,0.0,0.0,8,0,10351.712,6867623,Tagatz Creek
8,618,2,24,18,2,8,305.24066,3.8560593,0.0004215103868917468,289.47025,1,1.0,0.0,0.0,0.0,0.0,9,0,10597.788,6867623,Tagatz Creek
9,619,2,24,19,2,9,201.47238,3.9021747,0.002591850432159364,289.34158,1,1.0,0.0,0.0,0.0,0.0,10,0,10851.145,6867623,Tagatz Creek
10,620,2,24,20,2,10,224.37366,3.9405181,0.0009341325053629652,288.8194,1,1.0,0.0,0.0,0.0,0.0,11,0,11064.067,6867623,Tagatz Creek
11,621,1,24,21,2,11,210.66438,3.979313,0.004446584883016574,288.6098,1,1.0,0.0,0.0,0.0,0.0,12,0,11281.587,6867623,Tagatz Creek
12,622,1,24,22,2,12,224.08124,4.0177116,0.001,287.67307,1,1.0,0.0,0.0,0.0,0.0,0,0,11498.959,6867623,Tagatz Creek
