time,STAGE,INFLOW,RAINFALL,RUNOFF,LAK,WITHDRAWAL,EVAPORATION,STORAGE,VOLUME,SURFACE-AREA,WETTED-AREA,CONDUCTANCE
1.000000000000,300.5117943,0.000000000,1621.218069,0.000000000,1332.625868,0.000000000,-380.5769861,0.000000000,3806401.062,604257.1499,545600.0000,15612.56270
32.00000000000,300.4678662,0.000000000,389.8656721,0.000000000,1085.088642,0.000000000,-155.1754156,850.2648400,3780042.852,602304.1879,545600.0000,15612.56270
61.00000000000,300.4352547,0.000000000,526.1823990,0.000000000,960.2233505,0.000000000,-245.4594890,679.3079375,3760342.922,600759.4319,545600.0000,15612.56270
92.00000000000,300.4244557,0.000000000,1455.775422,0.000000000,979.8939133,0.000000000,-686.4639881,210.4341780,3753819.462,600247.8994,545600.0000,15612.56270
122.0000000000,300.4237286,0.000000000,1834.532427,0.000000000,1019.332678,0.000000000,-829.9429819,14.64085702,3753380.236,600213.4579,545600.0000,15612.56270
153.0000000000,300.4516344,0.000000000,3455.024788,0.000000000,1174.444732,0.000000000,-1736.707332,-543.7842252,3770237.547,601535.3119,545600.0000,15612.56270
183.0000000000,300.3489153,0.000000000,885.0753040,0.000000000,546.0874525,0.000000000,-2401.928257,2062.771564,3708354.400,597351.1613,545600.0000,15612.56270
214.0000000000,300.2128028,0.000000000,223.1041488,0.000000000,-114.1903342,0.000000000,-2962.347531,2624.865240,3626983.578,591940.1414,544844.8453,15581.52785
245.0000000000,300.1847570,0.000000000,1369.323922,0.000000000,-23.00348193,0.000000000,-1930.947610,538.4187576,3610292.596,590537.8480,544396.1110,15563.08606
275.0000000000,300.1558092,0.000000000,508.3078316,0.000000000,-10.53516901,0.000000000,-1088.644341,569.5335150,3593206.591,588591.7458,543932.9480,15543.89766
306.0000000000,300.2362314,0.000000000,2706.846405,0.000000000,634.3181927,0.000000000,-532.8802072,-1539.356679,3640926.648,593111.5689,545219.7025,15596.93348
336.0000000000,300.2260151,0.000000000,672.3253089,0.000000000,603.6504853,0.000000000,-271.4391454,202.6680198,3634846.608,592600.7541,545056.2416,15590.21567
367.0000000000,300.2304654,0.000000000,961.7505747,0.000000000,711.0021958,0.000000000,-165.3893686,-85.43568485,3637495.114,592823.2685,545127.4462,15593.14200
