#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -3018.58 wel_58514
1 27 5 -1173.41 wel_58515
1 27 6 -1596.04 wel_58516
1 27 8 -2530.95 wel_58517
1 27 9 -10660.8 wel_58518
1 27 11 -3812.63 wel_58519
1 27 13 -1237.14 wel_58520
1 27 14 -807.87 wel_58521
13 27 16 -157.095 wel_58522
4 27 18 -706.927 wel_58523
13 27 19 -366.555 wel_58524
4 27 21 -183.277 wel_58525
13 27 26 -2235.01 wel_58528
4 27 27 -1832.77 wel_58529
4 27 29 -721.725 wel_58530
4 27 30 -991.147 wel_58531
13 27 32 -130.912 wel_58532
1 26 3 -4392.96 wel_58908
1 26 5 -2193.64 wel_58909
1 26 6 -2018.33 wel_58910
1 26 8 -3396.89 wel_58911
1 26 9 -3214.06 wel_58912
1 26 11 -3497.01 wel_58913
1 26 13 -2117.93 wel_58914
13 26 14 -1054.22 wel_58915
13 26 16 -770.795 wel_58916
4 26 18 -100.943 wel_58917
13 26 19 -291.47 wel_58918
13 26 24 -242.892 wel_58921
13 26 26 -523.649 wel_58922
13 26 27 -1648.3 wel_58923
13 26 29 -254.252 wel_58924
13 26 30 -220.496 wel_58925
1 24 3 -1376.29 wel_59302
1 24 5 -4443.05 wel_59303
1 24 6 -5186.4 wel_59304
1 24 8 -3221.58 wel_59305
1 24 9 -2896.42 wel_59306
1 24 11 -2790.56 wel_59307
1 24 13 -2611.66 wel_59308
4 24 14 -2489.97 wel_59309
4 24 16 -2386.14 wel_59310
13 24 18 -322.518 wel_59311
13 24 19 -149.522 wel_59312
13 24 21 -52.3649 wel_59313
13 24 22 -329.012 wel_59314
13 24 24 -288.007 wel_59315
13 24 26 -130.912 wel_59316
4 24 27 -1466.22 wel_59317
13 24 29 -362.768 wel_59318
13 24 30 -1309.12 wel_59319
13 24 32 -48.5784 wel_59320
1 23 3 -366.555 wel_59696
1 23 5 -609.027 wel_59697
1 23 6 -6665.15 wel_59698
1 23 8 -5906.99 wel_59699
1 23 9 -4677.55 wel_59700
1 23 11 -3721.32 wel_59701
9 23 13 -7908.24 wel_59702
4 23 14 -5197.19 wel_59703
4 23 16 -3736.92 wel_59704
4 23 18 -2918.62 wel_59705
4 23 19 -314.19 wel_59706
13 23 26 -104.73 wel_59710
13 23 27 -104.73 wel_59711
13 23 29 -680.421 wel_59712
13 23 30 -1174.42 wel_59713
13 23 32 -628.379 wel_59714
1 21 3 -1098.53 wel_60090
1 21 5 -3429.16 wel_60091
1 21 6 -3370.06 wel_60092
1 21 8 -3056.52 wel_60093
1 21 9 -1593.34 wel_60094
1 21 11 -2652.4 wel_60095
4 21 13 -5170.47 wel_60096
4 21 14 -5375.37 wel_60097
4 21 16 -1544.39 wel_60098
4 21 18 -2025.16 wel_60099
4 21 19 -157.095 wel_60100
13 21 30 -261.825 wel_60107
13 21 32 -1106.89 wel_60108
1 19 3 -2969.63 wel_60484
1 19 5 -7281 wel_60485
1 19 6 -2907.39 wel_60486
1 19 8 -1850.99 wel_60487
1 19 9 -3333.14 wel_60488
4 19 11 -2719.56 wel_60489
4 19 13 -4815.3 wel_60490
4 19 14 -437.133 wel_60491
13 19 16 -26.1825 wel_60492
13 19 18 -239.057 wel_60493
13 19 19 -130.912 wel_60494
13 19 21 -759.292 wel_60495
13 19 24 -145.735 wel_60497
13 19 26 -48.5784 wel_60498
13 19 27 -48.5784 wel_60499
13 19 30 -78.5474 wel_60501
4 19 32 -194.313 wel_60502
1 18 3 -3478.85 wel_60878
1 18 5 -6254.19 wel_60879
1 18 6 -2998.46 wel_60880
1 18 8 -1839.6 wel_60881
1 18 9 -7213.84 wel_60882
4 18 11 -2444.08 wel_60883
4 18 13 -2806.08 wel_60884
4 18 14 -302.83 wel_60885
4 18 16 -643.202 wel_60886
4 18 18 -1622.57 wel_60887
13 18 19 -288.007 wel_60888
13 18 21 -291.47 wel_60889
13 18 22 -157.095 wel_60890
13 18 24 -347.622 wel_60891
1 16 3 -3388.92 wel_61272
1 16 5 -5022.48 wel_61273
1 16 6 -2647.84 wel_61274
1 16 8 -2232.34 wel_61275
4 16 9 -8726.73 wel_61276
4 16 11 -1492.4 wel_61277
13 16 13 -602.197 wel_61278
4 16 14 -653.891 wel_61279
4 16 16 -2111.24 wel_61280
13 16 18 -452.351 wel_61281
13 16 19 -392.737 wel_61282
13 16 21 -1764.29 wel_61283
4 16 22 -1345.69 wel_61284
13 16 24 -235.642 wel_61285
13 16 26 -97.1567 wel_61286
13 16 27 -157.095 wel_61287
1 15 3 -6077.75 wel_61666
1 15 5 -4406.62 wel_61667
1 15 6 -4369.06 wel_61668
1 15 8 -1668.1 wel_61669
4 15 9 -4023.39 wel_61670
4 15 11 -1338.18 wel_61671
4 15 13 -368.675 wel_61672
6 15 14 -392.737 wel_61673
4 15 16 -777.901 wel_61674
13 15 18 -205.673 wel_61675
13 15 19 -261.825 wel_61676
13 15 21 -519.863 wel_61677
4 15 22 -1233.39 wel_61678
13 15 24 -157.095 wel_61679
13 15 26 -291.47 wel_61680
8 15 27 -48.5784 wel_61681
1 13 3 -2802.66 wel_62060
1 13 5 -9103.53 wel_62061
1 13 6 -5044.11 wel_62062
4 13 8 -6387.78 wel_62063
13 13 9 -805.785 wel_62064
13 13 11 -209.46 wel_62065
4 13 13 -1114.16 wel_62066
13 13 14 -302.83 wel_62067
13 13 16 -1196.82 wel_62068
4 13 18 -209.46 wel_62069
4 13 19 -1043.51 wel_62070
4 13 21 -1518.58 wel_62071
13 13 22 -901.24 wel_62072
13 13 24 -74.7608 wel_62073
13 13 27 -194.313 wel_62075
13 13 29 -242.892 wel_62076
13 13 30 -145.735 wel_62077
13 13 32 -291.47 wel_62078
1 11 3 -1718.94 wel_62454
1 11 5 -8517.27 wel_62455
1 11 6 -6421.56 wel_62456
4 11 8 -3945.63 wel_62457
4 11 9 -1858.02 wel_62458
4 11 11 -1224.18 wel_62459
4 11 13 -450.255 wel_62460
13 11 14 -78.5474 wel_62461
4 11 16 -104.73 wel_62462
13 11 18 -153.308 wel_62463
13 11 19 -1136.15 wel_62464
4 11 21 -1535.41 wel_62465
13 11 22 -1147.74 wel_62466
13 11 27 -145.735 wel_62469
13 11 29 -534.362 wel_62470
1 10 3 -7740.9 wel_62848
1 10 5 -7680.2 wel_62849
1 10 6 -3052.73 wel_62850
4 10 8 -3000.83 wel_62851
13 10 9 -2163.99 wel_62852
4 10 11 -309.96 wel_62853
13 10 13 -921.539 wel_62854
13 10 14 -2408.79 wel_62855
13 10 16 -1675.68 wel_62856
13 10 18 -392.737 wel_62857
13 10 19 -603.85 wel_62858
4 10 21 -531.51 wel_62859
13 10 24 -48.5784 wel_62861
1 8 3 -4506.8 wel_63242
1 8 5 -1016.56 wel_63243
1 8 6 -5868.29 wel_63244
13 8 8 -1663.2 wel_63245
13 8 9 -859.911 wel_63246
4 8 11 -284.975 wel_63247
4 8 13 -1230.58 wel_63248
4 8 14 -811.656 wel_63249
13 8 16 -261.825 wel_63250
13 8 18 -314.19 wel_63251
13 8 19 -523.649 wel_63252
13 8 24 -48.5784 wel_63255
1 7 3 -3650.75 wel_63636
1 7 5 -358.586 wel_63637
1 7 6 -1618.41 wel_63638
4 7 8 -1174.1 wel_63639
4 7 9 -1503.11 wel_63640
4 7 11 -860.235 wel_63641
13 7 13 -706.927 wel_63642
13 7 14 -261.825 wel_63643
13 7 19 -437.205 wel_63646
13 7 22 -97.1567 wel_63648
13 7 26 -145.735 wel_63650
8 7 30 -48.5784 wel_63653
1 5 3 -2016.05 wel_64030
1 5 5 -1001.74 wel_64031
1 5 6 -3351.36 wel_64032
13 5 8 -1581.98 wel_64033
13 5 9 -2205.61 wel_64034
13 5 11 -4655.82 wel_64035
13 5 13 -699.353 wel_64036
13 5 24 -242.892 wel_64043
2 3 3 -205.673 wel_64424
13 3 5 -890.204 wel_64425
13 3 6 -1204.39 wel_64426
13 3 8 -3594.37 wel_64427
4 3 9 -1738.76 wel_64428
4 3 11 -1672.5 wel_64429
13 3 13 -781.1 wel_64430
4 3 19 -325.274 wel_64434
4 3 21 -1755.47 wel_64435
4 3 22 -415.744 wel_64436
1 2 3 -74.7608 wel_64818
2 2 5 -340.372 wel_64819
13 2 6 -340.372 wel_64820
13 2 8 -1715.96 wel_64821
4 2 9 -1929.93 wel_64822
13 2 11 -2101.85 wel_64823
13 2 13 -826.479 wel_64824
4 2 19 -1598.69 wel_64828
4 2 21 -1819.65 wel_64829
4 2 22 -680.744 wel_64830
4 2 24 -995.018 wel_64831
4 2 26 -148.395 wel_64832
4 2 29 -78.5474 wel_64834
13 2 32 -97.1567 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
