rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
1,17714,2,110,114,1,1,208.80794,1.0,0.0400940133671557,1325.7078,1,5.0,0.0,0.0,0.0,0.0,2,4,31.82233,1815013,None
2,17715,2,110,115,1,2,294.09894,1.2612432,0.0031171416433728467,1317.3358,1,1.0,0.0,0.0,0.0,0.0,3,4,108.46534,1815013,None
3,17716,2,110,116,1,3,41.622536,1.5319574,0.2072751981514601,1316.4191,1,1.0,0.0,0.0,0.0,0.0,4,4,159.62929,1815013,None
4,17556,2,109,116,1,4,220.36644,1.7140895,0.028292053661784243,1307.7917,1,1.0,0.0,0.0,0.0,0.0,5,4,199.55641,1815013,None
5,17557,2,109,117,1,5,162.61732,1.9503043,0.015271425969587575,1301.5571,1,1.0,0.0,0.0,0.0,0.0,6,4,257.92313,1815013,None
6,17717,2,110,117,1,6,135.71492,2.1163268,0.031381303775837165,1299.0737,1,1.0,0.0,0.0,0.0,0.0,7,4,303.38898,1815013,None
7,17718,2,110,118,1,7,250.04433,2.3136115,0.00011033199984988013,1294.8148,1,1.0,0.0,0.0,0.0,0.0,8,4,362.17868,1815013,None
8,17719,2,110,119,1,8,268.58365,2.5552285,0.0017075431297238514,1294.7872,1,1.0,0.0,0.0,0.0,0.0,64,4,441.2176,1815013,None
9,17719,2,110,119,2,1,72.61439,37.399788,0.006315802966531981,1294.7872,1,1.0,0.0,0.0,0.0,0.0,64,4,91350.07,1815035,Tyler Forks
10,13279,2,82,159,3,1,29.546015,1.0,0.01317958782930652,1378.6824,1,1.0,0.0,0.0,0.0,0.0,11,6,4.5028124,1815711,None
11,13278,2,82,158,3,2,258.70886,1.0,0.015121667422404018,1378.293,1,1.0,0.0,0.0,0.0,0.0,12,6,48.432854,1815711,None
12,13277,2,82,157,3,3,208.73987,1.3252151,0.03538661178937741,1374.3809,1,1.0,0.0,0.0,0.0,0.0,13,6,119.67204,1815711,None
13,13437,2,83,157,3,4,195.19568,1.6329919,0.010114799914698979,1366.9943,1,1.0,0.0,0.0,0.0,0.0,14,6,181.23181,1815711,None
14,13436,2,83,156,3,5,125.48434,1.8414509,0.04051294657060901,1365.0199,1,1.0,0.0,0.0,0.0,0.0,15,6,230.10345,1815711,None
15,13596,2,84,156,3,6,171.89035,2.0158064,0.02154282030564387,1359.9362,1,1.0,0.0,0.0,0.0,0.0,16,6,275.42334,1815711,None
