per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,1,1,4,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.7152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.8674,5.6386228,0.0,0.0,0.0,0.0,0.0
0,2,1,4,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.2756,37.397507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.8674,37.79165,0.0,0.0,0.0,0.0,0.0
0,3,1,6,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.0039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.1497,7.0696306,0.0,0.0,0.0,0.0,0.0
0,4,1,6,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.8674,38.22293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.1497,38.63809,0.0,0.0,0.0,0.0,0.0
0,5,1,10,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.2861,6.4705014,0.0,0.0,0.0,0.0,0.0
0,6,1,10,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.1497,39.297653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.2861,39.615,0.0,0.0,0.0,0.0,0.0
0,7,1,11,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.0591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.9711,5.965435,0.0,0.0,0.0,0.0,0.0
0,8,1,11,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.3701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.9711,6.4949107,0.0,0.0,0.0,0.0,0.0
0,9,1,14,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.8859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.9265,7.736427,0.0,0.0,0.0,0.0,0.0
0,10,1,14,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.2861,40.155567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.9265,40.6439,0.0,0.0,0.0,0.0,0.0
0,11,1,16,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.9711,8.838227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.13385,9.499414,0.0,0.0,0.0,0.0,0.0
0,12,1,16,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.3019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.13385,6.9859138,0.0,0.0,0.0,0.0,0.0
