time,INFLOW-EXT,INFLOW,OUTFLOW,STAGE,DEPTH
300.0000000000,524.4991398300000,520.5187984931549,-520.3838375464366,52.20871398232194,6.184465093309122
600.0000000000,539.1361371900000,531.4010417162089,-531.1372786008145,52.28551270687421,6.262173417462739
900.0000000000,553.4506260600000,542.1986247881891,-541.8130472514079,52.36111913220337,6.338625333013579
1200.000000000,567.2857739300000,552.7711329479388,-552.2715666676028,52.43458960400341,6.412873653528558
1500.000000000,580.4900000000000,562.9845934247102,-562.3796913359068,52.50505217956111,6.484043244974252
1800.000000000,592.9186360200000,572.7117267765938,-572.0109277383052,52.57170306855505,6.551327570223637
2100.000000000,604.4355112500000,581.8326207300945,-581.0460864048799,52.63380581991782,6.613987919479948
2400.000000000,614.9144443900000,590.2356242120100,-589.3741603906552,52.69069192581838,6.671354020665553
2700.000000000,624.2406260600000,597.8182071902525,-596.8931518294368,52.74176115429091,6.722824498343959
3000.000000000,632.3118766699999,604.4884717365769,-603.5116657355488,52.78648682523475,6.767871544936267
3300.000000000,639.0397658900000,610.1653088873434,-609.1489230563295,52.82441146677309,6.806037430827548
3600.000000000,644.3505815800000,614.7797922461829,-613.7362445048658,52.85515206274609,6.836939120809146
3900.000000000,648.1861373100000,618.2757829680897,-617.2176296055380,52.87840012218647,6.860268468606958
4200.000000000,650.5044099500000,620.6105343754022,-619.5503604208292,52.89392249214129,6.875793006423086
4500.000000000,651.2800000000000,621.7551411536664,-620.7054505407308,52.90156186388883,6.883356435582517
4800.000000000,650.5044099500000,621.6948282968337,-620.6679348709553,52.90123700218444,6.882878845145620
5100.000000000,648.1861373100000,620.4290687810173,-619.4369886999998,52.89294266130718,6.874356625172805
5400.000000000,644.3505815800000,617.9713965504976,-617.0257241328322,52.87674825503682,6.857861259852090
5700.000000000,639.0397658900000,614.3502105652353,-613.4621335173589,52.85280448668075,6.833545089409320
6000.000000000,632.3118766699999,609.6051904284411,-608.7851032729175,52.82131973551045,6.801620324179231
6300.000000000,624.2406260600000,603.7917774241688,-603.0495223799030,52.78259441703347,6.762389402275743
6600.000000000,614.9144443900000,596.9760631345955,-596.3206447354227,52.73698821105757,6.716215678130986
6900.000000000,604.4355112500000,589.2359080237470,-588.6754497676292,52.68493201401621,6.663533875645879
7200.000000000,592.9186360200000,580.6595562050352,-580.2012189396523,52.62692274027259,6.604845213325565
7500.000000000,580.4900000000000,571.3444999906922,-570.9944065161470,52.56352029639010,6.540714421873744
7800.000000000,567.2857739300000,561.3962339035014,-561.1594002527746,52.49534402550769,6.471766235379874
8100.000000000,553.4506260600000,550.9267693655976,-550.8070176740147,52.42306746106021,6.398680361601404
8400.000000000,539.1361371900000,540.0538202705286,-540.0538015746512,52.34741806931480,6.322190600620805
8700.000000000,524.4991398300000,528.8984908368172,-529.0195696559358,52.26916540553851,6.243074003457645
9000.000000000,509.7000000000000,517.5843486441173,-517.8265932067827,52.18911919000166,6.162148349313661
9300.000000000,494.9008601700000,506.2358062941339,-506.5979671211659,52.10812145495093,6.080264451467351
9600.000000000,480.2638628100000,494.9766570899660,-495.4561580217749,52.02703890819517,5.998298507686979
9900.000000000,465.9493739400000,483.9286545563449,-484.5215972738636,51.94675449343204,5.917143619657915
10200.00000000,452.1142260700000,473.2101587151646,-473.9113417584480,51.86815815734433,5.837700485315558
10500.00000000,438.9100000000000,462.9348706455432,-463.7378238345743,51.79213686636433,5.760867301368019
10800.00000000,426.4813639800000,453.2106738827785,-454.1077088903873,51.71956395059432,5.687528949066479
11100.00000000,414.9644887500000,444.1385980195603,-445.1208756196361,51.65128789782830,5.618545583864685
11400.00000000,404.4855556100000,435.8119147358277,-436.8695289611113,51.58812076194370,5.554740793885180
11700.00000000,395.1593739400000,428.3153709827918,-429.4374500717704,51.53082639452204,5.496889540556274
12000.00000000,387.0881233300000,421.7245576372690,-422.8993812422189,51.48010874680210,5.445706137479538
12300.00000000,380.3602341100000,416.1054054231986,-417.3205371071029,51.43660051897842,5.401832558123076
12600.00000000,375.0494184200000,411.5137938394126,-412.7562274272244,51.40085245325196,5.365827386623636
12900.00000000,371.2138626900000,407.9954359702556,-409.2517836239059,51.37332511748061,5.338157059977587
13200.00000000,368.8955900500000,405.5849018592955,-406.8414682861757,51.35437399726160,5.319181592313922
13500.00000000,368.1200000000000,404.3066146093011,-405.5496696181443,51.34425241642904,5.309155870328605
13800.00000000,368.8955900500000,404.1739121751187,-405.3898356983560,51.34309952806318,5.308218481628603
14100.00000000,371.2138626900000,405.1891413847125,-406.3646028499168,51.35093883665211,5.316389954522654
14400.00000000,375.0494184200000,407.3441407059116,-408.4663436042785,51.36768189216662,5.333576008969708
14700.00000000,380.3602341100000,410.6118688574649,-411.6681319236062,51.39306171079914,5.359506148645514
15000.00000000,387.0881233300000,414.9792269562274,-415.9588147435376,51.42690245499317,5.393986285640914
15300.00000000,395.1593739400000,420.3872233323040,-421.2793334555626,51.46864079603266,5.436449882503716
15600.00000000,404.4855556100000,426.7880164973848,-427.5832340178200,51.51779305437863,5.486398623010548
15900.00000000,414.9644887500000,434.1175849761539,-434.8076830972979,51.57374214027322,5.543202373205893
16200.00000000,426.4813639800000,442.3014786817997,-442.8795122853498,51.63579168841657,5.606151291492885
16500.00000000,438.9100000000000,451.2553293276691,-451.7157074300455,51.70317781853274,5.674467957654187
16800.00000000,452.1142260700000,460.8857055093962,-461.2242730816345,51.77508309080557,5.747321437022413
17100.00000000,465.9493739400000,471.0902313984051,-471.3042096052687,51.85064347320394,5.823835372541550
