,Analitical_no_1L,A_2_Likage
0,-108.16053432934149,-70.7145215007505
1,-101.5062758005094,-65.77858537908145
2,-93.74031244835123,-60.12223694732819
3,-84.94769772250146,-53.80742498436575
4,-75.22472904027035,-46.903309814147235
5,-64.67789312965414,-39.4855058563229
6,-53.422699778202286,-31.635253491089657
7,-41.58241676061749,-23.438529308071452
8,-29.28671980026155,-14.985104483856844
9,-16.670272350297125,-6.367561600917554
10,-3.8712507488151005,2.319719324214077
11,8.97016909943369,10.981594498409038
12,21.713346940720328,19.523198374347714
13,34.21871847560686,27.850982625555332
14,46.349323878277744,35.87374069513015
15,57.97230779146918,43.50360669722437
16,68.96037436893067,50.65701773122936
17,79.19318142968046,57.2556290693239
18,88.55865845516297,63.22717219417797
19,96.95423399450118,68.50624628951442
20,104.28795903520239,73.03503451506202
21,110.47951403607163,76.76393722119843
22,115.46108859322936,79.65211516826668
23,119.17812410505923,81.66793680118252
24,121.58991130236194,82.78932468074703
25,122.6700360995165,83.0039972775208
26,122.40666888365087,82.30960348011325
27,120.8026940735055,80.71374834474142
28,117.87567852904903,78.23390980404878
29,113.657679157828,74.89724724739352
30,108.19489182515991,70.7403040690512
31,101.54714541333448,65.80860744204864
32,93.78724657092579,60.15616970093532
33,85.00018232857411,53.84489679439076
34,75.28218931425187,46.94391028633976
35,64.73969976204393,39.52879033107541
36,53.48817585783621,31.680747913384664
37,41.650845188252276,23.485735419369632
38,29.35735114230357,15.033505279064741
39,16.742333046658416,6.416626990668021
40,3.9439515850054363,-2.2705267079803093
41,-8.897624348766783,-10.932813417146008
42,-21.64175279146872,-19.47536308234561
43,-34.14885903259972,-27.804617018745034
44,-46.28196424770317,-35.82935257333298
45,-57.90818570137009,-43.46168220268828
46,-68.90019208954897,-50.618016024360315
47,-79.13759808213689,-57.21997729992427
48,-88.50828279271013,-63.1952608232678
49,-96.9096177354096,-68.47842481297141
50,-104.24959082029784,-73.01160763591497
51,-110.44781407710201,-76.74516151249503
52,-115.43640407067193,-79.63819626306525
53,-119.16072536577252,-81.65902714044205
54,-121.57998889872556,-82.78552184378225
55,-122.6676987024859,-83.00534291330536
56,-122.41194209258464,-82.31608285113663
57,-120.81552013579909,-80.7252904884158
58,-117.89591697264586,-78.2503883098966
59,-113.68510832968059,-74.91848164150525
60,-108.2292113187919,-70.7660617906501
61,-101.58797935891613,-65.83860639051466
62,-93.83414775183036,-60.19008132539375
63,-85.05263707932988,-53.88234969202739
64,-75.33962314624773,-46.98449427003459
65,-64.80148365537389,-39.572060921804166
66,-53.55363315037573,-31.72623120818855
67,-41.71925898651625,-23.53293328157889
68,-29.427972172920363,-15.081900793930288
69,-16.814387862471733,-6.465690126653612
70,-4.016651035929215,2.2213332942506554
71,8.825076472913963,10.884028495860605
72,21.570151040805342,19.427520949850816
73,34.078987595206456,27.758241645889086
74,46.214588361131575,35.784951866896165
75,57.844043271700286,43.419742442746326
76,68.83998560978324,50.57899653850694
77,79.08198693844048,57.184305432678855
78,88.45787604276137,63.163327255763704
79,96.86496743795175,68.45057928418515
80,104.21118598894765,72.98815511229742
81,110.41607532463348,76.72635884795415
82,115.41167900243187,79.62424938588157
83,119.14328477267924,81.65008879792646
84,121.57002379154454,82.7816899293743
85,122.66531821986536,83.00665939443701
86,122.41717230575995,82.32253330960174
87,120.82830376305873,80.73680427827895
88,117.91611400668506,78.26683933121359
89,113.71249757097286,74.93968972137935
90,108.26349279818334,70.79179465650014
91,101.62877762291197,65.8685822139426
92,93.88101597459155,60.22397180879233
93,85.10506195634497,53.9197836641211
94,75.39703051608484,47.025061750977045
95,64.86324478794296,39.615317613310765
96,53.61907163282996,31.771703359526043
97,41.787658131380056,23.580122878121358
98,29.498582867307334,15.130291011455085
99,16.886436772428453,6.514750991641392
100,4.0893490760514055,-2.1721391003037525
101,-8.75252549735626,-10.835239751687709
102,-21.498541713879717,-19.379671993667102
103,-34.00910418796866,-27.711856523276538
104,-46.147196242228176,-35.740538591414804
105,-57.779880524988926,-43.37778743212925
106,-68.77975495078016,-50.539959287374586
107,-79.026348018124,-57.14861348011715
108,-88.40743822302153,-63.131371502881905
109,-96.82028311781056,-68.42270971293607
110,-104.17274455464104,-72.96467695244661
111,-110.38429778981396,-76.70752923417979
112,-115.38691339719372,-79.61027454161467
113,-119.12580233190494,-81.64112177677515
114,-121.56001598431902,-82.77782893886899
115,-122.66289465249099,-83.0079467204535
116,-122.42235952133984,-82.3289548532428
117,-120.8410449507943,-80.748289710287
118,-117.93626962407274,-78.28326286222165
119,-113.7398468720844,-74.96087147956672
120,-108.29773625129309,-70.81750265756278
121,-101.66954019099211,-65.89853490180394
122,-93.92785122274728,-60.25784113922731
123,-85.15745694120528,-53.957198697523154
124,-75.45441140359958,-47.06561271491836
125,-64.92498313805834,-39.65856039040193
126,-53.68449128221448,-31.81716435142556
127,-41.85604259881927,-23.6273041924224
128,-29.56918320066302,-15.178675914642724
129,-16.95847975122257,-6.563809568399336
130,-4.162045679837718,2.122944143418465
131,8.679971447576975,10.786447201764247
132,21.426924835843295,19.331816230600964
133,33.93920883543211,27.66546166719951
134,46.07978791466343,35.69611276248855
135,57.71569748377243,43.33581718557326
136,68.71950013369513,50.500904284674505
137,78.97068134072998,57.112901454775454
138,88.35696935120626,63.09939357584659
139,96.77556479068113,68.3948161090131
140,104.1342665308801,72.94117316460921
141,110.35248148380498,76.68867267778586
142,115.36210726365613,79.59627173517282
143,119.1082780495903,81.63212608013765
144,121.54996548056414,82.77393887362251
145,122.66042800121403,83.0092048909026
146,122.42750373750226,82.33534747980451
147,120.85374369453058,80.75974678040558
148,117.95638381772943,78.29965889715203
149,113.76715622340924,74.98202690862746
150,108.33194166609366,70.84318578480855
151,101.71026704883906,65.9284644435781
152,93.97465347984729,60.29168930480256
153,85.20982201550811,53.994594779092324
154,75.51176578863755,47.10614714761533
155,64.98669868403516,39.701789237889045
156,53.74989207555137,31.86261416791939
157,41.92441236481437,23.674477207909888
158,29.63977314819016,15.227055486498614
159,17.030516773549664,6.612865839696212
160,4.234740821754087,-2.0737484408741125
161,-8.607414349059184,-10.73765086322743
162,-21.35530043185105,-19.283953677461227
163,-33.869301562146745,-27.619057093953927
164,-46.012363402113635,-35.6516743957215
165,-57.65149417059439,-43.293831717820126
166,-68.65922117969222,-50.46183154412455
167,-78.91498692581047,-57.07716936919718
168,-88.30646944504224,-63.067393485889795
169,-96.7308124722698,-68.36689848221334
170,-104.09575193118002,-72.91764375704065
171,-110.32062641778157,-76.66978918539547
172,-115.3372606105317,-79.5822409714745
173,-119.09071193189044,-81.62310171117372
174,-121.53987228380993,-82.77001973500114
175,-122.65791826690094,-83.0104339053425
176,-122.43260495244039,-82.34171118704137
177,-120.86639998980746,-80.77117548461064
178,-117.97645658059025,-78.31602743024587
179,-113.79442561535524,-75.00315600113089
180,-108.36610903057084,-70.86884402921652
181,-101.75095818214811,-65.95837082875249
182,-94.02142272945275,-60.32551629362928
183,-85.26215716086097,-54.03197189569363
